ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6414	pino12	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6531	pino12	BROTHER (OF MAN)	hermano de hombre	ya̧ni̧	ya̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6654	pino12	MAN	hombre	ra-yɨɨ	ra-yɨɨ	13	1554	NA	NA	josserand1983mixtec	NA
6756	pino12	OWNER	dueño	či-toʔo	či-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6840	pino12	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
6947	pino12	BLOOD	sangre	nɨ̧ñɨ̧̀	nɨ̧ñɨ̧̀	17	946	NA	NA	josserand1983mixtec	NA
7050	pino12	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7140	pino12	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7248	pino12	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7365	pino12	NOSE	nariz	šiti̧	šiti̧	25	1221	NA	NA	josserand1983mixtec	NA
7479	pino12	NOSE	cuello	suku̧	suku̧	25	1221	NA	NA	josserand1983mixtec	NA
7597	pino12	FINGERNAIL	uña	ti̧ñu̧	ti̧ñu̧	28	1258	NA	NA	josserand1983mixtec	NA
7715	pino12	INTESTINES	tripas	čɨtɨ	čɨtɨ	31	1991	NA	NA	josserand1983mixtec	NA
7833	pino12	FOOT	pie	čaʔa	čaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7948	pino12	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8053	pino12	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8158	pino12	SWELLING	grano	ⁿdɨʔyɨ	ⁿdɨʔyɨ	35	1903	NA	NA	josserand1983mixtec	NA
8273	pino12	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8356	pino12	URINE	orina	(tata)-čaša	tata-čaša	38	1142	NA	NA	josserand1983mixtec	NA
8452	pino12	SANDAL	huarache	ⁿdiča̧ʔ	ⁿdiča̧ʔ	40	NA	NA	NA	josserand1983mixtec	NA
8543	pino12	TROUSERS	calzón, pantalón	čatu	čatu	41	809	NA	NA	josserand1983mixtec	NA
8618	pino12	BLOUSE (WOVEN)	huipil	šiku̧	šiku̧	42	NA	NA	NA	josserand1983mixtec	NA
8720	pino12	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8834	pino12	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
8929	pino12	PATH	horcón	sɨ̧ʔɨ̧	sɨ̧ʔɨ̧	45	2252	NA	NA	josserand1983mixtec	NA
9042	pino12	MAT	petate	yuƀi	yuƀi	47	195	NA	NA	josserand1983mixtec	NA
9159	pino12	BED	cama	čito	čito	48	1663	NA	NA	josserand1983mixtec	NA
9279	pino12	STOOL	banquito	tayu	tayu	49	2058	NA	NA	josserand1983mixtec	NA
9397	pino12	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
10166	pino12	ANIMAL	rata	tɨ̧ñɨ̧	tɨ̧ñɨ̧	50	619	NA	NA	josserand1983mixtec	NA
9515	pino12	BIRD	pájaro	saa	saa	51	937	NA	NA	josserand1983mixtec	NA
10293	pino12	BIRD	venado	isu	isu	51	937	NA	NA	josserand1983mixtec	NA
10409	pino12	FISH	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
9612	pino12	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
9722	pino12	FROG	rana	saʔƀa	saʔƀa	54	503	NA	NA	josserand1983mixtec	NA
9854	pino12	HAWK	gavilán	tasu	tasu	55	307	NA	NA	josserand1983mixtec	NA
9962	pino12	HAWK	alacrán	tɨ-su̧ʔma̧	tɨ-su̧ʔma̧	55	307	NA	NA	josserand1983mixtec	NA
10047	pino12	COCKROACH	cucaracha	tu-koso	tu-koso	57	1575	NA	NA	josserand1983mixtec	NA
10532	pino12	BEE	gato	(mi̧hta)	mi̧hta	59	665	NA	NA	josserand1983mixtec	NA
10651	pino12	ANT	cuerno	ⁿdɨkɨ	ⁿdɨkɨ	75	587	NA	NA	josserand1983mixtec	NA
10768	pino12	FEATHER	pluma	tu̧mi̧	tu̧mi̧	77	1201	NA	NA	josserand1983mixtec	NA
10867	pino12	WING	ala	ⁿdiči̧	ⁿdiči̧	78	1257	NA	NA	josserand1983mixtec	NA
10976	pino12	TAIL	cola	su̧ʔma̧	su̧ʔma̧	79	1220	NA	NA	josserand1983mixtec	NA
11096	pino12	TREE	árbol	yutu̧	yutu̧	80	906	NA	NA	josserand1983mixtec	NA
11198	pino12	HERBACEOUS PLANT	hierba	kuʔu	kuʔu	81	NA	NA	NA	josserand1983mixtec	NA
11199	pino12	HERBACEOUS PLANT	hierba	yuku	yuku	81	NA	NA	NA	josserand1983mixtec	NA
11313	pino12	MAGUEY	maguey	yaƀi	yaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11433	pino12	CORN	maíz	nu̧ni̧	nu̧ni̧	87	506	NA	NA	josserand1983mixtec	NA
11552	pino12	CORN FIELD	milpa	itu	itu	88	449	NA	NA	josserand1983mixtec	NA
11670	pino12	CORN DOUGH	masa	yuča	yuča	91	NA	NA	NA	josserand1983mixtec	NA
11792	pino12	TORTILLA	tortilla	šita	šita	92	NA	NA	NA	josserand1983mixtec	NA
11895	pino12	CORN STALK	rastrojo	ya̧ma̧	ya̧ma̧	93	NA	NA	NA	josserand1983mixtec	NA
11980	pino12	FURROW	surco	yuku̧	yuku̧	94	1794	NA	NA	josserand1983mixtec	NA
12068	pino12	TASSEL	espiga	yoko	yoko	95	NA	NA	NA	josserand1983mixtec	NA
12172	pino12	TASSEL	frijol(es)	ⁿduti	ⁿduti	95	NA	NA	NA	josserand1983mixtec	NA
12270	pino12	GREEN BEAN	ejote	ⁿditi	ⁿditi	97	NA	NA	NA	josserand1983mixtec	NA
12376	pino12	SALT	sal	ñɨ̧ɨ̧	ñɨ̧ɨ̧	99	1274	NA	NA	josserand1983mixtec	NA
12489	pino12	PUMPKIN	calabaza	yɨkɨ	yɨkɨ	100	864	NA	NA	josserand1983mixtec	NA
12605	pino12	SUGAR CANE	caña	ⁿdoo	ⁿdoo	102	146	NA	NA	josserand1983mixtec	NA
12723	pino12	HONEY	miel	ⁿduši	ⁿduši	103	942	NA	NA	josserand1983mixtec	NA
12722	pino12	HONEY	miel	ñu̧ñu̧	ñu̧ñu̧	103	942	NA	NA	josserand1983mixtec	NA
12845	pino12	EGG	blanquillo, huevo	ⁿdɨwɨ	ⁿdɨwɨ	105	744	NA	NA	josserand1983mixtec	NA
12945	pino12	EGG	jitomate	tɨ-na̧na̧	tɨ-na̧na̧	105	744	NA	NA	josserand1983mixtec	NA
13031	pino12	PRICKLY PEAR CACTUS	nopal	ƀi̧ʔⁿda	ƀi̧ʔⁿda	110	NA	NA	NA	josserand1983mixtec	NA
13114	pino12	MAMEY	mamey	ⁿdika-čaʔa	ⁿdika-čaʔa	111	NA	NA	NA	josserand1983mixtec	NA
13223	pino12	MEAT	carne	ku̧ñu̧	ku̧ñu̧	114	634	NA	NA	josserand1983mixtec	NA
13343	pino12	GRIDDLE	comal	čio	čio	115	NA	NA	NA	josserand1983mixtec	NA
13342	pino12	GRIDDLE	comal	čiyo	čiyo	115	NA	NA	NA	josserand1983mixtec	NA
13444	pino12	GRIDDLE	olla	kɨsɨ	kɨsɨ	115	NA	NA	NA	josserand1983mixtec	NA
13541	pino12	OVEN	horno	čitu̧	čitu̧	117	1143	NA	NA	josserand1983mixtec	NA
