ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6415	prog11	CHILD (DESCENDANT)	hijo/hija	šiʔa	šiʔa	5	1801	NA	NA	josserand1983mixtec	NA
6532	prog11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6655	prog11	MAN	hombre	tee	tee	13	1554	NA	NA	josserand1983mixtec	NA
6948	prog11	BLOOD	sangre	ni̧ni̧	ni̧ni̧	17	946	NA	NA	josserand1983mixtec	NA
7249	prog11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7480	prog11	NOSE	cuello	suku	suku	25	1221	NA	NA	josserand1983mixtec	NA
7598	prog11	FINGERNAIL	uña	ti̧ñu̧	ti̧ñu̧	28	1258	NA	NA	josserand1983mixtec	NA
7716	prog11	INTESTINES	tripas	iti	iti	31	1991	NA	NA	josserand1983mixtec	NA
7834	prog11	FOOT	pie	žaʔa	žaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7949	prog11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8159	prog11	SWELLING	grano	ni̧ʔi̧	ni̧ʔi̧	35	1903	NA	NA	josserand1983mixtec	NA
8274	prog11	PUS	pus	ⁿdiʔi	ⁿdiʔi	37	1808	NA	NA	josserand1983mixtec	NA
8453	prog11	SANDAL	huarache	ni̧xʸa̧	ni̧xʸa̧	40	NA	NA	NA	josserand1983mixtec	NA
8721	prog11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8835	prog11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
9043	prog11	MAT	petate	žuƀi	žuƀi	47	195	NA	NA	josserand1983mixtec	NA
9160	prog11	BED	cama	ʔito	ʔito	48	1663	NA	NA	josserand1983mixtec	NA
9280	prog11	STOOL	banquito	banka	banka	49	2058	NA	NA	josserand1983mixtec	NA
9398	prog11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
