ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
614	prog12	MOTHER	mother	náná	náná	1	1216	NA	NA	shields1988syntactic	NA
615	prog12	MOTHER VOCATIVE	mother!, mom!	naá	naá	2	NA	NA	NA	shields1988syntactic	NA
616	prog12	FATHER	father	tátá	tátá	3	1217	NA	NA	shields1988syntactic	NA
617	prog12	FATHER VOCATIVE	father!, dad!	taá	taá	4	NA	NA	NA	shields1988syntactic	NA
618	prog12	CHILD (DESCENDANT)	son/daughter, child	xahyī	xahyī	5	1801	NA	NA	shields1988syntactic	NA
2061	prog12	CHILD (DESCENDANT)	child	hàʔžī	hàʔžī	5	1801	NA	NA	durr1987preliminary	NA
6416	prog12	CHILD (DESCENDANT)	hijo/hija	haʔži	haʔži	5	1801	NA	NA	josserand1983mixtec	NA
619	prog12	SON	son	xahyī taā	xahyī-taā	6	1620	NA	NA	shields1988syntactic	NA
620	prog12	CROSS-SEX SIBLING	cross-sex sibling	kyahvā	kyahvā	8	NA	NA	NA	shields1988syntactic	NA
2072	prog12	CROSS-SEX SIBLING	cross-sex sibling	kʸàʔƀà	kʸàʔƀà	8	NA	NA	NA	durr1987preliminary	NA
621	prog12	BROTHER (OF MAN)	brother of man	ñānī	ñānī	9	559	NA	NA	shields1988syntactic	NA
2085	prog12	BROTHER (OF MAN)	brother of man	ñànì	ñànì	9	559	NA	NA	durr1987preliminary	NA
6533	prog12	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
622	prog12	SISTER (OF WOMAN)	sister of woman	kihvi	kihvi	10	NA	NA	NA	shields1988syntactic	NA
2096	prog12	SISTER (OF WOMAN)	sister of woman	kìʔƀì	kìʔƀì	10	NA	NA	NA	durr1987preliminary	NA
623	prog12	AUNT	aunt	xixi	xixi	11	1272	NA	NA	shields1988syntactic	NA
2109	prog12	AUNT	aunt	hìhì	hìhì	11	1272	NA	NA	durr1987preliminary	NA
624	prog12	UNCLE	uncle	xito	xito	12	1327	NA	NA	shields1988syntactic	NA
2124	prog12	UNCLE	uncle	hìtò	hìtò	12	1327	NA	NA	durr1987preliminary	NA
625	prog12	MAN	man	taā	taā	13	1554	NA	NA	shields1988syntactic	NA
2135	prog12	MAN	man	tàà	tàà	13	1554	NA	NA	durr1987preliminary	NA
6656	prog12	MAN	hombre	(ta)taa	tataa	13	1554	NA	NA	josserand1983mixtec	NA
626	prog12	WOMAN	woman	ñáha	ñáha	14	962	NA	NA	shields1988syntactic	NA
2142	prog12	WOMAN	woman	ñá̧ʔà̧	ñá̧ʔà̧	14	962	NA	NA	durr1987preliminary	NA
627	prog12	PRIEST	priest	xutu	xutu	16	852	NA	NA	shields1988syntactic	NA
6949	prog12	BLOOD	sangre	ni̧i̧	ni̧i̧	17	946	NA	NA	josserand1983mixtec	NA
628	prog12	BONE	bone	yīkí	yīkí	18	1394	NA	NA	shields1988syntactic	NA
629	prog12	HAIR	hair	íxi	íxi	19	1040	NA	NA	shields1988syntactic	NA
630	prog12	FACE	face	nuu	nuu	20	1560	NA	NA	shields1988syntactic	NA
2160	prog12	FACE	face	nùù	nùù	20	1560	NA	NA	durr1987preliminary	NA
2173	prog12	TONGUE	tongue	žáà	žáà	21	1205	NA	NA	durr1987preliminary	NA
631	prog12	MOUTH	mouth	yúhu	yúhu	23	674	NA	NA	shields1988syntactic	NA
2193	prog12	MOUTH	mouth	žǘʔǜ	žǘʔǜ	23	674	NA	NA	durr1987preliminary	NA
632	prog12	EAR	ear	xohō	xohō	24	1247	NA	NA	shields1988syntactic	NA
7250	prog12	EAR	oreja	hoʔo	hoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7366	prog12	NOSE	nariz	hiti	hiti	25	1221	NA	NA	josserand1983mixtec	NA
7481	prog12	NOSE	cuello	hiko	hiko	25	1221	NA	NA	josserand1983mixtec	NA
633	prog12	NECK	neck	xíkó	xíkó	26	1333	NA	NA	shields1988syntactic	NA
634	prog12	HAND	hand	ndāha	ndāha	27	1277	NA	NA	shields1988syntactic	NA
2216	prog12	HAND	hand	ⁿdáʔà	ⁿdáʔà	27	1277	NA	NA	durr1987preliminary	NA
635	prog12	FINGERNAIL	fingernail	chíin	chíin	28	1258	NA	NA	shields1988syntactic	NA
2227	prog12	FINGERNAIL	fingernail	čí̧ì̧	čí̧ì̧	28	1258	NA	NA	durr1987preliminary	NA
7599	prog12	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
636	prog12	BACK	back	xata	xata	29	1291	NA	NA	shields1988syntactic	NA
637	prog12	BELLY OR STOMACH	stomach	tishī	tishī	30	2114	NA	NA	shields1988syntactic	NA
2238	prog12	BELLY OR STOMACH	stomach	tìšī	tìšī	30	2114	NA	NA	durr1987preliminary	NA
7717	prog12	INTESTINES	tripas	šiti-kaʔnu̧	šiti-kaʔnu̧	31	1991	NA	NA	josserand1983mixtec	NA
638	prog12	FOOT	foot	saha	saha	32	1301	NA	NA	shields1988syntactic	NA
2249	prog12	FOOT	foot	šàʔà	šàʔà	32	1301	NA	NA	durr1987preliminary	NA
7835	prog12	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
639	prog12	DISEASE	disease, illness, sickness	kwehe	kwehe	33	1986	NA	NA	shields1988syntactic	NA
7950	prog12	DISEASE	enfermedad	kʷèʔè	kʷèʔè	33	1986	NA	NA	josserand1983mixtec	NA
640	prog12	MEDICINE	medicine	tata	tata	34	1372	NA	NA	shields1988syntactic	NA
2259	prog12	MEDICINE	medicine	tàtà	tàtà	34	1372	NA	NA	durr1987preliminary	NA
8054	prog12	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8160	prog12	SWELLING	grano	ⁿdiʔi	ⁿdiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8275	prog12	PUS	pus	ⁿdako	ⁿdako	37	1808	NA	NA	josserand1983mixtec	NA
641	prog12	CLOTHES	cloth	xáhma	xáhma	39	1895	NA	NA	shields1988syntactic	NA
2271	prog12	CLOTHES	clothes	háʔmà	háʔmà	39	1895	NA	NA	durr1987preliminary	NA
642	prog12	SANDAL	sandal, sandals	ndusa	ndusa	40	NA	NA	NA	shields1988syntactic	NA
2281	prog12	SANDAL	sandal	ⁿdǜsà	ⁿdǜsà	40	NA	NA	NA	durr1987preliminary	NA
8454	prog12	SANDAL	huarache	ⁿdusa	ⁿdusa	40	NA	NA	NA	josserand1983mixtec	NA
643	prog12	TROUSERS	pants	sātī	sātī	41	809	NA	NA	shields1988syntactic	NA
644	prog12	TOWN OR VILLAGE	village, town	ñūū	ñūū	43	3609	NA	NA	shields1988syntactic	NA
2293	prog12	TOWN OR VILLAGE	town	ñūū	ñūū	43	3609	NA	NA	durr1987preliminary	NA
8722	prog12	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
645	prog12	HOUSE	house	vēhē	vēhē	44	1252	NA	NA	shields1988syntactic	NA
2309	prog12	HOUSE	house	ƀēʔē	ƀēʔē	44	1252	NA	NA	durr1987preliminary	NA
8836	prog12	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
646	prog12	PATH	road, trail	íchi	íchi	45	2252	NA	NA	shields1988syntactic	NA
2319	prog12	PATH	road	íčì	íčì	45	2252	NA	NA	durr1987preliminary	NA
9044	prog12	MAT	petate	žiƀi	žiƀi	47	195	NA	NA	josserand1983mixtec	NA
9161	prog12	BED	cama	šito	šito	48	1663	NA	NA	josserand1983mixtec	NA
9281	prog12	STOOL	banquito	taži	taži	49	2058	NA	NA	josserand1983mixtec	NA
647	prog12	ANIMAL	animal	kíti	kíti	50	619	NA	NA	shields1988syntactic	NA
2352	prog12	ANIMAL	animal	kítì	kítì	50	619	NA	NA	durr1987preliminary	NA
9399	prog12	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
10168	prog12	ANIMAL	rata	ti̧i̧	ti̧i̧	50	619	NA	NA	josserand1983mixtec	NA
648	prog12	BIRD	bird	lāā	lāā	51	937	NA	NA	shields1988syntactic	NA
2364	prog12	BIRD	bird	lāā	lāā	51	937	NA	NA	durr1987preliminary	NA
9517	prog12	BIRD	pájaro	laa	laa	51	937	NA	NA	josserand1983mixtec	NA
10295	prog12	BIRD	venado	ühü	ühü	51	937	NA	NA	josserand1983mixtec	NA
649	prog12	FISH	fish	ti-yāká	ti-yāká	52	227	NA	NA	shields1988syntactic	NA
2379	prog12	FISH	fish	tī-žàká	tī-žàká	52	227	NA	NA	durr1987preliminary	NA
10411	prog12	FISH	ardilla	ⁿdi-kʷa̧ni̧	ⁿdi-kʷa̧ni̧	52	227	NA	NA	josserand1983mixtec	NA
650	prog12	SNAKE	snake	koō	koō	53	730	NA	NA	shields1988syntactic	NA
2391	prog12	SNAKE	snake	kòò	kòò	53	730	NA	NA	durr1987preliminary	NA
2398	prog12	FROG	frog	láʔƀà	láʔƀà	54	503	NA	NA	durr1987preliminary	NA
9724	prog12	FROG	rana	laʔƀa	laʔƀa	54	503	NA	NA	josserand1983mixtec	NA
651	prog12	GRASSHOPPER	grasshopper	tikā	tikā	58	607	NA	NA	shields1988syntactic	NA
10534	prog12	BEE	gato	(čito)	čito	59	665	NA	NA	josserand1983mixtec	NA
652	prog12	MUROID (MOUSE OR RAT)	mouse	tiín	tiín	60	2139	NA	NA	shields1988syntactic	NA
2404	prog12	MUROID (MOUSE OR RAT)	rat	tì̧í̧	tì̧í̧	60	2139	NA	NA	durr1987preliminary	NA
