ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6418	reye11	hijo/hija	seʔe	seʔe	5	NA	NA	NA	josserand1983mixtec	NA
6535	reye11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6658	reye11	hombre	čàá	čàá	13	NA	NA	NA	josserand1983mixtec	NA
6758	reye11	dueño	štoʔo	štoʔo	15	NA	NA	NA	josserand1983mixtec	NA
6842	reye11	sacerdote	sutu	sutu	16	NA	NA	NA	josserand1983mixtec	NA
6954	reye11	sangre	nì̧ì̧	nì̧ì̧	17	NA	NA	NA	josserand1983mixtec	NA
7052	reye11	diente	nu̧ʔu̧	nu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7143	reye11	boca	žuʔu	žuʔu	23	NA	NA	NA	josserand1983mixtec	NA
7252	reye11	oreja	sòʔō	sòʔō	24	NA	NA	NA	josserand1983mixtec	NA
7368	reye11	nariz	šiči	šiči	25	NA	NA	NA	josserand1983mixtec	NA
7483	reye11	cuello	soku̧	soku̧	26	NA	NA	NA	josserand1983mixtec	NA
7601	reye11	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7719	reye11	tripas	šiči	šiči	31	NA	NA	NA	josserand1983mixtec	NA
7837	reye11	pie	šaʔa	šaʔa	32	NA	NA	NA	josserand1983mixtec	NA
7953	reye11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8162	reye11	grano	ⁿčìʔī	ⁿčìʔī	36	NA	NA	NA	josserand1983mixtec	NA
8278	reye11	pus	ⁿdākʷà	ⁿdākʷà	37	NA	NA	NA	josserand1983mixtec	NA
8457	reye11	huarache	ⁿčiša	ⁿčiša	40	NA	NA	NA	josserand1983mixtec	NA
8545	reye11	calzón, pantalón	šatu	šatu	41	NA	NA	NA	josserand1983mixtec	NA
8724	reye11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8932	reye11	horcón	si̧ʔi̧	si̧ʔi̧	46	NA	NA	NA	josserand1983mixtec	NA
9047	reye11	petate	žūù	žūù	47	NA	NA	NA	josserand1983mixtec	NA
9164	reye11	cama	šìtó	šìtó	48	NA	NA	NA	josserand1983mixtec	NA
9283	reye11	banquito	čʸei	čʸei	49	NA	NA	NA	josserand1983mixtec	NA
9401	reye11	animal	kīči	kīči	50	NA	NA	NA	josserand1983mixtec	NA
9519	reye11	pájaro	laa	laa	51	NA	NA	NA	josserand1983mixtec	NA
9614	reye11	culebra	kòò	kòò	53	NA	NA	NA	josserand1983mixtec	NA
9727	reye11	rana	(ʔisu ki̧ni̧)	ʔisu ki̧ni̧	54	NA	NA	NA	josserand1983mixtec	NA
9726	reye11	rana	lava	lava	54	NA	NA	NA	josserand1983mixtec	NA
9856	reye11	gavilán	čí-žáʔà	čí-žáʔà	55	NA	NA	NA	josserand1983mixtec	NA
9965	reye11	alacrán	či-sú̧ʔma̧	či-sú̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
10049	reye11	cucaracha	či-čeʔe	či-čeʔe	57	NA	NA	NA	josserand1983mixtec	NA
10171	reye11	rata	či̧i̧	či̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10297	reye11	venado	ʔusu	ʔusu	61	NA	NA	NA	josserand1983mixtec	NA
10413	reye11	ardilla	ⁿči-kʷa̧ñi̧	ⁿči-kʷa̧ñi̧	62	NA	NA	NA	josserand1983mixtec	NA
10536	reye11	gato	mi̧li	mi̧li	69	NA	NA	NA	josserand1983mixtec	NA
10656	reye11	cuerno	ⁿčiki	ⁿčiki	76	NA	NA	NA	josserand1983mixtec	NA
10772	reye11	pluma	tu̧mi̧	tu̧mi̧	77	NA	NA	NA	josserand1983mixtec	NA
