ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6419	sayu11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6536	sayu11	BROTHER (OF MAN)	hermano de hombre	ya̧ñi̧	ya̧ñi̧	9	559	NA	NA	josserand1983mixtec	NA
6659	sayu11	MAN	hombre	raa	raa	13	1554	NA	NA	josserand1983mixtec	NA
6759	sayu11	OWNER	dueño	či-toʔo	či-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6843	sayu11	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
6955	sayu11	BLOOD	sangre	ní̧í̧	ní̧í̧	17	946	NA	NA	josserand1983mixtec	NA
7053	sayu11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7144	sayu11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7253	sayu11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7369	sayu11	NOSE	nariz	šitʸi̧	šitʸi̧	25	1221	NA	NA	josserand1983mixtec	NA
7484	sayu11	NOSE	cuello	suku̧	suku̧	25	1221	NA	NA	josserand1983mixtec	NA
7602	sayu11	FINGERNAIL	uña	tʸi̧i̧	tʸi̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7720	sayu11	INTESTINES	tripas	čiti	čiti	31	1991	NA	NA	josserand1983mixtec	NA
7838	sayu11	FOOT	pie	čaʔa	čaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7954	sayu11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8057	sayu11	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8163	sayu11	SWELLING	grano	ⁿdiʔi	ⁿdiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8279	sayu11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8358	sayu11	URINE	orina	takʷii	takʷii	38	1142	NA	NA	josserand1983mixtec	NA
8458	sayu11	SANDAL	huarache	ⁿdiča̧ʔ	ⁿdiča̧ʔ	40	NA	NA	NA	josserand1983mixtec	NA
8546	sayu11	TROUSERS	calzón, pantalón	čatu	čatu	41	809	NA	NA	josserand1983mixtec	NA
