ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6420	sind11	CHILD (DESCENDANT)	hijo/hija	đaʔža	đaʔža	5	1801	NA	NA	josserand1983mixtec	NA
6537	sind11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6660	sind11	MAN	hombre	tee	tee	13	1554	NA	NA	josserand1983mixtec	NA
6760	sind11	OWNER	dueño	i-toʔo	i-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6844	sind11	OWNER	sacerdote	đutu	đutu	15	1036	NA	NA	josserand1983mixtec	NA
6956	sind11	BLOOD	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	946	NA	NA	josserand1983mixtec	NA
7054	sind11	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380	NA	NA	josserand1983mixtec	NA
7145	sind11	MOUTH	boca	žuʔu	žuʔu	23	674	NA	NA	josserand1983mixtec	NA
7254	sind11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7370	sind11	NOSE	nariz	đi̧ni̧	đi̧ni̧	25	1221	NA	NA	josserand1983mixtec	NA
7485	sind11	NOSE	cuello	đu̧u̧ᵑ	đu̧u̧ᵑ	25	1221	NA	NA	josserand1983mixtec	NA
7603	sind11	FINGERNAIL	uña	nɨ̧ñɨ̧	nɨ̧ñɨ̧	28	1258	NA	NA	josserand1983mixtec	NA
7721	sind11	INTESTINES	tripas	itɨ	itɨ	31	1991	NA	NA	josserand1983mixtec	NA
7839	sind11	FOOT	pie	žeʔe	žeʔe	32	1301	NA	NA	josserand1983mixtec	NA
7955	sind11	DISEASE	enfermedad	kʷiʔi	kʷiʔi	33	1986	NA	NA	josserand1983mixtec	NA
8058	sind11	SWELLING	hinchazón	kʷi̧o̧	kʷi̧o̧	35	1903	NA	NA	josserand1983mixtec	NA
8164	sind11	SWELLING	grano	ⁿdɨʔžɨ	ⁿdɨʔžɨ	35	1903	NA	NA	josserand1983mixtec	NA
8359	sind11	URINE	orina	te-đeđe	te-đeđe	38	1142	NA	NA	josserand1983mixtec	NA
8459	sind11	SANDAL	huarache	ⁿǰi̧i̧ᵑ	ⁿǰi̧i̧ᵑ	40	NA	NA	NA	josserand1983mixtec	NA
8547	sind11	TROUSERS	calzón, pantalón	žetu	žetu	41	809	NA	NA	josserand1983mixtec	NA
8726	sind11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8839	sind11	HOUSE	casa	weʔe	weʔe	44	1252	NA	NA	josserand1983mixtec	NA
8934	sind11	PATH	horcón	đɨ̧ʔɨ̧ᵑ	đɨ̧ʔɨ̧ᵑ	45	2252	NA	NA	josserand1983mixtec	NA
9049	sind11	MAT	petate	žuu	žuu	47	195	NA	NA	josserand1983mixtec	NA
9166	sind11	BED	cama	ito	ito	48	1663	NA	NA	josserand1983mixtec	NA
9285	sind11	STOOL	banquito	težu	težu	49	2058	NA	NA	josserand1983mixtec	NA
9403	sind11	ANIMAL	animal	kɨtɨ-(tata)	kɨtɨ-tata	50	619	NA	NA	josserand1983mixtec	NA
10173	sind11	ANIMAL	rata	čɨ-nɨ̧ñɨ̧	čɨ-nɨ̧ñɨ̧	50	619	NA	NA	josserand1983mixtec	NA
9521	sind11	BIRD	pájaro	či-đaa	či-đaa	51	937	NA	NA	josserand1983mixtec	NA
10299	sind11	BIRD	venado	iđu	iđu	51	937	NA	NA	josserand1983mixtec	NA
10415	sind11	FISH	ardilla	kʷȩñu̧	kʷȩñu̧	52	227	NA	NA	josserand1983mixtec	NA
9616	sind11	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
9729	sind11	FROG	rana	laʔwa	laʔwa	54	503	NA	NA	josserand1983mixtec	NA
9858	sind11	HAWK	gavilán	đi̧ʔa̧	đi̧ʔa̧	55	307	NA	NA	josserand1983mixtec	NA
9860	sind11	HAWK	gavilán	tađu̧	tađu̧	55	307	NA	NA	josserand1983mixtec	NA
9859	sind11	HAWK	gavilán	žaʔa	žaʔa	55	307	NA	NA	josserand1983mixtec	NA
9967	sind11	HAWK	alacrán	koo-đu̧ʔmȩ	koo-đu̧ʔmȩ	55	307	NA	NA	josserand1983mixtec	NA
10051	sind11	COCKROACH	cucaracha	čoʔo-kaa	čoʔo-kaa	57	1575	NA	NA	josserand1983mixtec	NA
