ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6421	sini11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6422	sini11	CHILD (DESCENDANT)	hijo/hija	šeʔe	šeʔe	5	1801	NA	NA	josserand1983mixtec	NA
6538	sini11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6661	sini11	MAN	hombre	tee	tee	13	1554	NA	NA	josserand1983mixtec	NA
6957	sini11	BLOOD	sangre	ni̧ñi̧	ni̧ñi̧	17	946	NA	NA	josserand1983mixtec	NA
7255	sini11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7371	sini11	NOSE	nariz	taʔƀi	taʔƀi	25	1221	NA	NA	josserand1983mixtec	NA
7486	sini11	NOSE	cuello	suku̧	suku̧	25	1221	NA	NA	josserand1983mixtec	NA
7604	sini11	FINGERNAIL	uña	tni̧i̧	tni̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7840	sini11	FOOT	pie	xaʔa	xaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7956	sini11	DISEASE	enfermedad	kuʔžo	kuʔžo	33	1986	NA	NA	josserand1983mixtec	NA
8165	sini11	SWELLING	grano	ⁿdiʔi	ⁿdiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8460	sini11	SANDAL	huarache	ⁿdixa̧-i̧	ⁿdixa̧-i̧	40	NA	NA	NA	josserand1983mixtec	NA
8840	sini11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
9050	sini11	MAT	petate	žuu	žuu	47	195	NA	NA	josserand1983mixtec	NA
9167	sini11	BED	cama	kama	kama	48	1663	NA	NA	josserand1983mixtec	NA
9286	sini11	STOOL	banquito	ba̧ᵑgu	ba̧ᵑgu	49	2058	NA	NA	josserand1983mixtec	NA
9404	sini11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
10174	sini11	ANIMAL	rata	ti̧ñi̧	ti̧ñi̧	50	619	NA	NA	josserand1983mixtec	NA
9522	sini11	BIRD	pájaro	saa	saa	51	937	NA	NA	josserand1983mixtec	NA
10300	sini11	BIRD	venado	isu	isu	51	937	NA	NA	josserand1983mixtec	NA
10416	sini11	FISH	ardilla	kʷa̧nu̧	kʷa̧nu̧	52	227	NA	NA	josserand1983mixtec	NA
9730	sini11	FROG	rana	saʔƀa	saʔƀa	54	503	NA	NA	josserand1983mixtec	NA
10539	sini11	BEE	gato	ƀilu	ƀilu	59	665	NA	NA	josserand1983mixtec	NA
10775	sini11	FEATHER	pluma	tnu̧mi̧	tnu̧mi̧	77	1201	NA	NA	josserand1983mixtec	NA
11104	sini11	TREE	árbol	žutnu̧	žutnu̧	80	906	NA	NA	josserand1983mixtec	NA
11321	sini11	MAGUEY	maguey	žaƀi	žaƀi	84	NA	NA	NA	josserand1983mixtec	NA
