ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6425	tama12	CHILD (DESCENDANT)	hijo/hija	θeʔi	θeʔi	5	1801	NA	NA	josserand1983mixtec	NA
6541	tama12	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6666	tama12	MAN	hombre	tàā	tàā	13	1554	NA	NA	josserand1983mixtec	NA
6762	tama12	OWNER	dueño	ʔis-toʔo	ʔis-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6847	tama12	OWNER	sacerdote	θütü	θütü	15	1036	NA	NA	josserand1983mixtec	NA
6960	tama12	BLOOD	sangre	nī̧ǐ̧	nī̧ǐ̧	17	946	NA	NA	josserand1983mixtec	NA
7057	tama12	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7148	tama12	MOUTH	boca	žǖʔǚ	žǖʔǚ	23	674	NA	NA	josserand1983mixtec	NA
7258	tama12	EAR	oreja	θoʔo	θoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7374	tama12	NOSE	nariz	θiti	θiti	25	1221	NA	NA	josserand1983mixtec	NA
7489	tama12	NOSE	cuello	θiko	θiko	25	1221	NA	NA	josserand1983mixtec	NA
7607	tama12	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7724	tama12	INTESTINES	tripas	šiti	šiti	31	1991	NA	NA	josserand1983mixtec	NA
7843	tama12	FOOT	pie	šaʔa	šaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7959	tama12	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8061	tama12	SWELLING	hinchazón	kà-kʷi̧ñu̧	kà-kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8168	tama12	SWELLING	grano	ⁿdiʔi	ⁿdiʔi	35	1903	NA	NA	josserand1983mixtec	NA
