ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6427	teco11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6543	teco11	hermano de hombre	ñā̧ñī̧(-ī̧)	ñā̧ñī̧-ī̧	9	NA	NA	NA	josserand1983mixtec	NA
6668	teco11	hombre	čàá	čàá	13	NA	NA	NA	josserand1983mixtec	NA
6763	teco11	dueño	ʔes-toʔo	ʔes-toʔo	15	NA	NA	NA	josserand1983mixtec	NA
6848	teco11	sacerdote	siti	siti	16	NA	NA	NA	josserand1983mixtec	NA
6962	teco11	sangre	ñi̧i̧	ñi̧i̧	17	NA	NA	NA	josserand1983mixtec	NA
7058	teco11	diente	nu̧ʔu̧	nu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7149	teco11	boca	yīʔì	yīʔì	23	NA	NA	NA	josserand1983mixtec	NA
7260	teco11	oreja	soʔo	soʔo	24	NA	NA	NA	josserand1983mixtec	NA
7376	teco11	nariz	šiči	šiči	25	NA	NA	NA	josserand1983mixtec	NA
7491	teco11	cuello	suku	suku	26	NA	NA	NA	josserand1983mixtec	NA
7609	teco11	uña	čí̧í̧	čí̧í̧	28	NA	NA	NA	josserand1983mixtec	NA
7725	teco11	tripas	siti	siti	31	NA	NA	NA	josserand1983mixtec	NA
7845	teco11	pie	šaʔa	šaʔa	32	NA	NA	NA	josserand1983mixtec	NA
7961	teco11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8062	teco11	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	NA	NA	NA	josserand1983mixtec	NA
8170	teco11	grano	ⁿǰīʔí	ⁿǰīʔí	36	NA	NA	NA	josserand1983mixtec	NA
8284	teco11	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8465	teco11	huarache	ⁿčiša	ⁿčiša	40	NA	NA	NA	josserand1983mixtec	NA
8551	teco11	calzón, pantalón	šati	šati	41	NA	NA	NA	josserand1983mixtec	NA
8627	teco11	huipil	šiku̧	šiku̧	42	NA	NA	NA	josserand1983mixtec	NA
8731	teco11	pueblo	ñú̧ú̧	ñú̧ú̧	43	NA	NA	NA	josserand1983mixtec	NA
