ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6430	tejo11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6429	tejo11	CHILD (DESCENDANT)	hijo/hija	siʔi	siʔi	5	1801	NA	NA	josserand1983mixtec	NA
6670	tejo11	MAN	hombre	ña̧-čaa	ña̧-čaa	13	1554	NA	NA	josserand1983mixtec	NA
6964	tejo11	BLOOD	sangre	ni̧i̧	ni̧i̧	17	946	NA	NA	josserand1983mixtec	NA
7262	tejo11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7378	tejo11	NOSE	nariz	šiči	šiči	25	1221	NA	NA	josserand1983mixtec	NA
7493	tejo11	NOSE	cuello	suku	suku	25	1221	NA	NA	josserand1983mixtec	NA
7611	tejo11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7727	tejo11	INTESTINES	tripas	(tiči)	tiči	31	1991	NA	NA	josserand1983mixtec	NA
7847	tejo11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7963	tejo11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8172	tejo11	SWELLING	grano	ⁿdiʔ	ⁿdiʔ	35	1903	NA	NA	josserand1983mixtec	NA
8286	tejo11	PUS	pus	ⁿdākʷa	ⁿdākʷa	37	1808	NA	NA	josserand1983mixtec	NA
8467	tejo11	SANDAL	huarache	ⁿdiča	ⁿdiča	40	NA	NA	NA	josserand1983mixtec	NA
8468	tejo11	SANDAL	huarache	ⁿdiȼa	ⁿdiȼa	40	NA	NA	NA	josserand1983mixtec	NA
8733	tejo11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8848	tejo11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
9057	tejo11	MAT	petate	yuƀi	yuƀi	47	195	NA	NA	josserand1983mixtec	NA
9173	tejo11	BED	cama	čito	čito	48	1663	NA	NA	josserand1983mixtec	NA
9294	tejo11	STOOL	banquito	čai	čai	49	2058	NA	NA	josserand1983mixtec	NA
9412	tejo11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
