ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
5413	tepe03	madre	chaku	chaku	1	NA	NA	NA	belmar1902el-cuicateco	NA
5414	tepe03	padre	chida	chida	3	NA	NA	NA	belmar1902el-cuicateco	NA
5415	tepe03	hijo/hija	daya	daya	5	NA	NA	NA	belmar1902el-cuicateco	NA
5416	tepe03	hermano	ndinu	ndinu	9	in general?	NA	NA	belmar1902el-cuicateco	NA
5417	tepe03	hermana	kaba	kaba	10	in general?	NA	NA	belmar1902el-cuicateco	NA
5418	tepe03	tía	dudi	dudi	11	NA	NA	NA	belmar1902el-cuicateco	NA
5419	tepe03	tío	dunu	dunu	12	NA	NA	NA	belmar1902el-cuicateco	NA
5420	tepe03	hombre	tsan	tsan	13	NA	NA	NA	belmar1902el-cuicateco	NA
5421	tepe03	mujer	ndata	ndata	14	NA	NA	NA	belmar1902el-cuicateco	NA
5422	tepe03	dueño	ibi	ibi	15	NA	NA	NA	belmar1902el-cuicateco	NA
5423	tepe03	sangre	yun	yun	17	NA	NA	NA	belmar1902el-cuicateco	NA
5424	tepe03	hueso	ini	ini	18	NA	NA	NA	belmar1902el-cuicateco	NA
5425	tepe03	pelo	yudutin	yudutin	19	NA	NA	NA	belmar1902el-cuicateco	NA
5426	tepe03	pelo	yuda	yuda	19	NA	NA	NA	belmar1902el-cuicateco	NA
5427	tepe03	cara	na	na	20	NA	NA	NA	belmar1902el-cuicateco	NA
5428	tepe03	lengua	chiiya	chiiya	21	NA	NA	NA	belmar1902el-cuicateco	NA
5429	tepe03	diente	ndiñu	ndiñu	22	NA	NA	NA	belmar1902el-cuicateco	NA
5430	tepe03	boca	chende	chende	23	NA	NA	NA	belmar1902el-cuicateco	NA
5431	tepe03	boca	chindé	chindé	23	NA	NA	NA	belmar1902el-cuicateco	NA
5432	tepe03	oreja	gaben	gaben	24	NA	NA	NA	belmar1902el-cuicateco	NA
5433	tepe03	oreja	ben	ben	24	NA	NA	NA	belmar1902el-cuicateco	NA
5434	tepe03	nariz	nduta	nduta	25	NA	NA	NA	belmar1902el-cuicateco	NA
5435	tepe03	cuello	ndandu	ndandu	26	NA	NA	NA	belmar1902el-cuicateco	NA
5436	tepe03	mano	taa	taa	27	NA	NA	NA	belmar1902el-cuicateco	NA
5437	tepe03	uña	shubidu	shubidu	28	NA	NA	NA	belmar1902el-cuicateco	NA
5438	tepe03	uña	yubidu	yubidu	28	NA	NA	NA	belmar1902el-cuicateco	NA
5439	tepe03	panza	chiati	chiati	30	NA	NA	NA	belmar1902el-cuicateco	NA
5440	tepe03	tripa	ngati	ngati	31	NA	NA	NA	belmar1902el-cuicateco	NA
5441	tepe03	pie	kaa	kaa	32	NA	NA	NA	belmar1902el-cuicateco	NA
5442	tepe03	enfermedad	kai	kai	33	NA	NA	NA	belmar1902el-cuicateco	NA
5443	tepe03	grano del cuerpo	ndubi	ndubi	36	NA	NA	NA	belmar1902el-cuicateco	NA
5444	tepe03	ropa	tiinu	tiinu	39	NA	NA	NA	belmar1902el-cuicateco	NA
5445	tepe03	pueblo	yan	yan	43	NA	NA	NA	belmar1902el-cuicateco	NA
5446	tepe03	casa	bai	bai	44	NA	NA	NA	belmar1902el-cuicateco	NA
5447	tepe03	camino	yuni	yuni	45	NA	NA	NA	belmar1902el-cuicateco	NA
5448	tepe03	petate	iba	iba	47	NA	NA	NA	belmar1902el-cuicateco	NA
5449	tepe03	cama, lecho	yundu	yundu	48	NA	NA	NA	belmar1902el-cuicateco	NA
5450	tepe03	animal	iti	iti	50	NA	NA	NA	belmar1902el-cuicateco	NA
5451	tepe03	pájaro	yada	yada	51	NA	NA	NA	belmar1902el-cuicateco	NA
5452	tepe03	pez	dacha	dacha	52	NA	NA	NA	belmar1902el-cuicateco	NA
5453	tepe03	culebra, serpiente	kuu	kuu	53	NA	NA	NA	belmar1902el-cuicateco	NA
5454	tepe03	gavilán	iñu	iñu	55	NA	NA	NA	belmar1902el-cuicateco	NA
5455	tepe03	alacrán	itidai	iti-dai	56	animal-tail	NA	NA	belmar1902el-cuicateco	NA
5456	tepe03	abeja	itiyain	iti-yain	59	animal-?	NA	NA	belmar1902el-cuicateco	NA
5457	tepe03	ratón	tindi	tindi	60	NA	NA	NA	belmar1902el-cuicateco	NA
5458	tepe03	rata	tiudi	tiudi	60	NA	NA	NA	belmar1902el-cuicateco	NA
5459	tepe03	venado	idichianu	idi-chianu	61	NA	NA	NA	belmar1902el-cuicateco	NA
5460	tepe03	ardilla	iyu	iyu	62	NA	NA	NA	belmar1902el-cuicateco	NA
5461	tepe03	perro	yana	yana	68	NA	NA	NA	belmar1902el-cuicateco	NA
5462	tepe03	gato	bichi	bichi	69	NA	NA	NA	belmar1902el-cuicateco	NA
5463	tepe03	gallo	tuutsan	tuu-tsan	70	chicken-mail?	NA	NA	belmar1902el-cuicateco	NA
5464	tepe03	gallina	tuu	tuu	71	NA	NA	NA	belmar1902el-cuicateco	NA
5465	tepe03	puerco	kunu	kunu	72	NA	NA	NA	belmar1902el-cuicateco	NA
5466	tepe03	caballo	yudatin	yudatin	73	NA	NA	NA	belmar1902el-cuicateco	NA
5467	tepe03	borrego, oveja	itikuchi	iti-kuchi	74	animal-cotton	NA	NA	belmar1902el-cuicateco	NA
5468	tepe03	hormiga	iku	iku	75	NA	NA	NA	belmar1902el-cuicateco	NA
5469	tepe03	cuerno	duniniti	dunin-iti	76	horn-animal; not sure	NA	NA	belmar1902el-cuicateco	NA
5470	tepe03	pluma de escribir	indingún	indingún	77	NA	NA	NA	belmar1902el-cuicateco	NA
5471	tepe03	pluma de escribir	duduiti	duduiti	77	NA	NA	NA	belmar1902el-cuicateco	NA
5472	tepe03	ala	ngechi	ngechi	78	NA	NA	NA	belmar1902el-cuicateco	NA
5473	tepe03	ala	ngaachi	ngaachi	78	NA	NA	NA	belmar1902el-cuicateco	NA
5474	tepe03	cola	ndukudaiiti	nduku-dai-iti	79	?-tail-animal	NA	NA	belmar1902el-cuicateco	NA
5475	tepe03	árbol, palo	ñiaan	ñiaan	80	NA	NA	NA	belmar1902el-cuicateco	NA
5476	tepe03	árbol, palo	yiaan	yiaan	80	NA	NA	NA	belmar1902el-cuicateco	NA
5477	tepe03	hierba	yata	yata	81	NA	NA	NA	belmar1902el-cuicateco	NA
5478	tepe03	zacate, heno	yuni	yuni	82	NA	NA	NA	belmar1902el-cuicateco	NA
5479	tepe03	flor	nanda	nanda	83	NA	NA	NA	belmar1902el-cuicateco	NA
5480	tepe03	raíz	diyú	diyú	85	NA	NA	NA	belmar1902el-cuicateco	NA
5481	tepe03	espina	yan	yan	86	NA	NA	NA	belmar1902el-cuicateco	NA
5482	tepe03	espina	nan	nan	86	NA	NA	NA	belmar1902el-cuicateco	NA
5483	tepe03	maíz	ninu	ninu	87	NA	NA	NA	belmar1902el-cuicateco	NA
5484	tepe03	masa	yachi	yachi	91	NA	NA	NA	belmar1902el-cuicateco	NA
5485	tepe03	tortilla	yundu	yundu	92	NA	NA	NA	belmar1902el-cuicateco	NA
5486	tepe03	rastrojo	yabó	yabó	93	NA	NA	NA	belmar1902el-cuicateco	NA
5487	tepe03	rastrojo	nayama	nayama	93	NA	NA	NA	belmar1902el-cuicateco	NA
5488	tepe03	espiga	yami	yami	95	NA	NA	NA	belmar1902el-cuicateco	NA
5489	tepe03	sal	ima	ima	99	NA	NA	NA	belmar1902el-cuicateco	NA
5490	tepe03	calabaza	yuku	yuku	100	NA	NA	NA	belmar1902el-cuicateco	NA
5491	tepe03	miel	ndii	ndii	103	NA	NA	NA	belmar1902el-cuicateco	NA
5492	tepe03	grasa	ndun	ndun	104	NA	NA	NA	belmar1902el-cuicateco	NA
5493	tepe03	grasa	ndungé	ndungé	104	NA	NA	NA	belmar1902el-cuicateco	NA
5494	tepe03	tomate	ndatukua	ndatukua	106	NA	NA	NA	belmar1902el-cuicateco	NA
5495	tepe03	plátano	tiaka	tiaka	109	NA	NA	NA	belmar1902el-cuicateco	NA
5496	tepe03	hongo	ngee	ngee	113	NA	NA	NA	belmar1902el-cuicateco	NA
5497	tepe03	carne	yuta	yuta	114	NA	NA	NA	belmar1902el-cuicateco	NA
5498	tepe03	olla	chita	chita	116	NA	NA	NA	belmar1902el-cuicateco	NA
5499	tepe03	horno	yutu	yutu	117	NA	NA	NA	belmar1902el-cuicateco	NA
5500	tepe03	lumbre	ñíaa	ñíaa	118	NA	NA	NA	belmar1902el-cuicateco	NA
5501	tepe03	carbón	iyu	iyu	120	NA	NA	NA	belmar1902el-cuicateco	NA
5502	tepe03	humo	yami	yami	121	NA	NA	NA	belmar1902el-cuicateco	NA
5503	tepe03	plato	kuú	kuú	123	NA	NA	NA	belmar1902el-cuicateco	NA
5504	tepe03	jícara	yaai	yaai	124	NA	NA	NA	belmar1902el-cuicateco	NA
5505	tepe03	peine	kaka	kaka	128	NA	NA	NA	belmar1902el-cuicateco	NA
5506	tepe03	agujero	iba	iba	130	NA	NA	NA	belmar1902el-cuicateco	NA
5507	tepe03	red	yana	yana	131	NA	NA	NA	belmar1902el-cuicateco	NA
5508	tepe03	jabón	nama	nama	132	NA	NA	NA	belmar1902el-cuicateco	NA
5509	tepe03	anillo	chinta	chinta	133	NA	NA	NA	belmar1902el-cuicateco	NA
5510	tepe03	nube	me	me	135	NA	NA	NA	belmar1902el-cuicateco	NA
5511	tepe03	rayo	kuai	kuai	136	NA	NA	NA	belmar1902el-cuicateco	NA
5512	tepe03	agua	nuni	nuni	137	NA	NA	NA	belmar1902el-cuicateco	NA
5513	tepe03	lluvia	kubi	kubi	138	NA	NA	NA	belmar1902el-cuicateco	NA
5514	tepe03	río	iku	iku	139	NA	NA	NA	belmar1902el-cuicateco	NA
5515	tepe03	rocío	dibiiyu	dibiiyu	140	NA	NA	NA	belmar1902el-cuicateco	NA
5516	tepe03	llano	yudu	yudu	142	NA	NA	NA	belmar1902el-cuicateco	NA
5517	tepe03	piedra	tuu	tuu	143	NA	NA	NA	belmar1902el-cuicateco	NA
5518	tepe03	algodón	kuchi	kuchi	144	NA	NA	NA	belmar1902el-cuicateco	NA
5519	tepe03	papel	kaka	kaka	146	NA	NA	NA	belmar1902el-cuicateco	NA
5520	tepe03	cal	kaka	kaka	147	NA	NA	NA	belmar1902el-cuicateco	NA
5521	tepe03	cera	yain	yain	148	NA	NA	NA	belmar1902el-cuicateco	NA
5522	tepe03	lodo	inchieti	inchieti	149	NA	NA	NA	belmar1902el-cuicateco	NA
5523	tepe03	espuma	yain	yain	150	NA	NA	NA	belmar1902el-cuicateco	NA
5524	tepe03	polvo	iyaka	iyaka	151	NA	NA	NA	belmar1902el-cuicateco	NA
5525	tepe03	rojo	kuaa	kuaa	152	NA	NA	NA	belmar1902el-cuicateco	NA
5526	tepe03	verde	kuee	kuee	153	NA	NA	NA	belmar1902el-cuicateco	NA
5527	tepe03	amarillo	kuan	kuan	154	NA	NA	NA	belmar1902el-cuicateco	NA
5528	tepe03	negro	kuain	kuain	155	NA	NA	NA	belmar1902el-cuicateco	NA
5529	tepe03	blanco	kuá	kuá	156	NA	NA	NA	belmar1902el-cuicateco	NA
5530	tepe03	uno	ama	ama	157	NA	NA	NA	belmar1902el-cuicateco	NA
5531	tepe03	dos	ubi	ubi	158	NA	NA	NA	belmar1902el-cuicateco	NA
5532	tepe03	tres	inu	inu	159	NA	NA	NA	belmar1902el-cuicateco	NA
5533	tepe03	cuatro	hun	hun	160	NA	NA	NA	belmar1902el-cuicateco	NA
5534	tepe03	cinco	hun	hun	161	NA	NA	NA	belmar1902el-cuicateco	NA
5535	tepe03	seis	han	han	162	NA	NA	NA	belmar1902el-cuicateco	NA
5536	tepe03	siete	ndachia	ndachia	163	NA	NA	NA	belmar1902el-cuicateco	NA
5537	tepe03	ocho	nini	nini	164	NA	NA	NA	belmar1902el-cuicateco	NA
5538	tepe03	nueve	nuu	nuu	165	NA	NA	NA	belmar1902el-cuicateco	NA
5539	tepe03	diez	ndichi	ndichi	166	NA	NA	NA	belmar1902el-cuicateco	NA
5540	tepe03	quince	nditiñu	nditiñu	167	NA	NA	NA	belmar1902el-cuicateco	NA
5541	tepe03	veinte	ndiku	ndiku	168	NA	NA	NA	belmar1902el-cuicateco	NA
5542	tepe03	pobre	nguaa	nguaa	169	NA	NA	NA	belmar1902el-cuicateco	NA
5543	tepe03	rico	kuika	kuika	170	NA	NA	NA	belmar1902el-cuicateco	NA
5544	tepe03	frío	ichia	ichia	171	NA	NA	NA	belmar1902el-cuicateco	NA
5545	tepe03	grande	chiata	chiata	173	NA	NA	NA	belmar1902el-cuicateco	NA
5546	tepe03	pequeño	lin	lin	175	NA	NA	NA	belmar1902el-cuicateco	NA
5547	tepe03	pequeño	dubi	dubi	175	NA	NA	NA	belmar1902el-cuicateco	NA
5548	tepe03	largo	chianu	chianu	177	NA	NA	NA	belmar1902el-cuicateco	NA
5549	tepe03	bueno	daka	daka	179	NA	NA	NA	belmar1902el-cuicateco	NA
5550	tepe03	dulce	chiadi	chiadi	180	NA	NA	NA	belmar1902el-cuicateco	NA
5551	tepe03	amargo	ya	ya	182	NA	NA	NA	belmar1902el-cuicateco	NA
5552	tepe03	ancho	chanu	chanu	184	NA	NA	NA	belmar1902el-cuicateco	NA
5553	tepe03	nuevo	ngai	ngai	185	NA	NA	NA	belmar1902el-cuicateco	NA
5554	tepe03	flojo, perezoso	chidandi	chidandi	186	NA	NA	NA	belmar1902el-cuicateco	NA
