ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6433	tepo11	CHILD (DESCENDANT)	hijo/hija	đaʔya	đaʔya	5	1801	NA	NA	josserand1983mixtec	NA
6547	tepo11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6674	tepo11	MAN	hombre	tai	tai	13	1554	NA	NA	josserand1983mixtec	NA
6673	tepo11	MAN	hombre	yee	yee	13	1554	NA	NA	josserand1983mixtec	NA
6767	tepo11	OWNER	dueño	stoʔo	stoʔo	15	1036	NA	NA	josserand1983mixtec	NA
6852	tepo11	OWNER	cura, padre, jefe	đutu	đutu	15	1036	NA	NA	josserand1983mixtec	NA
6967	tepo11	BLOOD	sangre	nȩñȩ	nȩñȩ	17	946	NA	NA	josserand1983mixtec	NA
7062	tepo11	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380	NA	NA	josserand1983mixtec	NA
7153	tepo11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7265	tepo11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7381	tepo11	NOSE	nariz	đi̧tni̧	đi̧tni̧	25	1221	NA	NA	josserand1983mixtec	NA
7496	tepo11	NOSE	cuello	đuke	đuke	25	1221	NA	NA	josserand1983mixtec	NA
7614	tepo11	FINGERNAIL	uña	tnȩȩ	tnȩȩ	28	1258	NA	NA	josserand1983mixtec	NA
7615	tepo11	FINGERNAIL	uña	tni̧i̧	tni̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7730	tepo11	INTESTINES	tripas	site	site	31	1991	NA	NA	josserand1983mixtec	NA
7850	tepo11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7966	tepo11	DISEASE	enfermedad	kʷaʔi	kʷaʔi	33	1986	NA	NA	josserand1983mixtec	NA
8067	tepo11	SWELLING	hinchazón	te-kʷeye	te-kʷeye	35	1903	NA	NA	josserand1983mixtec	NA
8175	tepo11	SWELLING	grano	ⁿdeke	ⁿdeke	35	1903	NA	NA	josserand1983mixtec	NA
8289	tepo11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8365	tepo11	URINE	orina	ⁿdute-đađa	ⁿdute-đađa	38	1142	NA	NA	josserand1983mixtec	NA
8471	tepo11	SANDAL	huarache	ⁿdisa̧	ⁿdisa̧	40	NA	NA	NA	josserand1983mixtec	NA
8555	tepo11	TROUSERS	calzón, pantalón	satu	satu	41	809	NA	NA	josserand1983mixtec	NA
8630	tepo11	BLOUSE (WOVEN)	huipil	điko	điko	42	NA	NA	NA	josserand1983mixtec	NA
8736	tepo11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8851	tepo11	HOUSE	casa	waʔi	waʔi	44	1252	NA	NA	josserand1983mixtec	NA
8942	tepo11	PATH	pierna	đeʔe	đeʔe	45	2252	NA	NA	josserand1983mixtec	NA
8941	tepo11	PATH	horcón	sako	sako	45	2252	NA	NA	josserand1983mixtec	NA
9060	tepo11	MAT	petate	yuwi	yuwi	47	195	NA	NA	josserand1983mixtec	NA
9176	tepo11	BED	cama	sito	sito	48	1663	NA	NA	josserand1983mixtec	NA
9297	tepo11	STOOL	altar	tayu	tayu	49	2058	NA	NA	josserand1983mixtec	NA
9415	tepo11	ANIMAL	animal	kete	kete	50	619	NA	NA	josserand1983mixtec	NA
10187	tepo11	ANIMAL	rata	tnȩñȩ	tnȩñȩ	50	619	NA	NA	josserand1983mixtec	NA
9532	tepo11	BIRD	pájaro	đaa	đaa	51	937	NA	NA	josserand1983mixtec	NA
10311	tepo11	BIRD	venado	iđu	iđu	51	937	NA	NA	josserand1983mixtec	NA
