ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6434	tida11	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6548	tida11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6675	tida11	hombre	čee	čee	13	NA	NA	NA	josserand1983mixtec	NA
6768	tida11	dueño	stoʔo	stoʔo	15	NA	NA	NA	josserand1983mixtec	NA
6853	tida11	sacerdote	đutu	đutu	16	NA	NA	NA	josserand1983mixtec	NA
6968	tida11	sangre	ni̧i̧	ni̧i̧	17	NA	NA	NA	josserand1983mixtec	NA
7063	tida11	diente	nu̧ʔu̧	nu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7154	tida11	boca	žuʔu	žuʔu	23	NA	NA	NA	josserand1983mixtec	NA
7266	tida11	oreja	đoʔo	đoʔo	24	NA	NA	NA	josserand1983mixtec	NA
7382	tida11	nariz	đi̧tni̧	đi̧tni̧	25	NA	NA	NA	josserand1983mixtec	NA
7497	tida11	cuello	đukᵑu̧	đukᵑu̧	26	NA	NA	NA	josserand1983mixtec	NA
7616	tida11	uña	ti-tni̧i̧	ti-tni̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7731	tida11	tripas	šiti	šiti	31	NA	NA	NA	josserand1983mixtec	NA
7851	tida11	pie	saʔa	saʔa	32	NA	NA	NA	josserand1983mixtec	NA
7967	tida11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8068	tida11	hinchazón	kʷi̧u̧	kʷi̧u̧	35	NA	NA	NA	josserand1983mixtec	NA
8176	tida11	grano	ⁿdiʔi	ⁿdiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8290	tida11	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8366	tida11	orina	đeđe	đeđe	38	NA	NA	NA	josserand1983mixtec	NA
8472	tida11	huarache	ⁿǰisa̧	ⁿǰisa̧	40	NA	NA	NA	josserand1983mixtec	NA
8556	tida11	calzón, pantalón	satu	satu	41	NA	NA	NA	josserand1983mixtec	NA
8737	tida11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8852	tida11	casa	weʔe	weʔe	44	NA	NA	NA	josserand1983mixtec	NA
8943	tida11	horcón	đi̧ʔi̧	đi̧ʔi̧	46	NA	NA	NA	josserand1983mixtec	NA
9061	tida11	petate	žuu	žuu	47	NA	NA	NA	josserand1983mixtec	NA
9177	tida11	cama	šito	šito	48	NA	NA	NA	josserand1983mixtec	NA
9298	tida11	banquito	(ti)teyu	titeyu	49	NA	NA	NA	josserand1983mixtec	NA
9416	tida11	animal	kiti	kiti	50	NA	NA	NA	josserand1983mixtec	NA
9533	tida11	pájaro	ti-đaa	ti-đaa	51	NA	NA	NA	josserand1983mixtec	NA
9625	tida11	culebra	koo	koo	53	NA	NA	NA	josserand1983mixtec	NA
9876	tida11	gavilán	ña̧ʔwi̧	ña̧ʔwi̧	55	NA	NA	NA	josserand1983mixtec	NA
9874	tida11	gavilán	tađu̧	tađu̧	55	NA	NA	NA	josserand1983mixtec	NA
9875	tida11	gavilán	ti-đi̧ʔa̧	ti-đi̧ʔa̧	55	NA	NA	NA	josserand1983mixtec	NA
9976	tida11	alacrán	ti-đu̧ʔa̧	ti-đu̧ʔa̧	56	NA	NA	NA	josserand1983mixtec	NA
10059	tida11	cucaracha	ti-đita	ti-đita	57	NA	NA	NA	josserand1983mixtec	NA
10188	tida11	rata	tni̧i̧	tni̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10312	tida11	venado	iđu	iđu	61	NA	NA	NA	josserand1983mixtec	NA
10426	tida11	ardilla	ti-kʷa̧i̧	ti-kʷa̧i̧	62	NA	NA	NA	josserand1983mixtec	NA
10553	tida11	gato	wilu	wilu	69	NA	NA	NA	josserand1983mixtec	NA
10669	tida11	cuerno	ⁿdiki	ⁿdiki	76	NA	NA	NA	josserand1983mixtec	NA
10787	tida11	pluma	tnu̧u̧	tnu̧u̧	77	NA	NA	NA	josserand1983mixtec	NA
10880	tida11	ala	ⁿǰisi̧	ⁿǰisi̧	78	NA	NA	NA	josserand1983mixtec	NA
10993	tida11	cola	đu̧ʔa	đu̧ʔa	79	NA	NA	NA	josserand1983mixtec	NA
10994	tida11	cola	đu̧ʔmȩ	đu̧ʔmȩ	79	NA	NA	NA	josserand1983mixtec	NA
11115	tida11	árbol	žutnu̧	žutnu̧	80	NA	NA	NA	josserand1983mixtec	NA
11214	tida11	campo	kuʔu	kuʔu	81	NA	NA	NA	josserand1983mixtec	NA
11213	tida11	hierba	žuku	žuku	81	NA	NA	NA	josserand1983mixtec	NA
11334	tida11	maguey	yaƀi	yaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11333	tida11	maguey	žawi	žawi	84	NA	NA	NA	josserand1983mixtec	NA
11451	tida11	maíz	nu̧ni̧	nu̧ni̧	87	NA	NA	NA	josserand1983mixtec	NA
11567	tida11	milpa	wi(y)u	wiyu	88	NA	NA	NA	josserand1983mixtec	NA
11689	tida11	masa	žusa̧	žusa̧	91	NA	NA	NA	josserand1983mixtec	NA
11810	tida11	tortilla	đita	đita	92	NA	NA	NA	josserand1983mixtec	NA
11907	tida11	rastrojo	ña̧w̃a̧	ña̧w̃a̧	93	NA	NA	NA	josserand1983mixtec	NA
11992	tida11	surco	žuku̧	žuku̧	94	NA	NA	NA	josserand1983mixtec	NA
12082	tida11	espiga	žoko	žoko	95	NA	NA	NA	josserand1983mixtec	NA
12190	tida11	frijol(es)	ⁿduči	ⁿduči	96	NA	NA	NA	josserand1983mixtec	NA
12283	tida11	ejote	ⁿǰiči	ⁿǰiči	97	NA	NA	NA	josserand1983mixtec	NA
12398	tida11	sal	ñi̧i̧	ñi̧i̧	99	NA	NA	NA	josserand1983mixtec	NA
12509	tida11	calabaza	žikʔi̧	žikʔi̧	100	NA	NA	NA	josserand1983mixtec	NA
12623	tida11	caña	ⁿdoo	ⁿdoo	102	NA	NA	NA	josserand1983mixtec	NA
12742	tida11	miel	ⁿduđi	ⁿduđi	103	NA	NA	NA	josserand1983mixtec	NA
12865	tida11	blanquillo, huevo	ⁿdiwi	ⁿdiwi	105	NA	NA	NA	josserand1983mixtec	NA
12958	tida11	jitomate	ti-na̧na̧	ti-na̧na̧	106	NA	NA	NA	josserand1983mixtec	NA
13045	tida11	nopal	wi̧ʔⁿde	wi̧ʔⁿde	110	NA	NA	NA	josserand1983mixtec	NA
13126	tida11	mamey	ⁿǰika	ⁿǰika	111	NA	NA	NA	josserand1983mixtec	NA
13241	tida11	carne	ku̧ñu̧	ku̧ñu̧	114	NA	NA	NA	josserand1983mixtec	NA
13362	tida11	comal	šio	šio	115	NA	NA	NA	josserand1983mixtec	NA
13361	tida11	comal	šoo	šoo	115	NA	NA	NA	josserand1983mixtec	NA
13457	tida11	olla	kiđi	kiđi	116	NA	NA	NA	josserand1983mixtec	NA
13558	tida11	horno	šitNu̧	šitNu̧	117	NA	NA	NA	josserand1983mixtec	NA
13673	tida11	lumbre	ñu̧ʔu̧	ñu̧ʔu̧	118	NA	NA	NA	josserand1983mixtec	NA
13795	tida11	humo	ñu̧ʔa̧	ñu̧ʔa̧	121	NA	NA	NA	josserand1983mixtec	NA
13893	tida11	basura	w̃i̧ʔi̧	w̃i̧ʔi̧	122	NA	NA	NA	josserand1983mixtec	NA
14013	tida11	jícara	žaši̧	žaši̧	124	NA	NA	NA	josserand1983mixtec	NA
14121	tida11	cajón	satnu̧	satnu̧	126	NA	NA	NA	josserand1983mixtec	NA
