ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6552	tlac12	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6678	tlac12	hombre	ȼaa	ȼaa	13	NA	NA	NA	josserand1983mixtec	NA
6971	tlac12	sangre	nì̧ì̧	nì̧ì̧	17	NA	NA	NA	josserand1983mixtec	NA
7157	tlac12	boca	žüʔü	žüʔü	23	NA	NA	NA	josserand1983mixtec	NA
7269	tlac12	oreja	sòʔó	sòʔó	24	NA	NA	NA	josserand1983mixtec	NA
7385	tlac12	nariz	šìtì	šìtì	25	NA	NA	NA	josserand1983mixtec	NA
7619	tlac12	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7734	tlac12	tripas	ṣiti	ṣiti	31	NA	NA	NA	josserand1983mixtec	NA
8071	tlac12	hinchazón	ña̧ñu̧	ña̧ñu̧	35	NA	NA	NA	josserand1983mixtec	NA
8559	tlac12	calzón, pantalón	sʸatü	sʸatü	41	NA	NA	NA	josserand1983mixtec	NA
9064	tlac12	petate	žìƀì	žìƀì	47	NA	NA	NA	josserand1983mixtec	NA
9301	tlac12	banquito	ȼʸee	ȼʸee	49	NA	NA	NA	josserand1983mixtec	NA
10191	tlac12	rata	čì̧í̧	čì̧í̧	60	NA	NA	NA	josserand1983mixtec	NA
10315	tlac12	venado	ʔusi	ʔusi	61	NA	NA	NA	josserand1983mixtec	NA
10790	tlac12	pluma	tù̧mi̧	tù̧mi̧	77	NA	NA	NA	josserand1983mixtec	NA
10883	tlac12	ala	ⁿdʸisi	ⁿdʸisi	78	NA	NA	NA	josserand1983mixtec	NA
11219	tlac12	hierba	žükü	žükü	81	NA	NA	NA	josserand1983mixtec	NA
11337	tlac12	maguey	žāƀì	žāƀì	84	NA	NA	NA	josserand1983mixtec	NA
11454	tlac12	maíz	nù̧ñí̧	nù̧ñí̧	87	NA	NA	NA	josserand1983mixtec	NA
11571	tlac12	milpa	ʔütü	ʔütü	88	NA	NA	NA	josserand1983mixtec	NA
11692	tlac12	masa	žusʸa	žusʸa	91	NA	NA	NA	josserand1983mixtec	NA
11813	tlac12	tortilla	šìtà	šìtà	92	NA	NA	NA	josserand1983mixtec	NA
11995	tlac12	surco	žiku̧	žiku̧	94	NA	NA	NA	josserand1983mixtec	NA
12085	tlac12	espiga	žoko	žoko	95	NA	NA	NA	josserand1983mixtec	NA
12193	tlac12	frijol(es)	ⁿdūčì	ⁿdūčì	96	NA	NA	NA	josserand1983mixtec	NA
