ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6437	tlal11	hijo/hija	đeʔe	đeʔe	6	NA	NA	NA	josserand1983mixtec	NA
6553	tlal11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6679	tlal11	hombre	tee	tee	13	NA	NA	NA	josserand1983mixtec	NA
6771	tlal11	dueño	tee-đeʔe-ši	tee-đeʔe-ši	15	NA	NA	NA	josserand1983mixtec	NA
6856	tlal11	sacerdote	i-đutu	i-đutu	16	NA	NA	NA	josserand1983mixtec	NA
6972	tlal11	sangre	ní̧í̧	ní̧í̧	17	NA	NA	NA	josserand1983mixtec	NA
7066	tlal11	diente	nu̧ʔu̧	nu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7158	tlal11	boca	žuʔu	žuʔu	23	NA	NA	NA	josserand1983mixtec	NA
7270	tlal11	oreja	tutnu̧	tutnu̧	24	NA	NA	NA	josserand1983mixtec	NA
7386	tlal11	nariz	đitni̧	đitni̧	25	NA	NA	NA	josserand1983mixtec	NA
7620	tlal11	uña	čiu	čiu	28	NA	NA	NA	josserand1983mixtec	NA
7735	tlal11	tripas	či-lipa	či-lipa	31	NA	NA	NA	josserand1983mixtec	NA
7970	tlal11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8179	tlal11	grano	ⁿǰiʔi	ⁿǰiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8293	tlal11	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8475	tlal11	huarache	ⁿčaa	ⁿčaa	40	NA	NA	NA	josserand1983mixtec	NA
8560	tlal11	calzón, pantalón	satu-ma̧a̧	satu-ma̧a̧	41	NA	NA	NA	josserand1983mixtec	NA
8740	tlal11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8855	tlal11	casa	ƀeʔe	ƀeʔe	44	NA	NA	NA	josserand1983mixtec	NA
8946	tlal11	horcón	aʳku	aʳku	46	NA	NA	NA	josserand1983mixtec	NA
9065	tlal11	petate	yuƀi	yuƀi	47	NA	NA	NA	josserand1983mixtec	NA
9180	tlal11	cama	šito	šito	48	NA	NA	NA	josserand1983mixtec	NA
9302	tlal11	banquito	tai-teʔe	tai-teʔe	49	NA	NA	NA	josserand1983mixtec	NA
9419	tlal11	animal	kiȼi	kiȼi	50	NA	NA	NA	josserand1983mixtec	NA
9536	tlal11	pájaro	či-đaa	či-đaa	51	NA	NA	NA	josserand1983mixtec	NA
9628	tlal11	culebra	koo	koo	53	NA	NA	NA	josserand1983mixtec	NA
9744	tlal11	rana	sabu	sabu	54	NA	NA	NA	josserand1983mixtec	NA
9881	tlal11	gavilán	tađu	tađu	55	NA	NA	NA	josserand1983mixtec	NA
10192	tlal11	rata	či-tni̧i̧	či-tni̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10317	tlal11	venado	ȼi-kʷaa	ȼi-kʷaa	61	NA	NA	NA	josserand1983mixtec	NA
10316	tlal11	venado	sa-kʷaa	sa-kʷaa	61	NA	NA	NA	josserand1983mixtec	NA
10555	tlal11	gato	(mi̧tu)	mi̧tu	69	NA	NA	NA	josserand1983mixtec	NA
10673	tlal11	cuerno	ⁿǰiki	ⁿǰiki	76	NA	NA	NA	josserand1983mixtec	NA
10672	tlal11	cuerno	nyiki	nyiki	76	NA	NA	NA	josserand1983mixtec	NA
10791	tlal11	pluma	tnu̧mi̧	tnu̧mi̧	77	NA	NA	NA	josserand1983mixtec	NA
10884	tlal11	ala	ⁿǰi̧i̧	ⁿǰi̧i̧	78	NA	NA	NA	josserand1983mixtec	NA
10997	tlal11	cola	đu̧ʔma̧	đu̧ʔma̧	79	NA	NA	NA	josserand1983mixtec	NA
11118	tlal11	árbol	yutnu̧	yutnu̧	80	NA	NA	NA	josserand1983mixtec	NA
11220	tlal11	hierba	kuʔƀi	kuʔƀi	81	NA	NA	NA	josserand1983mixtec	NA
11338	tlal11	maguey	yaƀi	yaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11455	tlal11	maíz	nu̧ni̧	nu̧ni̧	87	NA	NA	NA	josserand1983mixtec	NA
11572	tlal11	milpa	ⁿdiʔo	ⁿdiʔo	88	NA	NA	NA	josserand1983mixtec	NA
11693	tlal11	masa	ñu̧sa̧	ñu̧sa̧	91	NA	NA	NA	josserand1983mixtec	NA
11814	tlal11	tortilla	đita	đita	92	NA	NA	NA	josserand1983mixtec	NA
11910	tlal11	rastrojo	na̧struxu	na̧struxu	93	NA	NA	NA	josserand1983mixtec	NA
11996	tlal11	surco	koo	koo	94	NA	NA	NA	josserand1983mixtec	NA
12194	tlal11	frijol(es)	ⁿduči	ⁿduči	96	NA	NA	NA	josserand1983mixtec	NA
12402	tlal11	sal	í̧í̧	í̧í̧	99	NA	NA	NA	josserand1983mixtec	NA
12513	tlal11	calabaza	iki̧	iki̧	100	NA	NA	NA	josserand1983mixtec	NA
12626	tlal11	caña	ⁿdoo	ⁿdoo	102	NA	NA	NA	josserand1983mixtec	NA
12746	tlal11	miel	ƀiđi	ƀiđi	103	NA	NA	NA	josserand1983mixtec	NA
