ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6438	tlaz11	CHILD (DESCENDANT)	hijo/hija	đaʔža	đaʔža	5	1801	NA	NA	josserand1983mixtec	NA
6554	tlaz11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6680	tlaz11	MAN	hombre	tee	tee	13	1554	NA	NA	josserand1983mixtec	NA
6772	tlaz11	OWNER	dueño	ši-toʔo	ši-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6857	tlaz11	OWNER	sacerdote	đutu	đutu	15	1036	NA	NA	josserand1983mixtec	NA
6973	tlaz11	BLOOD	sangre	nɨ̧̀ñɨ̧̀	nɨ̧̀ñɨ̧̀	17	946	NA	NA	josserand1983mixtec	NA
7067	tlaz11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7159	tlaz11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7271	tlaz11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7387	tlaz11	NOSE	nariz	đitni̧	đitni̧	25	1221	NA	NA	josserand1983mixtec	NA
7500	tlaz11	NOSE	cuello	đuku̧	đuku̧	25	1221	NA	NA	josserand1983mixtec	NA
7621	tlaz11	FINGERNAIL	uña	čɨ̧ɨ̧	čɨ̧ɨ̧	28	1258	NA	NA	josserand1983mixtec	NA
7736	tlaz11	INTESTINES	tripas	šɨtɨ	šɨtɨ	31	1991	NA	NA	josserand1983mixtec	NA
7854	tlaz11	FOOT	pie	seʔe	seʔe	32	1301	NA	NA	josserand1983mixtec	NA
7971	tlaz11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
