ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6440	toto12	CHILD (DESCENDANT)	hijo/hija	đeʔe	đeʔe	5	1801	NA	NA	josserand1983mixtec	NA
6556	toto12	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6682	toto12	MAN	hombre	tʸaa	tʸaa	13	1554	NA	NA	josserand1983mixtec	NA
6975	toto12	BLOOD	sangre	ni̧i̧	ni̧i̧	17	946	NA	NA	josserand1983mixtec	NA
7273	toto12	EAR	oreja	tutni̧	tutni̧	24	1247	NA	NA	josserand1983mixtec	NA
7389	toto12	NOSE	nariz	đitni̧	đitni̧	25	1221	NA	NA	josserand1983mixtec	NA
7502	toto12	NOSE	cuello	đuku̧	đuku̧	25	1221	NA	NA	josserand1983mixtec	NA
7623	toto12	FINGERNAIL	uña	čȩȩ	čȩȩ	28	1258	NA	NA	josserand1983mixtec	NA
7738	toto12	INTESTINES	estómago	a̧ni̧ma̧	a̧ni̧ma̧	31	1991	NA	NA	josserand1983mixtec	NA
7739	toto12	INTESTINES	dentro	i̧ni̧	i̧ni̧	31	1991	NA	NA	josserand1983mixtec	NA
7856	toto12	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7973	toto12	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8182	toto12	SWELLING	grano	ⁿsiʔi	ⁿsiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8296	toto12	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8478	toto12	SANDAL	huarache	ⁿdisa̧	ⁿdisa̧	40	NA	NA	NA	josserand1983mixtec	NA
8743	toto12	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8858	toto12	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
9068	toto12	MAT	petate	yuui	yuui	47	195	NA	NA	josserand1983mixtec	NA
9183	toto12	BED	cama	kama	kama	48	1663	NA	NA	josserand1983mixtec	NA
9305	toto12	STOOL	banquito	siyeta	siyeta	49	2058	NA	NA	josserand1983mixtec	NA
9422	toto12	ANIMAL	animal	kisi	kisi	50	619	NA	NA	josserand1983mixtec	NA
10196	toto12	ANIMAL	rata	si-tni̧i̧	si-tni̧i̧	50	619	NA	NA	josserand1983mixtec	NA
9539	toto12	BIRD	pájaro	laa	laa	51	937	NA	NA	josserand1983mixtec	NA
10320	toto12	BIRD	venado	sa-kʷaa	sa-kʷaa	51	937	NA	NA	josserand1983mixtec	NA
