ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
2056	xaya11	child	đèʔē	đèʔē	5	NA	NA	NA	durr1987preliminary	NA
6442	xaya11	hijo/hija	đeʔe	đeʔe	6	NA	NA	NA	josserand1983mixtec	NA
2070	xaya11	cross-sex sibling	kùʔā	kùʔā	8	NA	NA	NA	durr1987preliminary	NA
2081	xaya11	brother of man	ñānī	ñānī	9	NA	NA	NA	durr1987preliminary	NA
6558	xaya11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
2093	xaya11	sister of woman	kùʔù	kùʔù	10	NA	NA	NA	durr1987preliminary	NA
2105	xaya11	aunt	đīđī	đīđī	11	NA	NA	NA	durr1987preliminary	NA
2119	xaya11	uncle	đītò	đītò	12	NA	NA	NA	durr1987preliminary	NA
2131	xaya11	man	tʸàā	tʸàā	13	NA	NA	NA	durr1987preliminary	NA
6684	xaya11	hombre	tʸaa	tʸaa	13	NA	NA	NA	josserand1983mixtec	NA
2139	xaya11	woman	ñā̧ʔà̧	ñā̧ʔà̧	14	NA	NA	NA	durr1987preliminary	NA
6977	xaya11	sangre	ni̧i̧	ni̧i̧	17	NA	NA	NA	josserand1983mixtec	NA
2157	xaya11	face	nùù	nùù	20	NA	NA	NA	durr1987preliminary	NA
2168	xaya11	tongue	yàá	yàá	21	NA	NA	NA	durr1987preliminary	NA
7275	xaya11	oreja	tutnu̧	tutnu̧	24	NA	NA	NA	josserand1983mixtec	NA
7391	xaya11	nariz	đitni̧	đitni̧	25	NA	NA	NA	josserand1983mixtec	NA
7504	xaya11	cuello	đuku̧	đuku̧	26	NA	NA	NA	josserand1983mixtec	NA
2210	xaya11	hand	ⁿdāʔà 	ⁿdāʔà 	27	NA	NA	NA	durr1987preliminary	NA
2222	xaya11	fingernail	čī̧ī̧	čī̧ī̧	28	NA	NA	NA	durr1987preliminary	NA
7625	xaya11	uña	či̧i̧ⁿ	či̧i̧ⁿ	28	NA	NA	NA	josserand1983mixtec	NA
7741	xaya11	tripas	(tiši)	tiši	31	NA	NA	NA	josserand1983mixtec	NA
7858	xaya11	pie	saʔa	saʔa	32	NA	NA	NA	josserand1983mixtec	NA
7975	xaya11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8184	xaya11	grano	ⁿsiʔi	ⁿsiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8298	xaya11	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
2268	xaya11	clothes	đāʔmà̧ 	đāʔmà̧ 	39	NA	NA	NA	durr1987preliminary	NA
2277	xaya11	sandal	ⁿdìsà̧	ⁿdìsà̧	40	NA	NA	NA	durr1987preliminary	NA
8480	xaya11	huarache	ⁿdisa̧	ⁿdisa̧	40	NA	NA	NA	josserand1983mixtec	NA
8745	xaya11	pueblo	ñuu	ñuu	43	NA	NA	NA	josserand1983mixtec	NA
2303	xaya11	house	ƀēʔē	ƀēʔē	44	NA	NA	NA	durr1987preliminary	NA
8860	xaya11	casa	ƀeʔe	ƀeʔe	44	NA	NA	NA	josserand1983mixtec	NA
2327	xaya11	straw mat	yūì	yūì	47	NA	NA	NA	durr1987preliminary	NA
9070	xaya11	petate	žui	žui	47	NA	NA	NA	josserand1983mixtec	NA
9185	xaya11	cama	kama	kama	48	NA	yes	Spanish	josserand1983mixtec	NA
9307	xaya11	banquito	tei	tei	49	NA	NA	NA	josserand1983mixtec	NA
2349	xaya11	animal	kīsì 	kīsì 	50	NA	NA	NA	durr1987preliminary	NA
9424	xaya11	animal	kisi	kisi	50	NA	NA	NA	josserand1983mixtec	NA
9541	xaya11	pájaro	si-laa	si-laa	51	NA	NA	NA	josserand1983mixtec	NA
2374	xaya11	fish	s-yākā	s-yākā	52	animal-fish	NA	NA	durr1987preliminary	NA
2386	xaya11	snake	kòò	kòò	53	NA	NA	NA	durr1987preliminary	NA
9749	xaya11	rana	si-đikʷi	si-đikʷi	54	NA	NA	NA	josserand1983mixtec	NA
10198	xaya11	rata	si-tni̧i̧	si-tni̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10322	xaya11	venado	sa-kʷaa	sa-kʷaa	61	NA	NA	NA	josserand1983mixtec	NA
10433	xaya11	ardilla	si-mu̧tu	si-mu̧tu	62	NA	maybe partial	NA	josserand1983mixtec	NA
2420	xaya11	dog	sì-īnà	sì-īnà	68	animal-dog	NA	NA	durr1987preliminary	NA
10560	xaya11	gato	(čitu)	čitu	69	NA	NA	NA	josserand1983mixtec	NA
2427	xaya11	horse	īđū 	īđū 	73	NA	NA	NA	durr1987preliminary	NA
10678	xaya11	cuerno	ⁿsiki	ⁿsiki	76	NA	NA	NA	josserand1983mixtec	NA
10796	xaya11	pluma	tnu̧mi̧	tnu̧mi̧	77	NA	NA	NA	josserand1983mixtec	NA
11002	xaya11	cola	ⁿdoʔo	ⁿdoʔo	79	NA	NA	NA	josserand1983mixtec	NA
11123	xaya11	árbol	žutnu̧	žutnu̧	80	NA	NA	NA	josserand1983mixtec	NA
11343	xaya11	maguey	yaƀi	yaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11460	xaya11	maíz	nu̧ni̧	nu̧ni̧	87	NA	NA	NA	josserand1983mixtec	NA
11577	xaya11	milpa	čitu	čitu	88	NA	NA	NA	josserand1983mixtec	NA
11698	xaya11	masa	žusa̧	žusa̧	91	NA	NA	NA	josserand1983mixtec	NA
2478	xaya11	tortilla	đìtà 	đìtà 	92	NA	NA	NA	durr1987preliminary	NA
11819	xaya11	tortilla	đita	đita	92	NA	NA	NA	josserand1983mixtec	NA
12199	xaya11	frijol(es)	ⁿduči	ⁿduči	96	NA	NA	NA	josserand1983mixtec	NA
12407	xaya11	sal	i̧ñi̧	i̧ñi̧	99	NA	NA	NA	josserand1983mixtec	NA
12518	xaya11	calabaza	iki̧	iki̧	100	NA	NA	NA	josserand1983mixtec	NA
12631	xaya11	caña	ⁿdoo	ⁿdoo	102	NA	NA	NA	josserand1983mixtec	NA
12752	xaya11	miel	ⁿduđi	ⁿduđi	103	NA	NA	NA	josserand1983mixtec	NA
12874	xaya11	blanquillo, huevo	ⁿsiƀi	ⁿsiƀi	105	NA	NA	NA	josserand1983mixtec	NA
13250	xaya11	carne	ku̧ñu̧	ku̧ñu̧	114	NA	NA	NA	josserand1983mixtec	NA
13371	xaya11	comal	šio	šio	115	NA	NA	NA	josserand1983mixtec	NA
13566	xaya11	horno	šitnu̧	šitnu̧	117	NA	NA	NA	josserand1983mixtec	NA
13681	xaya11	lumbre	ñu̧ʔu̧	ñu̧ʔu̧	118	NA	NA	NA	josserand1983mixtec	NA
