ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
173	yolo11	MOTHER	madre	si'³i⁴	si'³i⁴	1	1216	NA	NA	amith2020yoloxochitl	NA
174	yolo11	FATHER	padre	yu³ba⁴	yu³ba⁴	3	1217	NA	NA	amith2020yoloxochitl	NA
6444	yolo11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
175	yolo11	CHILD (DESCENDANT)	hijo/hija	se'¹e³	se'¹e³	5	1801	NA	NA	amith2020yoloxochitl	NA
176	yolo11	CROSS-SEX SIBLING	hermana/hermano de otro genero	ku'¹ba³	ku'¹ba³	8	NA	NA	NA	amith2020yoloxochitl	NA
6560	yolo11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
177	yolo11	BROTHER (OF MAN)	hermano de hombre	ya³ni²	ya³ni²	9	559	NA	NA	amith2020yoloxochitl	NA
178	yolo11	SISTER (OF WOMAN)	hermana de mujer	ku'¹bi¹	ku'¹bi¹	10	NA	NA	NA	amith2020yoloxochitl	NA
179	yolo11	AUNT	tía	xi³xi²	xi³xi²	11	1272	NA	NA	amith2020yoloxochitl	NA
180	yolo11	UNCLE	tío	xi³to²	xi³to²	12	1327	NA	NA	amith2020yoloxochitl	NA
6686	yolo11	MAN	hombre	tíaa	tíaa	13	1554	NA	NA	josserand1983mixtec	NA
181	yolo11	MAN	hombre	ta¹a³	ta¹a³	13	1554	NA	NA	amith2020yoloxochitl	NA
182	yolo11	WOMAN	mujer	ña'³a⁴	ña'³a⁴	14	962	NA	NA	amith2020yoloxochitl	NA
6777	yolo11	OWNER	dueño	ši-toʔo	ši-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6861	yolo11	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
183	yolo11	OWNER	dueño	is¹to'³o²	is¹to'³o²	15	1036	NA	NA	amith2020yoloxochitl	NA
184	yolo11	PRIEST	sacerdote	su¹tu¹	su¹tu¹	16	852	NA	NA	amith2020yoloxochitl	NA
6979	yolo11	BLOOD	sangre	nɨ̧́ñɨ̧́	nɨ̧́ñɨ̧́	17	946	NA	NA	josserand1983mixtec	NA
185	yolo11	BLOOD	sangre	ni¹i⁴	ni¹i⁴	17	946	NA	NA	amith2020yoloxochitl	NA
186	yolo11	BONE	hueso	i³ki⁴	i³ki⁴	18	1394	NA	NA	amith2020yoloxochitl	NA
187	yolo11	HAIR	cabello	i³xi⁴	i³xi⁴	19	1040	NA	NA	amith2020yoloxochitl	NA
188	yolo11	FACE	cara	nu¹⁴u³	nu¹⁴u³	20	1560	NA	NA	amith2020yoloxochitl	NA
189	yolo11	TONGUE	lengua	ya⁴a²⁴	ya⁴a²⁴	21	1205	NA	NA	amith2020yoloxochitl	NA
7071	yolo11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
190	yolo11	TOOTH	diente	nu'¹u³	nu'¹u³	22	1380	NA	NA	amith2020yoloxochitl	NA
7163	yolo11	MOUTH	boca	žuʔu	žuʔu	23	674	NA	NA	josserand1983mixtec	NA
191	yolo11	MOUTH	boca	yu'³u⁴	yu'³u⁴	23	674	NA	NA	amith2020yoloxochitl	NA
7277	yolo11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
192	yolo11	EAR	oreja	so'¹o³	so'¹o³	24	1247	NA	NA	amith2020yoloxochitl	NA
7393	yolo11	NOSE	nariz	šitNi̧	šitNi̧	25	1221	NA	NA	josserand1983mixtec	NA
7506	yolo11	NOSE	cuello	suku̧	suku̧	25	1221	NA	NA	josserand1983mixtec	NA
193	yolo11	NOSE	nariz	is¹tin⁴	is¹tin⁴	25	1221	NA	NA	amith2020yoloxochitl	NA
194	yolo11	NECK	cuello	su¹kun⁴	su¹kun⁴	26	1333	NA	NA	amith2020yoloxochitl	NA
195	yolo11	HAND	mano	nda'³a⁴	nda'³a⁴	27	1277	NA	NA	amith2020yoloxochitl	NA
7627	yolo11	FINGERNAIL	uña	tNi̧ño̧	tNi̧ño̧	28	1258	NA	NA	josserand1983mixtec	NA
196	yolo11	FINGERNAIL	uña	chi⁴in²⁴	chi⁴in²⁴	28	1258	NA	NA	amith2020yoloxochitl	NA
197	yolo11	BACK	espalda	sa¹ta⁴	sa¹ta⁴	29	1291	NA	NA	amith2020yoloxochitl	NA
198	yolo11	BELLY OR STOMACH	barriga	ti¹xin³	ti¹xin³	30	2114	NA	NA	amith2020yoloxochitl	NA
7743	yolo11	INTESTINES	tripas	šɨtɨ	šɨtɨ	31	1991	NA	NA	josserand1983mixtec	NA
199	yolo11	INTESTINES	tripa, tripas	si³ti²	si³ti²	31	1991	NA	NA	amith2020yoloxochitl	NA
7860	yolo11	FOOT	pie	šaʔa	šaʔa	32	1301	NA	NA	josserand1983mixtec	NA
200	yolo11	FOOT	pie	xa'¹a⁴	xa'¹a⁴	32	1301	NA	NA	amith2020yoloxochitl	NA
7977	yolo11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
201	yolo11	DISEASE	enfermedad	kwe'¹e¹	kwe'¹e¹	33	1986	NA	NA	amith2020yoloxochitl	NA
202	yolo11	MEDICINE	medicina	ta¹tan⁴	ta¹tan⁴	34	1372	NA	NA	amith2020yoloxochitl	NA
8076	yolo11	SWELLING	hinchazón	kʷɨ̧ñɨ̧	kʷɨ̧ñɨ̧	35	1903	NA	NA	josserand1983mixtec	NA
8186	yolo11	SWELLING	grano	ⁿdɨʔɨžɨ	ⁿdɨʔɨžɨ	35	1903	NA	NA	josserand1983mixtec	NA
203	yolo11	SWELLING	hinchazón	kwi³ñu³	kwi³ñu³	35	1903	NA	NA	amith2020yoloxochitl	NA
204	yolo11	PIMPLE	grano pequeño	ndi'¹i³	ndi'¹i³	36	1809	NA	NA	amith2020yoloxochitl	NA
205	yolo11	PIMPLE	grano relativamente grande	ndu¹xa¹	ndu¹xa¹	36	1809	NA	NA	amith2020yoloxochitl	NA
8300	yolo11	PUS	pus	lakʷa	lakʷa	37	1808	NA	NA	josserand1983mixtec	NA
206	yolo11	PUS	pus, materia	nda³kwa⁴	nda³kwa⁴	37	1808	NA	NA	amith2020yoloxochitl	NA
207	yolo11	CLOTHES	servilleta	sa'³ma⁴	sa'³ma⁴	39	1895	NA	NA	amith2020yoloxochitl	NA
8482	yolo11	SANDAL	huarache	ⁿdiša	ⁿdiša	40	NA	NA	NA	josserand1983mixtec	NA
208	yolo11	SANDAL	huarache	ndi¹xan⁴	ndi¹xan⁴	40	NA	NA	NA	amith2020yoloxochitl	NA
209	yolo11	BLOUSE (WOVEN)	huipil	xi¹kun¹	xi¹kun¹	42	NA	NA	NA	amith2020yoloxochitl	NA
8747	yolo11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
210	yolo11	TOWN OR VILLAGE	pueblo	ñu³u²	ñu³u²	43	3609	NA	NA	amith2020yoloxochitl	NA
8862	yolo11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
211	yolo11	HOUSE	casa	be'³e³	be'³e³	44	1252	NA	NA	amith2020yoloxochitl	NA
8951	yolo11	PATH	horcón	sɨ̧ʔɨ̧ñɨ̧	sɨ̧ʔɨ̧ñɨ̧	45	2252	NA	NA	josserand1983mixtec	NA
212	yolo11	PATH	camino	i³chi⁴	i³chi⁴	45	2252	NA	NA	amith2020yoloxochitl	NA
213	yolo11	POST	horcón	tu⁴-si'¹in¹	tu⁴-si'¹in¹	46	281	NA	NA	amith2020yoloxochitl	NA
9072	yolo11	MAT	petate	žuu	žuu	47	195	NA	NA	josserand1983mixtec	NA
214	yolo11	MAT	petate	yu³bi⁴	yu³bi⁴	47	195	NA	NA	amith2020yoloxochitl	NA
9187	yolo11	BED	cama	šito	šito	48	1663	NA	NA	josserand1983mixtec	NA
215	yolo11	BED	cama	is¹to³	is¹to³	48	1663	NA	NA	amith2020yoloxochitl	NA
9309	yolo11	STOOL	banquito	težu	težu	49	2058	NA	NA	josserand1983mixtec	NA
216	yolo11	STOOL	silla	ta³yu²	ta³yu²	49	2058	NA	NA	amith2020yoloxochitl	NA
9426	yolo11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
10201	yolo11	ANIMAL	rata	nɨ̧ñɨ̧	nɨ̧ñɨ̧	50	619	NA	NA	josserand1983mixtec	NA
217	yolo11	ANIMAL	animal	ki³ti⁴	ki³ti⁴	50	619	NA	NA	amith2020yoloxochitl	NA
9543	yolo11	BIRD	pájaro	ti-saa	ti-saa	51	937	NA	NA	josserand1983mixtec	NA
10324	yolo11	BIRD	venado	isu	isu	51	937	NA	NA	josserand1983mixtec	NA
218	yolo11	BIRD	pájaro	sa³a²	sa³a²	51	937	NA	NA	amith2020yoloxochitl	NA
10435	yolo11	FISH	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
219	yolo11	FISH	pez	tia¹ka⁴	tia¹ka⁴	52	227	NA	NA	amith2020yoloxochitl	NA
9633	yolo11	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
220	yolo11	SNAKE	serpiente	ko¹o⁴	ko¹o⁴	53	730	NA	NA	amith2020yoloxochitl	NA
9751	yolo11	FROG	rana	saʔƀa	saʔƀa	54	503	NA	NA	josserand1983mixtec	NA
221	yolo11	FROG	rana	sa'³ba²	sa'³ba²	54	503	NA	NA	amith2020yoloxochitl	NA
9889	yolo11	HAWK	gavilán	ši̧ʔña̧	ši̧ʔña̧	55	307	NA	NA	josserand1983mixtec	NA
9890	yolo11	HAWK	á́guila	žaʔa	žaʔa	55	307	NA	NA	josserand1983mixtec	NA
9983	yolo11	HAWK	alacrán	tɨ-su̧ʔma̧	tɨ-su̧ʔma̧	55	307	NA	NA	josserand1983mixtec	NA
222	yolo11	HAWK	gavilán	ta¹su'⁴u⁴	ta¹su'⁴u⁴	55	307	NA	NA	amith2020yoloxochitl	NA
223	yolo11	SCORPION	alacrán	ti¹su'³ma²	ti¹-su'³ma²	56	1538	NA	NA	amith2020yoloxochitl	NA
10066	yolo11	COCKROACH	cucaracha	tɨ-teʔe	tɨ-teʔe	57	1575	NA	NA	josserand1983mixtec	NA
224	yolo11	COCKROACH	cucaracha	ti¹te'¹e⁴	ti¹-te'¹e⁴	57	1575	NA	NA	amith2020yoloxochitl	NA
225	yolo11	GRASSHOPPER	chapulín	ti¹ka³²	ti¹ka³²	58	607	NA	NA	amith2020yoloxochitl	NA
10562	yolo11	BEE	gato	ƀilu	ƀilu	59	665	NA	NA	josserand1983mixtec	NA
226	yolo11	BEE	abeja	ñu¹ñu⁴	ñu¹ñu⁴	59	665	NA	NA	amith2020yoloxochitl	NA
227	yolo11	MUROID (MOUSE OR RAT)	ratón, rata	ti¹⁴in³	ti¹⁴in³	60	2139	NA	NA	amith2020yoloxochitl	NA
228	yolo11	DEER	venado	i³su²	i³su²	61	1936	NA	NA	amith2020yoloxochitl	NA
229	yolo11	SQUIRREL	ardilla	ndi³kwa⁴ñu³	ndi³-kwa⁴ñu³	62	1628	NA	NA	amith2020yoloxochitl	NA
230	yolo11	SKUNK	zorrillo	ti'¹in⁴	ti'¹in⁴	63	NA	NA	NA	amith2020yoloxochitl	NA
231	yolo11	POSSUM	tlacuache	xa¹ko³²	xa¹ko³²	64	470	NA	NA	amith2020yoloxochitl	NA
232	yolo11	RACCOON	mapache	ti¹ma'⁴a²	ti¹-ma'⁴a²	65	828	NA	NA	amith2020yoloxochitl	NA
233	yolo11	RABBIT	conejo	ku³ni⁴jo²	ku³ni⁴jo²	66	1136	yes	Spanish	amith2020yoloxochitl	NA
234	yolo11	VULTURE	zopilote	pi³lo⁴	pi³lo⁴	67	1185	yes	Nahuatl	amith2020yoloxochitl	NA
235	yolo11	DOG	perro	i³na²	i³na²	68	2009	NA	NA	amith2020yoloxochitl	NA
236	yolo11	CAT	gato domestico	mis⁴tun²	mis⁴tun²	69	1208	yes	Colonial Spanish	amith2020yoloxochitl	NA
237	yolo11	ROOSTER	gallo	ndu³xi⁴ che⁴e¹³	ndu³xi⁴-che⁴e¹³	70	1511	NA	NA	amith2020yoloxochitl	NA
238	yolo11	HEN	gallina	ndu³xi⁴	ndu³xi⁴	71	1514	NA	NA	amith2020yoloxochitl	NA
239	yolo11	PIG	marrano	ki³ni²	ki³ni²	72	1337	NA	NA	amith2020yoloxochitl	NA
240	yolo11	HORSE	caballo	kwa⁴yu²	kwa⁴yu²	73	615	yes	Colonial Spanish	amith2020yoloxochitl	NA
241	yolo11	SHEEP	borrego	ndi³ka³chi³	ndi³-ka³chi³	74	1331	NA	NA	amith2020yoloxochitl	NA
10680	yolo11	ANT	cuerno	ⁿdɨkɨ	ⁿdɨkɨ	75	587	NA	NA	josserand1983mixtec	NA
242	yolo11	ANT	hormiga	tio¹ko⁴	tio¹ko⁴	75	587	NA	NA	amith2020yoloxochitl	NA
