ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6445	yolo12	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6561	yolo12	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6687	yolo12	hombre	taa	taa	13	NA	NA	NA	josserand1983mixtec	NA
6778	yolo12	dueño	is-toʔo	is-toʔo	15	NA	NA	NA	josserand1983mixtec	NA
6862	yolo12	sacerdote	sutu	sutu	16	NA	NA	NA	josserand1983mixtec	NA
6980	yolo12	sangre	nì̧í̧	nì̧í̧	17	NA	NA	NA	josserand1983mixtec	NA
7072	yolo12	diente	nu̧ʔu̧	nu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7164	yolo12	boca	yuʔu	yuʔu	23	NA	NA	NA	josserand1983mixtec	NA
7278	yolo12	oreja	soʔo	soʔo	24	NA	NA	NA	josserand1983mixtec	NA
7394	yolo12	nariz	isti̧	isti̧	25	NA	NA	NA	josserand1983mixtec	NA
7507	yolo12	cuello	suku̧	suku̧	26	NA	NA	NA	josserand1983mixtec	NA
7628	yolo12	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7744	yolo12	tripas	siti	siti	31	NA	NA	NA	josserand1983mixtec	NA
7861	yolo12	pie	saʔa	saʔa	32	NA	NA	NA	josserand1983mixtec	NA
7978	yolo12	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8077	yolo12	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	NA	NA	NA	josserand1983mixtec	NA
8187	yolo12	grano	ⁿdiʔi	ⁿdiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8301	yolo12	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8483	yolo12	huarache	ⁿdisa	ⁿdisa	40	NA	NA	NA	josserand1983mixtec	NA
8564	yolo12	calzón, pantalón	satu	satu	41	NA	NA	NA	josserand1983mixtec	NA
8636	yolo12	huipil	siku̧	siku̧	42	NA	NA	NA	josserand1983mixtec	NA
8748	yolo12	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8863	yolo12	casa	weʔe	weʔe	44	NA	NA	NA	josserand1983mixtec	NA
8952	yolo12	horcón	tu-si̧ʔi̧	tu-si̧ʔi̧	46	NA	NA	NA	josserand1983mixtec	NA
9073	yolo12	petate	yuwi	yuwi	47	NA	NA	NA	josserand1983mixtec	NA
9188	yolo12	cama	nisto	nisto	48	NA	NA	NA	josserand1983mixtec	NA
9310	yolo12	banquito	tayu	tayu	49	NA	NA	NA	josserand1983mixtec	NA
9427	yolo12	animal	kiti	kiti	50	NA	NA	NA	josserand1983mixtec	NA
9544	yolo12	pájaro	saa	saa	51	NA	NA	NA	josserand1983mixtec	NA
9634	yolo12	culebra	koo	koo	53	NA	NA	NA	josserand1983mixtec	NA
9752	yolo12	rana	saʔwa	saʔwa	54	NA	NA	NA	josserand1983mixtec	NA
9891	yolo12	gavilán	tasu̧	tasu̧	55	NA	NA	NA	josserand1983mixtec	NA
9984	yolo12	alacrán	ti-su̧ʔma̧	ti-su̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
10067	yolo12	cucaracha	ti-teʔe	ti-teʔe	57	NA	NA	NA	josserand1983mixtec	NA
10202	yolo12	rata	ti̧i̧	ti̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10325	yolo12	venado	isu	isu	61	NA	NA	NA	josserand1983mixtec	NA
10436	yolo12	ardilla	ⁿdi-kʷa̧ñu̧	ⁿdi-kʷa̧ñu̧	62	NA	NA	NA	josserand1983mixtec	NA
10563	yolo12	gato	(mi̧stu)	mi̧stu	69	NA	yes	Colonial Spanish	josserand1983mixtec	NA
10681	yolo12	cuerno	ⁿdiki	ⁿdiki	76	NA	NA	NA	josserand1983mixtec	NA
10799	yolo12	pluma	tu̧mi̧	tu̧mi̧	77	NA	NA	NA	josserand1983mixtec	NA
10889	yolo12	ala	ⁿdiši̧	ⁿdiši̧	78	NA	NA	NA	josserand1983mixtec	NA
11005	yolo12	cola	su̧ʔma̧	su̧ʔma̧	79	NA	NA	NA	josserand1983mixtec	NA
11126	yolo12	árbol	itu̧	itu̧	80	NA	NA	NA	josserand1983mixtec	NA
11226	yolo12	hierba	yuku̧	yuku̧	81	NA	NA	NA	josserand1983mixtec	NA
11346	yolo12	maguey	yawi	yawi	84	NA	NA	NA	josserand1983mixtec	NA
11463	yolo12	maíz	nu̧ni̧	nu̧ni̧	87	NA	NA	NA	josserand1983mixtec	NA
11580	yolo12	milpa	itu	itu	88	NA	NA	NA	josserand1983mixtec	NA
11701	yolo12	masa	yusa̧	yusa̧	91	NA	NA	NA	josserand1983mixtec	NA
11822	yolo12	tortilla	ista	ista	92	NA	NA	NA	josserand1983mixtec	NA
