ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
1362	yoso11	mother	nāna	nāna	1	NA	NA	NA	farris1992syntactic	NA
1363	yoso11	father	tāta	tāta	3	NA	NA	NA	farris1992syntactic	NA
1364	yoso11	father!, dad!	papá	papá	4	Sp. loan	yes	Spanish	farris1992syntactic	NA
6446	yoso11	hijo/hija	seʔe	seʔe	5	NA	NA	NA	josserand1983mixtec	NA
1365	yoso11	son/daughter, child	sēhē	sēhē	5	NA	NA	NA	farris1992syntactic	NA
1366	yoso11	cross-sex sibling	kwāhā	kwāhā	8	NA	NA	NA	farris1992syntactic	NA
6562	yoso11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
1367	yoso11	brother of man	ñānī	ñānī	9	NA	NA	NA	farris1992syntactic	NA
1368	yoso11	sister of woman	kūhu	kūhu	10	NA	NA	NA	farris1992syntactic	NA
1369	yoso11	aunt	shīshī	shīshī	11	NA	NA	NA	farris1992syntactic	NA
1370	yoso11	uncle	shīto	shīto	12	NA	NA	NA	farris1992syntactic	NA
6688	yoso11	hombre	čaa	čaa	13	NA	NA	NA	josserand1983mixtec	NA
1371	yoso11	man	chaa	chaa	13	NA	NA	NA	farris1992syntactic	NA
1372	yoso11	woman	ñāhā	ñāhā	14	NA	NA	NA	farris1992syntactic	NA
6779	yoso11	dueño	xi-toʔo	xi-toʔo	15	NA	NA	NA	josserand1983mixtec	NA
1373	yoso11	owner, boss	shīīn	shīīn	15	NA	NA	NA	farris1992syntactic	NA
6863	yoso11	sacerdote	sutu	sutu	16	NA	NA	NA	josserand1983mixtec	NA
1374	yoso11	priest	sūtū	sūtū	16	NA	NA	NA	farris1992syntactic	NA
6981	yoso11	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	NA	NA	NA	josserand1983mixtec	NA
1375	yoso11	bone	yɨ̄kɨ̄	yɨ̄kɨ̄	18	NA	NA	NA	farris1992syntactic	NA
1376	yoso11	hair	īshī	īshī	19	NA	NA	NA	farris1992syntactic	NA
1377	yoso11	face	nūu	nūu	20	NA	NA	NA	farris1992syntactic	NA
7073	yoso11	diente	Nnu̧ʔu̧	Nnu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7165	yoso11	boca	žuʔu	žuʔu	23	NA	NA	NA	josserand1983mixtec	NA
1378	yoso11	mouth	yūhū	yūhū	23	NA	NA	NA	farris1992syntactic	NA
7279	yoso11	oreja	soʔo	soʔo	24	NA	NA	NA	josserand1983mixtec	NA
1379	yoso11	ear	soho	soho	24	NA	NA	NA	farris1992syntactic	NA
7395	yoso11	nariz	(žu)-šiNni̧	žu-šiNni̧	25	NA	NA	NA	josserand1983mixtec	NA
1380	yoso11	nose	shiNni	shiNni	25	NA	NA	NA	farris1992syntactic	NA
7508	yoso11	cuello	suku̧	suku̧	26	NA	NA	NA	josserand1983mixtec	NA
1381	yoso11	hand	ndāhā	ndāhā	27	NA	NA	NA	farris1992syntactic	NA
7629	yoso11	uña	Nnu̧u̧	Nnu̧u̧	28	NA	NA	NA	josserand1983mixtec	NA
1383	yoso11	back	xāta	xāta	29	NA	NA	NA	farris1992syntactic	NA
1384	yoso11	stomach	chii	chii	30	NA	NA	NA	farris1992syntactic	NA
7745	yoso11	tripas	xʸɨtɨ	xʸɨtɨ	31	NA	NA	NA	josserand1983mixtec	NA
7862	yoso11	pie	sɨ̧ʔɨ̧	sɨ̧ʔɨ̧	32	NA	NA	NA	josserand1983mixtec	NA
1385	yoso11	foot	xaha	xaha	32	NA	NA	NA	farris1992syntactic	NA
7979	yoso11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
1386	yoso11	disease, illness, sickness	kwēhē	kwēhē	33	NA	NA	NA	farris1992syntactic	NA
1387	yoso11	medicine, remedy	tāNna	tāNna	34	NA	NA	NA	farris1992syntactic	NA
8078	yoso11	hinchazón	kʷɨ̧ñɨ̧	kʷɨ̧ñɨ̧	35	NA	NA	NA	josserand1983mixtec	NA
8188	yoso11	grano	ⁿdɨʔži	ⁿdɨʔži	36	NA	NA	NA	josserand1983mixtec	NA
8302	yoso11	pus	lakʷa	lakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8372	yoso11	orina	ti-ṣ̌eṣ̌e	ti-ṣ̌eṣ̌e	38	NA	NA	NA	josserand1983mixtec	NA
1388	yoso11	cloth	sāhmā	sāhmā	39	NA	NA	NA	farris1992syntactic	NA
8484	yoso11	huarache	ⁿdiNña̧	ⁿdiNña̧	40	NA	NA	NA	josserand1983mixtec	NA
1389	yoso11	sandal, sandals	ndíÑña	ndíÑña	40	NA	NA	NA	farris1992syntactic	NA
8565	yoso11	calzón, pantalón	kalso̧n	kalso̧n	41	NA	NA	NA	josserand1983mixtec	NA
8637	yoso11	huipil	su̧ʔnu̧	su̧ʔnu̧	42	NA	NA	NA	josserand1983mixtec	NA
8749	yoso11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
1390	yoso11	town	ñūu	ñūu	43	NA	NA	NA	farris1992syntactic	NA
8864	yoso11	casa	ƀeʔe	ƀeʔe	44	NA	NA	NA	josserand1983mixtec	NA
1391	yoso11	house	vehe	vehe	44	NA	NA	NA	farris1992syntactic	NA
1392	yoso11	path, road, trail	īchī	īchī	45	NA	NA	NA	farris1992syntactic	NA
8953	yoso11	horcón	sɨ̧ʔñɨ̧	sɨ̧ʔñɨ̧	46	NA	NA	NA	josserand1983mixtec	NA
1393	yoso11	beam	vītu	vītu	46	NA	NA	NA	farris1992syntactic	NA
9074	yoso11	petate	žuu	žuu	47	NA	NA	NA	josserand1983mixtec	NA
9189	yoso11	cama	xito	xito	48	NA	NA	NA	josserand1983mixtec	NA
9311	yoso11	banco	tažu	tažu	49	NA	NA	NA	josserand1983mixtec	NA
9428	yoso11	animal	kɨtɨ	kɨtɨ	50	NA	NA	NA	josserand1983mixtec	NA
1394	yoso11	animal	kɨ̄tɨ̄	kɨ̄tɨ̄	50	NA	NA	NA	farris1992syntactic	NA
9545	yoso11	pájaro	saa	saa	51	NA	NA	NA	josserand1983mixtec	NA
1395	yoso11	fish	chaká	chaká	52	NA	NA	NA	farris1992syntactic	NA
9635	yoso11	culebra	koo	koo	53	NA	NA	NA	josserand1983mixtec	NA
1396	yoso11	snake	kōo	kōo	53	NA	NA	NA	farris1992syntactic	NA
9753	yoso11	rana	saʔƀa	saʔƀa	54	NA	NA	NA	josserand1983mixtec	NA
9892	yoso11	gavilán	ši̧ʔya̧	ši̧ʔya̧	55	NA	NA	NA	josserand1983mixtec	NA
9893	yoso11	halcón	tasu̧	tasu̧	55	NA	NA	NA	josserand1983mixtec	NA
9985	yoso11	alacrán	la-su̧ʔma̧	la-su̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
1397	yoso11	scorpion	tɨ̄suhmā	tɨ̄-suhmā	56	animal-tail	NA	NA	farris1992syntactic	NA
10068	yoso11	cucaracha	ti-teʔe	ti-teʔe	57	NA	NA	NA	josserand1983mixtec	NA
10203	yoso11	rata	lusu	lusu	60	NA	NA	NA	josserand1983mixtec	NA
10204	yoso11	rata	tɨ̧ñɨ̧	tɨ̧ñɨ̧	60	NA	NA	NA	josserand1983mixtec	NA
1398	yoso11	rat	chotō	chotō	60	NA	NA	NA	farris1992syntactic	NA
1399	yoso11	mouse	lúsū	lúsū	60	NA	NA	NA	farris1992syntactic	NA
10326	yoso11	venado	isu	isu	61	NA	NA	NA	josserand1983mixtec	NA
1400	yoso11	deer	īsu	īsu	61	NA	NA	NA	farris1992syntactic	NA
10437	yoso11	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	62	NA	NA	NA	josserand1983mixtec	NA
1401	yoso11	skunk	chɨ̄hɨ̄n	chɨ̄hɨ̄n	63	listed as part of a name	NA	NA	farris1992syntactic	NA
1402	yoso11	rabbit	isō	isō	66	NA	NA	NA	farris1992syntactic	NA
1403	yoso11	dog	īna	īna	68	NA	NA	NA	farris1992syntactic	NA
10564	yoso11	gato	ƀilu	ƀilu	69	NA	NA	NA	josserand1983mixtec	NA
1404	yoso11	chicken	chuun	chuun	71	NA	NA	NA	farris1992syntactic	NA
1405	yoso11	pig	kɨ̄nɨ̄	kɨ̄nɨ̄	72	NA	NA	NA	farris1992syntactic	NA
1406	yoso11	horse	kwāyū	kwāyū	73	NA	yes	Colonial Spanish	farris1992syntactic	NA
1407	yoso11	sheep	rɨ̄ɨ	rɨ̄ɨ	74	NA	NA	NA	farris1992syntactic	NA
10682	yoso11	cuerno	ⁿdɨkɨ	ⁿdɨkɨ	76	NA	NA	NA	josserand1983mixtec	NA
1408	yoso11	horn (anatomy)	ndɨ́kɨ́	ndɨ́kɨ́	76	NA	NA	NA	farris1992syntactic	NA
10800	yoso11	pluma	Nnu̧u̧	Nnu̧u̧	77	NA	NA	NA	josserand1983mixtec	NA
10890	yoso11	ala	ⁿdixi̧	ⁿdixi̧	78	NA	NA	NA	josserand1983mixtec	NA
11006	yoso11	cola	su̧ʔma̧	su̧ʔma̧	79	NA	NA	NA	josserand1983mixtec	NA
1409	yoso11	tail	suhma	suhma	79	only listed as part of a compound	NA	NA	farris1992syntactic	NA
11127	yoso11	árbol	žuNnu̧	žuNnu̧	80	NA	NA	NA	josserand1983mixtec	NA
1410	yoso11	tree, stick	yūNnū	yūNnū	80	NA	NA	NA	farris1992syntactic	NA
11227	yoso11	hierba	žuku	žuku	81	NA	NA	NA	josserand1983mixtec	NA
1411	yoso11	flower	ītā	ītā	83	NA	NA	NA	farris1992syntactic	NA
11347	yoso11	maguey	žau	žau	84	NA	NA	NA	josserand1983mixtec	NA
1412	yoso11	thorn	īñū	īñū	86	NA	NA	NA	farris1992syntactic	NA
11464	yoso11	maíz	nu̧ni̧	nu̧ni̧	87	NA	NA	NA	josserand1983mixtec	NA
1413	yoso11	grain of corn	nūni	nūni	87	NA	NA	NA	farris1992syntactic	NA
11581	yoso11	milpa	itu	itu	88	NA	NA	NA	josserand1983mixtec	NA
1414	yoso11	cornfield	ītū	ītū	88	NA	NA	NA	farris1992syntactic	NA
1415	yoso11	fresh ear of corn	ndɨ̄shɨ̄	ndɨ̄shɨ̄	89	NA	NA	NA	farris1992syntactic	NA
11702	yoso11	masa	žunña̧	žunña̧	91	NA	NA	NA	josserand1983mixtec	NA
11823	yoso11	tortilla	staa	staa	92	NA	NA	NA	josserand1983mixtec	NA
1416	yoso11	tortilla	staa	staa	92	NA	NA	NA	farris1992syntactic	NA
11918	yoso11	rastrojo	ⁿda-zoʔo	ⁿda-zoʔo	93	NA	NA	NA	josserand1983mixtec	NA
11919	yoso11	hojas	ña̧ma̧	ña̧ma̧	93	NA	NA	NA	josserand1983mixtec	NA
12002	yoso11	surco	žuku̧	žuku̧	94	NA	NA	NA	josserand1983mixtec	NA
12091	yoso11	espiga	žoko	žoko	95	NA	NA	NA	josserand1983mixtec	NA
12203	yoso11	frijol(es)	ⁿduči	ⁿduči	96	NA	NA	NA	josserand1983mixtec	NA
1417	yoso11	bean, eye	ndūchī	ndūchī	96	NA	NA	NA	farris1992syntactic	NA
12292	yoso11	ejote	ⁿdiči	ⁿdiči	97	NA	NA	NA	josserand1983mixtec	NA
1418	yoso11	chili pepper	yaha	yaha	98	NA	NA	NA	farris1992syntactic	NA
12411	yoso11	sal	ñɨ̧ɨ̧	ñɨ̧ɨ̧	99	NA	NA	NA	josserand1983mixtec	NA
1419	yoso11	salt	n̄ɨ̄ɨ	n̄ɨ̄ɨ	99	NA	NA	NA	farris1992syntactic	NA
12635	yoso11	caña	ⁿdoo	ⁿdoo	102	NA	NA	NA	josserand1983mixtec	NA
12757	yoso11	miel	ⁿduṣ̌i	ⁿduṣ̌i	103	NA	NA	NA	josserand1983mixtec	NA
1420	yoso11	lard	shahan	shahan	104	NA	NA	NA	farris1992syntactic	NA
12878	yoso11	blanquillo, huevo	ⁿdɨwɨ	ⁿdɨwɨ	105	NA	NA	NA	josserand1983mixtec	NA
1421	yoso11	egg	ndɨ̃vɨ	ndɨ̃vɨ	105	NA	NA	NA	farris1992syntactic	NA
12967	yoso11	jitomate	tɨ-na̧na̧	tɨ-na̧na̧	106	NA	NA	NA	josserand1983mixtec	NA
1422	yoso11	tomato	tɨ́nānā	tɨ́-nānā	106	round-tomato	NA	NA	farris1992syntactic	NA
1423	yoso11	banana	ndīkā	ndīkā	109	NA	NA	NA	farris1992syntactic	NA
13054	yoso11	nopal	ƀi̧ʔⁿǰa	ƀi̧ʔⁿǰa	110	NA	NA	NA	josserand1983mixtec	NA
