ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6448	yucu12	hijo/hija	sèʔyā	sèʔyā	6	NA	NA	NA	josserand1983mixtec	NA
6564	yucu12	hermano de hombre	ñà̧nī̧	ñà̧nī̧	9	NA	NA	NA	josserand1983mixtec	NA
6690	yucu12	hombre	tèē	tèē	13	NA	NA	NA	josserand1983mixtec	NA
6781	yucu12	dueño	ʔì-tōʔō	ʔì-tōʔō	15	NA	NA	NA	josserand1983mixtec	NA
6865	yucu12	sacerdote	sūtū	sūtū	16	NA	NA	NA	josserand1983mixtec	NA
6983	yucu12	sangre	nì̧ñɨ̧̀	nì̧ñɨ̧̀	17	NA	NA	NA	josserand1983mixtec	NA
7075	yucu12	diente	nù̧ʔū̧	nù̧ʔū̧	22	NA	NA	NA	josserand1983mixtec	NA
7167	yucu12	boca	yūʔú	yūʔú	23	NA	NA	NA	josserand1983mixtec	NA
7281	yucu12	oreja	sòʔō	sòʔō	24	NA	NA	NA	josserand1983mixtec	NA
7397	yucu12	nariz	šītī̧	šītī̧	25	NA	NA	NA	josserand1983mixtec	NA
7510	yucu12	cuello	sùkù̧	sùkù̧	26	NA	NA	NA	josserand1983mixtec	NA
7631	yucu12	uña	yɨ̄kɨ̄-tí̧í̧	yɨ̄kɨ̄-tí̧í̧	28	NA	NA	NA	josserand1983mixtec	NA
7747	yucu12	tripas	ʔītɨ̄	ʔītɨ̄	31	NA	NA	NA	josserand1983mixtec	NA
7864	yucu12	pie	xʸèʔè	xʸèʔè	32	NA	NA	NA	josserand1983mixtec	NA
7981	yucu12	enfermedad	kʷèʔì	kʷèʔì	33	NA	NA	NA	josserand1983mixtec	NA
8080	yucu12	hinchazón	kʷī̧nɨ̧̄	kʷī̧nɨ̧̄	35	NA	NA	NA	josserand1983mixtec	NA
8190	yucu12	grano	nì̧ʔžɨ̄	nì̧ʔžɨ̄	36	NA	NA	NA	josserand1983mixtec	NA
8304	yucu12	pus	nā̧kʷā	nā̧kʷā	37	NA	NA	NA	josserand1983mixtec	NA
8486	yucu12	huarache	nì̧xʸà̧	nì̧xʸà̧	40	NA	NA	NA	josserand1983mixtec	NA
8567	yucu12	calzón, pantalón	yàtù	yàtù	41	NA	NA	NA	josserand1983mixtec	NA
8639	yucu12	huipil	šìkɨ̧̀	šìkɨ̧̀	42	NA	NA	NA	josserand1983mixtec	NA
8751	yucu12	pueblo	ñū̧ū̧	ñū̧ū̧	43	NA	NA	NA	josserand1983mixtec	NA
8866	yucu12	casa	vēʔī	vēʔī	44	NA	NA	NA	josserand1983mixtec	NA
8955	yucu12	horcón	sɨ̧̄ʔɨ̧	sɨ̧̄ʔɨ̧	46	NA	NA	NA	josserand1983mixtec	NA
9076	yucu12	petate	yūƀī	yūƀī	47	NA	NA	NA	josserand1983mixtec	NA
9191	yucu12	cama	ʔìtō	ʔìtō	48	NA	NA	NA	josserand1983mixtec	NA
9313	yucu12	banquito	tèyū	tèyū	49	NA	NA	NA	josserand1983mixtec	NA
9431	yucu12	horse	kītɨ̄	kītɨ̄	50	NA	NA	NA	josserand1983mixtec	NA
9430	yucu12	animal	tìì	tìì	50	NA	NA	NA	josserand1983mixtec	NA
9547	yucu12	pájaro	sāā	sāā	51	NA	NA	NA	josserand1983mixtec	NA
9637	yucu12	culebra	kòò	kòò	53	NA	NA	NA	josserand1983mixtec	NA
9756	yucu12	rana	kúʔlé	kúʔlé	54	NA	NA	NA	josserand1983mixtec	NA
9899	yucu12	zopilote grande	čìī-žāʔā	čìī-žāʔā	55	NA	NA	NA	josserand1983mixtec	NA
9897	yucu12	gavilán	ší̧ʔña̧	ší̧ʔña̧	55	NA	NA	NA	josserand1983mixtec	NA
9898	yucu12	gavilán	tàsú̧	tàsú̧	55	NA	NA	NA	josserand1983mixtec	NA
9987	yucu12	alacrán	tì-sū̧ʔmā̧	tì-sū̧ʔmā̧	56	NA	NA	NA	josserand1983mixtec	NA
10070	yucu12	cucaracha	tì-tèʔyá	tì-tèʔyá	57	NA	NA	NA	josserand1983mixtec	NA
10207	yucu12	rata	téʔyá	téʔyá	60	NA	NA	NA	josserand1983mixtec	NA
10206	yucu12	rata	tì̧ñɨ̧	tì̧ñɨ̧	60	NA	NA	NA	josserand1983mixtec	NA
10328	yucu12	venado	ʔīsū	ʔīsū	61	NA	NA	NA	josserand1983mixtec	NA
10439	yucu12	ardilla	kʷà̧nɨ̧̄	kʷà̧nɨ̧̄	62	NA	NA	NA	josserand1983mixtec	NA
10567	yucu12	gato	čīlú	čīlú	69	NA	NA	NA	josserand1983mixtec	NA
10684	yucu12	cuerno	nī̧kɨ̄	nī̧kɨ̄	76	NA	NA	NA	josserand1983mixtec	NA
10802	yucu12	pluma	tù̧mī̧	tù̧mī̧	77	NA	NA	NA	josserand1983mixtec	NA
10892	yucu12	ala	čìyò	čìyò	78	NA	NA	NA	josserand1983mixtec	NA
11008	yucu12	cola	sù̧ʔmà̧	sù̧ʔmà̧	79	NA	NA	NA	josserand1983mixtec	NA
11129	yucu12	árbol	yūtū̧	yūtū̧	80	NA	NA	NA	josserand1983mixtec	NA
11229	yucu12	hierba	yùkù	yùkù	81	NA	NA	NA	josserand1983mixtec	NA
11349	yucu12	maguey	yāƀī	yāƀī	84	NA	NA	NA	josserand1983mixtec	NA
11466	yucu12	maíz	nù̧nì̧	nù̧nì̧	87	NA	NA	NA	josserand1983mixtec	NA
11584	yucu12	milpa	ƀìžū	ƀìžū	88	NA	NA	NA	josserand1983mixtec	NA
11583	yucu12	milpa	ʔītū	ʔītū	88	NA	NA	NA	josserand1983mixtec	NA
11704	yucu12	masa	ñū̧xȩ̄	ñū̧xȩ̄	91	NA	NA	NA	josserand1983mixtec	NA
11825	yucu12	tortilla	šītā	šītā	92	NA	NA	NA	josserand1983mixtec	NA
11922	yucu12	rastrojo	ñà̧mà̧	ñà̧mà̧	93	NA	NA	NA	josserand1983mixtec	NA
12004	yucu12	surco	yūkū̧	yūkū̧	94	NA	NA	NA	josserand1983mixtec	NA
12093	yucu12	espiga	yōkō	yōkō	95	NA	NA	NA	josserand1983mixtec	NA
12205	yucu12	frijol(es)	nū̧čī	nū̧čī	96	NA	NA	NA	josserand1983mixtec	NA
12294	yucu12	ejote	nì̧čī	nì̧čī	97	NA	NA	NA	josserand1983mixtec	NA
12413	yucu12	sal	ñɨ̧̀ɨ̧̀	ñɨ̧̀ɨ̧̀	99	NA	NA	NA	josserand1983mixtec	NA
12523	yucu12	calabaza	žɨ̄kɨ̧̄	žɨ̄kɨ̧̄	100	NA	NA	NA	josserand1983mixtec	NA
12637	yucu12	caña	nò̧ò̧	nò̧ò̧	102	NA	NA	NA	josserand1983mixtec	NA
12759	yucu12	miel	nù̧šī	nù̧šī	103	NA	NA	NA	josserand1983mixtec	NA
12880	yucu12	blanquillo, huevo	nì̧wɨ	nì̧wɨ	105	NA	NA	NA	josserand1983mixtec	NA
12969	yucu12	jitomate	tì-nā̧nā̧	tì-nā̧nā̧	106	NA	NA	NA	josserand1983mixtec	NA
13056	yucu12	nopal	mī̧ʔnȩ̄	mī̧ʔnȩ̄	110	NA	NA	NA	josserand1983mixtec	NA
13135	yucu12	mamey	nī̧kā-xʸéʔé	nī̧kā-xʸéʔé	111	NA	NA	NA	josserand1983mixtec	NA
13257	yucu12	carne	kù̧ñū̧	kù̧ñū̧	114	NA	NA	NA	josserand1983mixtec	NA
13378	yucu12	comal	ʔìyò	ʔìyò	115	NA	NA	NA	josserand1983mixtec	NA
13469	yucu12	olla	kìsɨ̄	kìsɨ̄	116	NA	NA	NA	josserand1983mixtec	NA
13573	yucu12	horno	ʔìtù̧	ʔìtù̧	117	NA	NA	NA	josserand1983mixtec	NA
13687	yucu12	lumbre	ñū̧ʔū̧	ñū̧ʔū̧	118	NA	NA	NA	josserand1983mixtec	NA
13810	yucu12	humo	ñù̧ʔmà̧	ñù̧ʔmà̧	121	NA	NA	NA	josserand1983mixtec	NA
13906	yucu12	basura	yàkā	yàkā	122	NA	NA	NA	josserand1983mixtec	NA
14028	yucu12	jícara	ñȩxi̧	ñȩxi̧	124	NA	NA	NA	josserand1983mixtec	NA
14132	yucu12	ataúd	yàtù	yàtù	126	NA	NA	NA	josserand1983mixtec	NA
14250	yucu12	hilo	yūʔƀē	yūʔƀē	127	NA	NA	NA	josserand1983mixtec	NA
14341	yucu12	peine	kùkà	kùkà	128	NA	NA	NA	josserand1983mixtec	NA
14519	yucu12	red	ñū̧nū̧	ñū̧nū̧	131	NA	NA	NA	josserand1983mixtec	NA
14649	yucu12	agua	nū̧tē	nū̧tē	137	NA	NA	NA	josserand1983mixtec	NA
14774	yucu12	lluvia	(kú̧ū̧)-sàƀì	kú̧ū̧-sàƀì	138	NA	NA	NA	josserand1983mixtec	NA
14899	yucu12	río	žūƀī	žūƀī	139	NA	NA	NA	josserand1983mixtec	NA
14900	yucu12	río	žùtē	žùtē	139	NA	NA	NA	josserand1983mixtec	NA
14991	yucu12	rocío	yúyú	yúyú	140	NA	NA	NA	josserand1983mixtec	NA
15110	yucu12	cerro	žūkū	žūkū	141	NA	NA	NA	josserand1983mixtec	NA
15240	yucu12	llano	nū̧ʔvē	nū̧ʔvē	142	NA	NA	NA	josserand1983mixtec	NA
15361	yucu12	piedra	yùù	yùù	143	NA	NA	NA	josserand1983mixtec	NA
15476	yucu12	algodón	kàčì	kàčì	144	NA	NA	NA	josserand1983mixtec	NA
15559	yucu12	fierro	tū̧nī̧	tū̧nī̧	145	NA	NA	NA	josserand1983mixtec	NA
15676	yucu12	cera	ñù̧mà̧	ñù̧mà̧	148	NA	NA	NA	josserand1983mixtec	NA
15799	yucu12	lodo	nȩ̄ʔžù	nȩ̄ʔžù	149	NA	NA	NA	josserand1983mixtec	NA
15917	yucu12	espuma	tì̧ñù̧	tì̧ñù̧	150	NA	NA	NA	josserand1983mixtec	NA
16033	yucu12	rojo	kʷéʔé	kʷéʔé	152	NA	NA	NA	josserand1983mixtec	NA
16147	yucu12	amarillo	kʷá̧á̧	kʷá̧á̧	154	NA	NA	NA	josserand1983mixtec	NA
16268	yucu12	dos	ʔùvì	ʔùvì	158	NA	NA	NA	josserand1983mixtec	NA
16388	yucu12	tres	ʔù̧nì̧	ʔù̧nì̧	159	NA	NA	NA	josserand1983mixtec	NA
16512	yucu12	cuatro	kù̧mì̧	kù̧mì̧	160	NA	NA	NA	josserand1983mixtec	NA
16631	yucu12	cinco	ʔù̧ʔù̧	ʔù̧ʔù̧	161	NA	NA	NA	josserand1983mixtec	NA
16749	yucu12	seis	ʔī̧ñū̧	ʔī̧ñū̧	162	NA	NA	NA	josserand1983mixtec	NA
16866	yucu12	siete	ʔùšà	ʔùšà	163	NA	NA	NA	josserand1983mixtec	NA
16980	yucu12	ocho	ʔù̧nà̧	ʔù̧nà̧	164	NA	NA	NA	josserand1983mixtec	NA
17097	yucu12	diez	ʔùšì	ʔùšì	166	NA	NA	NA	josserand1983mixtec	NA
17216	yucu12	quince	šā̧ʔù̧	šā̧ʔù̧	167	NA	NA	NA	josserand1983mixtec	NA
17330	yucu12	pobre	ná̧ʔví	ná̧ʔví	169	NA	NA	NA	josserand1983mixtec	NA
17451	yucu12	frío	ƀìxī̧	ƀìxī̧	171	NA	NA	NA	josserand1983mixtec	NA
17545	yucu12	caliente	ʔī̧ʔní̧	ʔī̧ʔní̧	172	NA	NA	NA	josserand1983mixtec	NA
17659	yucu12	grande (sg.)	káʔnú̧	káʔnú̧	173	NA	NA	NA	josserand1983mixtec	NA
17788	yucu12	chico	lūlí	lūlí	175	NA	NA	NA	josserand1983mixtec	NA
17883	yucu12	bueno	ƀàʔā	ƀàʔā	179	NA	NA	NA	josserand1983mixtec	NA
17997	yucu12	dulce	ƀìšì	ƀìšì	180	NA	NA	NA	josserand1983mixtec	NA
18091	yucu12	salado	ʔùʔwà	ʔùʔwà	181	NA	NA	NA	josserand1983mixtec	NA
18178	yucu12	amargo	ʔùƀà	ʔùƀà	182	NA	NA	NA	josserand1983mixtec	NA
18265	yucu12	sabroso	nù̧ʔū̧	nù̧ʔū̧	183	NA	NA	NA	josserand1983mixtec	NA
18436	yucu12	flojo	kúší	kúší	186	NA	NA	NA	josserand1983mixtec	NA
18437	yucu12	floja	ⁿda̧nu̧	ⁿda̧nu̧	186	NA	NA	NA	josserand1983mixtec	NA
18534	yucu12	feo (de lugar)	kini̧	kini̧	187	NA	NA	NA	josserand1983mixtec	NA
18535	yucu12	feo (de cosa)	nȩ́ʔí	nȩ́ʔí	187	NA	NA	NA	josserand1983mixtec	NA
18644	yucu12	está cerca	yātī̧	yātī̧	189	NA	NA	NA	josserand1983mixtec	NA
18754	yucu12	pesado	vèī	vèī	191	NA	NA	NA	josserand1983mixtec	NA
18875	yucu12	resbaloso	līʔwɨ́	līʔwɨ́	193	NA	NA	NA	josserand1983mixtec	NA
18874	yucu12	lisa, liso	lɨ̄ɨ̄	lɨ̄ɨ̄	193	NA	NA	NA	josserand1983mixtec	NA
