ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6450	yucu15	CHILD (DESCENDANT)	hijo/hija	sèʔē	sèʔē	5	1801	NA	NA	josserand1983mixtec	NA
6566	yucu15	BROTHER (OF MAN)	hermano de hombre	žā̧nì̧	žā̧nì̧	9	559	NA	NA	josserand1983mixtec	NA
6692	yucu15	MAN	hombre	tàā	tàā	13	1554	NA	NA	josserand1983mixtec	NA
6783	yucu15	OWNER	dueño	ʔīš-tōʔò-nà̧	ʔīš-tōʔò-nà̧	15	1036	NA	NA	josserand1983mixtec	NA
6868	yucu15	OWNER	sacerdote	sùtù	sùtù	15	1036	NA	NA	josserand1983mixtec	NA
6985	yucu15	BLOOD	sangre	nì̧í̧	nì̧í̧	17	946	NA	NA	josserand1983mixtec	NA
7077	yucu15	TOOTH	diente	nù̧ʔū̧	nù̧ʔū̧	22	1380	NA	NA	josserand1983mixtec	NA
7170	yucu15	MOUTH	boca	žūžú	žūžú	23	674	NA	NA	josserand1983mixtec	NA
7283	yucu15	EAR	oreja	sóʔō	sóʔō	24	1247	NA	NA	josserand1983mixtec	NA
7400	yucu15	NOSE	nariz	ʔì̧ští̧	ʔì̧ští̧	25	1221	NA	NA	josserand1983mixtec	NA
7513	yucu15	NOSE	cuello	sùkú̧	sùkú̧	25	1221	NA	NA	josserand1983mixtec	NA
7633	yucu15	FINGERNAIL	uña	tí̧í̧	tí̧í̧	28	1258	NA	NA	josserand1983mixtec	NA
7750	yucu15	INTESTINES	tripas	čītì	čītì	31	1991	NA	NA	josserand1983mixtec	NA
7867	yucu15	FOOT	pie	sʸàʔá	sʸàʔá	32	1301	NA	NA	josserand1983mixtec	NA
7983	yucu15	DISEASE	enfermedad	kʷēʔè	kʷēʔè	33	1986	NA	NA	josserand1983mixtec	NA
8082	yucu15	SWELLING	hinchazón	kʷī̧ñū̧	kʷī̧ñū̧	35	1903	NA	NA	josserand1983mixtec	NA
