ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6453	yuta11	CHILD (DESCENDANT)	hijo/hija	đaʔa	đaʔa	5	1801	NA	NA	josserand1983mixtec	NA
6694	yuta11	MAN	hombre	tee	tee	13	1554	NA	NA	josserand1983mixtec	NA
6987	yuta11	BLOOD	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	946	NA	NA	josserand1983mixtec	NA
7285	yuta11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7402	yuta11	NOSE	nariz	đi̧ni̧	đi̧ni̧	25	1221	NA	NA	josserand1983mixtec	NA
7515	yuta11	NOSE	cuello	đuʔxu̧	đuʔxu̧	25	1221	NA	NA	josserand1983mixtec	NA
7635	yuta11	FINGERNAIL	uña	ñɨ̧ɨ̧	ñɨ̧ɨ̧	28	1258	NA	NA	josserand1983mixtec	NA
7753	yuta11	INTESTINES	tripas	čii	čii	31	1991	NA	NA	josserand1983mixtec	NA
7869	yuta11	FOOT	pie	šeʔe	šeʔe	32	1301	NA	NA	josserand1983mixtec	NA
7985	yuta11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8194	yuta11	SWELLING	grano	ⁿdɨʔžɨ	ⁿdɨʔžɨ	35	1903	NA	NA	josserand1983mixtec	NA
8308	yuta11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8490	yuta11	SANDAL	huarache	ⁿǰi̧i̧ᵑ	ⁿǰi̧i̧ᵑ	40	NA	NA	NA	josserand1983mixtec	NA
8755	yuta11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8870	yuta11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
9080	yuta11	MAT	petate	žuu	žuu	47	195	NA	NA	josserand1983mixtec	NA
9195	yuta11	BED	cama	kama	kama	48	1663	NA	NA	josserand1983mixtec	NA
9317	yuta11	STOOL	banquito	šile	šile	49	2058	NA	NA	josserand1983mixtec	NA
9435	yuta11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
10213	yuta11	ANIMAL	rata	čoto	čoto	50	619	NA	NA	josserand1983mixtec	NA
9551	yuta11	BIRD	pájaro	či-đaa	či-đaa	51	937	NA	NA	josserand1983mixtec	NA
10332	yuta11	BIRD	venado	iđu	iđu	51	937	NA	NA	josserand1983mixtec	NA
