ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
20782	yuta13	madre	naná	naná	1	NA	NA	NA	williams2017diccionario	NA
20783	yuta13	mamá!	nána̠	nána̠	2	NA	NA	NA	williams2017diccionario	NA
20784	yuta13	padre	tatá	tatá	3	NA	NA	NA	williams2017diccionario	NA
20785	yuta13	papá!	tá’a̠	tá’a̠	4	NA	NA	NA	williams2017diccionario	NA
20786	yuta13	hijo/hija	de̠’e	de̠’e	5	NA	NA	NA	williams2017diccionario	NA
20787	yuta13	hermana/hermano de otro genero	ki̠’o	ki̠’o	8	NA	NA	NA	williams2017diccionario	NA
20788	yuta13	hermano de hombre	ñani	ñani	9	NA	NA	NA	williams2017diccionario	NA
20789	yuta13	hermana de mujer	ku’u̠	ku’u̠	10	NA	NA	NA	williams2017diccionario	NA
20790	yuta13	tía	didi	didi	11	NA	NA	NA	williams2017diccionario	NA
20791	yuta13	tío	dito	dito	12	NA	NA	NA	williams2017diccionario	NA
20792	yuta13	hombre	ta̠a	ta̠a	13	NA	NA	NA	williams2017diccionario	NA
20793	yuta13	mujer	ñá’a̠	ñá’a̠	14	NA	NA	NA	williams2017diccionario	NA
20794	yuta13	dueño, patrón	sato’o	sa-to’o	15	NA	NA	NA	williams2017diccionario	NA
20795	yuta13	sacerdote	duti̠	duti̠	16	NA	NA	NA	williams2017diccionario	NA
20796	yuta13	sangre	nii̠	nii̠	17	NA	NA	NA	williams2017diccionario	NA
20797	yuta13	hueso	lásá	lásá	18	NA	NA	NA	williams2017diccionario	NA
20798	yuta13	hueso	yikí lásá	yikí lásá	18	NA	NA	NA	williams2017diccionario	NA
20799	yuta13	pelo	ídi̠	ídi̠	19	NA	NA	NA	williams2017diccionario	NA
20800	yuta13	cara	noo̠	noo̠	20	NA	NA	NA	williams2017diccionario	NA
20801	yuta13	lengua	yáa̠	yáa̠	21	NA	NA	NA	williams2017diccionario	NA
20802	yuta13	diente	no̠’o	no̠’o	22	NA	NA	NA	williams2017diccionario	NA
20803	yuta13	boca	yú’u̠	yú’u̠	23	NA	NA	NA	williams2017diccionario	NA
20804	yuta13	oreja, oído	do̠’o	do̠’o	24	NA	NA	NA	williams2017diccionario	NA
20805	yuta13	nariz	diti̠	diti̠	25	NA	NA	NA	williams2017diccionario	NA
20806	yuta13	cuello	diko̠	diko̠	26	NA	NA	NA	williams2017diccionario	NA
20807	yuta13	mano	ndá’a̠	ndá’a̠	27	NA	NA	NA	williams2017diccionario	NA
20808	yuta13	uña	chíi̠n	chíi̠n	28	NA	NA	NA	williams2017diccionario	NA
20809	yuta13	espalda	sata̠	sata̠	29	NA	NA	NA	williams2017diccionario	NA
20810	yuta13	barriga, estómago	ti̠xi	ti̠xi	30	NA	NA	NA	williams2017diccionario	NA
20811	yuta13	tripa, tripas	xiti	xiti	31	NA	NA	NA	williams2017diccionario	NA
20812	yuta13	pie, pierna	sa’a̠	sa’a̠	32	NA	NA	NA	williams2017diccionario	NA
20813	yuta13	enfermedad	kue’e̠	kue’e̠	33	NA	NA	NA	williams2017diccionario	NA
20814	yuta13	medicina	tata̠	tata̠	34	NA	NA	NA	williams2017diccionario	NA
20815	yuta13	grano	ndíki̠	ndíki̠	36	NA	NA	NA	williams2017diccionario	NA
20816	yuta13	pus, materia	ndáko̠	ndáko̠	37	NA	NA	NA	williams2017diccionario	NA
20817	yuta13	tela, ropa	dá’o̠n	dá’o̠n	39	NA	NA	NA	williams2017diccionario	NA
20818	yuta13	huarache	ndisa̠	ndisa̠	40	NA	NA	NA	williams2017diccionario	NA
20819	yuta13	pantalón	sati	sati	41	NA	NA	NA	williams2017diccionario	NA
20820	yuta13	pueblo	ñoo	ñoo	43	NA	NA	NA	williams2017diccionario	NA
20821	yuta13	casa	ve’e	ve’e	44	NA	NA	NA	williams2017diccionario	NA
