ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6456	zapo11	CHILD (DESCENDANT)	hijo/hija	đeʔe	đeʔe	5	1801	NA	NA	josserand1983mixtec	NA
6569	zapo11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6698	zapo11	MAN	hombre	te-ii	te-ii	13	1554	NA	NA	josserand1983mixtec	NA
6785	zapo11	OWNER	dueño	stoʔo	stoʔo	15	1036	NA	NA	josserand1983mixtec	NA
6870	zapo11	OWNER	sacerdote	đutʸu	đutʸu	15	1036	NA	NA	josserand1983mixtec	NA
6990	zapo11	BLOOD	sangre	nì̧ì̧	nì̧ì̧	17	946	NA	NA	josserand1983mixtec	NA
7080	zapo11	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380	NA	NA	josserand1983mixtec	NA
7172	zapo11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7288	zapo11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7405	zapo11	NOSE	nariz	điči	điči	25	1221	NA	NA	josserand1983mixtec	NA
7518	zapo11	NOSE	cuello	đika̧	đika̧	25	1221	NA	NA	josserand1983mixtec	NA
7638	zapo11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7756	zapo11	INTESTINES	tripas	šiȼi	šiȼi	31	1991	NA	NA	josserand1983mixtec	NA
7872	zapo11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7989	zapo11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8084	zapo11	SWELLING	hinchazón	nȩñu̧	nȩñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8197	zapo11	SWELLING	grano	ⁿsiʔi	ⁿsiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8311	zapo11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8375	zapo11	URINE	orina	te-đeđe	te-đeđe	38	1142	NA	NA	josserand1983mixtec	NA
8494	zapo11	SANDAL	huarache	ⁿdʸisa̧	ⁿdʸisa̧	40	NA	NA	NA	josserand1983mixtec	NA
8493	zapo11	SANDAL	huarache	ⁿsʸisa̧	ⁿsʸisa̧	40	NA	NA	NA	josserand1983mixtec	NA
8571	zapo11	TROUSERS	calzón, pantalón	satʸu	satʸu	41	809	NA	NA	josserand1983mixtec	NA
8758	zapo11	TOWN OR VILLAGE	pueblo	ño̧o̧	ño̧o̧	43	3609	NA	NA	josserand1983mixtec	NA
8873	zapo11	HOUSE	casa	weʔe	weʔe	44	1252	NA	NA	josserand1983mixtec	NA
8959	zapo11	PATH	horcón	đi̧ʔi̧	đi̧ʔi̧	45	2252	NA	NA	josserand1983mixtec	NA
9083	zapo11	MAT	petate	yuu	yuu	47	195	NA	NA	josserand1983mixtec	NA
9198	zapo11	BED	cama	šito	šito	48	1663	NA	NA	josserand1983mixtec	NA
9320	zapo11	STOOL	banquito	teyu	teyu	49	2058	NA	NA	josserand1983mixtec	NA
9438	zapo11	ANIMAL	animal	kiȼi	kiȼi	50	619	NA	NA	josserand1983mixtec	NA
10216	zapo11	ANIMAL	rata	ȼi-ti̧i̧	ȼi-ti̧i̧	50	619	NA	NA	josserand1983mixtec	NA
9554	zapo11	BIRD	pájaro	ȼi-laa	ȼi-laa	51	937	NA	NA	josserand1983mixtec	NA
10335	zapo11	BIRD	venado	sa-kʷaa	sa-kʷaa	51	937	NA	NA	josserand1983mixtec	NA
10446	zapo11	FISH	ardilla	ti-ardiya	ti-ardiya	52	227	NA	NA	josserand1983mixtec	NA
9641	zapo11	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
9764	zapo11	FROG	rana	ȼi-laʔwa	ȼi-laʔwa	54	503	NA	NA	josserand1983mixtec	NA
