Grapheme,IPA,FREQUENCY,CODEPOINTS
a,a,51,U+0061
u,u,37,U+0075
s,s,34,U+0073
i,i,33,U+0069
?,?,27,U+0294
y,y,25,U+0079
u?,u?,24,U+0075 U+0327
k,k,23,U+006b
ñ,ñ,22,U+00f1
t,t,22,U+0074
i?,i?,20,U+0069 U+0327
?,?,20,U+0268
a?,a?,17,U+0061 U+0327
w,w,15,U+0077
?d,?d,14,U+207f U+0064
?,?,13,U+010d
-,NULL,10,U+002d
o?,o?,10,U+006f U+0327
k?,k?,10,U+006b U+02b7
n,n,9,U+006e
m,m,9,U+006d
e,e,8,U+0065
o,o,8,U+006f
?w,?w,6,U+0294 U+0077
t?,t?,5,U+0074 U+02b8
š,š,5,U+0161
??,??,5,U+0268 U+0327
ee,ee,3,U+0065 U+0065
??,??,3,U+207f U+01f0
??,??,2,U+0268 U+0268
???,???,2,U+0268 U+0327 U+0301
i?i?,i?i?,2,U+0069 U+0327 U+0069 U+0327
aa,aa,2,U+0061 U+0061
oo,oo,2,U+006f U+006f
l,l,2,U+006c
r,r,1,U+0072
ii,ii,1,U+0069 U+0069
u?u?,u?u?,1,U+0075 U+0327 U+0075 U+0327
(sumi?),<???>,1,U+0028 U+0073 U+0075 U+006d U+0069 U+0327 U+0029
??????,??????,1,U+0268 U+0327 U+0301 U+0268 U+0327 U+0301
??,??,1,U+0294 U+207f
?,?,1,U+01f0
x,x,1,U+0078
ú?,ú?,1,U+00fa U+0327
ù?,ù?,1,U+00f9 U+0327
(ko?o?)-sawi,<???>,1,U+0028 U+006b U+006f U+0327 U+006f U+0327 U+0029 U+002d U+0073 U+0061 U+0077 U+0069
uu,uu,1,U+0075 U+0075
a?a?,a?a?,1,U+0061 U+0327 U+0061 U+0327
