ID	DOCULECT	CONCEPT	OTHER_CONCEPT	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
40	abas11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	galindo-sanchez2009vocabulario	NA
9321	acat11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9322	achi11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9323	adeq11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9324	ahue11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
4529	alac11	ANIMAL	animal	kiti̠	kiti̠	50	619	NA	NA	zylstra2012gramatica	NA
1034	alac11	ANIMAL	animal	kīti	kīti	50	619	NA	NA	zylstra1991syntactic	NA
9325	alac11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9326	alco11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
5636	alco11	ANIMAL	animal	ki³ti⁴	ki³ti⁴	50	619	NA	NA	swanton2020observaciones	NA
9327	amat11	ANIMAL	animal	kiči	kiči	50	619	NA	NA	josserand1983mixtec	NA
9328	apas11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9329	apoa11	ANIMAL	animal	kiti(tata)	kititata	50	619	NA	NA	josserand1983mixtec	NA
2346	atat11	ANIMAL	animal	kɨ̄tɨ̄	kɨ̄tɨ̄	50	619	NA	NA	durr1987preliminary	NA
9330	atat11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
5105	atat11	ANIMAL	animal	quɨtɨ	quɨtɨ	50	619	NA	NA	alexander1980gramatica	[A]
9331	aten11	ANIMAL	animal	kītì	kītì	50	619	NA	NA	josserand1983mixtec	NA
9332	atoy11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
778	ayut11	ANIMAL	animal	kitīh	kitīh	50	619	NA	NA	hills1990syntactic	NA
9333	ayut11	ANIMAL	animal	kitiʔ	kitiʔ	50	619	NA	NA	josserand1983mixtec	NA
9334	brav11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
2348	caca11	ANIMAL	animal	kītì 	kītì 	50	619	NA	NA	durr1987preliminary	NA
9335	caca11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
2351	cahu11	ANIMAL	animal	kītī	kītī	50	619	NA	NA	durr1987preliminary	NA
9336	cahu11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9337	chal11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
5638	chal11	ANIMAL	animal	kɨ²tɨ²	kɨ²tɨ²	50	619	NA	NA	swanton2020observaciones	+³
3990	chay11	ANIMAL	animal	quɨtɨ	quɨtɨ	50	619	NA	NA	pensinger1974diccionario	NA
2354	chay11	ANIMAL	animal	kɨ̄tɨ̄	kɨ̄tɨ̄	50	619	NA	NA	durr1987preliminary	NA
9338	chay11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9339	chay12	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9340	chaz11	ANIMAL	animal	kiȼi	kiȼi	50	619	NA	NA	josserand1983mixtec	NA
1676	chic02	ANIMAL	animal	Chukuha	chukuha	50	619	NA	NA	belmar1897ensayo	NA
9341	chic11	ANIMAL	animal	ti(tata)	titata	50	619	NA	NA	josserand1983mixtec	NA
5953	chic12	ANIMAL	animal	xucu³	xucu³	50	619	NA	NA	good1978diccionario	NA
21054	chic12	ANIMAL	animal	ʃu³ku³	ʃu³ku³	50	619	NA	NA	hernandez-mendoza2020vocabulario	NA
9342	chig11	ANIMAL	animal	kiȼi	kiȼi	50	619	NA	NA	josserand1983mixtec	NA
910	coat11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	small1990syntactic	NA
9343	coat11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9344	coic11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
4197	colo11	ANIMAL	animal	quɨtɨ	quɨtɨ	50	619	NA	NA	stark1986diccionario	NA
9345	colo11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
1309	conc11	ANIMAL	animal	ītī	ītī	50	619	NA	NA	bradley1991preliminary	NA
1525	copa11	ANIMAL	animal	shkuu³	shkuu³	50	619	NA	NA	hollenbach1992syntactic	NA
9346	coso11	ANIMAL	animal	kisi	kisi	50	619	NA	NA	josserand1983mixtec	NA
9347	coxc11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9348	cris11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9349	cuat11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9350	cuau11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9351	cuil11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9352	cuya11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
1175	diux11	ANIMAL	animal	kɨ̄tɨ	kɨ̄tɨ	50	619	NA	NA	kuiper1991syntactic	NA
2342	diux11	ANIMAL	animal	kɨ̀tɨ̀	kɨ̀tɨ̀	50	619	NA	NA	durr1987preliminary	NA
9353	diux11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
20147	dura11	ANIMAL	animal	kitxì	kitxì	50	619	NA	NA	hernandez2020san-martin	NA
9354	dura11	ANIMAL	animal	kīȼì	kīȼì	50	619	NA	NA	josserand1983mixtec	NA
9355	esta11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9356	este11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9357	flor11	ANIMAL	animal	kiči	kiči	50	619	NA	NA	josserand1983mixtec	NA
3170	flor12	ANIMAL	animal	kijtsǐ	kijtsǐ	50	619	NA	NA	oxnard2020	NA
2347	gran11	ANIMAL	animal	kɨ̄tɨ̄ 	kɨ̄tɨ̄ 	50	619	NA	NA	durr1987preliminary	NA
9358	gran11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9359	guad11	ANIMAL	animal	kīȼì	kīȼì	50	619	NA	NA	josserand1983mixtec	NA
