DOCULECT	SOURCE	PROFILE	NOTES
abas11	galindo-sanchez2009vocabulario		
acat11	josserand1983mixtec		
achi11	josserand1983mixtec		
adeq11	josserand1983mixtec		
ahue11	josserand1983mixtec		
alac11	durr1987preliminary		
alac11	josserand1983mixtec		
alac11	zylstra1991syntactic		
alco11	josserand1983mixtec		
alco11	swanton2020observaciones		
amat11	josserand1983mixtec		
apas11	josserand1983mixtec		
apoa11	josserand1983mixtec		
atat11	alexander1980gramatica		
atat11	durr1987preliminary		
atat11	josserand1983mixtec		
aten11	josserand1983mixtec		
atoy11	josserand1983mixtec		
ayut11	durr1987preliminary		
ayut11	hills1990syntactic		
ayut11	josserand1983mixtec		
brav11	josserand1983mixtec		
caca11	durr1987preliminary		
caca11	josserand1983mixtec		
cahu11	durr1987preliminary		
cahu11	josserand1983mixtec		
chal11	josserand1983mixtec		
chal11	swanton2020observaciones		
chay11	durr1987preliminary		
chay11	josserand1983mixtec		
chay11	pensinger1974diccionario		
chay12	josserand1983mixtec		
chaz11	josserand1983mixtec		
chic02	belmar1897ensayo		
chic11	josserand1983mixtec		
chic12	good1978diccionario		
chic12	hernandez-mendoza2020vocabulario		
chig11	josserand1983mixtec		
coat11	durr1987preliminary		
coat11	josserand1983mixtec		
coat11	small1990syntactic		
coic11	josserand1983mixtec		
colo11	josserand1983mixtec		
colo11	stark1986diccionario		
conc11	bradley1991preliminary		
copa11	hollenbach1992syntactic		
coso11	josserand1983mixtec		
coxc11	josserand1983mixtec		
cris11	josserand1983mixtec		
cuat11	josserand1983mixtec		
cuau11	josserand1983mixtec		
cuil11	josserand1983mixtec		
cuya11	josserand1983mixtec		
diux11	durr1987preliminary		
diux11	josserand1983mixtec		
diux11	kuiper1991syntactic		
dura11	hernandez2020san-martin		
dura11	josserand1983mixtec		
esta11	josserand1983mixtec		
este11	josserand1983mixtec		
flor11	josserand1983mixtec		
flor12	oxnard2020		
gran11	durr1987preliminary		
gran11	josserand1983mixtec		
guad11	josserand1983mixtec		
huaz11	josserand1983mixtec		
huen11	becerra-roldan2015un-estudio		
huit11	josserand1983mixtec		
itun11	josserand1983mixtec		
ixpa11	josserand1983mixtec		
ixta11	josserand1983mixtec		
ixta12	josserand1983mixtec		
ixta13	josserand1983mixtec		
jami11	johnson1988syntactic		
jami11	josserand1983mixtec		
jate11	josserand1983mixtec		
jica11	durr1987preliminary		
jica11	josserand1983mixtec		
jica12	josserand1983mixtec		
jica13	Emily John-Martin		
joco11	josserand1983mixtec		
juxt11	josserand1983mixtec		
lore11	josserand1983mixtec		
mech11	josserand1983mixtec		
metl11	durr1987preliminary		
metl11	josserand1983mixtec		
mica11	josserand1983mixtec		
mixt11	durr1987preliminary		
mixt11	josserand1983mixtec		
mixt11	oxnard2020		
moli11	durr1987preliminary		
moli11	josserand1983mixtec		
mont12	josserand1983mixtec		
mont12	oxnard2020		
mont13	josserand1983mixtec		
mont14	josserand1983mixtec		
more11	josserand1983mixtec		
ndua11	josserand1983mixtec		
nuch11	josserand1983mixtec		
nund11	josserand1983mixtec		
nund12	josserand1983mixtec		
nund13	josserand1983mixtec		
nuti11	josserand1983mixtec		
nuxa11	josserand1983mixtec		
nuxi11	josserand1983mixtec		
nuyo11	josserand1983mixtec		
ocot11	alexander1988syntactic		
ocot11	durr1987preliminary		
ocot11	josserand1983mixtec		
papa11	anderson1983diccionario		
pena11	hollenbach2017diccionario		
pena12	josserand1983mixtec		
peno11	durr1987preliminary		
peno11	josserand1983mixtec		
pied11	josserand1983mixtec		
pied12	oxnard2020		
pino11	josserand1983mixtec		
pino12	josserand1983mixtec		
prog11	josserand1983mixtec		
prog12	durr1987preliminary		
prog12	josserand1983mixtec		
prog12	shields1988syntactic		
prom01	josserand1983mixtec		
prom01	swanton2020observaciones		
reye11	josserand1983mixtec		
sayu11	josserand1983mixtec		
sind11	josserand1983mixtec		
sini11	josserand1983mixtec		
soso11	josserand1983mixtec		
soya11	josserand1983mixtec		
tama11	josserand1983mixtec		
tama12	josserand1983mixtec		
tata11	josserand1983mixtec		
teco11	josserand1983mixtec		
teit11	josserand1983mixtec		
tejo11	josserand1983mixtec		
tepe03	belmar1902el-cuicateco		
tepe11	josserand1983mixtec		
tepe12	josserand1983mixtec		
tepo01	alvarado1593vocabulario		
tepo11	josserand1983mixtec		
tida11	josserand1983mixtec		
tila11	josserand1983mixtec		
tlac11	josserand1983mixtec		
tlac12	josserand1983mixtec		
tlah11	oxnard2020		
tlal11	josserand1983mixtec		
tlaz11	josserand1983mixtec		
tona11	josserand1983mixtec		
toto12	josserand1983mixtec		
tutu11	josserand1983mixtec		
xaya11	durr1987preliminary		
xaya11	josserand1983mixtec		
xaya12	josserand1983mixtec		
xoch11	stark2013diccionario		
yolo11	amith2020yoloxochitl		
yolo11	josserand1983mixtec		
yolo12	josserand1983mixtec		
yoso11	farris1992syntactic		
yoso11	josserand1983mixtec		
yoso14	gittlen2016gramatica		
yucu11	josserand1983mixtec		
yucu12	josserand1983mixtec		
yucu13	josserand1983mixtec		
yucu14	josserand1983mixtec		
yucu15	josserand1983mixtec		
yucu16	josserand1983mixtec		
yucu16	swanton2020observaciones		
yucu17	salazar2020yucunani		
yuta11	josserand1983mixtec		
yuta12	josserand1983mixtec		
yuta13	williams2017diccionario		
zaca11	josserand1983mixtec		
zaca11	swanton2020observaciones		
zaca11	towne2011gramatica		
zapo11	josserand1983mixtec		
