IDlist,GLOSS,VALUE,FORM,ID,NOTES,DOCULECT,SOURCE
3,"padre, papá",tata,,2964,,tlah11,josserand1983mixtec
3,"padre, papá",tájtě,,2965,,pied12,josserand1983mixtec
3,"padre, papá",táta,,2966,,flor12,josserand1983mixtec
3,"padre, papá",tatá,,2967,,mont12,josserand1983mixtec
3,"padre, papá",tatà ,,2968,,mixt11,josserand1983mixtec
5,hijo/hija,se'è,,2969,,tlah11,josserand1983mixtec
5,hijo/hija,sè'e,,2970,,pied12,josserand1983mixtec
5,hijo/hija,se'é,,2971,,flor12,josserand1983mixtec
5,hijo/hija,jàya ,,2972,,mont12,josserand1983mixtec
5,hijo/hija,sè'e,,2973,,mixt11,josserand1983mixtec
8,hermana/hermano de otro genero,kuva,,2974,,tlah11,josserand1983mixtec
8,hermana/hermano de otro genero,kò'va,,2975,,pied12,josserand1983mixtec
8,hermana/hermano de otro genero,kò'vì,,2976,,flor12,josserand1983mixtec
8,hermana/hermano de otro genero,kìva,,2977,,mont12,josserand1983mixtec
9,hermano de hombre,yani,,2978,,tlah11,josserand1983mixtec
9,hermano de hombre,ñañî,,2979,,pied12,josserand1983mixtec
9,hermano de hombre,ñanì,,2980,,flor12,josserand1983mixtec
9,hermano de hombre,ñanì,,2981,,mont12,josserand1983mixtec
9,hermano de hombre,ñanì,,2982,,mixt11,josserand1983mixtec
10,hermana de mujer,ku'vì,,2983,,tlah11,josserand1983mixtec
10,hermana de mujer,ku'ù,,2984,,pied12,josserand1983mixtec
10,hermana de mujer,ku'ì,,2985,,flor12,josserand1983mixtec
10,hermana de mujer,kìvì,,2986,,mont12,josserand1983mixtec
11,tía,xixi,,2987,,tlah11,josserand1983mixtec
11,tía,xixi,,2988,,pied12,josserand1983mixtec
11,tía,xíxi,,2989,,flor12,josserand1983mixtec
11,tía,,,2990,,mont12,josserand1983mixtec
12,tío,xito,,2991,,tlah11,josserand1983mixtec
12,tío,xito,,2992,,pied12,josserand1983mixtec
12,tío,xito,,2993,,flor12,josserand1983mixtec
12,tío,xitò,,2994,,mont12,josserand1983mixtec
13,hombre,tàa,,2995,,tlah11,josserand1983mixtec
13,hombre,tsiàja ,,2996,,pied12,josserand1983mixtec
13,hombre,tsiàja,,2997,,flor12,josserand1983mixtec
13,hombre,tyàa,,2998,,mont12,josserand1983mixtec
13,hombre,chàa,,2999,,mixt11,josserand1983mixtec
14,mujer,sí'i,,3000,,tlah11,josserand1983mixtec
14,mujer,si'i,,3001,,flor12,josserand1983mixtec
14,mujer,ñá'a,,3002,,tlah11,josserand1983mixtec
15,dueño,xto'o,,3003,,tlah11,josserand1983mixtec
15,dueño,xìto'ô,,3004,,pied12,josserand1983mixtec
15,dueño,nà xi'ìn ña'à,,3005,,flor12,josserand1983mixtec
15,dueño,sìtoò,,3006,,mont12,josserand1983mixtec
15,dueño,sto'o,,3007,,mixt11,josserand1983mixtec
16,sacerdote,sùtu,,3008,,tlah11,josserand1983mixtec
16,sacerdote,sujtù,,3009,,pied12,josserand1983mixtec
16,sacerdote,sùjtù,,3010,,flor12,josserand1983mixtec
16,sacerdote,jùtì,,3011,,mont12,josserand1983mixtec
16,sacerdote,sùtù,,3012,,mixt11,josserand1983mixtec
17,sangre,nìín,,3013,,tlah11,josserand1983mixtec
17,sangre,nìjǐ,,3014,,pied12,josserand1983mixtec
17,sangre,nìjǐ,,3015,,flor12,josserand1983mixtec
17,sangre,nììn,,3016,,mont12,josserand1983mixtec
17,sangre,nìín,,3017,,mixt11,josserand1983mixtec
18,hueso,leké,,3018,,tlah11,josserand1983mixtec
18,hueso,ìkin,,3019,,pied12,josserand1983mixtec
18,hueso,ikǐ,,3020,,flor12,josserand1983mixtec
18,hueso,lasa,,3021,,mont12,josserand1983mixtec
18,hueso,íkí ché'é,,3022,,mixt11,josserand1983mixtec
19,pelo,ixin,,3023,,tlah11,josserand1983mixtec
19,pelo,ixǐ,,3024,,pied12,josserand1983mixtec
19,pelo,ijxǐ,,3025,,flor12,josserand1983mixtec
19,pelo,ixì,,3026,,mont12,josserand1983mixtec
19,pelo,ixî,,3027,,mixt11,josserand1983mixtec
20,cara,nùú,,3028,,tlah11,josserand1983mixtec
20,cara,nùjǔ,,3029,,pied12,josserand1983mixtec
20,cara,nùjǔn,,3030,,flor12,josserand1983mixtec
20,cara,nòò,,3031,,mont12,josserand1983mixtec
20,cara,nùún,,3032,,mixt11,josserand1983mixtec
21,lengua,yáǎ,,3033,,tlah11,josserand1983mixtec
21,lengua,yajǎ,,3034,,pied12,josserand1983mixtec
21,lengua,yajǎ,,3035,,flor12,josserand1983mixtec
21,lengua,,,3036,,mont12,josserand1983mixtec
22,diente,ñù'un,,3037,,tlah11,josserand1983mixtec
22,diente,nù'u,,3038,,pied12,josserand1983mixtec
22,diente,nù'un,,3039,,flor12,josserand1983mixtec
22,diente,nò'on,,3040,,mont12,josserand1983mixtec
22,diente,nù'un,,3041,,mixt11,josserand1983mixtec
23,boca,yu'ú,,3042,,tlah11,josserand1983mixtec
23,boca,yu'ǔ,,3043,,pied12,josserand1983mixtec
23,boca,yu'ǔ,,3044,,flor12,josserand1983mixtec
23,boca,yu'ù,,3045,,mont12,josserand1983mixtec
23,boca,yu'ú,,3046,,mixt11,josserand1983mixtec
24,oreja,sò'o,,3047,,tlah11,josserand1983mixtec
24,oreja,sò'o,,3048,,pied12,josserand1983mixtec
24,oreja,sò'o,,3049,,flor12,josserand1983mixtec
24,oreja,jò'o,,3050,,mont12,josserand1983mixtec
24,oreja,só'o,,3051,,mixt11,josserand1983mixtec
25,nariz,xìtín,,3052,,tlah11,josserand1983mixtec
25,nariz,xitsǐn,,3053,,pied12,josserand1983mixtec
25,nariz,xijtsǐn,,3054,,flor12,josserand1983mixtec
25,nariz,xìtì,,3055,,mont12,josserand1983mixtec
25,nariz,xìchǐ,,3056,,mixt11,josserand1983mixtec
26,cuello ,sùkú,,3057,,tlah11,josserand1983mixtec
26,cuello ,sokǔn,,3058,,pied12,josserand1983mixtec
26,cuello ,sojkǔn,,3059,,flor12,josserand1983mixtec
26,cuello ,jìkò,,3060,,mont12,josserand1983mixtec
26,cuello ,sùkǔ,,3061,,mixt11,josserand1983mixtec
27,mano,nda'á,,3062,,tlah11,josserand1983mixtec
27,mano,nta'ǎ,,3063,,pied12,josserand1983mixtec
27,mano,nta'ǎ,,3064,,flor12,josserand1983mixtec
27,mano,ndaà,,3065,,mont12,josserand1983mixtec
27,mano,nda'á,,3066,,mixt11,josserand1983mixtec
28,uña,chiǐ,,3067,,tlah11,josserand1983mixtec
28,uña,chíjǐn,,3068,,pied12,josserand1983mixtec
28,uña,chíjǐn,,3069,,flor12,josserand1983mixtec
28,uña,chiín,,3070,,mont12,josserand1983mixtec
28,uña,chîín,,3071,,mixt11,josserand1983mixtec
29,espalda,sàtá,,3072,,tlah11,josserand1983mixtec
29,espalda,sàjtǎ,,3073,,pied12,josserand1983mixtec
29,espalda,sàtǎ,,3074,,flor12,josserand1983mixtec
29,espalda,sàtà,,3075,,mont12,josserand1983mixtec
29,espalda,sàta,,3076,,mixt11,josserand1983mixtec
30,estómago,tìxin,,3077,,tlah11,josserand1983mixtec
30,estómago,nchìxìn,,3078,,pied12,josserand1983mixtec
30,estómago,xìtsivà,,3079,,flor12,josserand1983mixtec
30,estómago,tìsi,,3080,,mont12,josserand1983mixtec
31,tripa,siti,,3081,,tlah11,josserand1983mixtec
31,tripa,xitsîn,,3082,,pied12,josserand1983mixtec
31,tripa,xitsi,,3083,,flor12,josserand1983mixtec
31,tripa,sutì,,3084,,mont12,josserand1983mixtec
31,tripa,tsitì,,3085,,mixt11,josserand1983mixtec
32,pie,xa'á,,3086,,tlah11,josserand1983mixtec
32,pie,xà'ǎ,,3087,,pied12,josserand1983mixtec
32,pie,xa'ǎ,,3088,,flor12,josserand1983mixtec
32,pie,sà'à,,3089,,mont12,josserand1983mixtec
32,pie,tsa'á,,3090,,mixt11,josserand1983mixtec
33,enfermedad,kuè'è,,3091,,tlah11,josserand1983mixtec
33,enfermedad,kuè'è,,3092,,pied12,josserand1983mixtec
33,enfermedad,kuè'è,,3093,,flor12,josserand1983mixtec
33,enfermedad,kuè'è,,3094,,mont12,josserand1983mixtec
33,enfermedad,kwè'è,,3095,,mixt11,josserand1983mixtec
34,medicina,tàtán,,3096,,tlah11,josserand1983mixtec
34,medicina,tàjtǎn,,3097,,pied12,josserand1983mixtec
34,medicina,tàjtǎn,,3098,,flor12,josserand1983mixtec
34,medicina,,,3099,,mont12,josserand1983mixtec
35,hinchazón,kwiñu,,3100,,tlah11,josserand1983mixtec
35,hinchazón,kuiñu,,3101,,pied12,josserand1983mixtec
35,hinchazón,kuiñu,,3102,,flor12,josserand1983mixtec
35,hinchazón,kuiñu,,3103,,mont12,josserand1983mixtec
35,hinchazón,kwiñu,,3104,,mixt11,josserand1983mixtec
36,grano ,ndì'i,,3105,,tlah11,josserand1983mixtec
36,grano ,ntsì'i,,3106,,pied12,josserand1983mixtec
36,grano ,ntsi'í,,3107,,flor12,josserand1983mixtec
36,grano ,ndì'i,,3108,,mont12,josserand1983mixtec
36,grano ,ndì'in,,3109,,mixt11,josserand1983mixtec
37,pus,lakwá,,3110,,tlah11,josserand1983mixtec
37,pus,ntajkuà,,3111,,pied12,josserand1983mixtec
37,pus,ndajkua,,3112,,flor12,josserand1983mixtec
37,pus,ndakuà,,3113,,mont12,josserand1983mixtec
37,pus,ndakwà,,3114,,mixt11,josserand1983mixtec
38,orina,láxa,,3115,,tlah11,josserand1983mixtec
38,orina,lǎxa,,3116,,pied12,josserand1983mixtec
38,orina,láxa,,3117,,flor12,josserand1983mixtec
38,orina,tìlàlá,,3118,,mont12,josserand1983mixtec
38,orina,nché xàxà,,3119,,mixt11,josserand1983mixtec
39,ropa,samá,,3120,,tlah11,josserand1983mixtec
39,ropa,tsiǎà,,3121,,pied12,josserand1983mixtec
39,ropa,tsiǎà,,3122,,flor12,josserand1983mixtec
39,ropa,jàmà,,3123,,mont12,josserand1983mixtec
39,ropa,sa'mǎ,,3124,,mixt11,josserand1983mixtec
40,huarache,ndìxán,,3125,,tlah11,josserand1983mixtec
40,huarache,nchìxǎn ,,3126,,pied12,josserand1983mixtec
40,huarache,ntsìxǎn,,3127,,flor12,josserand1983mixtec
40,huarache,ndìsà,,3128,,mont12,josserand1983mixtec
40,huarache,ntsìtsǎ,,3129,,mixt11,josserand1983mixtec
41,pantalón,xatu,,3130,,tlah11,josserand1983mixtec
41,pantalón,xajtû,,3131,,pied12,josserand1983mixtec
41,pantalón,xajtû,,3132,,flor12,josserand1983mixtec
41,pantalón,satì,,3133,,mont12,josserand1983mixtec
41,pantalón,tsatù,,3134,,mixt11,josserand1983mixtec
42,huipil,sa'má ndá'vi,,3135,,tlah11,josserand1983mixtec
42,huipil,,,3136,,pied12,josserand1983mixtec
42,huipil,,,3137,,flor12,josserand1983mixtec
42,huipil,,,3138,,mont12,josserand1983mixtec
42,huipil,sa'mǎ kwitsì,,3139,,mixt11,josserand1983mixtec
43,pueblo,ñuun,,3140,,tlah11,josserand1983mixtec
43,pueblo,ñuù,,3141,,pied12,josserand1983mixtec
43,pueblo,ñuù,,3142,,flor12,josserand1983mixtec
43,pueblo,ñoò,,3143,,mont12,josserand1983mixtec
43,pueblo,ñǔun,,3144,,mixt11,josserand1983mixtec
44,casa,ve'e,,3145,,tlah11,josserand1983mixtec
44,casa,ve'e,,3146,,pied12,josserand1983mixtec
44,casa,ve'e,,3147,,flor12,josserand1983mixtec
44,casa,ve'e,,3148,,mont12,josserand1983mixtec
44,casa,ve'e,,3149,,mixt11,josserand1983mixtec
45,camino,ichí,,3150,,tlah11,josserand1983mixtec
45,camino,ichǐ,,3151,,pied12,josserand1983mixtec
45,camino,ichǐ,,3152,,flor12,josserand1983mixtec
45,camino,ichì,,3153,,mont12,josserand1983mixtec
45,camino,ichǐ,,3154,,mixt11,josserand1983mixtec
46,horcón,si'ìn,,3155,,tlah11,josserand1983mixtec
46,horcón,sì'ìn,,3156,,pied12,josserand1983mixtec
46,horcón,si'ìn,,3157,,flor12,josserand1983mixtec
46,horcón,tìjìn,,3158,,mont12,josserand1983mixtec
46,horcón,,,3159,,mixt11,josserand1983mixtec
47,petate,yuví,,3160,,tlah11,josserand1983mixtec
47,petate,yivǐ,,3161,,pied12,josserand1983mixtec
47,petate,yijvǐ,,3162,,flor12,josserand1983mixtec
47,petate,yivì,,3163,,mont12,josserand1983mixtec
47,petate,yuvǐ,,3164,,mixt11,josserand1983mixtec
48,cama,xìto,,3165,,tlah11,josserand1983mixtec
48,cama,xìto,,3166,,pied12,josserand1983mixtec
48,cama,xìjto,,3167,,flor12,josserand1983mixtec
48,cama,sìto,,3168,,mont12,josserand1983mixtec
