"ID",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188
"Spanish","lluvia","maguey","petate","cuatro","pluma","cola","cera","nariz","palabra","está cerca","árbol","venado","manteca","olor","tortilla","vomita","flojo","cama","comal","culpa","frijol","agua","río","lodo","hermano de h.","tres","diente","cinco","amargo","carne","rojo","se fue","siete","hilo","animal","se acaba","blanquillo","espuma","sangre","marido","sal","red","jícara","calabaza","tejón coatí","comida","salado","huipil","trabajo","algodón","viento ","hombre","redondon","horno","cajón","zancudo","esperar","podrido","agarrar","tendón","soplar","cuarta","dueño","poner (huevo)","grande (sg.)","cuello","va a venir","cuerno","culebra","feo","cerro","armadillo","chueco","año","ceja","pus","demonio","amarillo","coser","va a cargar","aquel","abajo","toda la noche","caliente","maíz","pared","temprano","abierto","ocho","jitomate","ejote","mitad","caña","olla","aguardiente","miel","sobaco","espiga","gente","pueblo","humo","comer","gavilán","verdad","lumbre ","seis","uņa","rastrojo","masa","hijo ","catarro","bueno","porque","este mismo","ya viene","basura","gato","nopal","pie","cortar","quince","tripas","diez","frío","huarache","horcón","nombre","cacao","oreja","sabroso","cerrado","pasado mañana","dulce","ahora","agujero","tiene miedo","pobre","dos","alacrán","salir","pintar","rata","hinchazón","grano","truena","arco iris","pájaro","rana","ombligo","orina","chachalaca","lisa","chico","día","cuándo","llano","cómo","cargar","cucaracha","pegamento","enfermedad","ver","despacio","casa","mamey","moler","ala","banquito","milpa","ayer","otro","peine","se nació","sabio","piedra","boca","yo","rocío","hierba","surco","calzón","sacerdote","fierro","sabrá","ardilla","floja","pesado","tobaco"
"English","rain","agave","straw mat","four","feather","tail","wax","nose","word","near","tree","deer","lard","smell","tortilla","vomits","lazy","bed","griddle","sin","bean","water","river","mud","man's brother","three","tooth","five","bitter","meat","red","(he) went","seven","thread","animal","it finishes","egg","foam","blood","husband","salt","net bag","gourd","squash","coati","food","salty","blouse","work","cotton","wind","man","round","oven","box / drawer","mosquito","wait for","rotten","grab","tendon","blow","handspan","owner","lay (egg)","big (sg.)","neck","will come","horn","snake","ugly","hill","armadillo","crooked","year","eyebrow","pus","demon","yellow","sew","will carry","that","below","all night","hot","grain of corn","wall","early","open","eight","tomato","green bean","half","cane","clay pot","liquor","honey","armpit","tassel","people","town","smoke","eat","hawk","truth","fire","six","fingernail","cornstalk","cornmeal","child","cold, phlegm","good","because","this one","is coming","trash","cat","prickly pear","foot","cut","fifteen","guts","ten","cold","sandal","housepot","name","cacao","ear","tasty","closed","day after tomorrow","sweet","now","hole","afraid","poor","two","scorpion","go out","paint","rat","swelling","pimple","it thunders","rainbow","bird","frog","navel","urine","chachalaca","smooth","little","day","when","plain","how","carry","cockroach","glue","sickness","see","slow","house","mamey","grind","wing","stool","cornfield","yesterday","other","comb","be born","smart","stone","mouth","I","dew","brush","furrow","trousers","priest","brand","will know","squirrel","loose","heavy","tobacco"
"P-Mixtec","*sawiʔ","*yawiʔ","*yuwiʔ","*kɨwɨ̧ʔ","*towi̧","*luʔwȩʔ","*yuwȩʔ","*siti̧ʔ","*toʔo̧","*yeti̧","*yutu̧ʔ","*isu","*seʔȩ","*siko","*sitaʔ","*ⁿduxȩʔ","*suxȩʔ","*sito","*xiyoʔ","*kʷeti","*ⁿdutiʔ","*ⁿdute","*yute","*ⁿdeʔyu","*yeni","*oni","*noʔo","*oʔo","*owe","*koyo̧","*kʷeʔe","*kʷeʔȩ","*uxe","*yuʔwe","*kɨtɨʔ","*ⁿdɨʔɨʔ","*ⁿdɨwɨʔ","*tɨ iyu̧","*nɨyi̧ʔ","*yɨɨʔ","*yɨɨ̧ʔ","*yonoʔ","*yexi̧ʔ","*yɨkɨ̧ʔ","*yɨyɨ","*ⁿdeyuʔ","*oʔwe","*siko","*tiyo","*katiʔ","*tatiʔ","*teye","*kute","*xity","*xetu̧ʔ","*tɨ kʷeyɨʔ","*ⁿdetuʔ","*teʔyu","*tɨɨ̧ʔ","*tuti","*tɨwɨ","*too","*xi toʔo","*xeki̧","*kaʔnuʔ","*suku̧ʔ","*kixi","*nđɨkɨʔ","*kooʔ","*kini","*yukuʔ","*yakʷi̧ʔ","*yakʷeʔ","*kʷiya","*sɨkʷa","*lakʷa","*kʷiʔna","*kʷaa̧","*ku ɨku","*ku iso","*yuku a̧","*nino","*niyu ","*iʔniʔ","*noniʔ","*nawa̧","*neʔe","*nuneʔ","*one","*tɨ lanaʔ","*ⁿditi","*sawa","*ⁿdooʔ","*kɨsɨ","*ⁿdɨsɨ","*ⁿdusi","*leʔyiʔ","*yokoʔ","*ye yɨwɨʔ","*yuu̧","*yuʔwȩ","*xexiʔ","*tasu̧ʔ","*ⁿdixe","*yuʔu̧","*iyo̧","*tiyi̧ʔ","*yawa̧ʔ","*yuxȩʔ","*saʔyi","*sayu","*waʔa","*wati","*weyȩ","*wexi","*wiʔiʔ","*wiluʔ","*wiʔⁿdeʔ","*xeʔe","*xeʔⁿde","*xeʔu̧ <*uxioʔo̧","*xɨtɨ","*uxi","*wixi̧","*ⁿdixȩʔ","*sɨʔɨ̧","*sɨwɨʔ","*sɨʔwa","*loʔo","*asɨ̧ʔ","*ⁿdesɨ","*isa","*wisi̧","*witi̧","*yawi","*yuʔwi","*ⁿdaʔwi","*uwi","*tɨ luʔwȩʔ","*keyiʔ","*kaʔyu","*tɨyɨ̧ʔ","*kʷɨyɨ̧","*ⁿdɨʔyɨ","*kaʔⁿdɨ","*koo yeʔⁿdiʔ","*tɨ laa","*laʔwa","*leⁿdu","*lele","*laxȩʔ","*lɨʔwɨʔ","*luʔu","*kɨwɨʔ","*awa̧","*yosoʔ","*ⁿdese","*ⁿdisoʔ","*tɨ teʔyaʔ","*ⁿdeka","*kʷeʔyi","*ⁿdeyʔa","*kʷeye","*weʔyi","*ⁿdikaʔ","*ⁿdikoʔ","*ⁿdixi̧","*teyu","*itu","*iku","*tuku","*kuka","*ni kaku","*tuʔwe","*yuuʔ","*yuʔuʔ","*yuʔu","*yuyu","*yuku","*yuku̧","*xetu","*sutu","*tuni","*kuni","*kʷeyu̧ʔ","*taya","*weyi","*ino"
"Ñumi","sau","žau","žuu","ku̧u̧","tnu̧u̧","[ⁿdoʔo]","yu̧ma̧","stni̧i̧","tno̧ʔo̧","žatni̧","žutnu̧","isu ","šȩʔȩ","šiko","staa","ⁿduxa̧","[ku kuši]","xito","xiyo","kʷeči","ⁿduči","ⁿdute","žute","ⁿdeʔi","y̧a̧ni̧","u̧ni̧","no̧ʔo̧","u̧ʔu̧","uwa","ku̧y̧u̧/ku̧ņu̧","kʷaʔa","kʷa̧ʔa̧","uxa","žuʔa","kiti","ⁿdiʔi","ⁿdiƀi","ti i̧ņu̧","ni̧ņi̧",,"y̧i̧i̧","y̧u̧nu̧","žaxi̧","žiki̧","žiži=mapache",,"[aše]","[su̧ʔnu̧]","tnu̧u̧","kači","tači","te žii","(ti) kute","xitnu̧","xatnu̧","ti kʷaņi̧/ti kʷayi̧","ⁿdetu","teʔi","tni̧i̧","tuči","[tʸu tači]","too","[lamo]","xaki̧","kaʔnu̧","suku̧","kii","ⁿdiki","koo","[ⁿdeʔe kaa]","žuku",,"žakʷa","kʷia","sukʷa","ⁿdakʷa","[tači]/kʷi̧ʔņa=lađrón","(xa) kʷa̧a̧","kiku","kʷiso","žuu","[ⁿde ƀee]","ņu̧nȩ","i̧ʔni̧","nu̧ni̧","[žika]","nȩʔȩ","nu̧nȩ","u̧na̧","ti na̧na̧","ⁿdiči","sawa","ⁿdoo","kisi","[te šeʔe]/ⁿdiši=pulque","ⁿduši","či šeʔe","žoko","ņa̧ žiu","ņu̧u̧/y̧u̧u̧","y̧u̧ʔa̧","xaa","[ši̧ʔa̧]/tasu̧","ⁿdixa","ņu̧ʔu̧/y̧u̧ʔu̧","i̧y̧u̧/i̧ņu̧","tni̧ni̧","y̧a̧ma̧","žuxa̧","seʔe","kʷeʔe kažu","ƀaʔa","či","ma̧a̧","waxi","mi̧ʔi̧","ƀilu","ƀi̧ʔⁿde","xaʔa","xa̧ʔⁿde","ša̧ʔu̧","xiti","uši","ƀixi̧","ⁿdixa̧","si̧ʔi̧","siƀi",,"soʔo","asi̧",,"(ⁿde) isa","ƀiši̧","ƀitna̧","žau","žuʔu","ⁿdaʔu","uu","ti su̧ʔa̧","kee","kaʔi","tni̧ņi̧","(ka) kʷi̧ņo̧/[xaa]","ⁿdiʔi","ka̧ʔⁿdi","ti ko žȩʔⁿde","ti saa","saʔƀa/[likʷii]","šȩⁿdu",,"(či̧u̧) ⁿdaxa̧","[liso]","lulu","kiu","[na̧ kiu]/na̧ʔma̧","žoso","na̧ša(a)","xiso","[ⁿdi teʔa]","[pegamento]","kʷeʔe","ⁿdʸaʔa","kʷee","weʔe","[mamey]","ⁿdiko","ⁿdixi̧","tei","itu","iku",,"kʷika","kaku","[y̧a̧ma̧]","žuu","žuʔu","[ma̧a̧-ni̧]","žužu","žuku","žuku̧","[kalso̧n]","sutu","tnu̧ni̧","[ko ⁿdaʸaʔa]","kʷa̧nu̧","taža","ƀee","i̧nu̧=cigarro"
"Achi","(kú̧ú̧) saƀi","žaƀi","žúú","tNu̧u̧","tNu̧u̧","su̧ʔma̧","ņu̧ma̧","šitNi̧","tNu̧ʔu̧","žatNi̧","žutNu̧","isu","šȩʔȩ","(xa̧a̧) šiko","šita",,"[kuši]","xito","xio","kʷeči","ⁿduči","ⁿdute","žute","ⁿdeʔžu","ņa̧ni̧","u̧ni̧","nu̧ʔu̧","u̧ʔu̧","uwa","ku̧ņu̧","kʷaʔa","kʷa̧ʔa̧","uxa","žuʔƀa","kiti","ⁿdiʔi","ⁿdiƀi","ti ʔi̧ņu̧","ni̧ņi̧","žii","ņi̧i̧","ņu̧nu̧","žaxi̧",,"[ma̧ʔa̧]","ⁿdežu","uʔwa","[su̧ʔnu̧]=camisa","sa tiu","kači","tači","te žii","[ti ⁿduu]","ʔšitnu̧",,"kʷaņi̧","ⁿdetu","teʔžu","tNi̧i̧","tuči","tiƀi","[ni̧ kani̧]","[ma̧a̧ ⁿdi]","[so nȩȩ]","kaʔnu̧","suku̧","kia","ⁿdiki","koo","kini̧","žuku","žaku̧","žakʷa","kʷi̧aa","sukʷa","lakʷa=moco","kʷi̧ʔņa=lađrón","kʷa̧a̧","kiku","xiso","žuka̧","[xaʔi]","[xa kʷaa]","i̧ʔni̧","nu̧ni̧","na̧ma̧","nȩʔȩ","nu̧nȩ","u̧na̧","ti na̧na̧","ⁿdiči","saƀa","ⁿdoo","kisi","ⁿdiši","ⁿduši",,"žoko","ņa̧ žiƀi","ņu̧u̧","ņu̧ʔma̧","xaa","[ši̧ʔņa̧]/[ņa̧mi̧]","[ka ⁿdaā]","ņu̧ʔu̧","i̧ņu̧","tNi̧i̧","ņa̧ma̧","žuxa̧","seʔe","sažu","ƀaʔa","[ņa kuu]","ma̧a̧","ƀaxi","mi̧ʔi̧","ƀilu","ƀi̧ʔⁿde","[si̧ʔi̧]","xȩʔⁿde","xaʔu̧","xiti","uši","ƀixi̧","ⁿdixa̧","ti si̧ʔi̧","[na̧ni̧]",,"soʔo","asi","ⁿdesi","isa","xa ƀisi","ƀitNa̧",,"žuʔu","ⁿdaʔƀi","uu",,"ke koo",,"tni̧ņi̧","kʷi̧ņu̧",,"ka̧ʔⁿdi","xȩʔⁿde žoo","ti saa",,,,,,"luli","kiƀi","na̧ ʔa̧ma̧","žoso","na̧ša","ⁿdiso",,"[kiši]","kʷeʔe","xito ⁿdee","kʷee","ƀeʔe",,"ⁿdiko","ⁿdixi̧",,"itu","iku","tuku","kukʷa","kaku","[ņa̧ma̧]","žuu","žuʔu","[ma̧a̧-ⁿdi]","žužu","žuku",,,"sutu","[kaa]",,"kʷa̧nu̧","ni̧ taža","ƀee","i̧nu̧"
"Yuca","sawi","žawi","žuu","ku̧u̧","tnu̧u̧","su̧ʔma̧","ņu̧ma̧","ṣ̌itni̧","tnu̧ʔu̧","žatNi̧","žutnu̧","isu","ṣ̌ȩʔȩ","šiko","ṣ̌ita","ⁿduxa̧","[kuṣ̌i]","xito","xižo","kʷeči","ⁿduči","ⁿdute","ʐ̌ute","ⁿdeʔžu","ņa̧ni̧","u̧ni̧","nu̧ʔu̧","u̧ʔu̧","uwa","ku̧ņu̧","kʷeʔe","kʷa̧ʔa̧","uxa","žuʔwa","kiti","ⁿdiʔi","ⁿdiwi","ti i̧ņu̧","ni̧ņi̧","žii","ņi̧i̧","ņu̧nu̧","žaxi̧","žikⁿ","žiži","ⁿdežu","uʔwa","šiku","(t)ni̧ņu̧/(t)ni̧ņo̧","kači","tači","tee","[ti ⁿduu]/ ti kute","xiNnu̧/xitnu̧","xatnu̧","ti kʷeņȩ/ti kʷeņi̧","ⁿdetu","toʔžu","tni̧i̧","tuči","tiwi [tači]","too","xi toʔo","xaki̧","kaʔnu̧","suku̧","kee/kixi","ⁿdiki","koo","ka kini̧","žuku","žaku̧","žakʷa","kʷiža","[iši skiti nu̧u̧]","ⁿdakʷa","[tači]/te kʷi̧ʔna̧","kʷa̧a̧","(na̧) kiku","kʷiso","žukʷa",,"ni̧ņu̧","i̧ʔni̧","nu̧ni̧","na̧ma̧","(ⁿde) nȩʔȩ","nu̧nȩ/[xa̧na̧]","u̧na̧","ti na̧na̧","ⁿdiči","sawa","ⁿdoo","kisi","ⁿdiṣ̌i=pulque","ⁿduši","či šeʔe","žoko","ņa̧ žiƀi/ņa̧ žiwi","ņu̧u̧","ņu̧ʔma̧","xaxi","[ņa̧mi̧]/[ši̧ʔņa̧]/tasu̧","ⁿdixa","ņu̧ʔu̧","i̧ņu̧","tni̧ņi̧","žaka/ņa̧ma̧ =husk =totomoxtle","žuxa̧","seʔe","sažu","waʔa","či","ma̧a̧","ƀaxi/waxi","mi̧ʔi̧","ƀilu/wilu","wi̧ʔⁿde","xaʔa","xa̧ʔⁿde","xa̧ʔu̧","xɨtɨ","uxi","wixi̧/ƀiši̧","ⁿdixa̧","si̧ʔi̧",,"[kakao]","soʔo","asi̧","ⁿdesi","isa","ƀiṣ̌i̧/wiṣ̌i̧/wisi̧","witna̧","ža̧wi","žuʔu","ⁿdaʔwi","uu","ti su̧ʔma̧","kee","(na̧) kaʔžu","tni̧ņi̧","[we nȩņu̧]","ⁿdiʔži","ka̧ʔⁿdi","ti ko ža̧ʔⁿdi","ti saa","saʔƀa/saʔwa","[xiti koʔo]","[čii]","[či koro]","[ⁿdii]/ⁿdiʔwi","luli","kiwi/kiƀi","na̧ a̧ma̧","žoso","na̧sa/na̧ṣ̌a","ⁿdiso","ti teʔya","ⁿdeka","kʷeʔe","xito ⁿdee","kʷee-ni","weʔe","ⁿdika ⁿdaži","ⁿdiko","ⁿdixi̧","težu","[wižu]","iku","tuku","kukʷa","kaku",,"žuu","žuʔu","[ma̧a̧ta]/[ma̧a̧sa]","žužu","[kuʔu]","žuku̧","xatu","sutu","[kaa]/[žeŗu]","ku̧nȩ","kʷȩnȩ",,"wee","(ⁿdaʔa) i̧nu̧"
"Peña","saƀi","žaƀi","žuu","ku̧u̧","tnu̧mi̧","su̧ʔma̧","ņu̧ma̧","šitni̧","tnu̧ʔu̧","žatni̧","žutnu̧","isu","šȩʔȩ","šiko","staa",,,"xito","xižo",,"ⁿduči","ⁿdute","žute","ⁿdeʔžu","ņa̧ni̧","u̧ni̧",,"u̧ʔu̧",,"ku̧ņu̧","kʷaʔa","[xa̧ʔa̧]","uxa","žuʔƀa","kiti",,"ⁿdiƀi","ti ʔi̧ņu̧","ni̧ņi̧","žii","ņi̧i̧","ņu̧nu̧","ņa̧xi̧","žiki̧","[ma̧ʔa̧]",,,,"ni̧ņu̧","kači","tači","tee","ti kute",,"[kaxa]","ti kʷa̧ņi̧","ⁿdetu","ⁿdeʔžu","ni̧i̧",,"tiƀi",,,,"kaʔnu̧","suku̧","kii","ⁿdiki",,,"žuku",,,"kʷiya/kʷiža",,"ⁿdakʷa",,"kʷa̧a̧","kiku","ku ⁿdiso","žuka̧",,,,"nu̧ni̧","[žika]","ⁿde nȩʔȩ","[xa̧na̧]","u̧na̧",,,"saƀa","ⁿdoo",,"ⁿdiši","ⁿduši","či šeʔe",,"ņa̧ žiƀi","ņu̧u̧","ņu̧ʔma̧","xaa(ti)",,,"ņu̧ʔu̧","i̧ņu̧","tni̧i̧",,"ņu̧xa̧","seʔe",,,"či","ma̧a̧","ƀe(e)",,"ƀilu",,"xaʔa","xȩʔⁿde","su̧ʔu̧","[čii]","uši","ƀixi","ⁿdixa",,"siƀi","[kakao]","soʔo",,"[kasi]",,"ƀiši",,,"žuʔu","ⁿdaʔƀi","uu",,,,"[liᵑgi]",,"ⁿdiʔi","ᵑga̧ʔⁿdi",,"saa","[sapu]",,,,,"luli","kiƀi","[ⁿde kiƀi]","[ⁿduʔƀa]","na̧sa","ⁿdiso",,,"kʷeʔe",,"kʷee","ƀeʔe",,,,"[ƀa̧ᵑgu]",,"iku","[i̧ᵑga ƀuelta]",,,,"žuu","žuʔu","luʔu/[ma̧a̧li]",,,,,,,"kuʔi̧ni̧","kʷa̧ni̧","taža","ƀee",
"Tata","đau","šau","žuu","ku̧u̧","Nnu̧u̧","đu̧ʔma̧","ņu̧ma̧","điNni̧","Nnu̧ʔu̧","[ņa̧ʔa̧]","šuNnu̧","iđu","đȩʔȩ","điko","đita",,,"ito","io",,"ⁿdiči","ⁿdute","žute",,"ņa̧ni̧","u̧ni̧",,"u̧ʔu̧",,,"kʷeʔe","kʷa̧ʔa̧","uša","žuʔa","kɨtɨ",,"ⁿdɨu","ti ʔi̧ņu̧","nɨ̧ņɨ̧","žɨɨ","ņɨ̧ɨ̧",,"šaxi̧","žɨ̧kɨ̧","šɨyɨ",,,,"Nni̧o̧","kači","tači","tee","ti kute","iʔNnu̧","[kaxa]","ti ku̧i̧(i̧)","ⁿdetu",,"Nnɨ̧ɨ̧",,"tiu",,,,"kaʔnu̧","đuku̧","kee","ⁿdɨkɨ",,,"žuku",,,"kʷia",,"ⁿdakʷa",,"kʷa̧a̧","kɨku","kʷiđo","(i̧)ᵑga",,,,"nu̧ni̧","na̧ma̧","ⁿde nȩʔȩ","[ⁿdɨka]","u̧na̧",,,"đaƀa","ⁿdoo",,"[agʷarđʸente]","ⁿduđi","či đeʔe",,"ņa̧ žiu","ņu̧u̧","ņu̧ʔma̧","šei/šai",,,"ņu̧ʔu̧","i̧ņu̧","Nni̧i̧",,"žusȩ","đaʔi",,,"či","ma̧a̧","ƀai",,"ƀilu",,"šeʔe","ka̧ʔⁿde","ša̧ʔu̧",,"uši","ƀixi̧","ⁿdiʔxi̧",,"điu","đuʔa","đoʔo",,"[kađi]",,"ƀiđi",,,,"ⁿdaʔu","uu",,,,"sNnɨ̧ņɨ̧",,"ⁿdɨʔyɨ","ka̧ʔⁿdɨ",,"đaa","đaʔwa",,,,,"luli","[ⁿduu]","na̧ a̧ma̧","žođo",,,,,"kʷeʔi","ⁿdeʔe","kʷee","ƀeʔe",,,,"teyu",,"iku",,,,,"yuu",,"[mȩȩⁿdi]",,,,,,,"[či̧na̧]","kʷȩni̧",,"ƀee",
"Teit","đawi","ṣ̌awi","ṣ̌uu","ku̧u̧","Nu̧u̧","đu̧ʔma̧","ņu̧ma̧","điNni̧","Nnu̧ʔu̧","ṣ̌aNni̧","ṣ̌uNnu̧","iđu","đȩʔȩ","(ņȩ) điko","đita","ⁿduxʸȩ/[ka̧na̧ⁿdaa]","[ku điʔi]","ito","iyo","te kweči","ⁿduči","ⁿdute","ṣ̌ute","ⁿdeʔyu","ņa̧ni̧","u̧ni̧","nu̧ʔu̧","u̧ʔu̧","(ku) uwa","ku̧ņu̧","kʷeʔe","kʷa̧ʔa̧","uṣǎ","šuʔwa","kiti","ⁿdiʔi","ⁿdiwi","ti i̧ņu̧","ni̧ņi̧","ṣ̌ii","ņi̧i̧","ņu̧nu̧","ṣ̌axi̧","ṣ̌iki̧","žiži","ⁿdeyu","uʔwa",,"Nni̧ņu̧","kači","tači","te šii","ti̧ kute","iNnu̧","ṣ̌eNnu̧","ti kʷeņi̧","ⁿdetu","teʔyu","Nni̧i̧","tuči","tiwi","too","xi toʔo","šeki̧","kaʔnu̧","đuku̧","kii","ⁿdiki","koo","[ⁿdeʔe]","ṣ̌uku","ṣ̌aki̧","[ti kʷiyi]/šakʷa","kʷiya","[điki teʔwa]","ⁿdakʷa","[tači]/kʷi̧ʔņa=ƀanđit","kʷa̧a̧","kiku","ku điđo /kʷiđo","ṣ̌uka̧","[kȩʔni̧ ka̧na̧]","ni̧ņu̧","i̧ʔni̧","nu̧ni̧","na̧ma̧","[ⁿdaNnȩȩ]/nȩʔȩ","nu̧nȩ","u̧na̧","ti na̧na̧","ⁿdiči","đawa","ⁿdoo","kiđi","ⁿdiđi=tepache","ⁿduđi","či đeʔe","šoko","ņa̧ ṣ̌iwi","ņu̧u̧","ņu̧ʔma̧","žexi","[đi̧ʔņa̧]/tađu/[žaʔa]","[ⁿdaa]/ⁿdixʸa","ņu̧ʔu̧","i̧ņu̧","Nni̧ņi̧","ņa̧ma̧","šuŅņa̧","đeʔe","đayu","waʔa",,"ma̧a̧","wexi̧","mi̧ʔi̧","wilu","wi̧ʔⁿde","ṣ̌eʔe","žȩʔⁿde","ṣ̌a̧ʔu̧","iti","uṣ̌i","wixi̧","ⁿdiNņa̧","đi̧ʔi̧","điwi",,"đoʔo","ađi","[ⁿdiʔyu]","(ⁿde) iđa","wiđi","wi̧Na̧","ṣ̌awi","ṣ̌uʔu","ⁿdaʔwi","uu","ti đu̧ʔma̧","kee","đa kaʔyu","Nni̧ņi̧","kʷi̧ņu̧","ⁿdiʔi","ka̧ʔⁿdi","ti ko ša̧ʔⁿdi","ti đaa","đaʔwa","sȩⁿdu","đeđe","či ⁿda̧Nna̧","ⁿdiʔwi/[ⁿdii]","luli","kiwi","na̧ a̧ma̧","ṣ̌ođo","ⁿdee (đeko)","ⁿdiđo","ti teʔya","ⁿdeka","kʷeʔe","ⁿdee","kʷee(ni̧)","weʔe","ⁿdika","ⁿdiko","ⁿdixi̧","ti teyu","[wiyu]","iku","tuku","kuka","kaku",,"ṣ̌uu","ṣ̌uʔu",,"žužu","[kuʔu]","šuku̧","ṣ̌etu","đutu","[ṣ̌eŗu]","ni̧ i̧ni̧","kʷȩni̧","na̧ taya","wee","i̧nu̧"
"Moli","saƀi","žaƀi","žuu","ku̧u̧","tNu̧mi̧","su̧ʔma̧","ņu̧ma̧","stNi̧i̧","tNu̧ʔu̧","žatNi̧","žutNu̧","isu","ša̧ʔa̧","šiko","stāā",,"[kuši]","xīto","xižo","kʷeči","ⁿduči","ⁿdute","žute","ⁿdeʔža","ņa̧ni̧","u̧ni̧","nu̧ʔu̧","u̧ʔu̧","uwa","ku̧ņu̧","kʷaʔa","kʷa̧ʔa̧","uxa",,"kiti","ⁿdiʔi","ⁿdiƀi","ti ʔi̧ņu̧","ni̧ņi̧","žii","ņi̧i̧","ņu̧nu̧","ņa̧xi̧","žiki̧","[ma̧ʔa̧]",,"uʔwa","[su̧ʔnu̧]","tNi̧ņu̧","kači","tači","tēe",,"xitNu̧",,"ti kʷaņi̧","ⁿdetu","teʔžu","tNi̧i̧","tuči","tiƀi",,"xi tóʔo","xaki̧","kaʔnu̧","suku̧","kii","ⁿdiki","koo","kini̧","žuku","žaki̧","žakʷa","kʷiža","sukʷa","lakʷa","kʷi̧ʔņa","kʷa̧a̧","kiku","ku ⁿsoo","žuka̧","[čii]","[xa kiʔvi]=nighttime","i̧ʔni̧","nu̧ni̧","na̧ma̧/[žika]","nȩʔȩ","nu̧nȩ","u̧na̧","ti na̧na̧","ⁿdiči","sava","ⁿdoo","kisi","ⁿdiši","ⁿduši ņu̧ņu̧",,"žoko","ņa̧ živi","ņu̧u̧","ņu̧ʔma̧","xaa","tasu̧","ⁿdixa",,"i̧ņu̧","tNi̧ņi̧",,"ņu̧xa̧","sēʔe","sažu","ƀaʔa","čī",,"ƀexi",,"ƀílú","ƀi̧ʔⁿde","xaʔa","xȩʔⁿde","ši̧a̧ʔu̧","xiti","uṣ̌i","ƀixi̧","ⁿdixa̧","si̧ʔi̧","sivi",,"soʔo","āsī̧","ⁿdesi","isa","ƀiši","[žači]","žavi","žuʔu","ⁿdaʔvi","uu","ti su̧ʔma̧","[kȩⁿta]","[ⁿda si xaʔa]","[riᵑgi]","kʷi̧ņi̧","ⁿdiʔži","ka̧ʔⁿdi","tī ko žȩʔⁿdé","saa","saʔva=tađpole","šȩⁿta",,,"[ⁿdii]","luli","kivi","na̧ʔma̧","[ⁿȼuʔƀa]","na̧sa","ⁿsoo","ti teʔe",,"kʷeʔe","[kʷi̧ni̧]","kʷee","veʔe",,,"ⁿdixi̧","težu","itu","iku","tuku","kuka","kaku","tuʔƀa","žuu","žuʔu","[sa̧ņa̧(ʔa̧)]","žužu","žuku",,,"sūtū",,"kʷi̧ni̧","kʷa̧nu̧",,"vee","i̧nu̧ (i̧no̧=cigarro)"
