ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188
Spanish,lluvia,maguey,petate,cuatro,pluma,cola,cera,nariz,palabra,está cerca,árbol,venado,manteca,olor,tortilla,vomita,flojo,cama,comal,culpa,frijol,agua,río,lodo,hermano de h.,tres,diente,cinco,amargo,carne,rojo,se fue,siete,hilo,animal,se acaba,blanquillo,espuma,sangre,marido,sal,red,jícara,calabaza,tejón coatí,comida,salado,huipil,trabajo,algodón,viento ,hombre,redondon,horno,cajón,zancudo,esperar,podrido,agarrar,tendón,soplar,cuarta,dueño,poner (huevo),grande (sg.),cuello,va a venir,cuerno,culebra,feo,cerro,armadillo,chueco,año,ceja,pus,demonio,amarillo,coser,va a cargar,aquel,abajo,toda la noche,caliente,maíz,pared,temprano,abierto,ocho,jitomate,ejote,mitad,caña,olla,aguardiente,miel,sobaco,espiga,gente,pueblo,humo,comer,gavilán,verdad,lumbre ,seis,uña,rastrojo,masa,hijo ,catarro,bueno,porque,este mismo,ya viene,basura,gato,nopal,pie,cortar,quince,tripas,diez,frío,huarache,horcón,nombre,cacao,oreja,sabroso,cerrado,pasado mañana,dulce,ahora,agujero,tiene miedo,pobre,dos,alacrán,salir,pintar,rata,hinchazón,grano,truena,arco iris,pájaro,rana,ombligo,orina,chachalaca,lisa,chico,día,cuándo,llano,cómo,cargar,cucaracha,pegamento,enfermedad,ver,despacio,casa,mamey,moler,ala,banquito,milpa,ayer,otro,peine,se nació,sabio,piedra,boca,yo,rocío,hierba,surco,calzón,sacerdote,fierro,sabrá,ardilla,floja,pesado,tobaco
English,rain,agave,straw mat,four,feather,tail,wax,nose,word,near,tree,deer,lard,smell,tortilla,vomits,lazy,bed,griddle,sin,bean,water,river,mud,man's brother,three,tooth,five,bitter,meat,red,(he) went,seven,thread,animal,it finishes,egg,foam,blood,husband,salt,net bag,gourd,squash,coati,food,salty,blouse,work,cotton,wind,man,round,oven,box / drawer,mosquito,wait for,rotten,grab,tendon,blow,handspan,owner,lay (egg),big (sg.),neck,will come,horn,snake,ugly,hill,armadillo,crooked,year,eyebrow,pus,demon,yellow,sew,will carry,that,below,all night,hot,grain of corn,wall,early,open,eight,tomato,green bean,half,cane,clay pot,liquor,honey,armpit,tassel,people,town,smoke,eat,hawk,truth,fire,six,fingernail,cornstalk,cornmeal,child,"cold, phlegm",good,because,this one,is coming,trash,cat,prickly pear,foot,cut,fifteen,guts,ten,cold,sandal,housepot,name,cacao,ear,tasty,closed,day after tomorrow,sweet,now,hole,afraid,poor,two,scorpion,go out,paint,rat,swelling,pimple,it thunders,rainbow,bird,frog,navel,urine,chachalaca,smooth,little,day,when,plain,how,carry,cockroach,glue,sickness,see,slow,house,mamey,grind,wing,stool,cornfield,yesterday,other,comb,be born,smart,stone,mouth,I,dew,brush,furrow,trousers,priest,brand,will know,squirrel,loose,heavy,tobacco
P-Mixtec,*sawiʔ,*yawiʔ,*yuwiʔ,*kɨwɨ͂ʔ,*towĩ,*luʔwẽʔ,*yuwẽʔ,*sitĩʔ,*toʔõ,*yetĩ,*yutũʔ,*isu,*seʔẽ,*siko,*sitaʔ,*ⁿduxẽʔ,*suxẽʔ,*sito,*xiyoʔ,*kʷeti,*ⁿdutiʔ,*ⁿdute,*yute,*ⁿdeʔyu,*yeni,*oni,*noʔo,*oʔo,*owe,*koyõ,*kʷeʔe,*kʷeʔẽ,*uxe,*yuʔwe,*kɨtɨʔ,*ⁿdɨʔɨʔ,*ⁿdɨwɨʔ,*tɨ iyũ,*nɨyĩʔ,*yɨɨʔ,*yɨɨ̃ʔ,*yonoʔ,*yexĩʔ,*yɨkɨ̃ʔ,*yɨyɨ,*ⁿdeyuʔ,*oʔwe,*siko,*tiyo,*katiʔ,*tatiʔ,*teye,*kute,*xity,*xetũʔ,*tɨ kʷeyɨʔ,*ⁿdetuʔ,*teʔyu,*tɨɨ̃ʔ,*tuti,*tɨwɨ,*too,*xi toʔo,*xekĩ,*kaʔnuʔ,*sukũʔ,*kixi,*ndɨkɨʔ,*kooʔ,*kini,*yukuʔ,*yakʷĩʔ,*yakʷeʔ,*kʷiya,*sɨkʷa,*lakʷa,*kʷiʔna,*kʷaã,*ku ɨku,*ku iso,*yuku ã,*nino,*niyu ,*iʔniʔ,*noniʔ,*nawã,*neʔe,*nuneʔ,*one,*tɨ lanaʔ,*ⁿditi,*sawa,*ⁿdooʔ,*kɨsɨ,*ⁿdɨsɨ,*ⁿdusi,*leʔyiʔ,*yokoʔ,*ye yɨwɨʔ,*yuũ,*yuʔwẽ,*xexiʔ,*tasũʔ,*ⁿdixe,*yuʔũ,*iyõ,*tiyĩʔ,*yawãʔ,*yuxẽʔ,*saʔyi,*sayu,*waʔa,*wati,*weyẽ,*wexi,*wiʔiʔ,*wiluʔ,*wiʔⁿdeʔ,*xeʔe,*xeʔⁿde,*xeʔũ <*uxioʔõ,*xɨtɨ,*uxi,*wixĩ,*ⁿdixẽʔ,*sɨʔɨ̃,*sɨwɨʔ,*sɨʔwa,*loʔo,*asɨ̃ʔ,*ⁿdesɨ,*isa,*wisĩ,*witĩ,*yawi,*yuʔwi,*ⁿdaʔwi,*uwi,*tɨ luʔwẽʔ,*keyiʔ,*kaʔyu,*tɨyɨ̃ʔ,*kʷɨyɨ̃,*ⁿdɨʔyɨ,*kaʔⁿdɨ,*koo yeʔⁿdiʔ,*tɨ laa,*laʔwa,*leⁿdu,*lele,*laxẽʔ,*lɨʔwɨʔ,*luʔu,*kɨwɨʔ,*awã,*yosoʔ,*ⁿdese,*ⁿdisoʔ,*tɨ teʔyaʔ,*ⁿdeka,*kʷeʔyi,*ⁿdeyʔa,*kʷeye,*weʔyi,*ⁿdikaʔ,*ⁿdikoʔ,*ⁿdixĩ,*teyu,*itu,*iku,*tuku,*kuka,*ni kaku,*tuʔwe,*yuuʔ,*yuʔuʔ,*yuʔu,*yuyu,*yuku,*yukũ,*xetu,*sutu,*tuni,*kuni,*kʷeyũʔ,*taya,*weyi,*ino
Numí,sau,žau,žuu,kũũ,tnũũ,[ⁿdoʔo],ỹũmã,stnĩĩ,tnõʔõ,žatnĩ,žutnũ,isu ,šẽʔẽ,šiko,staa,ⁿduxã,[ku kuši],xito,xiyo,kʷeči,ⁿduči,ⁿdute,žute,ⁿdeʔi,ỹãnĩ,ũnĩ,nõʔõ,ũʔũ,uwa,kũỹũ/kũñũ,kʷaʔa,kʷãʔã,uxa,žuʔa,kiti,ⁿdiʔi,ⁿdibi,ti ĩñũ,nĩñĩ,,ỹĩĩ,ỹũnũ,žaxĩ,žikĩ,žiži=mapache,,[aše],[sũʔnũ],tnũũ,kači,tači,te žii,(ti) kute,xitnũ,xatnũ,ti kʷañĩ/ti kʷayĩ,ⁿdetu,teʔi,tnĩĩ,tuči,[tʸu tači],too,[lamo],xakĩ,kaʔnũ,sukũ,kii,ⁿdiki,koo,[ⁿdeʔe kaa],žuku,,žakʷa,kʷia,sukʷa,ⁿdakʷa,[tači]/kʷĩʔña=ladrón,(xa) kʷãã,kiku,kʷiso,žuu,[ⁿde bee],ñũnẽ,ĩʔnĩ,nũnĩ,[žika],nẽʔẽ,nũnẽ,ũnã,ti nãnã,ⁿdiči,sawa,ⁿdoo,kisi,[te šeʔe]/ⁿdiši=pulque,ⁿduši,či šeʔe,žoko,ñã žiu,ñũũ/ỹũũ,ỹũʔã,xaa,[šĩʔã]/tasũ,ⁿdixa,ñũʔũ/ỹũʔũ,ĩỹũ/ĩñũ,tnĩnĩ,ỹãmã,žuxã,seʔe,kʷeʔe kažu,baʔa,či,mãã,waxi,mĩʔĩ,bilu,bĩʔⁿde,xaʔa,xãʔⁿde,šãʔũ,xiti,uši,bixĩ,ⁿdixã,sĩʔĩ,sibi,,soʔo,asĩ,,(ⁿde) isa,bišĩ,bitnã,žau,žuʔu,ⁿdaʔu,uu,ti sũʔã,kee,kaʔi,tnĩñĩ,(ka) kʷĩñõ/[xaa],ⁿdiʔi,kãʔⁿdi,ti ko žẽʔⁿde,ti saa,saʔba/[likʷii],šẽⁿdu,,(čĩũ) ⁿdaxã,[liso],lulu,kiu,[nã kiu]/nãʔmã,žoso,nãša(a),xiso,[ⁿdi teʔa],[pegamento],kʷeʔe,ⁿdʸaʔa,kʷee,weʔe,[mamey],ⁿdiko,ⁿdixĩ,tei,itu,iku,,kʷika,kaku,[ỹãmã],žuu,žuʔu,[mãã-nĩ],žužu,žuku,žukũ,[kalsõn],sutu,tnũnĩ,[ko ⁿdaʸaʔa],kʷãnũ,taža,bee,ĩnũ=cigarro
Achi,(kú̡ú̡) sabi,žabi,žúú,kũũ,tɴũũ,sũʔmã,ñũmã,šitɴĩ,tɴũʔũ,žatɴĩ,žutɴũ,isu,šẽʔẽ,(xãã) šiko,šita,,[kuši],xito,xio,kʷeči,ⁿduči,ⁿdute,žute,ⁿdeʔžu,ñãnĩ,ũnĩ,nũʔũ,ũʔũ,uwa,kũñũ,kʷaʔa,kʷãʔã,uxa,žuʔba,kiti,ⁿdiʔi,ⁿdibi,ti ʔĩñũ,nĩñĩ,žii,ñĩĩ,ñũnũ,žaxĩ,,[mãʔã],ⁿdežu,uʔwa,[sũʔnũ]=camisa,sa tiu,kači,tači,te žii,[ti ⁿduu],ʔšitnũ,,kʷañĩ,ⁿdetu,teʔžu,tɴĩĩ,tuči,tibi,[nĩ kanĩ],[mãã ⁿdi],[so nẽẽ],kaʔnũ,sukũ,kia,ⁿdiki,koo,kinĩ,žuku,žakũ,žakʷa,kʷĩaa,sukʷa,lakʷa=moco,kʷĩʔña=ladrón,kʷãã,kiku,xiso,žukã,[xaʔi],[xa kʷaa],ĩʔnĩ,nũnĩ,nãmã,nẽʔẽ,nũnẽ,ũnã,ti nãnã,ⁿdiči,saba,ⁿdoo,kisi,ⁿdiši,ⁿduši,,žoko,ñã žibi,ñũũ,ñũʔmã,xaa,[šĩʔñã]/[ñãmĩ],[ka ⁿdaā],ñũʔũ,ĩñũ,tɴĩĩ,ñãmã,žuxã,seʔe,sažu,baʔa,[ña kuu],mãã,baxi,mĩʔĩ,bilu,bĩʔⁿde,[sĩʔĩ],xẽʔⁿde,xaʔũ,xiti,uši,bixĩ,ⁿdixã,ti sĩʔĩ,[nãnĩ],,soʔo,asi,ⁿdesi,isa,xa bisi,bitɴã,,žuʔu,ⁿdaʔbi,uu,,ke koo,,tnĩñĩ,kʷĩñũ,,kãʔⁿdi,xẽʔⁿde žoo,ti saa,,,,,,luli,kibi,nã ʔãmã,žoso,nãša,ⁿdiso,,[kiši],kʷeʔe,xito ⁿdee,kʷee,beʔe,,ⁿdiko,ⁿdixĩ,,itu,iku,tuku,kukʷa,kaku,[ñãmã],žuu,žuʔu,[mãã-ⁿdi],žužu,žuku,,,sutu,[kaa],,kʷãnũ,nĩ taža,bee,ĩnũ
Yuca,sawi,žawi,žuu,kũũ,tnũũ,sũʔmã,ñũmã,ʂ̌itnĩ,tnũʔũ,žatɴĩ,žutnũ,isu,ʂ̌ẽʔẽ,šiko,ʂ̌ita,ⁿduxã,[kuʂ̌i],xito,xižo,kʷeči,ⁿduči,ⁿdute,ʐ̌ute,ⁿdeʔžu,ñãnĩ,ũnĩ,nũʔũ,ũʔũ,uwa,kũñũ,kʷeʔe,kʷãʔã,uxa,žuʔwa,kiti,ⁿdiʔi,ⁿdiwi,ti ĩñũ,nĩñĩ,žii,ñĩĩ,ñũnũ,žaxĩ,žikⁿ,žiži,ⁿdežu,uʔwa,šiku,(t)nĩñũ/(t)nĩñõ,kači,tači,tee,[ti ⁿduu]/ ti kute,xiɴnũ/xitnũ,xatnũ,ti kʷeñẽ/ti kʷeñĩ,ⁿdetu,toʔžu,tnĩĩ,tuči,tiwi [tači],too,xi toʔo,xakĩ,kaʔnũ,sukũ,kee/kixi,ⁿdiki,koo,ka kinĩ,žuku,žakũ,žakʷa,kʷiža,[iši skiti nũũ],ⁿdakʷa,[tači]/te kʷĩʔnã,kʷãã,(nã) kiku,kʷiso,žukʷa,,nĩñũ,ĩʔnĩ,nũnĩ,nãmã,(ⁿde) nẽʔẽ,nũnẽ/[xãnã],ũnã,ti nãnã,ⁿdiči,sawa,ⁿdoo,kisi,ⁿdiʂ̌i=pulque,ⁿduši,či šeʔe,žoko,ñã žibi/ñã žiwi,ñũũ,ñũʔmã,xaxi,[ñãmĩ]/[šĩʔñã]/tasũ,ⁿdixa,ñũʔũ,ĩñũ,tnĩñĩ,žaka/ñãmã=husk (totomoxtle),žuxã,seʔe,sažu,waʔa,či,mãã,baxi/waxi,mĩʔĩ,bilu/wilu,wĩʔⁿde,xaʔa,xãʔⁿde,xãʔũ,xɨtɨ,uxi,wixĩ/bišĩ,ⁿdixã,sĩʔĩ,,[kakao],soʔo,asĩ,ⁿdesi,isa,biʂ̌ĩ/wiʂ̌ĩ/wisĩ,witnã,žãwi,žuʔu,ⁿdaʔwi,uu,ti sũʔmã,kee,(nã) kaʔžu,tnĩñĩ,[we nẽñũ],ⁿdiʔži,kãʔⁿdi,ti ko žãʔⁿdi,ti saa,saʔba/saʔwa,[xiti koʔo],[čii],[či koro],[ⁿdii]/ⁿdiʔwi,luli,kiwi/kibi,nã ãmã,žoso,nãsa/nãʂ̌a,ⁿdiso,ti teʔya,ⁿdeka,kʷeʔe,xito ⁿdee,kʷee-ni,weʔe,ⁿdika ⁿdaži,ⁿdiko,ⁿdixĩ,težu,[wižu],iku,tuku,kukʷa,kaku,,žuu,žuʔu,[mããta]/[mããsa],žužu,[kuʔu],žukũ,xatu,sutu,[kaa]/[žer̃u],kũnẽ,kʷẽnẽ,,wee,(ⁿdaʔa) ĩnũ
Peña,sabi,žabi,žuu,kũũ,tnũmĩ,sũʔmã,ñũmã,šitnĩ,tnũʔũ,žatnĩ,žutnũ,isu,šẽʔẽ,šiko,staa,,,xito,xižo,,ⁿduči,ⁿdute,žute,ⁿdeʔžu,ñãnĩ,ũnĩ,,ũʔũ,,kũñũ,kʷaʔa,[xãʔã],uxa,žuʔba,kiti,,ⁿdibi,ti ʔĩñũ,nĩñĩ,žii,ñĩĩ,ñũnũ,ñãxĩ,žikĩ,[mãʔã],,,,nĩñũ,kači,tači,tee,ti kute,,[kaxa],ti kʷãñĩ,ⁿdetu,ⁿdeʔžu,nĩĩ,,tibi,,,,kaʔnũ,sukũ,kii,ⁿdiki,,,žuku,,,kʷiya/kʷiža,,ⁿdakʷa,,kʷãã,kiku,ku ⁿdiso,žukã,,,,nũnĩ,[žika],ⁿde nẽʔẽ,[xãnã],ũnã,,,saba,ⁿdoo,,ⁿdiši,ⁿduši,či šeʔe,,ñã žibi,ñũũ,ñũʔmã,xaa(ti),,,ñũʔũ,ĩñũ,tnĩĩ,,ñũxã,seʔe,,,či,mãã,be(e),,bilu,,xaʔa,xẽʔⁿde,sũʔũ,[čii],uši,bixi,ⁿdixa,,sibi,[kakao],soʔo,,[kasi],,biši,,,žuʔu,ⁿdaʔbi,uu,,,,[liᵑgi],,ⁿdiʔi,ᵑgãʔⁿdi,,saa,[sapu],,,,,luli,kibi,[ⁿde kibi],[ⁿduʔba],nãsa,ⁿdiso,,,kʷeʔe,,kʷee,beʔe,,,,[bãᵑgu],,iku,[ĩᵑga buelta],,,,žuu,žuʔu,luʔu/[mããli],,,,,,,kuʔĩnĩ,kʷãnĩ,taža,bee,
Tata,dau,šau,žuu,kũũ,ɴnũũ,dũʔmã,ñũmã,diɴnĩ,ɴnũʔũ,[ñãʔã],šuɴnũ,idu,dẽʔẽ,diko,dita,,,ito,io,,ⁿdiči,ⁿdute,žute,,ñãnĩ,ũnĩ,,ũʔũ,,,kʷeʔe,kʷãʔã,uša,žuʔa,kɨtɨ,,ⁿdɨu,ti ʔĩñũ,nɨ̃ñɨ̃,žɨɨ,ñɨ̃ɨ̃,,šaxĩ,žɨ̃kɨ̃,šɨyɨ,,,,ɴnĩõ,kači,tači,tee,ti kute,iʔɴnũ,[kaxa],ti kũĩ(ĩ),ⁿdetu,,ɴnɨ̃ɨ̃,,tiu,,,,kaʔnũ,dukũ,kee,ⁿdɨkɨ,,,žuku,,,kʷia,,ⁿdakʷa,,kʷãã,kɨku,kʷido,(ĩ)ᵑga,,,,nũnĩ,nãmã,ⁿde nẽʔẽ,[ⁿdɨka],ũnã,,,daba,ⁿdoo,,[agʷardʸente],ⁿdudi,či deʔe,,ñã žiu,ñũũ,ñũʔmã,šei/šai,,,ñũʔũ,ĩñũ,ɴnĩĩ,,žusẽ,daʔi,,,či,mãã,bai,,bilu,,šeʔe,kãʔⁿde,šãʔũ,,uši,bixĩ,ⁿdiʔxĩ,,diu,duʔa,doʔo,,[kadi],,bidi,,,,ⁿdaʔu,uu,,,,sɴnɨ̃ñɨ̃,,ⁿdɨʔyɨ,kãʔⁿdɨ,,daa,daʔwa,,,,,luli,[ⁿduu],nã ãmã,žodo,,,,,kʷeʔi,ⁿdeʔe,kʷee,beʔe,,,,teyu,,iku,,,,,yuu,,[mẽẽⁿdi],,,,,,,[čĩnã],kʷẽnĩ,,bee,
Teit,dawi,ʂ̌awi,ʂ̌uu,kũũ,ɴũũ,dũʔmã,ñũmã,diɴnĩ,ɴnũʔũ,ʂ̌aɴnĩ,ʂ̌uɴnũ,idu,dẽʔẽ,(ñẽ) diko,dita,ⁿduxʸẽ/[kãnãⁿdaa],[ku diʔi],ito,iyo,te kweči,ⁿduči,ⁿdute,ʂ̌ute,ⁿdeʔyu,ñãnĩ,ũnĩ,nũʔũ,ũʔũ,(ku) uwa,kũñũ,kʷeʔe,kʷãʔã,uʂǎ,šuʔwa,kiti,ⁿdiʔi,ⁿdiwi,ti ĩñũ,nĩñĩ,ʂ̌ii,ñĩĩ,ñũnũ,ʂ̌axĩ,ʂ̌ikĩ,žiži,ⁿdeyu,uʔwa,,ɴnĩñũ,kači,tači,te šii,tĩ kute,iɴnũ,ʂ̌eɴnũ,ti kʷeñĩ,ⁿdetu,teʔyu,ɴnĩĩ,tuči,tiwi,too,xi toʔo,šekĩ,kaʔnũ,dukũ,kii,ⁿdiki,koo,[ⁿdeʔe],ʂ̌uku,ʂ̌akĩ,[ti kʷiyi]/šakʷa,kʷiya,[diki teʔwa],ⁿdakʷa,[tači]/kʷĩʔña=bandit,kʷãã,kiku,ku dido /kʷido,ʂ̌ukã,[kẽʔnĩ kãnã],nĩñũ,ĩʔnĩ,nũnĩ,nãmã,[ⁿdaɴnẽẽ]/nẽʔẽ,nũnẽ,ũnã,ti nãnã,ⁿdiči,dawa,ⁿdoo,kidi,ⁿdidi=tepache,ⁿdudi,či deʔe,šoko,ñã ʂ̌iwi,ñũũ,ñũʔmã,žexi,[dĩʔñã]/tadu/[žaʔa],[ⁿdaa]/ⁿdixʸa,ñũʔũ,ĩñũ,ɴnĩñĩ,ñãmã,šuɴ̃ñã,deʔe,dayu,waʔa,,mãã,wexĩ,mĩʔĩ,wilu,wĩʔⁿde,ʂ̌eʔe,žẽʔⁿde,ʂ̌ãʔũ,iti,uʂ̌i,wixĩ,ⁿdiɴñã,dĩʔĩ,diwi,,doʔo,adi,[ⁿdiʔyu],(ⁿde) ida,widi,wĩɴã,ʂ̌awi,ʂ̌uʔu,ⁿdaʔwi,uu,ti dũʔmã,kee,da kaʔyu,ɴnĩñĩ,kʷĩñũ,ⁿdiʔi,kãʔⁿdi,ti ko šãʔⁿdi,ti daa,daʔwa,sẽⁿdu,dede,či ⁿdãɴnã,ⁿdiʔwi/[ⁿdii],luli,kiwi,nã ãmã,ʂ̌odo,ⁿdee (deko),ⁿdido,ti teʔya,ⁿdeka,kʷeʔe,ⁿdee,kʷee(ni̡),weʔe,ⁿdika,ⁿdiko,ⁿdixĩ,ti teyu,[wiyu],iku,tuku,kuka,kaku,,ʂ̌uu,ʂ̌uʔu,,žužu,[kuʔu],šukũ,ʂ̌etu,dutu,[ʂ̌er̃u],nĩ ĩnĩ,kʷẽnĩ,nã taya,wee,ĩnũ
Moli,sabi,žabi,žuu,kũũ,tɴũmĩ,sũʔmã,ñũmã,stɴĩĩ,tɴũʔũ,žatɴĩ,žutɴũ,isu,šãʔã,šiko,stāā,,[kuši],xīto,xižo,kʷeči,ⁿduči,ⁿdute,žute,ⁿdeʔža,ñãnĩ,ũnĩ,nũʔũ,ũʔũ,uwa,kũñũ,kʷaʔa,kʷãʔã,uxa,,kiti,ⁿdiʔi,ⁿdibi,ti ʔĩñũ,nĩñĩ,žii,ñĩĩ,ñũnũ,ñãxĩ,žikĩ,[mãʔã],,uʔwa,[sũʔnũ],tɴĩñũ,kači,tači,tēe,,xitɴũ,,ti kʷañĩ,ⁿdetu,teʔžu,tɴĩĩ,tuči,tibi,,xi tóʔo,xakĩ,kaʔnũ,sukũ,kii,ⁿdiki,koo,kinĩ,žuku,žakĩ,žakʷa,kʷiža,sukʷa,lakʷa,kʷĩʔña,kʷãã,kiku,ku ⁿsoo,žukã,[čii],[xa kiʔvi]=nighttime,ĩʔnĩ,nũnĩ,nãmã/[žika],nẽʔẽ,nũnẽ,ũnã,ti nãnã,ⁿdiči,sava,ⁿdoo,kisi,ⁿdiši,ⁿduši ñũñũ,,žoko,ñã živi,ñũũ,ñũʔmã,xaa,tasũ,ⁿdixa,,ĩñũ,tɴĩñĩ,,ñũxã,sēʔe,sažu,baʔa,čī,,bexi,,bílú,bĩʔⁿde,xaʔa,xẽʔⁿde,šĩãʔũ,xiti,uʂ̌i,bixĩ,ⁿdixa̡,sĩʔĩ,sivi,,soʔo,āsī̡,ⁿdesi,isa,biši,[žači],žavi,žuʔu,ⁿdaʔvi,uu,ti sũʔmã,[kẽⁿta],[ⁿda si xaʔa],[riᵑgi],kʷĩñĩ,ⁿdiʔži,kãʔⁿdi,tī ko žẽʔⁿdé,saa,saʔva=tadpole,šẽⁿta,,,[ⁿdii],luli,kivi,nãʔmã,[ⁿȼuʔba],nãsa,ⁿsoo,ti teʔe,,kʷeʔe,[kʷĩnĩ],kʷee,veʔe,,,ⁿdixĩ,težu,itu,iku,tuku,kuka,kaku,tuʔba,žuu,žuʔu,[sãñã(ʔã)],žužu,žuku,,,sūtū,,kʷĩnĩ,kʷãnũ,,vee,ĩnũ (ĩnõ=cigarro)
