ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188
Spanish,lluvia,maguey,petate,cuatro,pluma,cola,cera,nariz,palabra,está cerca,árbol,venado,manteca,olor,tortilla,vomita,flojo,cama,comal,culpa,frijol,agua,río,lodo,hermano de h.,tres,diente,cinco,amargo,carne,rojo,se fue,siete,hilo,animal,se acaba,blanquillo,espuma,sangre,marido,sal,red,jícara,calabaza,tejón coatí,comida,salado,huipil,trabajo,algodón,viento ,hombre,redondon,horno,cajón,zancudo,esperar,podrido,agarrar,tendón,soplar,cuarta,dueño,poner (huevo),grande (sg.),cuello,va a venir,cuerno,culebra,feo,cerro,armadillo,chueco,año,ceja,pus,demonio,amarillo,coser,va a cargar,aquel,abajo,toda la noche,caliente,maíz,pared,temprano,abierto,ocho,jitomate,ejote,mitad,caña,olla,aguardiente,miel,sobaco,espiga,gente,pueblo,humo,comer,gavilan,verdad,lumbre,seis,uña,rastrojo,masa,hijo,catarro,bueno,porque,este mismo,ya viene,basura,gato,nopal,pie,corta,quince,tripas,diez,frio,huarache,horcon,nombre,cacao,oreja,sabroso,cerrado,pasado mabana,dulce,abora,agujero,tiene miedo,pobre,dos,alacran,salir,pintar,rata,hinchazon,grano,truena,arco iris,pajaro,rana,ombligo,orina,chachalaca,liso,chico,dia,cuando,llano,como,cargar,cucaracha,pegameuto,enfermedad,ver,despacio,casa,mamey,moler,ala,banquito,milpa,ayer,otro,peine,se nacio,sabio,piedra,boca,yo,rocio,hierba,surco,calzon,sacerdote,fierro,sabra,ardilla,floja,pesado,tobaco
English,rain,agave,straw mat,four,feather,tail,wax,nose,word,near,tree,deer,lard,smell,tortilla,vomits,lazy,bed,griddle,sin,bean,water,river,mud,man's brother,three,tooth,five,bitter,meat,red,(he) went,seven,thread,animal,it finishes,egg,foam,blood,husband,salt,net bag,gourd,squash,coati,food,salty,blouse,work,cotton,wind,man,round,oven,box / drawer,mosquito,wait for,rotten,grab,tendon,blow,handspan,owner,lay (egg),big (sg.),neck,will come,horn,snake,ugly,hill,armadillo,crooked,year,eyebrow,pus,demon,yellow,sew,will carry,that,below,all night,hot,grain of corn,wall,early,open,eight,tomato,green bean,half,cane,clay pot,liquor,honey,armpit,tassel,people,town,smoke,eat,hawk,truth,fire,six,fingernail,cornstalk,cornmeal,child,"cold, phlegm",good,because,this one,is coming,trash,cat,prickly pear,foot,cuts,fifteen,guts,ten,cold,sandal,housepost,name,cacao,ear,tasty,closed,day after tomorrow,sweet,now,hole,afraid,poor,two,scorpion,go out,paint,rat,swelling,pimple,it thunders,rainbow,bird,frog,navel,urine,chachalaca,smooth,little,day,when,plain,how,carry,cockroach,glue,sickness,see,slow,house,mamey,grind,wing,stool,cornfield,yesterday,other,comb,be born,smart,stone,mouth,I,dew,brush,furrow,trousers,priest,brand,will know,squirrel,loose,heavy,tobacco
P-Mixtec,*sawiʔ,*yawiʔ,*yuwiʔ,*kɨwĩʔ,*towĩ,*luʔwe͂ʔ,*yuwe͂ʔ,*sitĩʔ,*toʔõ,*yetĩ,*yutũʔ,*isu,*seʔe͂,*siko,*sitaʔ,*ⁿduxe͂ʔ,*suxe͂ʔ,*xito,*xiyoʔ,*kʷeti,*ⁿdutiʔ,*ⁿdute,*yute,*ⁿdeʔyu,*yeni,*oni,*noʔo,*oʔõ,*owe,*koyõ,*kʷeʔe,*kʷeʔe͂,*uxe,*yuʔwe,*kɨtɨʔ,*ⁿdɨʔɨʔ,*ⁿdɨwɨʔ,*tɨ iyũ,*nɨyĩʔ,*yɨɨʔ,*yɨɨ͂ʔ,*yonoʔ,*yexĩʔ,*yɨkɨ͂ʔ,*yɨyɨ,*ⁿdeyuʔ,*oʔwe,*sikõ,*tiyõ,*katiʔ,*tatiʔ,*teye,*kute,*xitũ,*xetũʔ,*tɨ kʷeyɨʔ,*ⁿdetuʔ,*teʔyu,*tɨɨ̃ʔ,*tuti,*tɨwɨ,*too,*xi toʔo,*xekĩ,*kaʔnuʔ,*sukũʔ,*kixi,*ⁿdɨkɨʔ,*kooʔ,*kini,*yukuʔ,*yakʷĩʔ,*yakʷeʔ,*kʷiya,*sɨkʷaʔ,*lakʷaʔ,*kʷiʔna,*kʷaã,*ku ɨku,*ku iso,*yuku ã,*nino,*niyũ,*iʔniʔ,*noniʔ,*nawã,*neʔe,*nuneʔ,*one,*tɨ lanaʔ,*ⁿditi,*sawa,*ⁿdooʔ,*kɨsɨ,*ⁿdɨsi,*ⁿdusi,*leʔyiʔ,*yokoʔ,*ye͂ yɨwɨʔ,*yuũ,*yuʔwe͂,*xexiʔ,*tasũʔ,*ⁿdixe,*yuʔũ,*iyõ,*tiyĩʔ,*yawãʔ,*yuxe͂ʔ,*saʔyi,*sayu,*waʔa,*wati,*weye͂,*wexi,*wiʔĩʔ,*wiluʔ,*wiʔⁿdeʔ,*xeʔe,*xeʔⁿde,*xeʔũ,*xɨtɨ,*uxi,*wixĩ,*ⁿdixe͂ʔ,*sɨʔɨ͂,*sɨwɨʔ,*sɨʔwa,*loʔo,*asɨ͂ʔ,*ⁿdesɨ,*isa,*wisĩ,*witĩ,*yawi,*yuʔwi,ⁿdaʔwi,*uwi,*tɨ luʔwe͂ʔ,*keyiʔ,*kaʔyu,*tɨyɨ͂ʔ,*kʷɨyɨ͂,*ⁿdɨʔyɨ,*kaʔⁿdɨ,*koo yeʔⁿdiʔ,*tɨ laa,*laʔwa,*leⁿdu,*lele,*laxe͂ʔ,*lɨʔwɨʔ,*luʔu,*kɨwɨʔ,*awã,*yosoʔ,*ⁿdese,*ⁿdisoʔ,*tɨ teʔyaʔ,*ⁿdeka,*kʷweʔyi,*ⁿdeʔya,*kʷeye,*weʔyi,*ⁿdikaʔ,*ⁿdikoʔ,*ⁿdixĩ,*teyu,*itu,*iku,*tuku,*kuka,*ni kaku,*tuʔwe,*yuuʔ,*yuʔuʔ,*yuʔu,*yuyuʔ,*yuku,*yukũ,*xetu,*sutu,*tuni,*kuni,*kʷeyũʔ,*taya,*weyi,*ino
Zac,sabiʔ,yabiʔ,yubiʔ,kũmĩʔ,tũmĩ,sũʔmãʔ,ñũmãʔ,šitĩʔ,tũʔũ,yatĩ,yutũʔ,isu,šãʔã,šiko,šitaʔ,ⁿduča/ⁿduče͂,suča,čito,čiyoʔ,kʷati,ⁿdutiʔ,[ta kʷii],yuta,ⁿdaʔyu,ñãnĩ,ũnĩ,nũʔũ/nõʔõ,ũʔũ,uba,[sãʔã],kʷaʔa,kʷãʔã,uča,yuʔwa,kitiʔ,ⁿdiʔi,ⁿdibi,šiki ñũũ,nĩĩʔ,iiʔ,ñĩĩ,ñũnũʔ,yačiʔ,ikĩʔ,ii,ⁿdayu,uʔba,šikũ,ha tiñũ /sa tiñũ,katiʔ,tatiʔ,ra iiʔ／raa,kuta,čitũ,čatũʔ,ti kʷañĩʔ,ⁿdatuʔ,taʔyu,tĩĩ,tuti,[ⁿdati]/tibi,too,či toʔo,[čati],kaʔnũʔ,sukũʔ,kiči,ⁿdikiʔ,kooʔ,kini kaa,yukuʔ,žakʷĩʔ,yakʷaʔ,kʷiya,sukʷaʔ,lakʷaʔ,[ra suʔu]/kʷĩʔnãʔ,kʷãã,[nã taa],kʷiso,ikã,nĩnũ,nĩñũ,nĩʔnĩ,nũnĩʔ,nãmã/[čaʔa],nãʔã (nĩ),[i koʔo]/nũnã,ũnã,ti nãnãʔ,[ⁿdutiʔ yuta],saba,ⁿdooʔ,kisi,ⁿdiši,ⁿduši,ti šeʔe,yokoʔ,ñĩbiʔ,ñũũ,yũʔmã/ñũʔmã,čačiʔ,tasuʔ,ⁿdiča,ñũʔũ,ĩñũ,tĩĩʔ,ñãmãʔ,yučãʔ,seʔe,sayu,baʔa,ti,mãã,bači,(čãʔã)biʔbiʔ =cuita,mĩluʔ,bĩʔⁿdaʔ,čaʔa(ʔ),čaʔⁿda,čãʔũ,čiti,uči,bičĩ,ⁿdičãʔ,sĩʔĩ,sibiʔ,siʔba,soʔo,asɨ͂ʔ,ⁿdasi,isa,biši,bitĩ,yabi,[ⁿdasi]/yuʔbi,ⁿdaʔbi,ubi,ti sũʔmãʔ,kee,kaʔyu,tĩĩʔ,kʷĩñũ,ⁿdiʔi,kãʔⁿdi,ko lãʔⁿdi,saa,[lekʷe],šãⁿdu,[tata],lačãʔ,ⁿdiʔbiʔ,[baliʔ],kibiʔ,ãwã/ⁿda kibiʔ,[ⁿduʔba],nãsa/nãha,ⁿdiso/kʷisõ,ti taʔya,ⁿdaka,kʷweʔe/[ti ⁿdoo],[kuni],kʷee,beʔe,ⁿdika čaʔa/ⁿdika kʷaʔa,ⁿdiko,ⁿdičĩ,tayu,itu,iku,tuku,kʷika,kaku,[yati],yuu,yuʔu,*yuʔu,yuyuʔ,[yuba]/yuku,[surku],čatu,sutu,tũnĩ,[koto],kʷãñũ,taya,bee,yuku nũũ
Sayu,sawi,yawi,yuwi,kũmĩ,tũmĩ,sũʔmã,ñũmã,šitʸĩ,tũʔũ,yatʸĩ,yutũ,isu,šãʔã,šiko,šita,ⁿdučã,suča,čito,čiyo,kʷatʸi,ⁿdutʸi,[ta kʷii],yuta,ⁿdaʔyu,yãñĩ,ũñĩ,nũʔũ,ũʔũ,uwa,[sãʔã]/kũñũ,kʷaʔa,kʷãʔã,uča,yuʔwa,kiti,ⁿdiʔi,ⁿdiwi,ĩñũ,nĩ́ĩ́,ii,ñĩĩ,yũnũ,yačĩ,ikĩ,[te šũũ] / [ti mãʔã],ⁿdayu,uʔwa,šukũ,tʸiñũ,katʸi,tatʸi,raa,kuta,čitũ,čatũ,ti kʷañĩ,ⁿdatu,taʔyu,tĩĩ,tutʸi,tiwi,too,či toʔo,čakĩ,kaʔnũ,sukũ,kiči,ⁿdiki,koo,kiñĩ,yuku,yakʷĩ,yakʷa,kʷiya,sukʷa,ⁿdakʷa,kʷĩʔña,kʷãã,[ⁿdi taa],kʷiso,ikã,,nĩñũ,ĩʔñĩ,nũñĩ,nãmã,nãʔã(ñĩ),nũnã,ũnã,ti nãnã,[ⁿdutʸi yuta],sawa,ⁿdoo,kisi,ⁿdiši,ⁿduši,šeʔe,yókó,ñĩwi,ñũũ,ñũʔmã,čači,tasũ,ⁿdiča,ñũʔũ,ĩñũ,tʸĩĩ,ñãmã,yučã,seʔe,sayu,waʔa,,mãã,wači,mĩʔĩ,(mĩču),wĩʔⁿda,čaʔa,čaʔⁿda,čãʔũ,čiti,uči,wičĩ,ⁿdičãʔ,sĩʔĩ,siwi,siʔwa,soʔo,asĩ,ⁿdasi,isa,wiši,witʸĩ,yawi,[ⁿdasi]/yuʔwi,ⁿdaʔwi,uwi,ti sũʔmã,kee,kaʔyu,tĩĩ,kʷĩñũ,ⁿdiʔi,kãʔⁿdi,kʷãⁿdi,saa,[lekʷe],šãⁿdu,[takʷii],ⁿdačã,ⁿdiʔwi,luʔu,kiwi,ãwã,[ⁿduʔwa],nã saa,ⁿdiso,ti tʸeʔe,ⁿdaka,kʷweʔe,ⁿdʸeʔe,kʷee,weʔe,ⁿdʸika čaʔa,ⁿdʸiko,ⁿdičĩ,tayu,itu,iku,tuku,wika,kaku,tuʔwa,yuu,yuʔu,*yuʔu,[kačĩ],[kuʔu],yukũ,čatu,sutu,tũñĩ,[koto],kʷãñũ,taya,wee,yuu kũnũ
Tept,(kũũ)sawi,yawi,yuwi,kũmĩ,tũmĩ,sũʔmã,ñũmã,šitĩ,tũʔũ,yatĩ,yutũ,isu,šãʔã,šiko,šita,ⁿdačã,sučã,čito,čiyo,kʷati,ⁿduti,ⁿduta,yuta,ⁿdaʔyu,ñãnĩ,ũnĩ,nũʔũ,ũʔũ,uwa,[sãʔã],kʷaʔa,kʷãʔã,uča,yuʔwa,kiti,ⁿdiʔi,ⁿdiwi,ĩñũ,nĩ́ĩ́,ii,ñĩĩ,ñũnũ,yači,ikĩ,ii,ⁿdayu,uʔwa,šikũ/[saʔmã nũũ,tiñũ,kati,tati,rai,kuta,čitũ,čatũ,ti kʷañĩ,ⁿdatu,taʔyu,tĩĩ,tuti,tiwi,too,či toʔo,[čati],kaʔnũ,sukũ,kiči,ⁿdiki,koo,kinĩ,yuku,yakʷĩ,yakʷa,kʷiya,sukʷa,ⁿdakʷa,kʷĩʔnã,kʷãã,kiku,kʷiso,ikã,,nĩñũ,ĩʔnĩ,nũnĩ,nãmã,nãʔã,nũnã,ũnã,ti nãnã,[ⁿduti yuta),sawa,ⁿdoo,kisi,ⁿdiši,ⁿduši,tiči šeʔe,yòyò,ñĩmĩ/ñĩwi,ñũũ,ñũʔmã,čači,tasũ,ⁿdiča,ñũʔũ,ĩñũ,tĩñĩ,ñãmã,yučã,seʔe,sayu,waʔa,ča,mãã,wači,(čãʔã),mĩlu,wĩʔⁿda,čaʔa,čaʔⁿda,čãʔũ,čiti,uči,wičĩ,ⁿdičãʔ,,siwi,siʔwa,soʔo,asĩ,ⁿdasi,isa,wišĩ,witĩ,yawi,yuʔwi,ⁿdaʔwi,uwi,ti sũʔmã,kee,kaʔyu,tĩñĩ,kʷĩñũ,ⁿdiʔi,kãʔⁿdi,ku yõʔⁿdi,saa,saʔwa,šãⁿdu,čaša,ⁿdačã,ⁿdiʔwi/ⁿdii,luʔu,kiwi,ãwã,yoso,nasa/naha,ⁿdiso,ti taʔya,ⁿdaka,kʷweʔe,ⁿdeʔe,kʷee,weʔe,ⁿdika čaʔa,ⁿdiko,ⁿdičĩ,tayu,itu,iku,tuku,kuka,kaku,tuʔwa,yuu,yuʔu,*yuʔu,[kačĩ],[kuʔu]/[yuwa],yukũ,čatu,sutu,tũnĩ,[koto/ⁿdeʔe],kʷãñũ,ⁿdu taya,wee,ĩnũ
Atoy,sawi,yawi,yuwi,kũmĩ,tũmĩ,sũʔmã,yũmã,šitĩ,tũʔũ,yatĩ,yutũ,isu,šãʔã,šiko,šita,ⁿdučã,hučã,čito,čiyo,kʷati,ⁿduti,ⁿduta,yuta,ⁿdaʔyu,yãnĩ,ũnĩ,nũʔũ,ũʔũ,uwa,[sãʔã]/kõñõ,kʷaʔa,kʷãʔã,uča,yuʔwa,kiti,ⁿdiʔi,ⁿdiwi,ĩñũ,nĩñĩ,ii,ñĩĩ,yũnũ,yačĩ,ikĩ,ii,ⁿdayu,uʔwa,šiku,tiñũ,kati,tati,rai,kuta,čitũ,čatũ,ti kʷañĩ,ⁿdatu,taʔyu,tĩĩ,tuti,tiwi,too,či toʔo,[čati],kaʔnũ,sukũ,kiči,ⁿdiki,koo,kinĩ,yuku,yakʷi,yakʷa,kʷiya,sikʷa,lakʷa,kʷĩʔnã,kʷãã,kiku,kʷiso,ikã,,nĩñũ,ĩʔnĩ,nũnĩ,nãmã,[sa tãã]/nãʔã,nũnã,ũnã,ti nãnã,[ⁿduti],sawa,ⁿdoo,kisi,ⁿdiši,ⁿduši,či šeʔe,yoko,ñĩwi,ñũũ,yũʔmã,čači,tasũ,[ⁿdaa]/ⁿdiča,ñũʔũ,ĩñũ,tĩñĩ,yãmã,yučã,seʔe,sayu,waʔa,ti,mãã,wači,mĩʔĩ,(mĩču)/milu/(čumĩ),wĩʔⁿda,čaʔa,čaʔⁿda,čãʔũ,čiti,uči,wičĩ,ⁿdičãʔ,sĩʔĩ,siwi,siʔwa,soʔo,asĩ,,isa,wašĩ,witĩ,yawi,yuʔwi,ⁿdaʔwi,uwi,ti sũʔmã,[keta],kaʔyu,tĩñĩ,[ⁿdaa]/kʷĩñũ,ⁿdiʔi,[šii],ku yõʔⁿdi,saa,saʔwa,šãⁿdu,ⁿduta čaša,ⁿdačã,ⁿdiʔwi/ⁿdii,luʔu,kiwi,ãwã,[ⁿduʔwa],nohõ,ⁿdiso,[ti kuka],ⁿdaka,kʷweʔe,ⁿdeʔe,kʷee,weʔe,ⁿdika čaʔa,ⁿdiko,ⁿdičĩ/[soko],tayu,itu,iku,tuku,kuka,kaku,ku tuʔwa,yuu,yuʔu,*yuʔu,,yuku,yukũ,čatu,sutu,tũnĩ,[koto],kʷãñũ,taya,wee,ĩnũ
Jicy,sabi,yabi,yubi,kũmĩ,tũmĩ,sũʔmã,yũmã,šitĩ,tũʔũ,yatĩ,yutũ,isu,šãʔã,šiko,šita,ⁿduča,sučã,čito,čiyo,kʷati,ⁿduti,ⁿduta,yuta,ⁿdaʔyu,yãnĩ,ũnĩ,nũʔũ,ũʔũ,uba,kũñũ,kʷaʔa,kʷãʔã,uča,yuʔwa,kiti,ⁿdiʔi,ⁿdibi,ĩñũ,nĩñĩ,ii,ñĩĩ,yõnõ,yačĩ,ikĩ,ii,ⁿdayu,uʔba,šiku,tiñũ,kati,tati,rai,kuta,,čatũ,ti kʷañĩ,ⁿdatu,taʔyu,tĩĩ,tuti,tibi,too,či toʔo,[čati],kaʔnũ,hukũ,kiči,ⁿdiki,koo,kinĩ kaa,yuku,yakʷĩ,yakʷa,kʷiya,sukʷa,ⁿdakʷa,kʷĩʔnã,kʷãã,kiku,kʷiso,ikã,nĩnũ,nĩñũ,ĩʔnĩ,nũnĩ,nãmã/[ⁿdika],nãʔã,nũnã,ũnã,ti nãnã,[ⁿduti],saba,ⁿdoo,kisi,ⁿdiši,ⁿduši,či šeʔe,yoko,ñĩbi,ñũũ,yũʔmã,čači,tasu,ⁿdiča,ñũʔũ,ĩñũ,tĩñĩ,yãmã,yučã,seʔe,sayu,baʔa,,mãã,bači,(čãʔã),(mĩtu),bĩʔⁿda,čaʔa,čaʔⁿda,čãʔũ,čiti,uči,bičĩ,ⁿdičãʔ,sĩʔĩ,sibi,čikula/siʔba,soʔo,asi,ⁿdaki,isa,bišĩ,bitĩ,yabi,yuʔbi,ⁿdaʔbi,ubi,ti sũʔmã,kee,kaʔyu,tĩñĩ,kʷĩñũ,ⁿdiʔi,kãʔⁿdi,[ko ⁿdãʔyo],saa,saʔba,šãⁿdu,čaša (tata),ⁿdačã,ⁿdiʔbi/ⁿdii,luʔu,kibi,ãwã,[ⁿduʔba],ñãã,ⁿdiso,ti taʔya,ⁿdaka,kʷweʔe,ⁿdeʔe,kʷee,beʔe,ⁿdika čaʔa,ⁿdiko,ⁿdičĩ,tayu,itu,iku,tuku,kuka,kaku,tuʔba,yuu,yuʔu,*yuʔu,[kačĩ],yuku,yukũ,čatu,sutu,tũnĩ,[ⁿdeʔe],la kʷãñũ,taya,bee,ĩnũ
Jict,sabi,yabi,yubi,kũmĩ,tũmĩ,sũʔmã,yũmã,šitĩ,tũʔũ,yatĩ,yutũ,isu,šãʔã,šiko,šita,ⁿduča,sučã,čito,čiyo,kʷati,ⁿduti,ⁿduta,yuta,ⁿdaʔyu,yãnĩ,ũnĩ,nũʔũ,ũʔũ,uba,kũñũ,kʷaʔa,kʷãʔã,uča,yuʔba,kiti,ⁿdiʔi,ⁿdibi,ĩñũ,nĩñĩ,ii,ñĩĩ,yũnũ,yačĩ,ikĩ,ii,,uʔba,šiku,tiñũ,kati,tati,rai,kuta,čitũ,čatũ,ti kʷañĩ,ⁿdatu,taʔyu,tĩĩ,tuti,tibi,too,či toʔo,[čati],kaʔnũ,sukũ,kiči,ⁿdiki,koo,kinĩ,yuku,yakʷĩ,yakʷa,kʷiya,sukʷa,ⁿdakʷa,kʷĩʔnã,kʷãã,kiku,kʷiso,ikã,nĩnũ,nĩñũ,ĩʔnĩ,nũnĩ,nãmã,nãʔã,nũnã,ũnã,ti nãnã,ⁿditi,saba,ⁿdoo,kisi,ⁿdiši,ⁿduši,šeʔe,yoko,ñĩbi,ñũũ,yũʔmã,čači,tasũ,ⁿdiča,ñũʔũ,ĩñũ,tĩñũ,yãmã,yučã,seʔe,sayu,baʔa,bati,mãã,bači,mĩʔĩ,(mĩstu),bĩʔⁿda,čaʔa,čaʔⁿda,čãʔũ,čiti,uči,bičĩ,ⁿdičãʔ,sĩʔĩ,sibi,siʔba/čikula,soʔo,asĩ,ⁿdasi,isa,biši,[yatĩ],yabi,yuʔbi,ⁿdaʔbi,ubi,ti sũʔmã,kee,kaʔyu,tĩñĩ,kʷĩñũ,ⁿdiʔi,kãʔⁿdi,ko yõʔⁿdi,saa,saʔba,šãⁿdu,čaša,ⁿdačã,ⁿdii/ⁿdiʔbi,luʔu,kibi,ãwã,[ⁿduʔba],ñãã,ⁿdiso,ti teʔe,ⁿdaka,kʷweʔe,ⁿdeʔe,kʷee,beʔe,,ⁿdiko,ⁿdičĩ,tayu,itu,iku,tuku,kuka,kaku,tuʔba,yuu,yuʔu,*yuʔu,[kačĩ],yuku,yuku,čatu,sutu,tũnĩ,[koto],kʷãñũ,taya,bee,ĩnũ
PinN,sabi,yabi,yuwi/yui,kũmĩ,tũmĩ,sũʔmã,yũmã,šiti,tũʔũ,[tĩʔa]/yati,yutu,isu,šãʔã,šiko,šita,ⁿduča,suča,čito,čio,kʷati,ⁿduti,ⁿduta,yuta,ⁿdaʔyu,yãnĩ,ũnĩ,nũʔũ,ũʔũ,ua,kũñũ,kʷaʔa,kʷãʔã,uča,yuʔa,kiti (kuʔu),ⁿdiʔi,ⁿdibi,ĩñũ,nĩñĩ,ii,ñĩĩ,yũnũ,žači/yači,iki,ii,ⁿdayu,,,tiñũ,kati,tati,rai,kuta,čitu,čatu,ti kʷañĩ,ⁿdatu,taʔžu / taʔyu,tĩĩ,tuti,tibi,too,či toʔo,[čati],kaʔnũ,suku,ba(ki)či,ⁿdiki,koo,[ⁿdasi]/kinĩ,yuku/žuku,yakʷi,yakʷa,kʷia,(iši)sukʷa,ⁿdakʷa,kʷĩʔnã,kʷãã,kiku,kʷiso,ikã,nĩnũ/[ⁿdašu],nĩñũ/[ča kʷaʔa],ĩʔnĩ,nũnĩ,[ča beʔe]/nãmã,(ⁿda)nãʔã,nũnã,ũnã,ti nãnã,ⁿditi,saba,ⁿdoo,kisi,ⁿdiši,[ñũñũ],ti šeʔe,yoko,ñĩbi,ñṹṹ,yũʔmã/ⁿžũʔmã,čači,tasũ,ⁿdiča,ñũʔũ,ĩñũ,tĩñĩ,čeʔe/yamã,yuča/žuča,seʔe,sayu,baʔa,(ba)ti,mãã,bači,mĩʔĩ,(mičũ),bĩʔⁿda,čaʔa,čaʔⁿda,čãʔũ,čiti,uči,biči,ⁿdiča,sĩʔĩ,sibi,siʔba,soʔo,asi,ⁿdasi,isa,biši,biti,yabi,žuʔu/yuʔi,ⁿdaʔbi,ui,ti suʔmã,(ča)kee,kaʔyu,tĩñĩ,[ⁿdaa],ⁿdiʔi,kãʔⁿdi,kuu yoʔⁿdi,saa,saʔba,šaⁿdu,čaša/tata,ⁿdačã,ⁿdiʔbi,luʔu,kibi,ãwã,[ⁿduʔa],[yoso],ⁿdiso,ti teʔe,[kiši/suča],kʷweʔe,ⁿdeʔe,kʷee-ni,beʔe,ⁿdika kʷaʔa,ⁿdiko,ⁿdiči,tayu,itu,iku,tuku/[iŋɡa],kuka,kaku/[ni tui],[čini tuni],yuu,yuʔu,*yuʔu,[kačĩ],yuku,yuku,čatu,sutu,tũnĩ,[koto]/kũnĩ,kʷãñũ,,bee,
