IDjoss,IDlist,GLOSS_E,GLOSS_S,GLOSS_1,GLOSS
1,138,rain,lluvia,rain (precipitation),NA
2,84,agave,maguey,"maguey, century plant",NA
3,47,straw mat,petate,"mat, sleeping mat, straw mat",NA
4,160,four,cuatro,four,cuatro
5,77,feather,pluma,feather,pluma
6,79,tail,cola,tail,cola
7,148,wax,cera,"beeswax, wax",NA
8,25,nose,nariz,nose,nariz
9,205,word,palabra,word,palabra
10,189,near,está cerca,NA,"cerca de, está cerca"
11,80,tree,árbol,NA,"árbol, palo"
12,61,deer,venado,deer,venado
13,NA,lard,manteca,NA,NA
14,NA,smell,olor,NA,NA
15,92,tortilla,tortilla,tortilla,tortilla
16,NA,vomits,vomita,NA,NA
17,186,lazy,flojo,lazy,flojo
18,48,bed,cama,NA,"cama, lecho"
19,115,griddle,comal,griddle,comal
20,206,sin,culpa,"fault, blame, sin",NA
21,96,bean,frijol,NA,frijol(es)
22,137,water,agua,water,agua
23,139,river,río,river,río
24,149,mud,lodo,mud,lodo
25,NA,man's brother,hermano de h.,NA,NA
26,159,three,tres,three,tres
27,22,tooth,diente,tooth,diente
28,161,five,cinco,five,cinco
29,182,bitter,amargo,bitter,amargo
30,114,meat,carne,meat,carne
31,152,red,rojo,red,rojo
32,NA,(he) went,se fue,NA,NA
33,163,seven,siete,seven,siete
34,127,thread,hilo,thread,hilo
35,50,animal,animal,animal,animal
36,NA,it finishes,se acaba,NA,NA
37,105,egg,blanquillo,NA,"blanquillo, huevo"
38,150,foam,espuma,foam,espuma
39,17,blood,sangre,blood,sangre
40,NA,husband,marido,NA,NA
41,99,salt,sal,salt,sal
42,131,net bag,red,net,NA
43,124,gourd,jícara,"gourd, gourd bowl",NA
44,100,squash,calabaza,squash,calabaza
45,NA,coati,tejón coatí,NA,NA
46,NA,food,comida,NA,NA
47,181,salty,salado,salty,salado
48,42,blouse,huipil,"blouse, woven blouse",NA
49,204,work,trabajo,work,trabajo
50,144,cotton,algodón,cotton,algodón
51,NA,wind,viento,NA,NA
52,13,man,hombre,man,hombre
53,NA,round,redondon,NA,NA
54,117,oven,horno,oven,horno
55,NA,box / drawer,cajón,NA,NA
56,NA,mosquito,zancudo,NA,NA
57,NA,wait for,esperar,NA,NA
58,NA,rotten,podrido,NA,NA
59,NA,grab,agarrar,NA,NA
60,NA,tendon,tendón,NA,NA
61,NA,blow,soplar,NA,NA
