IDlist,GLOSS,VALUE,DOCULECT,IDjoss,CODEjoss
6,hijo/hija,seʔe,acat11,110,acat
6,hijo/hija,seʔe,achi11,110,achi
6,hijo/hija,đaʔa,adeq11,110,adeq
6,hijo/hija,θeʔe,ahue11,110,ahue
6,hijo/hija,saʔya,alac11,110,alac
6,hijo/hija,seʔe,alco11,110,alco
6,hijo/hija,đeʔe,amat11,110,amat
6,hijo/hija,đaʔa,apas11,110,apas
6,hijo/hija,đaʔa,apoa11,110,apoa
6,hijo/hija,sèʔē,atat11,110,atat
6,hijo/hija,haʔyi,aten11,110,aten
6,hijo/hija,seʔe,atoy11,110,atoy
6,hijo/hija,sʸēʔɛ→siʔɛ,ayut11,110,ayut
6,hijo/hija,seʔe,brav11,110,cruz
6,hijo/hija,đee,caca11,110,cac
6,hijo/hija,seʔe,cahu11,110,cah
6,hijo/hija,seʔe,chal11,110,chal
6,hijo/hija,seʔe,chay11,110,chay
6,hijo/hija,seʔe,chay12,110,chap
6,hijo/hija,sɨʔɨ,chay12,110,chap
6,hijo/hija,đeʔe,chaz11,110,chaz
6,hijo/hija,đaʔa,chic11,110,chic
6,hijo/hija,đeʔe,chig11,110,chig
6,hijo/hija,iʔa,chig11,110,chig
6,hijo/hija,iʔi,coat11,110,coat
6,hijo/hija,sèʔe,coic11,110,coi
6,hijo/hija,seʔe,colo11,110,colo
6,hijo/hija,đeʔe,coso11,110,cos
6,hijo/hija,đaʔa,coxc11,110,cant
6,hijo/hija,seʔe,cris11,110,cris
6,hijo/hija,sèʔe,cuat11,110,cuat
6,hijo/hija,iʔža,cuau11,110,cuau
6,hijo/hija,đeʔe,cuil11,110,cui
6,hijo/hija,iʔya,cuya11,110,cuya
6,hijo/hija,đaʔya,diux11,110,diux
6,hijo/hija,seʔe,dura11,110,durz
6,hijo/hija,θaʔži,esta11,110,silm
6,hijo/hija,đaʔža,este11,110,este
6,hijo/hija,đeʔi,flor11,110,flor
6,hijo/hija,sēʔe,gran11,110,mig
6,hijo/hija,đèʔe,guad11,110,guad
6,hijo/hija,seʔe,huaz11,110,huaz
6,hijo/hija,đaʔa,huit11,110,huit
6,hijo/hija,seʔe,itun11,110,itun
6,hijo/hija,haʔži,ixpa11,110,ixpn
6,hijo/hija,seʔe,ixta11,110,ixty
6,hijo/hija,đaʔa,ixta12,110,ixtl
6,hijo/hija,đeʔi,ixta13,110,ixtp
6,hijo/hija,đee,ixta13,110,ixtp
6,hijo/hija,seʔe,jami11,110,jam
6,hijo/hija,đaʔa,jate11,110,jalt
6,hijo/hija,seʔe,jica11,110,jict
6,hijo/hija,seʔe,jica12,110,jicy
6,hijo/hija,đaʔa,joco11,110,joco
6,hijo/hija,seʔe,juxt11,110,juxt
6,hijo/hija,seʔe,lore11,110,lor
6,hijo/hija,seʔe,mech11,110,mech
6,hijo/hija,séʔē,metl11,110,metl
6,hijo/hija,đee,mica11,110,mic
6,hijo/hija,seʔe,mixt11,110,mix
6,hijo/hija,sēʔe,moli11,110,moli
6,hijo/hija,haʔya,mont12,110,mont
6,hijo/hija,seʔe,mont13,110,verd
6,hijo/hija,heʔe,more11,110,mor
6,hijo/hija (halbado por varón),saʔa,ndua11,110,ndua
6,hijo/hija (hablado por hembra),đaʔa,ndua11,110,ndua
6,hijo/hija,haʔži,nuch11,110,nuch
6,hijo/hija,seʔe,nund12,110,ndi
6,hijo/hija,seʔe,nund13,110,ndo
6,hijo/hija,seʔe,nuti11,110,nuti
6,hijo/hija,đaʔža,nuxa11,110,nuxa
6,hijo/hija,đaʔa,nuxi11,110,nuxi
6,hijo/hija,sèʔya,nuyo11,110,nuyo
6,hijo/hija,seʔē,ocot11,110,oco
6,hijo/hija,seʔe,pena12,110,peña
6,hijo/hija,đéʔè,peno11,110,peño
6,hijo/hija,đaʔža,pied11,110,pied
6,hijo/hija,seʔe,pino11,110,pinn
6,hijo/hija,seʔe,pino12,110,pinl
6,hijo/hija,šiʔa,prog11,110,prog
6,hijo/hija,haʔži,prog12,110,silp
6,hijo/hija,saʔyi,prom01,110,p-mixtec
6,hijo/hija,seʔe,reye11,110,rey
6,hijo/hija,seʔe,sayu11,110,sayu
6,hijo/hija,đaʔža,sind11,110,sind
6,hijo/hija,seʔe,sini11,110,sinc
6,hijo/hija,šeʔe,sini11,110,sinc
6,hijo/hija,đaʔa,soya11,110,soy
6,hijo/hija,đaʔža,tama11,110,tamj
6,hijo/hija,θeʔi,tama12,110,tams
6,hijo/hija,đaʔi,tata11,110,tata
6,hijo/hija,seʔe,teco11,110,teco
6,hijo/hija,đeʔe,teit11,110,teit
6,hijo/hija,siʔi,tejo11,110,tejc
6,hijo/hija,seʔe,tejo11,110,tejc
6,hijo/hija,đeʔe,tepe11,110,tepj
6,hijo/hija,seʔe,tepe12,110,tept
6,hijo/hija,đaʔya,tepo11,110,tepo
6,hijo/hija,đaʔa,tida11,110,tida
6,hijo/hija,θaʔya,tila11,110,til
6,hijo/hija,saʔa,tlac11,110,tlac
6,hijo/hija,đeʔe,tlal11,110,tlal
6,hijo/hija,đaʔža,tlaz11,110,tlaz
6,hijo/hija,đeʔe,tona11,110,ton
6,hijo/hija,đeʔe,toto12,110,tot
6,hijo/hija,seʔe,tutu11,110,tut
6,hijo/hija,đeʔe,xaya11,110,jer
6,hijo/hija,đèʔē,xaya12,110,xay
6,hijo/hija,seʔe,yolo11,110,yolt
6,hijo/hija,seʔe,yolo12,110,yolx
6,hijo/hija,seʔe,yoso11,110,yoso
6,hijo/hija,seʔe,yucu11,110,yuca
6,hijo/hija,sèʔyā,yucu12,110,yuci
6,hijo/hija,hèʔē,yucu13,110,yucñ
6,hijo/hija,sèʔē,yucu15,110,yuco
6,hijo/hija de varón,đeʔi,yucu16,110,yucq
6,hijo/hija de hembra,seʔe,yucu16,110,yucq
6,hijo/hija,đaʔa,yuta11,110,yutn
6,hijo/hija,đaʔža,yuta12,110,yuta
6,hijo/hija,seʔe,zaca11,110,zac
6,hijo/hija,đeʔe,zapo11,110,zap
9,hermano de hombre,ña̧ñi̧,acat11,25,acat
9,hermano de hombre,ņa̧ni̧,achi11,25,achi
9,hermano de hombre,ña̧ni̧,adeq11,25,adeq
9,hermano de hombre,ña̧ni̧,ahue11,25,ahue
9,hermano de hombre,ya̧ni̧,alac11,25,alac
9,hermano de hombre,ña̧ni̧,alac11,25,alac
9,hermano de hombre,ña̧ni̧,alco11,25,alco
9,hermano de hombre,ña̧ni̧,amat11,25,amat
9,hermano de hombre,ña̧ni̧,apas11,25,apas
9,hermano de hombre,ša̧ni̧,apoa11,25,apoa
9,hermano de hombre,ⁿdi-ya̧ni̧,apoa11,25,apoa
9,hermano de hombre,ņa̧ni̧,atat11,25,atat
