IDlist,GLOSS_EL,GLOSS_E,GLOSS_SL,GLOSS_S,VALUE,DOCULECT,IDjoss
6,son,child,NA,hijo,*saʔyi,P-Mixtec,110
6,son,child,NA,hijo,seʔe,Numí,110
6,son,child,NA,hijo,seʔe,Achi,110
6,son,child,NA,hijo,seʔe,Yuca,110
6,son,child,NA,hijo,seʔe,Peña,110
6,son,child,NA,hijo,daʔi,Tata,110
6,son,child,NA,hijo,deʔe,Teit,110
6,son,child,NA,hijo,sēʔe,Moli,110
6,son,child,NA,hijo,seʔe,Sinc,110
6,son,child,NA,hijo,šeʔe,Sinc,110
6,son,child,NA,hijo,saʔa,Tlac,110
6,son,child,NA,hijo,seʔe,Ndi,110
6,son,child,NA,hijo,seʔē,Oco,110
6,son,child,NA,hijo,šiʔa,Prog,110
6,son,child,NA,hijo,sèʔyā,Yuci,110
6,son,child,NA,hijo,sèʔya,Nuyo,110
6,son,child,NA,hijo,sèʔē,Atat,110
6,son,child,NA,hijo,sēʔe,Mig,110
6,son,child,NA,hijo,seʔe,Chal,110
6,son,child,NA,hijo,seʔe,Verd,110
6,son,child,NA,hijo,seʔe,Yoso,110
6,son,child,NA,hijo,seʔe,Itun,110
6,son,child,NA,hijo,seʔe,Yolt,110
6,son,child,NA,hijo,daʔa,Yutn,110
6,son,child,NA,hijo,daʔža,Sind,110
6,son,child,NA,hijo,daʔža,Pied,110
6,son,child,NA,hijo,daʔa,Huit,110
6,son,child,NA,hijo,daʔža,Tlaz,110
6,son,child,NA,hijo,seʔe,Zac,110
6,son,child,NA,hijo,seʔe,Sayu,110
6,son,child,NA,hijo,seʔe,Tept,110
6,son,child,NA,hijo,seʔe,Atoy,110
6,son,child,NA,hijo,seʔe,Jicy,110
6,son,child,NA,hijo,seʔe,Jict,110
6,son,child,NA,hijo,seʔe,PinN,110
6,son,child,NA,hijo,seʔe,PinL,110
6,son,child,NA,hijo,seʔe,Colo,110
6,son,child,NA,hijo,seʔe,Nuti,110
6,son,child,NA,hijo,seʔe,Ixty,110
6,son,child,NA,hijo,seʔe,Cris,110
6,son,child,NA,hijo,seʔe,Lor,110
6,son,child,NA,hijo,seʔe,Mech,110
6,son,child,NA,hijo,seʔe,Huaz,110
6,son,child,NA,hijo,seʔe,Jam,110
6,son,child,NA,hijo,seʔe,Chay,110
6,son,child,NA,hijo,seʔe,ChayC,110
6,son,child,NA,hijo,θeʔe,ChayD,110
6,son,child,NA,hijo,seʔe,Tut,110
6,son,child,NA,hijo,seʔe,Acat,110
6,son,child,NA,hijo,daʔya,Tepo,110
6,son,child,NA,hijo,daʔa,Tida,110
6,son,child,NA,hijo,θaʔya,Til,110
6,son,child,NA,hijo,daʔya,Diux,110
6,son,child,NA,hijo,daʔa,Nuxi,110
6,son,child,NA,hijo,daʔža,Nuxa,110
6,son,child,NA,hijo,daʔža,TamJ,110
6,son,child,NA,hijo,daʔža,Yuta,110
6,son,child,NA,hijo,déʔè,Peño,110
6,son,child,NA,hijo,daʔža,Este,110
6,son,child,NA,hijo,deʔe,Cui,110
6,son,child,NA,hijo,daʔa,Jalt,110
6,son,child,NA,hijo,daʔa,Adeq,110
6,son,child,NA,hijo,daʔa,Cant,110
6,son,child,NA,hijo,daʔa,Soy,110
6,son,child,NA,hijo,daʔa,Chic,110
6,son,child,NA,hijo,daʔa,Ixtl,110
6,son,child,NA,hijo,daʔa,Apas,110
6,son,child,NA,hijo,daʔa,Apoa,110
6,son,child,NA,hijo,saʔa,Ndua,110
6,son,child,NA,hijo,daʔa,Ndua,110
6,son,child,NA,hijo,daʔa,Joco,110
6,son,child,NA,hijo,iʔya,Cuya,110
6,son,child,NA,hijo,iʔža,Cuau,110
6,son,child,NA,hijo,iʔi,Coat,110
6,son,child,NA,hijo,haʔya,Mont,110
6,son,child,NA,hijo,haʔži,Nuch,110
6,son,child,NA,hijo,haʔyi,Aten,110
6,son,child,NA,hijo,deʔi-(of-male),Yucq,110
6,son,child,NA,hijo,seʔe-(of-female),Yucq,110
6,son,child,NA,hijo,hèʔē,Yucñ,110
6,son,child,NA,hijo,dèʔe,Guad,110
6,son,child,NA,hijo,deʔi,Flor,110
6,son,child,NA,hijo,deʔe,Amat,110
6,son,child,NA,hijo,deʔe,Zap,110
6,son,child,NA,hijo,dee,Cac,110
6,son,child,NA,hijo,seʔe,Ndo,110
6,son,child,NA,hijo,deʔi,Ixtp,110
6,son,child,NA,hijo,dee,Ixtp,110
6,son,child,NA,hijo,dee,Mic,110
6,son,child,NA,hijo,deʔe,Tepj,110
6,son,child,NA,hijo,deʔe,Cos,110
6,son,child,NA,hijo,deʔe,Chaz,110
6,son,child,NA,hijo,deʔe,Tot,110
6,son,child,NA,hijo,deʔe,Ton,110
6,son,child,NA,hijo,deʔe,Jer,110
6,son,child,NA,hijo,dèʔē,Xay,110
6,son,child,NA,hijo,deʔe,Tlal,110
6,son,child,NA,hijo,deʔe,Chig,110
6,son,child,NA,hijo,iʔa,Chig,110
6,son,child,NA,hijo,sʸēʔɛ→siʔɛ,Ayut,110
6,son,child,NA,hijo,seʔe,Yolx,110
6,son,child,NA,hijo,saʔya,Alac,110
6,son,child,NA,hijo,séʔē,Metl,110
6,son,child,NA,hijo,sèʔe,Coi,110
6,son,child,NA,hijo,seʔe,Per,110
6,son,child,NA,hijo,sèʔe,Cuat,110
6,son,child,NA,hijo,seʔe,Cah,110
6,son,child,NA,hijo,seʔe,Alco,110
6,son,child,NA,hijo,seʔe,Cruz,110
6,son,child,NA,hijo,seʔe,Durz,110
6,son,child,NA,hijo,seʔe,Teco,110
6,son,child,NA,hijo,seʔe,Juxt,110
6,son,child,NA,hijo,seʔe,ChaP,110
6,son,child,NA,hijo,sɨʔɨ,ChaP,110
6,son,child,NA,hijo,sèʔē,Yuco,110
6,son,child,NA,hijo,seʔe,Mix,110
6,son,child,NA,hijo,siʔi,Tejc,110
6,son,child,NA,hijo,seʔe,Tejc,110
6,son,child,NA,hijo,seʔe,Rey,110
6,son,child,NA,hijo,haʔži,SilP,110
6,son,child,NA,hijo,haʔži,IxpN,110
