ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188
Spanish,lluvia,maguey,petate,cuatro,pluma,cola,cera,nariz,palabra,está cerca,árbol,venado,manteca,olor,tortilla,vomita,flojo,cama,comal,culpa,frijol,agua,río,lodo,hermano de h.,tres,diente,cinco,amargo,carne,rojo,se fue,siete,hilo,animal,se acaba,blanquillo,espuma,sangre,marido,sal,red,jícara,calabaza,tejón coatí,comida,salado,huipil,trabajo,algodón,viento ,hombre,redondon,horno,cajón,zancudo,esperar,podrido,agarrar,tendón,soplar,cuarta,dueño,poner (huevo),grande (sg.),cuello,va a venir,cuerno,culebra,feo,cerro,armadillo,chueco,año,ceja,pus,demonio,amarillo,coser,va a cargar,aquel,abajo,toda la noche,caliente,maíz,pared,temprano,abierto,ocho,jitomate,ejote,mitad,caña,olla,aguardiente,miel,sobaco,espiga,gente,pueblo,humo,comer,gavilan,verdad,lumbre,seis,uña,rastrojo,masa,hijo,catarro,bueno,porque,este mismo,ya viene,basura,gato,nopal,pie,corta,quince,tripas,diez,frio,huarache,horcon,nombre,cacao,oreja,sabroso,cerrado,pasado mabana,dulce,abora,agujero,tiene miedo,pobre,dos,alacran,salir,pintar,rata,hinchazon,grano,truena,arco iris,pajaro,rana,ombligo,orina,chachalaca,liso,chico,dia,cuando,llano,como,cargar,cucaracha,pegameuto,enfermedad,ver,despacio,casa,mamey,moler,ala,banquito,milpa,ayer,otro,peine,se nacio,sabio,piedra,boca,yo,rocio,hierba,surco,calzon,sacerdote,fierro,sabra,ardilla,floja,pesado,tobaco
English,rain,agave,straw mat,four,feather,tail,wax,nose,word,near,tree,deer,lard,smell,tortilla,vomits,lazy,bed,griddle,sin,bean,water,river,mud,man's brother,three,tooth,five,bitter,meat,red,(he) went,seven,thread,animal,it finishes,egg,foam,blood,husband,salt,net bag,gourd,squash,coati,food,salty,blouse,work,cotton,wind,man,round,oven,box / drawer,mosquito,wait for,rotten,grab,tendon,blow,handspan,owner,lay (egg),big (sg.),neck,will come,horn,snake,ugly,hill,armadillo,crooked,year,eyebrow,pus,demon,yellow,sew,will carry,that,below,all night,hot,grain of corn,wall,early,open,eight,tomato,green bean,half,cane,clay pot,liquor,honey,armpit,tassel,people,town,smoke,eat,hawk,truth,fire,six,fingernail,cornstalk,cornmeal,child,"cold, phlegm",good,because,this one,is coming,trash,cat,prickly pear,foot,cuts,fifteen,guts,ten,cold,sandal,housepost,name,cacao,ear,tasty,closed,day after tomorrow,sweet,now,hole,afraid,poor,two,scorpion,go out,paint,rat,swelling,pimple,it thunders,rainbow,bird,frog,navel,urine,chachalaca,smooth,little,day,when,plain,how,carry,cockroach,glue,sickness,see,slow,house,mamey,grind,wing,stool,cornfield,yesterday,other,comb,be born,smart,stone,mouth,I,dew,brush,furrow,trousers,priest,brand,will know,squirrel,loose,heavy,tobacco
P-Mixtec,*sawiʔ,*yawiʔ,*yuwiʔ,*ki̧wi̧ʔ,*towi̧,*luʔwȩʔ,*yuwȩʔ,*siti̧ʔ,*toʔo̧,*yeti̧,*yutu̧ʔ,*isu,*seʔȩ,*siko,*sitaʔ,*ⁿduxȩʔ,*suxȩʔ,*xito,*xiyoʔ,*kʷeti,*ⁿdutiʔ,*ⁿdute,*yute,*ⁿdeʔyu,*yeni,*oni,*noʔo,*oʔo,*owe,*koyo̧,*kʷeʔe,*kʷeʔȩ,*uxe,*yuʔwe,*kɨtɨʔ,*ⁿdɨʔɨʔ,*ⁿdɨwɨʔ,*tɨ iyu̧,*nɨyɨ͂ʔ,*yɨɨʔ,*yɨɨ͂ʔ,*yonoʔ,*yexi̧ʔ,*yɨkɨ͂ʔ,*yɨyɨ,*ⁿdeyuʔ,*oʔwe,*siko̧,*tiyo̧,*katiʔ,*tatiʔ,*teye,*kute,*xitu̧,*xetu̧ʔ,*tɨ kʷeyɨ͂ʔ,*ⁿdetuʔ,*teʔyu,*tɨɨ͂ʔ,*tuti,*tɨwɨ,*too,*xi toʔo,*xeki̧,*kaʔnu,*suku̧ʔ,*kixi,*ⁿdɨkɨʔ,*kooʔ,*kini,*yukuʔ,*yakʷi̧ʔ,*yakʷeʔ,*kʷiya,*sɨkʷaʔ,*lakʷaʔ,*kʷiʔna,*kʷaa̧,*ku ɨku,*ku iso,*yuku a̧,*nino,*niyu̧,*iʔniʔ,*noniʔ,*nawa̧,*neʔe,*nuneʔ,*one,*tɨ lanaʔ,*ⁿditi,*sawa,*ⁿdooʔ,*kɨsɨ,*ⁿdɨsi,*ⁿdusi,*leʔyiʔ,*yokoʔ,*yȩ yɨwɨʔ,*yuu̧,*yuʔwȩ,*xexiʔ,*tasu̧ʔ,*ⁿdixe,*yuʔu̧,*iyo̧,*tiyi̧ʔ,*yawa̧ʔ,*yuxȩʔ,*saʔyi,*sayu,*waʔa,*wati,*weyȩ,*wexi,*wiʔi̧ʔ,*wiluʔ,*wiʔⁿdeʔ,*xeʔe,*xeʔⁿde,*xeʔu̧,*xɨtɨ,*uxi,*wixi̧,*ⁿdixȩʔ,*sɨʔɨ͂,*sɨwɨʔ,*sɨʔwa,*loʔo,*asɨ͂ʔ,*ⁿdesɨ,*isa,*wisi̧,*witi̧,*yawi,*yuʔwi,*ⁿdaʔwi,*uwi,*tɨ luʔwȩʔ,*keyiʔ,*kaʔyu,*tɨyɨ͂ʔ,*kʷɨyɨ͂,*ⁿdɨʔyɨ,*kaʔⁿdɨ,*koo yeⁿdiʔ,*tɨ laa,*laʔwa,*leⁿdu,*lele,*laxȩʔ,*lɨʔwɨʔ,*luʔu,*kɨwɨʔ,*awa̧,*yosoʔ,*ⁿdese,*ⁿdisoʔ,*tɨ teʔyaʔ,*ⁿdeka,*kʷeʔyi,*ⁿdeʔya,*kʷeye,*weʔyi,*ⁿdikaʔ,*ⁿdikoʔ,*ⁿdixi̧,*teyu,*itu,*iku,*tuku,*kuka,*ni kaku,*tuʔwe,*yuuʔ,*yuʔyuʔ,*yuʔu,*yuyuʔ,*yuku,*yuku̧,*xetu,*sutu,*tuni,*kuni,*kʷeyu̧ʔ,*taya,*weyi,*ino
Mont,haƀi,žaƀi,žiƀi,ko̧mi̧,to̧mi̧,[ⁿdoʔo],ñi̧ma̧,šiti,to̧ʔo̧,,žito,si-kʷaa,ša̧ʔa̧,šiko,šita,,,sito,siyo,,ⁿduči,[ti kʷii],yutʸa,ⁿdʸaʔži,,u̧ni̧,,o̧ʔo̧,,ku̧ñu̧,kʷaʔa,[sa̧ʔa̧],usa,žiʔƀa,kiti,,ⁿdiƀi,i̧ñu̧,ni̧i̧,žii,ñi̧i̧,[ređ],žasi,žiki̧,,,,,čiʔu̧/čiñu̧,kači,,taa,ti kata,šito,[kaxa],[ti seʔe],ⁿdʸati,tʸaʔži,ti̧i̧,,tiƀi,,,,kaʔnu̧,hiko,kisi,ⁿdiki,,,žiko,,,kʷia,,ⁿdakʷa,,kʷa̧a̧ⁿ,kiki,ko ⁿdiho,žika,,,,nu̧ni̧,[saʔa ƀeʔe],ta na̧ʔa̧,[so̧na̧],o̧na̧,,,haƀa,ⁿdoo,,[ⁿdutʸa],[ñu̧ñu̧],seʔe,,ña̧ žiƀi,ñu̧u̧,ñi̧ʔma̧,[si sʸa̧ʔa̧],,,ñu̧ʔu̧,i̧ñu̧,či̧i̧,,žusa̧,haʔya,,,či,mȩȩ,ƀaxi,,(ⁿdi čito),,saʔa,saʔⁿdʸa,sa̧ʔu̧,süti ka̧ʔnu̧,usi,ƀisi(o),ⁿdisa,,kiƀi,[kakau],hoʔo,,kahe,,ƀiši,,,žiʔƀi (o),ⁿdaʔƀi,iƀi,,,,[tižoto],,ⁿdiʔi,kaʔⁿdi,,ⁿdi laa,ⁿdi laʔƀa,,,,,loʔo,kiƀi,a̧ma̧,žoho,ⁿdiša,ko ⁿdiho,,,kʷeʔe,ⁿdeʔe,kʷee-o,ƀeʔe,,,,[ƀanka],iti,[koni],tuko,,,,žuu,,žuʔu,,,,,,,[koto],ⁿdi kʷa̧ñi̧,,,
Nuch,(kúū) haƀi,žaƀi,žiƀi,kô̧mi̧,tô̧mi̧,[ⁿdoʔo],yi̧ma̧,šiti,tȭʔȭ,žati,žito,sA-kʷaa,ša̧ʔa̧,šiko,šìtà,ⁿdüsa,husa,šito,šoo,kʷàči,ⁿduču,[tì kʷìí],žutʸa,ⁿdeʔži,ña̧ni̧,ʔu̧ni̧,nū̧ʔu̧,ʔù̧ʔù̧,ʔeƀa,ku̧ñu̧,kʷaʔa,kʷà̧ʔà̧,ʔusa,žeʔƀa,kiti,ⁿdiʔi,ⁿdìƀì,či ʔi̧ñu̧,nì̧ì̧,žii,ñi̧i̧,ñu̧nu̧,žāšì,žikì,tì žíì,ⁿdežu,ʔeʔva,,ču̧u̧,kàčì,tàčì,tʸàā,tì kàtʸá,šito,sàtò,tì kʷi̧i̧,ⁿdʸati,ni teži,ti̧i̧,[tì tú̧ʔù̧],tivi,,ši toʔo,saku,kaʔnu̧,hiko,kixi,ⁿdiki,kòò káá,kini̧,[tì nā̧á̧],žaku,žakʷa,kʷìà,šiku nu̧u̧,ⁿdako,tà kʷì̧ʔná̧,kʷa̧a̧,tíki,ⁿdeho,žiká,ni̧nu̧,[ⁿdiha̧ ni̧ kʷaa],ʔi̧ʔni̧,nù̧nì̧,na̧ma̧,na̧ʔa̧,nu̧nu̧(va),ʔù̧nà̧,tì na̧na̧ na̧ʔnu̧,ⁿdiči,[ña̧ʔñu̧]/haƀa,ⁿdōò,kìhì,[ⁿdʸütʸa],[ñu̧ñu̧],tiši leʔe,ti žoko(ʔiti),ña̧ živi,ñu̧u̧,ñi̧ʔma̧,šiši,[ⁿdì ša̧ʔá̧/tí žà̧ʔà̧],[ñà̧ ⁿdà̧à̧],ñu̧ʔu̧,ʔi̧ñu̧,či̧i̧,ñà̧mà̧,žusa,haʔži,haži,ƀaʔa,ƀači,mȩȩ,waši,(šeʔe),(mi̧to),tò ƀi̧ʔⁿdʸa,saʔa,saʔⁿda,ša̧ʔu̧,šiti,ʔušu,ƀiši,ⁿdisa,hi̧ʔi̧,kìvì,ti heʔƀa,hoʔo,ʔahi,ⁿdahi,ʔʸaha,ƀiši,ƀiti,,žiʔvi,ⁿdaʔvi,ʔìvì,tì hi̧ʔma̧,kee,na̧ kaʔži,ti žoto/tī̧í̧,[na̧ñu̧],ⁿdiʔi,xa ka̧ʔⁿdi,tìxì ža̧ʔⁿdʸa,laa,,laⁿdi,,ⁿdi ⁿdasa,[teʔže],lʸoo,kìvì,ʔa̧ma̧,žoho,ⁿdʸaha,ⁿdeho,ⁿdì teʔže,,kʷeʔe,ʔí ⁿdéʔe,kʷee,veʔe,[ⁿdoxo kʷaʔa],ⁿdiko,ⁿdiši,teži,ʔiti,[koni],tuku,kʷika,kaku,,žüü,žuʔu,žeʔe,žüžü,žuku,[čiči],sati,hütü,tu̧ni̧,[ka ⁿdeʔe],ti kʷa̧ñi̧,taži,vee,ña kʷi̧nu̧/ša̧nu̧=cigarro
Aten,(ku̧u̧) haƀi,žāƀì,žiƀi,kò̧mì̧,tò̧mī̧,[ⁿdoʔo],ñi̧ma̧,šiti,tu̧ʔu̧/to̧ʔo̧,žati,yuto,sa-kʷaa,ša̧ʔa̧,šiko,šita,ⁿdusa,tì hùsá,sito,sʸoo,kʷàči,ⁿdūčì,[ti kʷii],žutʸa,ⁿdeʔi,ña̧ni̧,ʔò̧nì̧,nù̧ʔū̧,ʔù̧ʔù̧,ʔia(-o),ko̧i̧,kʷaʔa,kʷa̧ʔa̧,ʔusa,žaʔa,kītì,ⁿdiʔi,ⁿdìƀì,či ʔì̧ù̧,nì̧ì̧,žii,ñi̧i̧,(ti) ñu̧nu̧,žasI,žiki,ti žii,[ku šȩʔi̧]/ⁿdei=mole,ʔiʔʸa,,ču̧u̧,kàčì,tàčì,tʸaa,ti kate,sìtò,sato,ti kʷi̧i̧,ⁿdati,teʔi,ti̧i̧,tuči,tivi,,stoʔo,[kee],kaʔnu̧,hìkò,kisi,ⁿdiki,kòò,kini̧,žuku,žāki,žaku,kʷìà,šukai,ⁿdakʷa,ti kʷi̧ʔña,kʷa̧a̧,ʔa kiko,[ⁿdʸoʔo]/kʸoho,hiᵑka̧,ni̧nu̧,ni̧u̧/[ñu̧u̧ žaa],ʔi̧ʔni̧,no̧ni̧,na̧ma̧/[ⁿdika],na̧ʔa̧,nu̧na̧,ʔò̧nà̧,ti na̧na̧ na̧ʔna̧,ⁿdiči,hava,ⁿdòò,kìhì,ⁿdiši=pulque,[ñu̧ñu̧],šeʔe,tīò yókō,ʔa živi,ñu̧u̧,ni̧ʔma̧,[si sʸa̧ʔa̧],[ša̧ʔa̧/kiri žaʔa],[ña̧ ⁿda̧a̧],ñu̧ʔu̧,ʔi̧u̧,či̧i̧,ñà̧mà̧,žusa,haʔyi,hai,ƀaʔa,(ƀa)či,mȩȩ,ƀasi,(seʔe),(čito),tu ƀi̧ʔⁿdá,saʔa,saʔⁿdi,sà̧ʔù̧,siti,ʔùšì,ƀísì,ⁿdusa,hi̧ʔi̧,kivi,hʸaʔa,hoʔo,ʔahi̧,ⁿdehi,ʔʸaha,ƀiši,ƀiti,,ka žiʔvi,ⁿdaʔvi,ʔìvì,(ti hʸa̧ʔa̧),[ka̧na̧],na̧ kaʔi,ti žoto/tì̧í̧,[na̧i̧]/kʷi̧u̧,ⁿdiʔi,ka̧ʔⁿdi,[tìkù šá̧nu̧],laa,laʔo,ša̧ⁿdi,,ⁿdasa,[vii],loʔo,kìvì,ⁿdʸa̧ma̧/[tá],žoho,ⁿdici,ⁿdího,teʔi,ⁿdʸaka,kʷeʔe,sá ⁿdèʔē,kʷee,veʔe,ⁿdika saʔa,ⁿdiko,ⁿdìsì,tei,ʔiti,[koni],tiki,kʷīkà,na kaki,,žuu,žuʔu,žiʔi,žuu,žuku,ⁿčiko,sati,huti,tū̧nì̧,[ku tu̧ni̧ ʔi̧ni̧],ⁿdì kʷa̧i̧,tai,vee,žuku ʔi̧nu̧̧/ša̧nu̧=cigarro
Yucq,sau,yau,žiƀi,ko̧mi̧,tu̧mi̧,[ⁿdoʔo],ñi̧ma̧,ši̧ⁿti,to̧ʔo̧,žatni̧,žito,sa-kʷaa,ša̧ʔa̧,sitʸo,đita,,,šito,šoo,,ⁿdiši,[te kʷii],žuta/yuta,ⁿdeʔi,ña̧ni̧,u̧ni̧,,u̧ʔu̧,,ku̧ñi̧,kʷaʔa,kʷa̧ʔa̧,isa,žoʔo,kiti,,ⁿdiƀi,čiʔñu̧,ni̧i̧,yii,ñi̧i̧,ñu̧nu̧,yaxi,žiki,žii,,,,ču̧u̧,kači,tači,taa,si kata,šito,satu,[tu čeʔe],ⁿdatu/ⁿdata,teʔu,ti̧i̧,,tiu,,,,kaʔnu̧,điko,[ƀi saʔa/ka saʔa],,,,žükü,,,kʷia,,ⁿdaku,,kʷa̧a̧,kiki,ku ⁿdʸoho,(i)ka,,,,nu̧ni̧,na̧ma̧,na̧ʔa̧,[taʔu],u̧na̧,,,,ⁿdoo,,[ɡʷarieⁿti],ⁿduhi,ti šeʔe,,ña̧ žiƀi,ñu̧u̧,ñi̧ʔma̧,saxi/saši,,,ñu̧ʔu̧,i̧ñu̧ (ƀi),či̧i̧,,yusa,đeʔi=of male/seʔe=of female,,,(ⁿdiʔ),mi̧i̧,wa,,(čito),,saʔa,(čati),sa̧ʔu̧ (kʷi),sti/šiti,isi (ƀi),ƀiši,ⁿdisa,,küü,(tiʔa žiʔi)?,soʔo,,kaʔhi,,ƀihi,,,žüʔü,ⁿdaʔu,iƀi,,,,[ti yoto],,ⁿdiʔi,kaʔⁿdo,,laa,laʔƀa,,,,,loʔyo/loʔo,küü,ⁿde a̧ma̧,yoho,ⁿdiko,ku ⁿdʸoho,,,kʷeʔe,[ni sin-a̧],kʷee,veʔe,,,,[ƀanku],iti,[koni],tiku,,,,žüü,,žoʔo,,,,,,,[ⁿdaa i̧nu̧],ⁿdi kʷi̧i̧,,ƀee,
Yucñ,(ku̧u̧) hàƀì,žāƀì,žiƀi,kò̧mì̧,tò̧mī̧,[ⁿdoʔo],ñu̧ma̧,hiti,tu̧ʔu̧,žati,žito,sa-kʷaa,ha̧ʔa̧,híkò,hita,ⁿdúsà,[ta kuʔⁿdi],šito,šòò,kʷàči,ⁿduči,[tà kʷìí],žuta,ⁿdēʔì,ña̧ni̧,ʔù̧nì̧,nù̧ʔù̧,ʔù̧ʔù̧,ʔi aa,ku̧ñu̧,kʷaʔa,kʷà̧ʔà̧,ʔùsà,žaʔa,kiti,ⁿdiʔi,ⁿdìƀì,či ʔi̧u̧,nī̧ì̧,žii,ñī̧ì̧,ñu̧nu̧,žaši,žiki,žiži,ⁿdei,ʔuʔva,saku,ču̧u̧,kači,tači,taa,ti kata,šito,sato,[tì šèʔè],ⁿdati,ni teʔi,ti̧i̧,tuči,tívì,,ʔes toʔo,saku,kaʔnu̧,hìkò,kiši,ⁿdiki,kòò,kini̧,žuku,te žako,žakʷa,kʷìà,[ʔihíì kì loʔlo],ⁿdako,kʷiʔna=thief,kʷa̧a̧,kiki,kʸoho,káa,čí nì̧nò̧,[ñu̧u̧ žaka],ʔi̧ʔni̧,nu̧ni̧,nō̧mà̧,na̧ʔa̧,nu̧nu̧,ʔu̧na̧,ti na̧na̧ kʷaʔa,ⁿdiči,hawa,ⁿdòò,kihi,,[ñu̧ñu̧],tiši heʔe,žōkō,ñà̧ živi,ñu̧u̧,ñu̧ʔma̧,[sȩȩ/sa sa̧ʔa̧],tahi yaʔa,[ña̧ ⁿdàà],ñú̧ʔù̧,ʔí̧ù̧,či̧i̧,ña̧ma̧,žusa,hèʔē,hei,ƀàʔa,či/ši ?,mi̧i̧,ƀaši,(šeʔe),(čito),ƀi̧ʔⁿda,sàʔà,saʔⁿdi,sa̧ʔu̧,šiti,ʔuši,ƀiši,ⁿdìsà,hì̧ʔì̧,kùù,hʸaʔa,hoʔo,ʔahi,ⁿdahi,[ʔi̧ŋɡa ta̧a̧],ƀiha,ƀiti,,žuʔu,ku ⁿdaʔvi,ʔivi,ti ho̧ʔma̧,kee,ⁿda keʔi,tì tì̧í̧/ti yótò,[nȩȩ],ⁿdiʔi,xa ka̧ʔⁿdi,čuku žaʔⁿdi,laa,[sapo],la̧ⁿdi,,ⁿdasa,ⁿdiʔa,lóʔò,kuu,[ⁿdá],žoho,ⁿde,[šʸoho/ha kʸoho],[či čarra],,kʷeʔe,ⁿdeʔe,kʷee,veʔe,[ⁿdoko saʔa],ⁿdiko,ⁿdìsì,tēì kʷàʔá,ʔiti,[kuni],tuku,kʷìkà,nì kako,,žuu,žuʔu,žoʔo,žužu,žùkù,žiko,sati,huti/hʷiti,[kàā],[ku tu̧ni̧ ʔi̧ni̧],či kʷi̧i̧,taža,vee,žúú kʷì̧nù̧
Guad,(ku̧u̧) đaƀi,yāƀì,yiƀi,kò̧mi̧,tu̧mi̧,[ⁿdoʔo],yi̧ma̧,šiȼi,tù̧ʔù̧,žaȼi,yito,sa-kʷaa,ša̧ʔa̧,šiko,šita,ⁿdʸusa,đusa,sito,sìò,kʷàči,ⁿduči,[ȼ̣ì kʷìí],yuȼ̣a,ⁿȼeʔye,ña̧ni̧,ʔu̧ni̧,nu̧ʔu̧,ʔu̧ʔu̧,ʔewa,ku̧ñu̧,kʷaʔa,kʷa̧ʔa̧,ʔùsà,[ilo],kīȼì,ⁿȼ̣iʔi,ⁿdzìƀì,čí ʔì̧ñù̧,nì̧ì̧,yii,ñi̧i̧,(ȼ̣i) ñu̧nu̧,yasi,yiki,ȼ̣i yii,[kusi]/ⁿdzei=mole,ʔiaʔa,,či̧u̧,kači,tači,ȼ̣ʸàa,ȼi kaȼi,sito,,[ȼi luᵐpa],ⁿdʸaȼ̣i,ȼ̣eʔe,ȼ̣i̧i̧,tuči,ȼ̣ivi,too,stoʔo,sako,kaʔnu̧,điko,kisi,ⁿdziki,kòò káa,kini̧,[loʔⁿda],ȼi kaȼi,yaku,kʷʸàà,[ʔiš loʔlo],ⁿdako,kʷiʔna,kʷa̧a̧,[ná̧ ka̧ʔma̧],ⁿdziđo,káa/yiko,nì̧nù̧,ni̧u̧ yaa, ʔi̧ʔni̧,nu̧ni̧,ná̧mà̧,na̧ʔa̧,nu̧na̧,ʔu̧na̧,ȼi na̧na̧ na̧ʔnu̧,ⁿdiči,đawa,ⁿdòò,kìđì,[ⁿdzutʸa],[ñu̧ñu̧],leʔli,ȼiki yoko,ʔa yivi,ñu̧u̧,ñi̧ʔma̧,sisi/sasi,[šaʔa],[ña̧ ⁿdaa],ñu̧ʔu̧,ʔi̧ñu̧,či̧i̧,ña̧ma̧,yusa,đèʔe,đaya,ƀaʔa,ča/ši ?,mȩȩ,ƀasi,(šeʔe),(čitu),tu ƀi̧ʔⁿdza,saʔa,saʔⁿdzi,sà̧ʔù̧,siȼi,ʔùsì,ƀisi,ⁿdisa,ȼ̣i đi̧ʔi̧,kivi,điʔa,đoʔo,ʔađi,ⁿdađi,ʔiđa,ƀiši,ƀiti,,yiʔvi,ⁿdaʔvi,ʔìvì,ȼ̣i đi̧ʔma̧,[ka̧na̧],kaʔya,ȼ̣i yoto/ȼ̣i ti̧i̧,[na̧i̧],ⁿdziʔi,ka̧ʔⁿdi,kò yáⁿki,laa,laʔwa,la̧ⁿti,,ȼi ⁿdasa,[vii],loʔo,kìvì,[tá],yođo,ⁿǰiši,ⁿdiđo,[ȼ̣i̧u̧],ⁿḍzaka,kʷeʔe,ⁿǰeʔe/ⁿdzeʔe,kʷee,veʔe,[ⁿdoko kʷaʔa],ⁿdziko,ⁿdzìsì,ȼ̣eye,ʔiȼi,[koni],tuku,kʷìkà,nì kako,,yùù,yüʔü,yuʔu,yuyu,yuku,[čiči],saȼi,đuti,tu̧ni̧,[ku tu̧ni̧ ʔi̧ni̧],[mu̧tu],tai,vee,ʔi̧nu̧/ʔi̧no̧=cigarro
Flor,,yaƀi,žiƀi,ko̧mi̧,to̧mi̧,[ⁿdoʔo],Nñi̧ma̧,šiti,[kaʔyu],,yitu,sa-kʷaa,ša̧ʔa̧,šiko,hita,,,šitu,šiu,,,[či kʷii],yuča,ⁿdeʔi,ña̧ni̧,u̧ni̧,,uʔu,,ku̧(ñ)u̧,kʷaʔa,[sa̧ʔa̧],usa,[ilu],kiči,,ⁿdiƀi,[espuma],Nni̧i̧,yii,ñi̧i̧,ñu̧nu̧,žaši,žiki,,,,,ču̧u̧,[iši ⁿǰaʔa],,čaa,či kači,šiʔtu,[kaxa],,ⁿdetu,[kuši],či̧a̧,,,,,,kaʔnu̧,điko,kiši,ⁿdiki,,,žüku,,,kʷia,,[si pushu̧],,kʷa̧a̧,[ka̧ʔmi],[nȩʔȩ],ka(a),,,,nu̧ni̧,na̧ma̧,na̧ʔa̧,su̧na̧,u̧na̧,,,đaƀa,ⁿdoo,,[ⁿǰiča/ⁿdüča],[ñu̧ñu̧],leʔla,,ʔa žiƀi/a yiƀi,ñu̧u̧,,sasi,,,ñu̧ʔu̧,ȩñu̧,či̧i̧,,yusa,đeʔi,,,či,mȩȩ,ƀaši,,(ⁿdi miči),,saʔa,saʔⁿǰi,sa̧ʔu̧,siti,uši,ƀiši,ⁿdisa,,kiƀi,siʔƀa,đoʔo,,kađi,,ƀiši,,,žiʔƀi,ⁿdaʔƀi,iƀi,,,,čiči/(či čii?),,ⁿǰiʔi,kaʔⁿǰi,,ⁿdi laa/ti laa,laʔwa,,,,,loʔyo/loʔo,kiƀi,[nȩ kii],yođo,ⁿdisi,[nȩʔȩ],,,kʷeʔe,[šini],kʷee-o,ƀeʔe,,,,tei,iči,[kuni],[inɡa],,,,yuu,,žiʔi,,,,,,,[ku tu̧ni̧ i̧ni̧],[mu̧tu],,ƀee,
