ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188
Spanish,lluvia,maguey,petate,cuatro,pluma,cola,cera,nariz,palabra,está cerca,árbol,venado,manteca,olor,tortilla,vomita,flojo,cama,comal,culpa,frijol,agua,río,lodo,hermano de h.,tres,diente,cinco,amargo,carne,rojo,se fue,siete,hilo,animal,se acaba,blanquillo,espuma,sangre,marido,sal,red,jícara,calabaza,tejón coatí,comida,salado,huipil,trabajo,algodón,viento ,hombre,redondon,horno,cajón,zancudo,esperar,podrido,agarrar,tendón,soplar,cuarta,dueño,poner (huevo),grande (sg.),cuello,va a venir,cuerno,culebra,feo,cerro,armadillo,chueco,año,ceja,pus,demonio,amarillo,coser,va a cargar,aquel,abajo,toda la noche,caliente,maíz,pared,temprano,abierto,ocho,jitomate,ejote,mitad,caña,olla,aguardiente,miel,sobaco,espiga,gente,pueblo,humo,comer,gavilan,verdad,lumbre,seis,uña,rastrojo,masa,hijo,catarro,bueno,porque,este mismo,ya viene,basura,gato,nopal,pie,corta,quince,tripas,diez,frio,huarache,horcon,nombre,cacao,oreja,sabroso,cerrado,pasado mabana,dulce,abora,agujero,tiene miedo,pobre,dos,alacran,salir,pintar,rata,hinchazon,grano,truena,arco iris,pajaro,rana,ombligo,orina,chachalaca,liso,chico,dia,cuando,llano,como,cargar,cucaracha,pegameuto,enfermedad,ver,despacio,casa,mamey,moler,ala,banquito,milpa,ayer,otro,peine,se nacio,sabio,piedra,boca,yo,rocio,hierba,surco,calzon,sacerdote,fierro,sabra,ardilla,floja,pesado,tobaco
English,rain,agave,straw mat,four,feather,tail,wax,nose,word,near,tree,deer,lard,smell,tortilla,vomits,lazy,bed,griddle,sin,bean,water,river,mud,man's brother,three,tooth,five,bitter,meat,red,(he) went,seven,thread,animal,it finishes,egg,foam,blood,husband,salt,net bag,gourd,squash,coati,food,salty,blouse,work,cotton,wind,man,round,oven,box / drawer,mosquito,wait for,rotten,grab,tendon,blow,handspan,owner,lay (egg),big (sg.),neck,will come,horn,snake,ugly,hill,armadillo,crooked,year,eyebrow,pus,demon,yellow,sew,will carry,that,below,all night,hot,grain of corn,wall,early,open,eight,tomato,green bean,half,cane,clay pot,liquor,honey,armpit,tassel,people,town,smoke,eat,hawk,truth,fire,six,fingernail,cornstalk,cornmeal,child,"cold, phlegm",good,because,this one,is coming,trash,cat,prickly pear,foot,cuts,fifteen,guts,ten,cold,sandal,housepost,name,cacao,ear,tasty,closed,day after tomorrow,sweet,now,hole,afraid,poor,two,scorpion,go out,paint,rat,swelling,pimple,it thunders,rainbow,bird,frog,navel,urine,chachalaca,smooth,little,day,when,plain,how,carry,cockroach,glue,sickness,see,slow,house,mamey,grind,wing,stool,cornfield,yesterday,other,comb,be born,smart,stone,mouth,I,dew,brush,furrow,trousers,priest,brand,will know,squirrel,loose,heavy,tobacco
P-Mixtec,*sawiʔ,*yawiʔ,*yuwiʔ,*ki̡wi̡ʔ,*towi̡,*luʔwe͂ʔ,*yuwe͂ʔ,*siti̡ʔ,*toʔõ,*yeti̡,*yutu̡ʔ,*isu,*seʔe͂,*siko,*sitaʔ,*ⁿduxe͂ʔ,*suxe͂ʔ,*xito,*xiyoʔ,*kʷeti,*ⁿdutiʔ,*ⁿdute,*yute,*ⁿdeʔyu,*yeni,*oni,*noʔo,*oʔo,*owe,*koyõ,*kʷeʔe,*kʷeʔe͂,*uxe,*yuʔwe,*kɨtɨʔ,*ⁿdɨʔɨʔ,*ⁿdɨwɨʔ,*tɨ iyu̡,*nɨyɨ͂ʔ,*yɨɨʔ,*yɨɨ͂ʔ,*yonoʔ,*yexi̡ʔ,*yɨkɨ͂ʔ,*yɨyɨ,*ⁿdeyuʔ,*oʔwe,*sikõ,*tiyõ,*katiʔ,*tatiʔ,*teye,*kute,*xitu̡,*xetu̡ʔ,*tɨ kʷeyɨ͂ʔ,*ⁿdetuʔ,*teʔyu,*tɨɨ͂ʔ,*tuti,*tɨwɨ,*too,*xi toʔo,*xeki̡,*kaʔnu,*suku̡ʔ,*kixi,*ⁿdɨkɨʔ,*kooʔ,*kini,*yukuʔ,*yakʷi̡ʔ,*yakʷeʔ,*kʷiya,*sɨkʷaʔ,*lakʷaʔ,*kʷiʔna,*kʷaã,*ku ɨku,*ku iso,*yuku ã,*nino,*niyu̡,*iʔniʔ,*noniʔ,*nawã,*neʔe,*nuneʔ,*one,*tɨ lanaʔ,*ⁿditi,*sawa,*ⁿdooʔ,*kɨsɨ,*ⁿdɨsi,*ⁿdusi,*leʔyiʔ,*yokoʔ,*ye͂ yɨwɨʔ,*yuu̡,*yuʔwe͂,*xexiʔ,*tasu̡ʔ,*ⁿdixe,*yuʔu̡,*iyõ,*tiyi̡ʔ,*yawãʔ,*yuxe͂ʔ,*saʔyi,*sayu,*waʔa,*wati,*weye͂,*wexi,*wiʔi̡ʔ,*wiluʔ,*wiʔⁿdeʔ,*xeʔe,*xeʔⁿde,*xeʔu̡,*xɨtɨ,*uxi,*wixi̡,*ⁿdixe͂ʔ,*sɨʔɨ͂,*sɨwɨʔ,*sɨʔwa,*loʔo,*asɨ͂ʔ,*ⁿdesɨ,*isa,*wisi̡,*witi̡,*yawi,*yuʔwi,*ⁿdaʔwi,*uwi,*tɨ luʔwe͂ʔ,*keyiʔ,*kaʔyu,*tɨyɨ͂ʔ,*kʷɨyɨ͂,*ⁿdɨʔyɨ,*kaʔⁿdɨ,*koo yeⁿdiʔ,*tɨ laa,*laʔwa,*leⁿdu,*lele,*laxe͂ʔ,*lɨʔwɨʔ,*luʔu,*kɨwɨʔ,*awã,*yosoʔ,*ⁿdese,*ⁿdisoʔ,*tɨ teʔyaʔ,*ⁿdeka,*kʷeʔyi,*ⁿdeʔya,*kʷeye,*weʔyi,*ⁿdikaʔ,*ⁿdikoʔ,*ⁿdixi̡,*teyu,*itu,*iku,*tuku,*kuka,*ni kaku,*tuʔwe,*yuuʔ,*yuʔyuʔ,*yuʔu,*yuyuʔ,*yuku,*yuku̡,*xetu,*sutu,*tuni,*kuni,*kʷeyu̡ʔ,*taya,*weyi,*ino
Mont,habi,žabi,žibi,kõmi̡,tõmi̡,[ⁿdoʔo],ñi̡mã,šiti,tõʔõ,,žito,si-kʷaa,šãʔã,šiko,šita,,,sito,siyo,,ⁿduči,[ti kʷii],yutʸa,ⁿdʸaʔži,,u̡ni̡,,õʔõ,,ku̡ñu̡,kʷaʔa,[sãʔã],usa,žiʔba,kiti,,ⁿdibi,i̡ñu̡,ni̡i̡,žii,ñi̡i̡,[red],žasi,žiki̡,,,,,čiʔu̡/čiñu̡,kači,,taa,ti kata,šito,[kaxa],[ti seʔe],ⁿdʸati,tʸaʔži,ti̡i̡,,tibi,,,,kaʔnu̡,hiko,kisi,ⁿdiki,,,žiko,,,kʷia,,ⁿdakʷa,,kʷããⁿ,kiki,ko ⁿdiho,žika,,,,nu̡ni̡,[saʔa beʔe],ta nãʔã,[sõnã],õnã,,,haba,ⁿdoo,,[ⁿdutʸa],[ñu̡ñu̡],seʔe,,ñã žibi,ñu̡u̡,ñi̡ʔmã,[si sʸãʔã],,,ñu̡ʔu̡,i̡ñu̡,či̡i̡,,žusã,haʔya,,,či,me͂e͂,baxi,,(ⁿdi čito),,saʔa,saʔⁿdʸa,sãʔu̡,süti kãʔnu̡,usi,bisi(o),ⁿdisa,,kibi,[kakau],hoʔo,,kahe,,biši,,,žiʔbi (o),ⁿdaʔbi,ibi,,,,[tižoto],,ⁿdiʔi,kaʔⁿdi,,ⁿdi laa,ⁿdi laʔba,,,,,loʔo,kibi,ãmã,žoho,ⁿdiša,ko ⁿdiho,,,kʷeʔe,ⁿdeʔe,kʷee-o,beʔe,,,,[banka],iti,[koni],tuko,,,,žuu,,žuʔu,,,,,,,[koto],ⁿdi kʷãñi̡,,,
Nuch,(kúū) habi,žabi,žibi,kõ̂mi̡,tõ̂mi̡,[ⁿdoʔo],yi̡mã,šiti,tȭʔȭ,žati,žito,sA-kʷaa,šãʔã,šiko,šìtà,ⁿdüsa,husa,šito,šoo,kʷàči,ⁿduču,[tì kʷìí],žutʸa,ⁿdeʔži,ñãni̡,ʔu̡ni̡,nū̡ʔu̡,ʔù̡ʔù̡,ʔeba,ku̡ñu̡,kʷaʔa,kʷã̀ʔã̀,ʔusa,žeʔba,kiti,ⁿdiʔi,ⁿdìbì,či ʔi̡ñu̡,nì̡ì̡,žii,ñi̡i̡,ñu̡nu̡,žāšì,žikì,tì žíì,ⁿdežu,ʔeʔva,,ču̡u̡,kàčì,tàčì,tʸàā,tì kàtʸá,šito,sàtò,tì kʷi̡i̡,ⁿdʸati,ni teži,ti̡i̡,[tì tú̡ʔù̡],tivi,,ši toʔo,saku,kaʔnu̡,hiko,kixi,ⁿdiki,kòò káá,kini̡,[tì nã̄ã́],žaku,žakʷa,kʷìà,šiku nu̡u̡,ⁿdako,tà kʷì̡ʔnã́,kʷãã,tíki,ⁿdeho,žiká,ni̡nu̡,[ⁿdihã ni̡ kʷaa],ʔi̡ʔni̡,nù̡nì̡,nãmã,nãʔã,nu̡nu̡(va),ʔù̡nã̀,tì nãnã nãʔnu̡,ⁿdiči,[ñãʔñu̡]/haba,ⁿdōò,kìhì,[ⁿdʸütʸa],[ñu̡ñu̡],tiši leʔe,ti žoko(ʔiti),ñã živi,ñu̡u̡,ñi̡ʔmã,šiši,[ⁿdì šãʔã́/tí žã̀ʔã̀],[ñã̀ ⁿdã̀ã̀],ñu̡ʔu̡,ʔi̡ñu̡,či̡i̡,ñã̀mã̀,žusa,haʔži,haži,baʔa,bači,me͂e͂,waši,(šeʔe),(mi̡to),tò bi̡ʔⁿdʸa,saʔa,saʔⁿda,šãʔu̡,šiti,ʔušu,biši,ⁿdisa,hi̡ʔi̡,kìvì,ti heʔba,hoʔo,ʔahi,ⁿdahi,ʔʸaha,biši,biti,,žiʔvi,ⁿdaʔvi,ʔìvì,tì hi̡ʔmã,kee,nã kaʔži,ti žoto/tī̡í̡,[nãñu̡],ⁿdiʔi,xa kãʔⁿdi,tìxì žãʔⁿdʸa,laa,,laⁿdi,,ⁿdi ⁿdasa,[teʔže],lʸoo,kìvì,ʔãmã,žoho,ⁿdʸaha,ⁿdeho,ⁿdì teʔže,,kʷeʔe,ʔí ⁿdéʔe,kʷee,veʔe,[ⁿdoxo kʷaʔa],ⁿdiko,ⁿdiši,teži,ʔiti,[koni],tuku,kʷika,kaku,,žüü,žuʔu,žeʔe,žüžü,žuku,[čiči],sati,hütü,tu̡ni̡,[ka ⁿdeʔe],ti kʷãñi̡,taži,vee,ña kʷi̡nu̡/ša̡nu̡ (cigarro)
Aten,(ku̡u̡) habi,žābì,žibi,kõ̀mì̡,tõ̀mī̡,[ⁿdoʔo],ñi̡mã,šiti,tu̡ʔu̡/tõʔõ,žati,yuto,sa-kʷaa,šãʔã,šiko,šita,ⁿdusa,tì hùsá,sito,sʸoo,kʷàči,ⁿdūčì,[ti kʷii],žutʸa,ⁿdeʔi,ñãni̡,ʔõ̀nì̡,nù̡ʔū̡,ʔù̡ʔù̡,ʔia(-o),kõi̡,kʷaʔa,kʷãʔã,ʔusa,žaʔa,kītì,ⁿdiʔi,ⁿdìbì,či ʔì̡ù̡,nì̡ì̡,žii,ñi̡i̡,(ti) ñu̡nu̡,žasI,žiki,ti žii,[ku še͂ʔi̡]/ⁿdei (mole),ʔiʔʸa,,ču̡u̡,kàčì,tàčì,tʸaa,ti kate,sìtò,sato,ti kʷi̡i̡,ⁿdati,teʔi,ti̡i̡,tuči,tivi,,stoʔo,[kee],kaʔnu̡,hìkò,kisi,ⁿdiki,kòò,kini̡,žuku,žāki,žaku,kʷìà,šukai,ⁿdakʷa,ti kʷi̡ʔña,kʷãã,ʔa kiko,[ⁿdʸoʔo]/kʸoho,hiᵑkã,ni̡nu̡,ni̡u̡/[ñu̡u̡ žaa],ʔi̡ʔni̡,nõni̡,nãmã/[ⁿdika],nãʔã,nu̡nã,ʔõ̀nã̀,ti nãnã nãʔnã,ⁿdiči,hava,ⁿdòò,kìhì,ⁿdiši (pulque),[ñu̡ñu̡],šeʔe,tīò yókō,ʔa živi,ñu̡u̡,ni̡ʔmã,[si sʸãʔã],[šãʔã/kiri žaʔa],[ñã ⁿdãã],ñu̡ʔu̡,ʔi̡u̡,či̡i̡,ñã̀mã̀,žusa,haʔyi,hai,baʔa,(ba)či,me͂e͂,basi,(seʔe),(čito),tu bi̡ʔⁿdá,saʔa,saʔⁿdi,sã̀ʔù̡,siti,ʔùšì,bísì,ⁿdusa,hi̡ʔi̡,kivi,hʸaʔa,hoʔo,ʔahi̡,ⁿdehi,ʔʸaha,biši,biti,,ka žiʔvi,ⁿdaʔvi,ʔìvì,(ti hʸãʔã),[kãnã],nã kaʔi,ti žoto/tì̡í̡,[nãi̡]/kʷi̡u̡,ⁿdiʔi,kãʔⁿdi,[tìkù šã́nu̡],laa,laʔo,šãⁿdi,,ⁿdasa,[vii],loʔo,kìvì,ⁿdʸãmã/[tá],žoho,ⁿdici,ⁿdího,teʔi,ⁿdʸaka,kʷeʔe,sá ⁿdèʔē,kʷee,veʔe,ⁿdika saʔa,ⁿdiko,ⁿdìsì,tei,ʔiti,[koni],tiki,kʷīkà,na kaki,,žuu,žuʔu,žiʔi,žuu,žuku,ⁿčiko,sati,huti,tū̡nì̡,[ku tu̡ni̡ ʔi̡ni̡],ⁿdì kʷãi̡,tai,vee,žuku ʔi̡nu̡̡/ša̡nu̡ (cigarro)
Yucq,sau,yau,žibi,kõmi̡,tu̡mi̡,[ⁿdoʔo],ñi̡mã,ši̡ⁿti,tõʔõ,žatni̡,žito,sa-kʷaa,šãʔã,sitʸo,dita,,,šito,šoo,,ⁿdiši,[te kʷii],žuta/yuta,ⁿdeʔi,ñãni̡,u̡ni̡,,u̡ʔu̡,,ku̡ñi̡,kʷaʔa,kʷãʔã,isa,žoʔo,kiti,,ⁿdibi,čiʔñu̡,ni̡i̡,yii,ñi̡i̡,ñu̡nu̡,yaxi,žiki,žii,,,,ču̡u̡,kači,tači,taa,si kata,šito,satu,[tu čeʔe],ⁿdatu/ⁿdata,teʔu,ti̡i̡,,tiu,,,,kaʔnu̡,diko,[bi saʔa/ka saʔa],,,,žükü,,,kʷia,,ⁿdaku,,kʷãã,kiki,ku ⁿdʸoho,(i)ka,,,,nu̡ni̡,nãmã,nãʔã,[taʔu],u̡nã,,,,ⁿdoo,,[ɡʷarieⁿti],ⁿduhi,ti šeʔe,,ñã žibi,ñu̡u̡,ñi̡ʔmã,saxi/saši,,,ñu̡ʔu̡,i̡ñu̡ (bi),či̡i̡,,yusa,deʔi (of male)/seʔe (of female),,,(ⁿdiʔ),mi̡i̡,wa,,(čito),,saʔa,(čati),sãʔu̡ (kʷi),sti/šiti,isi (bi),biši,ⁿdisa,,küü,(tiʔa žiʔi)?,soʔo,,kaʔhi,,bihi,,,žüʔü,ⁿdaʔu,ibi,,,,[ti yoto],,ⁿdiʔi,kaʔⁿdo,,laa,laʔba,,,,,loʔyo/loʔo,küü,ⁿde ãmã,yoho,ⁿdiko,ku ⁿdʸoho,,,kʷeʔe,[ni sin-ã],kʷee,veʔe,,,,[banku],iti,[koni],tiku,,,,žüü,,žoʔo,,,,,,,[ⁿdaa i̡nu̡],ⁿdi kʷi̡i̡,,bee,
Yucñ,(ku̡u̡) hàbì,žābì,žibi,kõ̀mì̡,tõ̀mī̡,[ⁿdoʔo],ñu̡mã,hiti,tu̡ʔu̡,žati,žito,sa-kʷaa,hãʔã,híkò,hita,ⁿdúsà,[ta kuʔⁿdi],šito,šòò,kʷàči,ⁿduči,[tà kʷìí],žuta,ⁿdēʔì,ñãni̡,ʔù̡nì̡,nù̡ʔù̡,ʔù̡ʔù̡,ʔi aa,ku̡ñu̡,kʷaʔa,kʷã̀ʔã̀,ʔùsà,žaʔa,kiti,ⁿdiʔi,ⁿdìbì,či ʔi̡u̡,nī̡ì̡,žii,ñī̡ì̡,ñu̡nu̡,žaši,žiki,žiži,ⁿdei,ʔuʔva,saku,ču̡u̡,kači,tači,taa,ti kata,šito,sato,[tì šèʔè],ⁿdati,ni teʔi,ti̡i̡,tuči,tívì,,ʔes toʔo,saku,kaʔnu̡,hìkò,kiši,ⁿdiki,kòò,kini̡,žuku,te žako,žakʷa,kʷìà,[ʔihíì kì loʔlo],ⁿdako,kʷiʔna (thief),kʷãã,kiki,kʸoho,káa,čí nì̡nõ̀,[ñu̡u̡ žaka],ʔi̡ʔni̡,nu̡ni̡,nȭmã̀,nãʔã,nu̡nu̡,ʔu̡nã,ti nãnã kʷaʔa,ⁿdiči,hawa,ⁿdòò,kihi,,[ñu̡ñu̡],tiši heʔe,žōkō,ñã̀ živi,ñu̡u̡,ñu̡ʔmã,[se͂e͂/sa sãʔã],tahi yaʔa,[ñã ⁿdàà],ñú̡ʔù̡,ʔí̡ù̡,či̡i̡,ñãmã,žusa,hèʔē,hei,bàʔa,či/ši ?,mi̡i̡,baši,(šeʔe),(čito),bi̡ʔⁿda,sàʔà,saʔⁿdi,sãʔu̡,šiti,ʔuši,biši,ⁿdìsà,hì̡ʔì̡,kùù,hʸaʔa,hoʔo,ʔahi,ⁿdahi,[ʔi̡ŋɡa tãã],biha,biti,,žuʔu,ku ⁿdaʔvi,ʔivi,ti hõʔmã,kee,ⁿda keʔi,tì tì̡í̡/ti yótò,[ne͂e͂],ⁿdiʔi,xa kãʔⁿdi,čuku žaʔⁿdi,laa,[sapo],lãⁿdi,,ⁿdasa,ⁿdiʔa,lóʔò,kuu,[ⁿdá],žoho,ⁿde,[šʸoho/ha kʸoho],[či čarra],,kʷeʔe,ⁿdeʔe,kʷee,veʔe,[ⁿdoko saʔa],ⁿdiko,ⁿdìsì,tēì kʷàʔá,ʔiti,[kuni],tuku,kʷìkà,nì kako,,žuu,žuʔu,žoʔo,žužu,žùkù,žiko,sati,huti/hʷiti,[kàā],[ku tu̡ni̡ ʔi̡ni̡],či kʷi̡i̡,taža,vee,žúú kʷì̡nù̡
Guad,(ku̡u̡) dabi,yābì,yibi,kõ̀mi̡,tu̡mi̡,[ⁿdoʔo],yi̡mã,šiȼi,tù̡ʔù̡,žaȼi,yito,sa-kʷaa,šãʔã,šiko,šita,ⁿdʸusa,dusa,sito,sìò,kʷàči,ⁿduči,[ȼ̣ì kʷìí],yuȼ̣a,ⁿȼeʔye,ñãni̡,ʔu̡ni̡,nu̡ʔu̡,ʔu̡ʔu̡,ʔewa,ku̡ñu̡,kʷaʔa,kʷãʔã,ʔùsà,[ilo],kīȼì,ⁿȼ̣iʔi,ⁿdzìbì,čí ʔì̡ñù̡,nì̡ì̡,yii,ñi̡i̡,(ȼ̣i) ñu̡nu̡,yasi,yiki,ȼ̣i yii,[kusi]/ⁿdzei (mole),ʔiaʔa,,či̡u̡,kači,tači,ȼ̣ʸàa,ȼi kaȼi,sito,,[ȼi luᵐpa],ⁿdʸaȼ̣i,ȼ̣eʔe,ȼ̣i̡i̡,tuči,ȼ̣ivi,too,stoʔo,sako,kaʔnu̡,diko,kisi,ⁿdziki,kòò káa,kini̡,[loʔⁿda],ȼi kaȼi,yaku,kʷʸàà,[ʔiš loʔlo],ⁿdako,kʷiʔna,kʷãã,[nã́ kãʔmã],ⁿdzido,káa/yiko,nì̡nù̡,ni̡u̡ yaa, ʔi̡ʔni̡,nu̡ni̡,nã́mã̀,nãʔã,nu̡nã,ʔu̡nã,ȼi nãnã nãʔnu̡,ⁿdiči,dawa,ⁿdòò,kìdì,[ⁿdzutʸa],[ñu̡ñu̡],leʔli,ȼiki yoko,ʔa yivi,ñu̡u̡,ñi̡ʔmã,sisi/sasi,[šaʔa],[ñã ⁿdaa],ñu̡ʔu̡,ʔi̡ñu̡,či̡i̡,ñãmã,yusa,dèʔe,daya,baʔa,ča/ši ?,me͂e͂,basi,(šeʔe),(čitu),tu bi̡ʔⁿdza,saʔa,saʔⁿdzi,sã̀ʔù̡,siȼi,ʔùsì,bisi,ⁿdisa,ȼ̣i di̡ʔi̡,kivi,diʔa,doʔo,ʔadi,ⁿdadi,ʔida,biši,biti,,yiʔvi,ⁿdaʔvi,ʔìvì,ȼ̣i di̡ʔmã,[kãnã],kaʔya,ȼ̣i yoto/ȼ̣i ti̡i̡,[nãi̡],ⁿdziʔi,kãʔⁿdi,kò yáⁿki,laa,laʔwa,lãⁿti,,ȼi ⁿdasa,[vii],loʔo,kìvì,[tá],yodo,ⁿǰiši,ⁿdido,[ȼ̣i̡u̡],ⁿḍzaka,kʷeʔe,ⁿǰeʔe/ⁿdzeʔe,kʷee,veʔe,[ⁿdoko kʷaʔa],ⁿdziko,ⁿdzìsì,ȼ̣eye,ʔiȼi,[koni],tuku,kʷìkà,nì kako,,yùù,yüʔü,yuʔu,yuyu,yuku,[čiči],saȼi,duti,tu̡ni̡,[ku tu̡ni̡ ʔi̡ni̡],[mu̡tu],tai,vee,ʔi̡nu̡/ʔi̡nõ (cigarro)
Flor,,yabi,žibi,kõmi̡,tõmi̡,[ⁿdoʔo],Nñi̡mã,šiti,[kaʔyu],,yitu,sa-kʷaa,šãʔã,šiko,hita,,,šitu,šiu,,,[či kʷii],yuča,ⁿdeʔi,ñãni̡,u̡ni̡,,uʔu,,ku̡(ñ)u̡,kʷaʔa,[sãʔã],usa,[ilu],kiči,,ⁿdibi,[espuma],Nni̡i̡,yii,ñi̡i̡,ñu̡nu̡,žaši,žiki,,,,,ču̡u̡,[iši ⁿǰaʔa],,čaa,či kači,šiʔtu,[kaxa],,ⁿdetu,[kuši],či̡ã,,,,,,kaʔnu̡,diko,kiši,ⁿdiki,,,žüku,,,kʷia,,[si pushu̡],,kʷãã,[kãʔmi],[ne͂ʔe͂],ka(a),,,,nu̡ni̡,nãmã,nãʔã,su̡nã,u̡nã,,,daba,ⁿdoo,,[ⁿǰiča/ⁿdüča],[ñu̡ñu̡],leʔla,,ʔa žibi/a yibi,ñu̡u̡,,sasi,,,ñu̡ʔu̡,e͂ñu̡,či̡i̡,,yusa,deʔi,,,či,me͂e͂,baši,,(ⁿdi miči),,saʔa,saʔⁿǰi,sãʔu̡,siti,uši,biši,ⁿdisa,,kibi,siʔba,doʔo,,kadi,,biši,,,žiʔbi,ⁿdaʔbi,ibi,,,,čiči/(či čii?),,ⁿǰiʔi,kaʔⁿǰi,,ⁿdi laa/ti laa,laʔwa,,,,,loʔyo/loʔo,kibi,[ne͂ kii],yodo,ⁿdisi,[ne͂ʔe͂],,,kʷeʔe,[šini],kʷee-o,beʔe,,,,tei,iči,[kuni],[inɡa],,,,yuu,,žiʔi,,,,,,,[ku tu̡ni̡ i̡ni̡],[mu̡tu],,bee,
