GLOSS,VALUE,NOTES,DOCULECT,SOURCE
espina,íjṍɁ,tipo I,prom01,swanton2020observaciones
espina,i³ɲu⁴,tipo I,alco11,swanton2020observaciones
espina,i²ɲu²Ɂ,tipo I,zaca11,swanton2020observaciones
espina,i²ɲu²+³,tipo I,chal11,swanton2020observaciones
espina,i³õ¹,tipo I,yucu16,swanton2020observaciones
pelo,ísíɁ,tipo I,prom01,swanton2020observaciones
pelo,i³ʃi⁴,tipo I,alco11,swanton2020observaciones
pelo,i²ʃi²Ɂ,tipo I,zaca11,swanton2020observaciones
pelo,i²ʃi²+³,tipo I,chal11,swanton2020observaciones
pelo,i³θi¹,tipo I,yucu16,swanton2020observaciones
camino,ítíɁ,tipo I,prom01,swanton2020observaciones
camino,i³ʧi⁴,tipo I,alco11,swanton2020observaciones
camino,i²ti²Ɂ,tipo I,zaca11,swanton2020observaciones
camino,i²ʧi²+³,tipo I,chal11,swanton2020observaciones
camino,i³ʧi¹,tipo I,yucu16,swanton2020observaciones
chile,jáɁáɁ,tipo I,prom01,swanton2020observaciones
chile,ja³Ɂa⁴,tipo I,alco11,swanton2020observaciones
chile,ja²Ɂa²Ɂ,tipo I,zaca11,swanton2020observaciones
chile,ja²Ɂa²+³,tipo I,chal11,swanton2020observaciones
chile,ja³Ɂa¹,tipo I,yucu16,swanton2020observaciones
jícara,jéxĩ́Ɂ,tipo I,prom01,swanton2020observaciones
jícara,ja³ʃĩ⁴,tipo I,alco11,swanton2020observaciones
jícara,ja²ʧĩ²Ɂ,tipo I,zaca11,swanton2020observaciones
jícara,ja²ʃĩ²+³,tipo I,chal11,swanton2020observaciones
jícara,ja³ʃi¹,tipo I,yucu16,swanton2020observaciones
mecate,jóɁóɁ,tipo I,prom01,swanton2020observaciones
mecate,jo³Ɂo⁴,tipo I,alco11,swanton2020observaciones
mecate,jo²Ɂo²Ɂ,tipo I,zaca11,swanton2020observaciones
mecate,jo²Ɂo²+³,tipo I,chal11,swanton2020observaciones
mecate,jo³Ɂo¹,tipo I,yucu16,swanton2020observaciones
árbol,jútṹɁ,tipo I,prom01,swanton2020observaciones
árbol,i³tũ⁴,tipo I,alco11,swanton2020observaciones
árbol,ju²tũ²Ɂ,tipo I,zaca11,swanton2020observaciones
árbol,ju²nu²+³,tipo I,chal11,swanton2020observaciones
árbol,ji³to¹,tipo I,yucu16,swanton2020observaciones
petate,júwíɁ,,prom01,swanton2020observaciones
petate,i³bi⁴,,alco11,swanton2020observaciones
petate,ju²bi²Ɂ,,zaca11,swanton2020observaciones
petate,ju²Ɂu²+³,,chal11,swanton2020observaciones
petate,NA,,yucu16,swanton2020observaciones
"boca, borde",júɁúɁ,tipo I,prom01,swanton2020observaciones
"boca, borde",ju³Ɂu⁴,tipo I,alco11,swanton2020observaciones
"boca, borde",ju²Ɂu²Ɂ,tipo I,zaca11,swanton2020observaciones
"boca, borde",ju²u²+³,tipo I,chal11,swanton2020observaciones
"boca, borde",jy³y¹,tipo I,yucu16,swanton2020observaciones
animal,kɨ́tɨ́Ɂ,tipo I,prom01,swanton2020observaciones
animal,ki³ti⁴,tipo I,alco11,swanton2020observaciones
animal,ki²ti²Ɂ,tipo I,zaca11,swanton2020observaciones
animal,kɨ²tɨ²+³,tipo I,chal11,swanton2020observaciones
animal,ki³ti¹,tipo I,yucu16,swanton2020observaciones
cuándo,áwã́,,prom01,swanton2020observaciones
cuándo,a³ma³,,alco11,swanton2020observaciones
cuándo,a²ma²,,zaca11,swanton2020observaciones
cuándo,te²=a²ma²,,chal11,swanton2020observaciones
cuándo,NA,,yucu16,swanton2020observaciones
ayer,íkú-(ní),,prom01,swanton2020observaciones
ayer,ku³ni³,,alco11,swanton2020observaciones
ayer,i²ku²,,zaca11,swanton2020observaciones
ayer,i²ku²,,chal11,swanton2020observaciones
ayer,ko²ni²,,yucu16,swanton2020observaciones
cerca,jétĩ́,,prom01,swanton2020observaciones
cerca,ja³ʧĩ³,,alco11,swanton2020observaciones
cerca,ja²tĩ²,,zaca11,swanton2020observaciones
cerca,ja²ni²,,chal11,swanton2020observaciones
