NUMBER,PMx,GLOSS,ALCO,ZACA,CHAL,CommentCHAL,YUCQ,CommentYUCQ
1,íjṍɁ ,espina,i³ɲu⁴ ,i²ɲu²Ɂ ,i²ɲu²+³ ,,i³õ¹ ,tipo I
2,ísíɁ ,pelo,i³ʃi⁴ ,i²ʃi²Ɂ ,i²ʃi²+³ ,,i³θi¹ ,tipo I
3,ítíɁ ,camino,i³ʧi⁴ ,i²ti²Ɂ ,i²ʧi²+³ ,,i³ʧi¹ ,tipo I
4,jáɁáɁ ,chile,ja³Ɂa⁴ ,ja²Ɂa²Ɂ ,ja²Ɂa²+³ ,,ja³Ɂa¹,tipo I
5,jéxĩ́Ɂ ,jícara,ja³ʃĩ⁴ ,ja²ʧĩ²Ɂ ,ja²ʃĩ²+³ ,,ja³ʃi¹,tipo I
6,jóɁóɁ ,mecate,jo³Ɂo⁴ ,jo²Ɂo²Ɂ ,jo²Ɂo²+³ ,,jo³Ɂo¹ ,tipo I
7,jútṹɁ ,árbol,i³tũ⁴ ,ju²tũ²Ɂ ,ju²nu²+³ ,,ji³to¹,tipo I
8,júwíɁ ,petate,i³bi⁴ ,ju²bi²Ɂ ,ju²Ɂu²+³ ,,,
9,júɁúɁ ,"boca, borde",ju³Ɂu⁴,ju²Ɂu²Ɂ ,ju²u²+³ ,,jy³y¹ ,tipo I
10,kɨ́tɨ́Ɂ ,animal,ki³ti⁴ ,ki²ti²Ɂ ,kɨ²tɨ²+³ ,,ki³ti¹ ,tipo I
11,áwã́ ,cuándo,a³ma³ ,a²ma² ,te²=a²ma²,,,
12,íkú-(ní) ,ayer,ku³ni³ ,i²ku² ,i²ku² ,,ko²ni²,
13,jétĩ́ ,cerca,ja³ʧĩ³ ,ja²tĩ² ,ja²ni² ,,ja²ti²,
14,táxá ,rayo,ta³ʃa³ ,ta²ʧa² ,ta²xa² ,,ta²sa²,
15,tíjṍ ,trabajo,ʧi³ɲu³ ,ti²ɲu² ,ti²ũ² ,,ʧu²ũ²,
16,túkú ,"diferente, otro",tu³ku³ ,tu²ku²,tu²ku² ,,ti²ko²,
17,wítĩ́ ,ahora,bi³ʧi³ ,bi²tĩ² ,bi²na² ,,bi²ti²,
18,ítà ,flor,i³ta² ,i²ta² ,i²ta¹ ,,i²ta²,
19,ítè ,pasto,i³ca² ,i²ta² ,i²ʧa¹ ,,i²ta²,
20,jáà ,"canción,  música",ja³a²,ja²a²,ja²a¹ ,,ja²a²,
21,jáɁwĩ  ,camote,ɲa³Ɂmi² ,ɲa²Ɂmi² ,ɲa²Ɂmi¹ ,,ɲa²Ɂmi²,
22,jénì ,hermano de hombre,ɲa³ni² ,ja²ni² ,ɲa²ni¹ ,,ɲa²ni²,
23,júũ̀̀,pueblo,ɲu³u² ,ɲu²u² ,ɲu²u¹ ,,ɲo²o²,
24,júwà ,quelite,i³ba² ,ju²ba² ,ju²a¹ ,,jo²o²,
25,tútù ,papel,tu³tu² ,tu²tu² ,tu²tu¹ ,,ty²ti²,
26,jàwã̀Ɂ ,"totomoxtle, hoja de mazorca",ɲa¹ma⁴ ,ɲa²ma²¹Ɂ ,ɲa²ma¹+³ ,,ɲa¹ma¹ ,
27,jòòɁ ,luna,jo¹o⁴ ,jo²o²¹Ɂ ,jo²o¹+³ ,,jo¹o¹ ,
28,jùùɁ ,piedra,ju¹u⁴ ,ju²u²¹Ɂ ,ju²u¹+³ ,,jy¹y¹ ,
