ID	Doculect	Concept	Form	PMCouplet	CogID_Durr	ToneMod	CitForm	IDlist	ID
10	diux11	child	đá’ʔžá	LH	54	no	no	5	2048
80	peno11	child	đéʔè	LH	54	no	no	5	2049
162	coat11	child	íʔšá	LH	54	no	yes	5	2050
236	moli11	child	sèʔē	LH	54	no	no	5	2051
299	ocot11	child	sèʔē	LH	54	no	no	5	2052
377	atat11	child	sèʔē	LH	54	no	no	5	2053
483	gran11	child	sèʔē	LH	54	no	no	5	2054
570	caca11	child	đèʔē	LH	54	no	no	5	2055
632	xaya11	child	đèʔē	LH	54	no	no	5	2056
690	ayut11	child	sīʔè	LH	54	no	no	5	2057
797	metl11	child	sēʔē	LH	54	no	no	5	2058
865	cahu11	child	sāʔyā	LH	54	no	no	5	2059
931	mixt11	child	sèʔē	LH	54	no	no	5	2060
997	prog12	child	hàʔžī	LH	54	no	no	5	2061
1076	jica11	child	séʔé	LH	54	no	no	5	2062
1127	chay11	child	θèʔē	LH	54	no	no	5	2063
9	diux11	cross-sex sibling	kú’ʔá	LH	52	no	no	8	2064
78	peno11	cross-sex sibling	kúʔà	LH	52	no	no	8	2065
235	moli11	cross-sex sibling	kʷàʔā	LH	52	no	no	8	2066
298	ocot11	cross-sex sibling	kʷàʔā	LH	52	no	no	8	2067
376	atat11	cross-sex sibling	kʷàʔā	LH	52	no	no	8	2068
481	gran11	cross-sex sibling	kʷàʔā	LH	52	no	no	8	2069
630	xaya11	cross-sex sibling	kùʔā	LH	52	no	no	8	2070
796	metl11	cross-sex sibling	kūʔƀā	LH	52	no	no	8	2071
995	prog12	cross-sex sibling	kʸàʔƀà	LH	52	no	no	8	2072
1125	chay11	cross-sex sibling	kùʔƀā	LH	52	no	no	8	2073
8	diux11	brother	'ñànì	HL	40	no	no	9	2074
67	peno11	brother	ñàní	HL	40	no	no	9	2075
152	coat11	brother	éní̧	HL	40	no	yes	9	2076
289	ocot11	brother	ñānì	HL	40	no	no	9	2077
365	atat11	brother	ñānī	HL	40	no	no	9	2078
469	gran11	brother	ñānì	HL	40	no	no	9	2079
564	caca11	brother	ñāñī̧	HL	40	no	no	9	2080
624	xaya11	brother	ñānī	HL	40	no	no	9	2081
682	ayut11	brother	ñànì	HL	40	no	no	9	2082
787	metl11	brother	yānī	HL	40	no	no	9	2083
854	cahu11	brother	ñānī	HL	40	no	no	9	2084
986	prog12	brother	ñànì	HL	40	no	no	9	2085
19	diux11	sister	kú’ʔú	LL	78	no	no	10	2086
100	peno11	sister	kúʔú	LL	78	no	no	10	2087
253	moli11	sister	kùʔù	LL	78	no	no	10	2088
311	ocot11	sister	kùʔù	LL	78	no	no	10	2089
400	atat11	sister	kùʔù	LL	78	no	no	10	2090
507	gran11	sister	kùʔù	LL	78	no	no	10	2091
587	caca11	sister	kùʔù	LL	78	no	no	10	2092
642	xaya11	sister	kùʔù	LL	78	no	no	10	2093
705	ayut11	sister	kūʔwà	LL	78	no	no	10	2094
811	metl11	sister	kūʔƀī	LL	78	no	no	10	2095
1017	prog12	sister	kìʔƀì	LL	78	no	no	10	2096
7	diux11	aunt	'đìđí	HL	35	no	no	11	2097
63	peno11	aunt	đìđí	HL	35	no	no	11	2098
148	coat11	aunt	đíđí	HL	35	no	yes	11	2099
225	moli11	aunt	sīsì	HL	35	no	no	11	2100
286	ocot11	aunt	šīšì	HL	35	no	no	11	2101
362	atat11	aunt	sīsī	HL	35	no	no	11	2102
464	gran11	aunt	šīì	HL	35	no	no	11	2103
560	caca11	aunt	đīđì	HL	35	no	no	11	2104
622	xaya11	aunt	đīđī	HL	35	no	no	11	2105
678	ayut11	aunt	šìšì	HL	35	no	no	11	2106
