ID,ID_Durr,Doculect,Concept,Form,PMCouplet,ToneMod,IPA,IPAtok
742,53,alac11,adobe,ndòʔō,LH,no,ⁿdo1ʔo3,ⁿd o1 ʔ o3
690,53,ayut11,adobe,ndòʔò,LH,no,ⁿdo1ʔo1,ⁿd o1 ʔ o1
870,53,cahu11,adobe,ndōʔō,LH,no,ⁿdo3ʔo3,ⁿd o3 ʔ o3
1132,53,chay11,adobe,ndòʔō,LH,no,ⁿdo1ʔo3,ⁿd o1 ʔ o3
161,53,coat11,adobe,ndòʔó,LH,no,ⁿdo1ʔo5,ⁿd o1 ʔ o5
483,53,gran11,adobe,ndòʔō,LH,no,ⁿdo1ʔo3,ⁿd o1 ʔ o3
1081,53,jica11,adobe,ndóʔō,LH,no,ⁿdo5ʔo3,ⁿd o5 ʔ o3
936,53,mixt11,adobe,ndòʔō,LH,no,ⁿdo1ʔo3,ⁿd o1 ʔ o3
79,53,peno11,adobe,ndóʔò,LH,no,ⁿdo5ʔo1,ⁿd o5 ʔ o1
1002,53,prog12,adobe,ndòʔō,LH,no,ⁿdo1ʔo3,ⁿd o1 ʔ o3
632,53,xaya11,adobe,ndòʔō,LH,no,ⁿdo1ʔo3,ⁿd o1 ʔ o3
329,1,atat11,animal,kɨ̄tɨ̄,HHʔ,no,kɨ3tɨ3,k ɨ3 t ɨ3
543,1,caca11,animal,kītì,HHʔ,yes,ki3ti1,k i3 t i1
832,1,cahu11,animal,kītī,HHʔ,no,ki3ti3,k i3 t i3
1114,1,chay11,animal,kɨ̄tɨ̄,HHʔ,no,kɨ3tɨ3,k ɨ3 t ɨ3
1,1,diux11,animal,kɨ̀tɨ̀,HHʔ,no,kɨ1tɨ1,k ɨ1 t ɨ1
430,1,gran11,animal,kɨ̄tɨ̄,HHʔ,yes,kɨ3tɨ3,k ɨ3 t ɨ3
1050,1,jica11,animal,kìtì,HHʔ,no,ki1ti1,k i1 t i1
766,1,metl11,animal,kītí,HHʔ,no,ki3ti5,k i3 t i5
198,1,moli11,animal,kītī,HHʔ,no,ki3ti3,k i3 t i3
270,1,ocot11,animal,kītī,HHʔ,no,ki3ti3,k i3 t i3
31,1,peno11,animal,kɨ̀tɨ̀,HHʔ,no,kɨ1tɨ1,k ɨ1 t ɨ1
967,1,prog12,animal,kítì,HHʔ,no,ki5ti1,k i5 t i1
608,1,xaya11,animal,kīsì,HHʔ,yes,ki3si1,k i3 s i1
362,35,atat11,aunt,sīsī,HL,no,si3si3,s i3 s i3
679,35,ayut11,aunt,šìšì,HL,no,ʃi1ʃi1,ʃ i1 ʃ i1
561,35,caca11,aunt,đīđì,HL,no,ði3ði1,ð i3 ð i1
856,35,cahu11,aunt,sīsī,HL,no,si3si3,s i3 s i3
148,35,coat11,aunt,đíđí,HL,no,ði5ði5,ð i5 ð i5
7,35,diux11,aunt,đìđí,HL,no,ði1ði5,ð i1 ð i5
465,35,gran11,aunt,šīì,HL,no,ʃi3i1,ʃ i3 i1
1070,35,jica11,aunt,čīšī,HL,no,t͡ʃi3ʃi3,t͡ʃ i3 ʃ i3
785,35,metl11,aunt,šīšī,HL,no,ʃi3ʃi3,ʃ i3 ʃ i3
225,35,moli11,aunt,sīsì,HL,no,si3si1,s i3 s i1
286,35,ocot11,aunt,šīšì,HL,no,ʃi3ʃi1,ʃ i3 ʃ i1
63,35,peno11,aunt,đìđí,HL,no,ði1ði5,ð i1 ð i5
988,35,prog12,aunt,hìhì,HL,no,hi1hi1,h i1 h i1
