Grapheme	IPA	FREQUENCY	CODEPOINTS	Notes
k	k	336	U+006b	
ʔ	ʔ	327	U+0294	
t	t	225	U+0074	
à	a1	224	U+00e0	
ā	a3	206	U+0101	
ì	i1	200	U+00ec	
ī	i3	190	U+012b	
n	n	152	U+006e	
ū	u3	135	U+016b	
ù	u1	127	U+00f9	
á	a5	120	U+00e1	
ƀ	β	110	U+0180	
š	ʃ	106	U+0161	
ž	ʒ	94	U+017e	
í	i5	85	U+00ed	
y	j	79	U+0079	
č	t͡ʃ	74	U+010d	
s	s	74	U+0073	
ò	o1	72	U+00f2	
ⁿd	ⁿd	69	U+207f U+0064	
kʷ	kʷ	69	U+006b U+02b7	
ō	o3	64	U+014d	
ñ	ɲ	63	U+00f1	
ú	u5	59	U+00fa	
đ	ð	49	U+0111	
ē	e3	49	U+0113	
m	m	48	U+006d	
ù̧	ũ1	47	U+00f9 U+0327	
è	e1	37	U+00e8	
à̧	ã1	36	U+00e0 U+0327	
ú̧	ũ5	30	U+00fa U+0327	
l	l	29	U+006c	
x	x	25	U+0078	
ó	o5	24	U+00f3	
-	+	24	U+002d	
ā̧	ã3	24	U+0101 U+0327	
ì̧	ĩ1	23	U+00ec U+0327	
ū̧	ũ3	23	U+016b U+0327	
ɨ̀	ɨ1	21	U+0268 U+0300	
ɨ̄	ɨ3	21	U+0268 U+0304	
’	<?>	18	U+2019	
í̧	ĩ5	16	U+00ed U+0327	
é	e5	15	U+00e9	
ǜ	<?>	14	U+01dc	
ī̧	ĩ3	13	U+012b U+0327	
tʸ	tʲ	13	U+0074 U+02b8	
d	d	12	U+0064	
ʔⁿ	ʔⁿ	12	U+0294 U+207f	
ȼ	<?>	12	U+023c	
ō̧	õ3	12	U+014d U+0327	
á̧	ã5	11	U+00e1 U+0327	
ɨ́	ɨ5	11	U+0268 U+0301	
w	w	11	U+0077	
h	h	10	U+0068	
N	<?>	9	U+004e	
ǎ	a15	8	U+01ce	
ò̧	õ1	8	U+00f2 U+0327	
ǖ	<?>	7	U+01d6	
ǐ	i15	6	U+01d0	
ó̧	õ5	5	U+00f3 U+0327	
ɨ̧́	ɨ̃5	5	U+0268 U+0327 U+0301	
â	a51	5	U+00e2	
ǔ̧	ũ15	4	U+01d4 U+0327	
ɨ̧̄	ɨ̃3	4	U+0268 U+0327 U+0304	
ɨ̧̀	ɨ̃1	4	U+0268 U+0327 U+0300	
i	i	4	U+0069	
î	i51	3	U+00ee	
ǐ̧	ĩ15	3	U+01d0 U+0327	
ǒ	o15	3	U+01d2	
ǘ	<?>	3	U+01d8	
î̧	ĩ51	2	U+00ee U+0327	
ǔ	u15	2	U+01d4	
ȩ̀	ẽ1	2	U+0229 U+0300	
_	_	2	U+005f	
dʸ	dʲ	2	U+0064 U+02b8	
ê	e51	1	U+00ea	
â̧	ã51	1	U+00e2 U+0327	
ȩ̌	ẽ15	1	U+0229 U+030c	
ɨ̧̌	ɨ̃15	1	U+0268 U+0327 U+030c	
ě	e51	1	U+011b	
ⁿǰ	ⁿd͡ʒ	1	U+207f U+01f0	
ǰ	d͡ʒ	1	U+01f0	
a	a	1	U+0061	
i᷅	i53	1	U+0069 U+1dc5	
ⁿz	?	1	U+207f U+007a	
ȩ̄	ẽ3	1	U+0229 U+0304	
kʸ	kʲ	1	U+006b U+02b8	
θ	?	1	U+03b8	
