"ID","English","Spanish"
001,"corn","maíz en grano"
002,"cornfield","milpa"
003,"sun","sol"
004,"moon","luna"
005,"water","agua"
006,"bean(s)","frijol(es)"
007,"fire","lumbre, fuego"
008,"tortilla","tortilla"
009,"wood","madera"
010,"endonym for language","nombre de la lengua"
011,"ant","hormiga"
012,"bird","pájaro"
013,"egg","blanquillo, huevo"
014,"fish","pez, pescado"
015,"leaf","hoja de árbol"
016,"dirt","tierra"
017,"lightning","rayo, relámpago"
018,"word","palabra"
019,"century plant","maguey"
020,"night","noche"
021,"ash","ceniza"
022,"chili pepper","chile"
023,"rain","lluvia"
024,"salt","sal"
025,"house","casa"
026,"squash","calabaza"
027,"louse","piojo"
028,"rock","piedra"
029,"snake","culebra, serpiente"
030,"smoke","humo"
031,"tomato","tomate"
032,"seed","semilla"
033,"meat, flesh","carne"
034,"mountain","cerro"
035,"star","estrella"
036,"root","raíz"
037,"quern","metate"
038,"sand","arena"
039,"flower","flor"
040,"village","pueblo"
041,"air","aire"
042,"person","gente"
043,"griddle","comal"
044,"rope","mecate"
045,"frog","rana"
046,"jaguar, tiger","tigre"
047,"pot","olla"
048,"vine","bejuco, liana"
049,"thorn","espina"
050,"charcoal","carbón"
051,"bed","cama, lecho"
052,"bag","bolsa"
053,"mouse","ratón"
054,"spider","araña"
055,"day, date","día, fecha"
056,"(quick)lime","cal"
057,"fresh ear of corn ","elote"
058,"mirror","espejo"
059,"dog","perro"
060,"toad","sapo"
061,"scorpion","alacrán"
062,"sky","cielo"
063,"festival","fiesta"
064,"sleeping mat","petate"
065,"path","camino"
066,"animal","animal"
067,"vulture","zopilote"
068,"cloud","nube"
069,"corncob","olote"
070,"bat","murciélago"
071,"corn dough","masa"
072,"bee","abeja"
073,"deer","venado"
074,"grasshopper","chapulín"
075,"earthquake","temblor"
076,"cayman","lagarto"
077,"river","río"
078,"(o)possum","tlacuache"
079,"sugar cane","caña"
080,"broom","escoba"
081,"avocado","aguacate"
082,"comb","peine"
083,"net, mesh","rede,red"
084,"flour","harina"
085,"pimple, rash","grano"
086,"grass","zacate, pasto"
087,"metal","fierro"
088,"paper","papel"
089,"honey","miel"
090,"maguey fiber","ixtle, fibra de maguey"
091,"tuber, sweet potato","camote"
092,"armadillo","armadillo"
093,"pus","pus, materia"
094,"crab","cangrejo"
095,"wax","cera"
096,"fox","zorro, zorra"
097,"money","dinero"
098,"light","luz"
099,"cacao","cacao"
100,"incense","copal"
101,"feather","pluma"
102,"tree","palo, árbol"
103,"fat, lard","grasa, manteca"
104,"fault, blame","culpa"
105,"mud","lodo"
106,"thread","hilo"
107,"foam","espuma"
108,"gourd","jícara"
109,"work","trabajo"
110,"pants","pantalón"
111,"sandal","huarache"
112,"raccoon","mapache"
113,"cotton","algodón"
114,"woman","mujer"
115,"man","hombre"
116,"oven","horno"
117,"year","año"
118,"demon, devil","demonio"
119,"green bean","ejote"
120,"banana","plátano"
121,"lime","limón"
122,"mezcal, liquor","mezcal, aguardiente"
123,"pickly pear cactus","nopal"
124,"dust, powder","polvo"
125,"swelling","hinchazón"
126,"plain, flatland","llanura"
127,"cockroach","cucaracha"
128,"custard apple","mamey"
129,"chayote squash","chayote"
130,"tomorrow","mañana"
131,"day after tomorrow","pasado mañana"
132,"yesterday","ayer"
133,"day before yesterday","antier, ante ayer"
134,"today","hoy"
135,"dew","rocío,sereno"
136,"herbaceous plant","hierba"
137,"squirrel","ardilla"
138,"cigarette","cigarro"
139,"reed","carrizo"
140,"shawl","rebozo"
141,"turtle","tortuga"
142,"flea","pulga"
143,"tortilla basket","tenate"
144,"needle","aguja"
145,"corn gruel","atole"
146,"weapon","arma"
147,"basket","canasta"
148,"hammock","hamaca"
149,"thief","ladrón"
150,"mushroom","hongo"
151,"hot","está caliente"
152,"cold","frío"
153,"small","pequeño, chico"
154,"big","grande"
155,"good","bueno"
156,"bad","malo"
157,"black","negro"
158,"white","blanco"
159,"red","rojo"
160,"green","verde"
161,"yellow","amarillo"
162,"old, elder","anciano"
163,"young","joven"
164,"wide","ancho"
165,"thin","delgado"
166,"sweet","dulce"
167,"bitter","amargo"
168,"salty","salado"
169,"sour","agrio, delimón"
170,"long","largo"
171,"short","corto"
172,"tall","alto"
173,"dark","oscuro"
174,"clear","claro"
175,"sick","enfermo"
176,"one","uno"
177,"two","dos"
178,"three","tres"
179,"four","cuatro"
180,"five","cinco"
181,"six","seis"
182,"seven","siete"
183,"eight","ocho"
184,"nine","nueve"
185,"ten","diez"
186,"eleven","once"
187,"twelve","doce"
188,"thirteen","trece"
189,"fourteen","catorce"
190,"fifteen","quince"
191,"sixteen","dieciséis"
192,"seventeen","diecisiete"
193,"eighteen","dieciocho"
194,"nineteen","diecinueve"
195,"twenty","veinte"
196,"forty","cuarenta"
197,"sixty","sesenta"
198,"eighty","ochenta"
199,"four hundred","cuatrocientos"
200,"eight thousand","ocho mil"
201,"arm","brazo"
202,"hand","mano"
203,"back","espalda"
204,"eye","ojo"
205,"ear","oreja"
206,"mouth","boca"
207,"nose","nariz"
208,"hair","cabello"
209,"blood","sangre"
210,"bone","hueso"
211,"chest","pecho"
212,"skin","piel"
213,"navel","ombligo"
214,"neck","cuello"
215,"face","cara"
216,"foot","pie"
217,"leg","pierna"
218,"tongue","lengua"
219,"tooth","diente"
220,"liver","hígado"
221,"finger","dedo"
222,"belly","panza"
223,"heart, being","corazón"
224,"knee","rodilla"
225,"elbow","codo"
226,"butt","sentaderas"
227,"name","nombre"
228,"horn","cuerno"
229,"wing","ala"
230,"tail","cola"
231,"clothes","ropa"
232,"hat","sombrero"
233,"mother","madre"
234,"father","padre"
235,"brother of male","hermano de hombre"
236,"sister of male","hermana de hombre"
237,"brother of female","hermano de mujer"
238,"sister of female","hermana de mujer"
239,"grandmother","abuela"
240,"grandfather","abuelo"
241,"son","hijo"
242,"daughter","hija"
243,"uncle","tío"
244,"aunt","tía"
245,"grandson","nieto"
246,"granddaughter","nieta"
247,"female cousin","prima"
248,"male cousin","primo"
249,"co-father","compadre"
250,"co-mother","comadre"
251,"flat","está parejo"
252,"strong","fuerte"
253,"weak","débil"
254,"tasty","sabroso"
255,"heavy","pesado"
256,"full","lleno"
257,"empty","vacío"
258,"clean","limpio"
259,"dirty","cio"
260,"poor","pobre"
261,"rich","rico"
262,"closed","cerrado"
263,"open","abierto"
264,"dry","seco"
265,"wet","mojado"
266,"raw","crudo"
267,"toasted","tostado"
268,"soft","blando"
269,"hard","duro"
270,"new","nuevo"
271,"old, used (of things)","viejo, vieja (de cosa)"
272,"alive","vivo"
273,"sharp","filoso"
274,"rough","rasposo"
275,"rotten","podrido"
276,"crooked","chueco"
277,"lazy","flojo"
278,"ugly","feo"
279,"pretty","bonito"
280,"close","está cerca"
281,"far","está lejos"
282,"round","redondo"
283,"below","abajo"
284,"above","arriba"
285,"slowly","despacio"
286,"quickly","rápido"
287,"early","temprano"
288,"trash","bara"
289,"woven blouse, dress","huipil"
290,"hawk","gavilán"
291,"cat","gato"
292,"smell","olor"
293,"urine","orina"
294,"wall","pared"
295,"cleared field","rastrojo"
296,"planting row","rco"
297,"ditch","zanja"
298,"maize spike ","espiga"
299,"owner, boss","dueño"
300,"illnes","enfermedad"
301,"priest","secerdote"
302,"glue","pegamento"
303,"housepost","horcón"
304,"hole","agujero"
305,"rainbow","arcoiris"
306,"stool, seat","banquito"
307,"half","mitad"
308,"handspan","cuarta de mano"
309,"husband ","marido"
310,"wife ","esposa"
311,"fingernail ","uña"
312,"tripe","tripas"
313,"eyebrow ","ceja"
314,"tendon","tendón"
315,"armpit","sobaco"
316,"wise","sabio"
317,"mosquito","zancudo"
318,"smooth","liso"
319,"trunk, box","baúl, cajón"
320,"lizard","lagartija"
321,"rabbit","conejo"
322,"eagle","águila"
323,"flint","pedernal"
324,"monkey","chango, mono"
325,"arrow","flecha"
326,"shadow","sombra"
327,"dream","eño"
328,"leafcutter ant","arriera"
329,"queen leafcutter ant","chicatana"
330,"goosefoot","epazote"
331,"coati","tejón"
332,"skunk","zorrillo"
333,"gallo","rooster"
334,"pig","marrano"
335,"horse","caballo"
336,"fussy","delicado"
337,"shiny","brillante"
338,"happy","alegre"
339,"nut, pecan","nuez"
340,"pine torch","ocote"
