NUMBER	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ADD_CONCEPT
1	espina	124	THORN	
2	pelo	1040	HAIR	
3	camino	2457	PATH OR ROAD	
4	chile	919	CHILI PEPPER	
5	jícara	411	GOURD	
6	mecate	1218	ROPE	
7	árbol	906	TREE	
8	petate	195	MAT	
9	boca, borde			BOCA O BORDE
10	animal	619	ANIMAL	
11	cuándo	1238	WHEN	
12	ayer	1174	YESTERDAY	
13	cerca	1942	NEAR	
14	rayo	1654	LIGHTNING	
15	trabajo	984	WORK (LABOUR)	
16	diferente, otro			DIFERENTE
17	ahora	1376	NOW	
18	flor	239	FLOWER	
19	pasto	606	GRASS	
20	canción, música			CANCION O MUSICA
21	camote	159	SWEET POTATO	
22	hermano de hombre	559	BROTHER (OF MAN)	
23	pueblo	930	VILLAGE	
24	quelite			QUELITE
25	papel	648	PAPER	
26	totomoxtle, hoja de mazorca			TOTOMOXTLE
27	luna	1313	MOON	
28	piedra	857	STONE	
29	algodón	1850	COTTON	
30	sangre	946	BLOOD	
31	maíz	506	MAIZE	
32	huarache			HUARACHE
33	huevo	744	EGG	
34	comal			COMAL
35	seis	1703	SIX	
36	hierba			HIERBA
37	hilo	1161	THREAD	
38	humo	778	SMOKE (EXHAUST)	
39	cinco	493	FIVE	
40	huipil			HUIPIL
41	semilla de cáscara			SEMILLA DE CASCARA
42	dos	1498	TWO	
43	horno	1143	OVEN	
44	río	3311	FLOWING BODY OF WATER	
45	olla	1462	POT	
46	culpa			CULPA
47	grano	605	GRAIN	
48	hijo	1620	SON	
49	palabra	1599	WORD	
50	pesado	1210	HEAVY	
51	frio	1287	COLD	
52	rocío	1977	DEW	
53	granizo	609	HAIL	
54	crudo	1959	RAW	
55	claro	989	CLEAR	
56	flojo	1564	LAZY	
57	temazcal			TEMAZCAL
58	grande	1202	BIG	
59	ardilla	1628	SQUIRREL	
60	amarillo	1424	YELLOW	
61	rojo, colorado	156	RED	
62	despacio	701	SLOW	
63	celoso	2821	JEALOUS	
64	pobre	1674	POOR	
65	nixtamal			NIXTAMAL
66	alto	711	TALL	
67	lengua	1205	TONGUE	
68	verde	1425	GREEN	
69	uña	1258	FINGERNAIL	
70	frondoso			FRONDOSO
71	amplio, muy abierto	1243	WIDE	
72	metal	2244	METAL	
73	epazote			EPAZOTE
74	pluma	1201	FEATHER	
75	vena	1924	VEIN	
76	carne	2615	FLESH OR MEAT	
77	gripa			GRIPA
78	sueño	2374	DREAM	
79	manteca			
80	metate			METATE
81	yerno	1056	SON-IN-LAW	
82	pozole			POZOLE
83	nadar	1439	SWIM	
84	puerta	1567	DOOR	
85	perro	2009	DOG	
86	chapulín	607	GRASSHOPPER	
