address,author,bibtex_type,booktitle,ca_doctype_trigger,ca_language_trigger,chapter,description,edition,editor,endpage_int,gbid,glottolog_id,google_book_search_id,howpublished,iaid,id,inlg,inlg_code,journal,jsondata,keywords,language_note,macroareas,markup_description,med_index,med_pages,med_type,name,normalizedauthorstring,normalizededitorstring,note,number,organization,ozbib_id,pages,pages_int,pk,publisher,school,series,srctrickle,startpage_int,subject,subject_headings,title,type,url,volume,year,year_int
Mexico City,Carol Zylstra,book,,,,,"Gramática del Tu'un Savi (la lengua mixteca) de Alacatlatzala, Guerrero",,,,,,,,,301526,Spanish [spa],,,"{""hhtype"": ""grammar"", ""isbn"": ""9786079164065"", ""besttxt"": ""ptxt2\\north_america\\zylstra_mixteca-alacatlatzala2012.txt"", ""glottolog_ref_id"": ""301526"", ""lgcode"": ""Mixteco Alacatlatzala [mim]"", ""src"": ""hh"", ""oclc"": ""819640604"", ""macro_area"": ""North America"", ""fn"": ""north_america\\zylstra_mixteca-alacatlatzala2012.pdf""}",,Mixteco Alacatlatzala [mim],North America,,0,229,grammar,Carol Zylstra 2012,,,,,,,vii+222,229,328381,Instituto Lingüístico de Verano,,,hh#g:Zylstra:Mixteca-Alacatlatzala,,,,"Gramática del Tu'un Savi (la lengua mixteca) de Alacatlatzala, Guerrero",,,,2012,2012
,"Zylstra, Carol F.",misc,,phonology,,,"Phonology and morphophonemics of the Mixtec of Alacatlazala, Guerrero",,,,,,,"En S.I.L.-Mexico Workpapers, no. 4, pp. 15-42",,123240,English [eng],,SIL Mexico Workpapers,"{""hhtype"": ""phonology (computerized assignment from \""phonology\"")"", ""sil_id"": ""21914"", ""glottolog_ref_id"": ""123240"", ""lgcode"": ""Alacatlatzala Mixtec [mim]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Alacatlatzala Mixtec [mim],North America,,4,28,phonology_or_text,"Zylstra, Carol F. 1980",,,,,,,15-42,28,328380,,,,"otomanguean#Mixtec366, sil16#21914",,Phonological descriptions [PHD],,"Phonology and morphophonemics of the Mixtec of Alacatlazala, Guerrero",,,4,1980,1980
Dallas,"Zylstra, Carol F.",incollection,Studies in the syntax of Mixtecan languages 3,,,,A syntactic sketch of Alacatlatzala Mixtec,,C. Henry Bradley and Barbara E. Hollenbach,,,,,,,25602,English [eng],,Bradley y Hollenbach 1988-1992 (sección sobre mixtecano),"{""cfn"": ""north_america\\zylstra_alacatlatzala-mixtec1991_o.pdf"", ""besttxt"": ""ptxt2\\north_america\\zylstra_alacatlatzala-mixtec1991_o.txt"", ""glottolog_ref_id"": ""25602"", ""lgcode"": ""Alacatlatzala Mixtec [mim]"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""sil_id"": ""31841"", ""delivered"": ""north_america\\zylstra_alacatlatzala-mixtec1991_o.pdf"", ""hhtype"": ""grammar"", ""src"": ""hh, otomanguean, sil16"", ""fn"": ""north_america\\zylstra_alacatlatzala-mixtec1991_o.pdf, north_america\\bradley-hollenbach_3-mixtecan1991_o.pdf, north_america\\bradley-hollenbach_3-mixtecan1991.pdf"", ""country"": ""Mexico [MX]""}",,Alacatlatzala Mixtec [mim],North America,,0,177,grammar,"Zylstra, Carol F. 1991",,,,,,,1-177,177,328379,Summer Institute of Linguistics and the University of Texas at Arlington,,Summer Institute of Linguistics and the University of Texas at Arlington Publications in Linguistics,"hh#g:Zylstra:Alacatlatzala-Mixtec, otomanguean#Mixtec367, sil16#31841",,"Grammatical descriptions [GRD], Syntax [STX]",,A syntactic sketch of Alacatlatzala Mixtec,,http://www.sil.org/acpub/repository/31841.pdf,105,1991,1991
,"Zurita, Estéban",book,,,conejo,,Chop cuent chen conef (El conejo mañoso),,,,,,,,,307198,,,,"{""omnote"": ""[zapoteco de Mixtepec]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Zapotec"", ""glottolog_ref_id"": ""307198"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,24,wordlist_or_less,"Zurita, Estéban 1978",,,,,,,24,24,328106,Instituto Lingüístico de Verano,,,otomanguean#Zapotec505,,,,Chop cuent chen conef (El conejo mañoso),,,,1978,1978
,"Yip, Moira",book,,,molinos,,The Interaction of Tone and Stress in Molinos Mixtec,,,,,,,,,307914,English [eng],,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""307914"", ""lgcode"": ""San Miguel El Grande Mixtec [mig] (computerized assignment from \""molinos\"")""}",,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""molinos"")",,,16,0,wordlist_or_less,"Yip, Moira 1981",,,,,,,,,324437,Ms,,,otomanguean#Mixtec364,,,,The Interaction of Tone and Stress in Molinos Mixtec,,,,1981,1981
,"Williams, John L.",article,,,tezoatlan,,Tezoatlán Mixtec motion and arrival verbs,,,,,,,,,184134,English [eng],,International journal of American linguistics,"{""src"": ""otomanguean, zurich"", ""zurichcode"": ""Mixteco (Tezoatl\u00e1n de Segura y Luna) [MXB]"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""184134"", ""lgcode"": ""Tezoatl\u00e1n Mixtec [mxb] (computerized assignment from \""tezoatlan\"")""}",,"Tezoatlán Mixtec [mxb] (computerized assignment from ""tezoatlan"")",,,16,11,wordlist_or_less,"Williams, John L. 1996",,,,2,,,165-175,11,319555,,,,"otomanguean#Mixtec357, zurich#Williams1996",,,,Tezoatlán Mixtec motion and arrival verbs,,,62,1996,1996
,"Williams, Judith",article,,,,,Grammatical encoding of participants in Mixtec of Tezoatlán,,,,,,,,,99771,English [eng],,SIL-Mexico Branch Electronic Working Papers,"{""sil_id"": ""51065"", ""glottolog_ref_id"": ""99771"", ""lgcode"": ""Tezoatl\u00e1n Mixtec [mxb]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""country"": ""Mexico [MX]""}",,Tezoatlán Mixtec [mxb],North America,,16,0,wordlist_or_less,"Williams, Judith 2008",,,,,,,,,319502,,,,sil16#51065,,"Narrative discourse [NAD], Participant reference [PAR]",,Grammatical encoding of participants in Mixtec of Tezoatlán,,,2,2008,2008
,"Williams, Judith",book,,gramatica,,,Gramática popular del mixteco del municipio deTezoatlán,,,,,,,,,147019,,,,"{""hhtype"": ""grammar (computerized assignment from \""gramatica\"")"", ""glottolog_ref_id"": ""147019"", ""lgcode"": ""Tezoatl\u00e1n Mixtec [mxb]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""48399"", ""country"": ""Mexico [MX]""}",,Tezoatlán Mixtec [mxb],North America,,0,0,grammar,"Williams, Judith 2006",,,,,,,,,319486,"Tlalpan, D",,1st ed. Gramáticas de lenguas indígenas de México,sil16#48399,,Grammatical descriptions [GRD],,Gramática popular del mixteco del municipio deTezoatlán,,http://www.sil.org/mexico/mixteca/tezoatlan/G009a-GramMixTez-mxb.htm,9,2006,2006
,"Williams, John H.",article,,,,,Four conjunctions in Tezoatlan Mixtec,,,,,,,"En S.I.L.-Mexico Workpapers, no. 10",,126063,English [eng],,SIL Mexico Workpapers,"{""cfn"": ""north_america\\williams_tezoatlan-mixtec1993.pdf"", ""besttxt"": ""ptxt2\\north_america\\williams_tezoatlan-mixtec1993_o.txt"", ""glottolog_ref_id"": ""126063"", ""lgcode"": ""Tezoatl\u00e1n Mixtec [mxb]"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""sil_id"": ""34865"", ""delivered"": ""north_america\\williams_tezoatlan-mixtec1993.pdf"", ""hhtype"": ""specific_feature"", ""src"": ""hh, otomanguean, sil16"", ""fn"": ""north_america\\williams_tezoatlan-mixtec1993_o.pdf, north_america\\williams_tezoatlan-mixtec1993.pdf"", ""country"": ""Mexico [MX]""}",,Tezoatlán Mixtec [mxb],North America,,3,17,phonology_or_text,"Williams, John H. 1993",,,,,,,68-84,17,319400,,,,"hh#typ:Williams:Tezoatlan-Mixtec, otomanguean#Mixtec356, sil16#34865",,Conjunctions [COJ],,Four conjunctions in Tezoatlan Mixtec,,,10,1993,1993
,"Williams, John L.",mastersthesis,,,,,Motion and arrival verbs in Tezoatlán Mixtec and their use in the Gospel of Mark,,,,,,,,,305325,English [eng],,,"{""hhtype"": ""specific_feature"", ""glottolog_ref_id"": ""305325"", ""lgcode"": ""Mixtec-Tezoatl\u00e1n [mxb]"", ""src"": ""hh, otomanguean"", ""oclc"": ""860227053"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec""}",,Mixtec-Tezoatlán [mxb],North America,,3,128,phonology_or_text,"Williams, John L. 1991",,,,,,,x+118,128,319369,,Columbia Biblical Seminary and Graduate School of Missions,,"hh#typ:Williams:Tezoatlan-Mixtec:Motion, otomanguean#Mixtec355",,,,Motion and arrival verbs in Tezoatlán Mixtec and their use in the Gospel of Mark,,,,1991,1991
