ID,village_name,latitude,longitude,glottolog_name,glottocode,glottolog_level,gl_super,gl_macroarea,gl_latitude,gl_longitude,glottolog_group,isocode,josserand_group,josserand_subgroup,josserand_code,egland_name,egland_perc,egland_level,egland_super,mtree_name,mtree_code,mtree_codealt,mtree_latitude,mtree_longitude,mtree_comments,coordinate comparison
alac11,Alacatlatzala,17.25,-98.58,Alacatlatzala Mixtec ,alac1244,language,,North America,17.4944,-98.4674,Guerrero,mim,Guerrero,,alac,,,,,Alacatlatzala,mixn,mxl,17.25,-98.58,,mtree lat and long better
alco11,Alcozauca de Guerrero,17.3687,-98.3969,Alcozauca Mixtec ,alco1235,language,,North America,17.3687,-98.3969,Guerrero,xta,Guerrero,,alco,,,,,,,,,,,
amol11,Santiago Amoltepec,16.6521,-97.4518,Amoltepec Mixtec ,amol1236,language,,North America,16.6521,-97.4518,Amoltepec,mbz,,,,Amoltepec,52,language,,,,,,,,
apas11,Santa María Apasco,17.6143,-97.0657,Apasco-Apoala Mixtec ,apas1235,language,,North America,17.6143,-97.0657,Northeastern Alta,mip,Northeastern Alta,Apoala,apas,,,,,,,,,,,
apoa11,Santiago Apoala,17.6143,-97.0657,Apasco-Apoala Mixtec ,apas1235,language,,North America,17.6143,-97.0657,Northeastern Alta,mip,Northeastern Alta,,apoa,Apoala,26,language,,,,,,,,
atat11,San Esteban Atatlahuca,17.07133,-97.67753,Atatláhuca Mixtec ,atat1238,language,,North America,17.07133,-97.67753,Western Alta,mib,Western Alta,,atat,S. Esteban Atatlahuca,68,language,,Atatlahuca,"cut, cux",mxa,17,-97.75,,gl lat and long better
atla11,Atlamajalcingo del Monte,17.311733,-98.607579,Atlamajalcingo del Monte,atla1271,dialect,alac1244,South America,NA,NA,Guerrero,,,,,,,,,,,,,,,
ayut11,Ayutla de los Libres,16.8833,-98.9916,Ayutla Mixtec ,ayut1236,language,,North America,16.8833,-98.9916,Southern Baja,miy,Southern Baja,,ayut,Ayutla,NA,language,,Ayutla,mim,mxt,16.92,-99.17,,gl lat and long better
caca11,Santiago Cacaloxtepec,17.7248,-97.7637,Cacaloxtepec Mixtec ,caca1250,language,,North America,17.7248,-97.7637,Northern Baja,miu,Tezoatlan,,cac,Cacaloxtepec,59,language,,,,,,,,
chay11,San Agustín Chayuco,16.42,-97.83,Chayuco Mixtec ,chay1249,language,,North America,16.3158,-97.8114,Coast (East),mih,Coast,East,chay,Chayuco,85,dialect,Cristóbal,Chayuco,miy,mxu,16.42,-97.83,,mtree lat and long better
chaz11,Santiago Chazumba,18.1541,-97.7873,Chazumba Mixtec ,chaz1235,language,,North America,18.1541,-97.7873,Northern Baja,xtb,Northern Baja,,chaz,Stgo. Chazumba,53,language,,,,,,,,
chig11,Santa María Chigmecatitlán,18.6303,-98.1046,Chigmecatitlán Mixtec ,chig1239,language,,North America,18.6303,-98.1046,Northern Baja,mii,Northern Baja,,chig,Chigmecatitlan,23,language,,,,,,,,
coat11,San Juan Coatzospan,18.048748,-96.763633,Coatzospan Mixtec ,coat1241,language,,North America,18.1209,-96.6591,Northern Alta,miz,Northern Alta,,coat,Coatzospan,88,dialect,,Coatzospan,mig-cha,mxz,18.08,-96.58,,gl lat and long better
coic11,Coicoyán de las Flores,17.27301,-98.27588,Coicoyán ,coic1238,dialect,west2643,South America,NA,NA,Southern Baja,,Southern Baja,,coi,Coicoyán,65,language,,,,,,,,
cuat11,Cuatzoquitengo ,17.288353,-98.615523,Cuatzoquitengo ,cuat1239,dialect,alac1244,South America,NA,NA,Guerrero,,Guerrero,,cuat,Cuatzoquitengo,NA,language,,,,,,,,
cuya11,Cuyamecalco Villa de Zaragoza,18.0821,-96.7314,Cuyamecalco Mixtec ,cuya1240,language,,North America,18.0821,-96.7314,Northern Alta,xtu,Northern Alta,,cuya,Cuyamecalco,61,language,,,,,,,,
diux11,San Juan Diuxi,17.3596,-97.3861,Diuxi-Tilantongo Mixtec ,diux1236,language,,North America,17.3596,-97.3861,Eastern Alta,xtd,Eastern Alta,,diux,,,,,,,,,,,
tila11,Santiago Tilantongo,17.3596,-97.3861,Diuxi-Tilantongo Mixtec ,diux1236,language,,North America,17.3596,-97.3861,Eastern Alta,xtd,Eastern Alta,,til,,,,,,,,,,,
huit11,San Antonio Huitepec,16.9476,-97.1236,Huitepec Mixtec ,huit1252,language,,North America,16.9476,-97.1236,Eastern Alta,mxs,Eastern Alta,Teozacoalco,huit,Huitepec,77,dialect,Estetla,,,,,,,
itun11,Santa Cruz Itundujia,16.77876,-97.59753,Itundujia Mixtec ,itun1239,language,,North America,16.77876,-97.59753,Western Alta,mce,Western Alta,,itun,Itunduijía,73,dialect,Atatlahuca,,,,,,,
ixta11,Santiago Ixtayutla,16.5774,-97.5759,Ixtayutla Mixtec ,ixta1235,language,,North America,16.5774,-97.5759,Coast (East),vmj,Coast,East,ixty,Ixtayutla,NA,language,,,,,,,,
jami11,Santiago Jamiltepec,16.2279,-97.8417,Jamiltepec Mixtec ,jami1235,language,,North America,16.2279,-97.8417,Coast (East),mxt,Coast,East,jam,Jamiltepec,83,dialect,Jicaltepec,Jamiltepec,mih,mja,16.25,-97.83,,gl lat and long better
juxt11,Santiago Juxtlahuaca,17.3518,-98.0146,Juxtlahuaca Mixtec ,juxt1235,language,,North America,17.3518,-98.0146,Southern Baja,vmc,Southern Baja,,juxt,Juxtlahuaca,76,dialect,Silacayoapan,,,,,,,
pena11,Magdalena Peñasco,17.2837,-97.5413,Magdalena Peñasco Mixtec ,magd1235,language,,North America,17.2837,-97.5413,Western Alta,xtm,Western Alta,,,,,,,,,,,,,
metl11,Metlatonóc,17.1947,-98.3514,Metlatónoc Mixtec ,metl1238,language,,North America,17.048,-98.3514,Guerrero,mxv,Southern Baja,,metl,Metlatónoc,70,dialect,,,,,,,,
mitl11,Santiago Mitlatongo,17.16,-97.1757,Mitlatongo Mixtec ,mitl1235,language,,North America,17.16,-97.1757,Eastern Alta,vmm,,,,,,,,,,,,,,
mixt11,San Juan Mixtepec,17.3317,-97.8791,Mixtepec Mixtec ,mixt1425,language,,North America,17.3317,-97.8791,Mixtepec,mix,Mixtepec,,mix,S. J. Mixtepec,85,dialect,Yucunicoco,,,,,,,
mont11,San Antonino Monte Verde,17.533751,-97.721489,Monte Verde Mixtec ,mont1271,dialect,nort2985,South America,NA,NA,Western Alta,,,,,S. A. Monteverde,85,dialect,Ñumí,,,,,,,
,GROUP,17.4806,-97.8349,Northern Tlaxiaco Mixtec ,nort2985,language,,North America,17.4806,-97.8349,Western Alta,xtn,,,,,,,,,,,,,,
,GROUP,17.8287,-98.0574,Northwest Oaxaca Mixtec ,nort2986,language,,North America,17.8287,-98.0574,Central Baja Mixtec ,mxa,Central Baja,,,,,,,,,,,,,
nuyo11,Santiago Nuyoo,17.0147,-97.76674,Nuyoo ,nuyo1238,dialect,sout3000,South America,NA,NA,Western Alta,,Western Alta,,nuyo,Nuyoo,54,language,,,,,,,,
ocot11,Santo Tomás Ocotepec,17.144191,-97.763219,Ocotepec Mixtec ,ocot1243,language,,North America,17.1823,-97.751,Western Alta,mie,Western Alta,,oco,Sto. Tomás Ocotepec,80,dialect,Ñumí,Ocotepec,mio,mxo,17.17,-97.75,,gl lat and long better
peno11,Santa María Peñoles,17.0671,-97.0101,Peñoles Mixtec ,peno1244,language,,North America,17.0671,-97.0101,Eastern Alta,mil,Eastern Alta,,,,,,,,,,,,,gl lat and long better
petl11,Petlacalancingo,17.37597,-98.49096,Petlacalancingo Mixtec ,petl1238,dialect,alco1235,South America,NA,NA,Guerrero,,,,,,,,,,,,,,,
pino11,Santiago Pinotepa Nacional,16.3043,-97.9966,Pinotepa Nacional Mixtec ,pino1237,language,,North America,16.3043,-97.9966,Coast (West),mio,Coast,West,pinn,,,,,,,,,,,
plan11,Plan de Guadalupe ,17.217315,-97.782602,Plan de Guadalupe ,plan1238,dialect,alac1244,South America,NA,NA,Guerrero,,,,,,,,,,,,,,,
poto11,Potoichán,17.42233,-98.720093,Potoichan ,poto1253,dialect,alac1244,South America,NA,NA,Guerrero,,,,,,,,,,,,,,,
tlac11,San Agustín Tlacotepec,17.203646,-97.51853,San Agustín Tlacotepec ,sana1284,dialect,magd1235,South America,NA,NA,Western Alta,,Western Alta,,tlac,Tlacotepec,69,language,,,,,,,,
amol12,San Cristóbal Amoltepec,17.28458,-97.5706,San Cristóbal Amoltepec Mixtec ,sanc1244,dialect,magd1235,South America,NA,NA,Western Alta,,,,,,,,,,,,,,,
piña11,San Juan Piñas,17.22264,-98.14487,San Juan Piñas ,sanj1280,dialect,west2643,South America,NA,NA,Southern Baja,,,,,,,,,,,,,,,
colo11,San Juan Colorado,16.46073,-97.95446,San Juan Colorado Mixtec ,sanj1281,language,,North America,16.3964,-97.9279,Coast (East),mjc,Coast,East,colo,Colorado,95,dialect,Jicaltepec,San Juan Colorado,mie,mjc,16.5,-98,,gl lat and long better
teit11,San Juan Teita,17.1542,-97.3899,San Juan Teita Mixtec ,sanj1282,language,,North America,17.1542,-97.3899,Western Alta,xtj,Western Alta,,teit,Teita,75,dialect,Yosondúa,,,,,,,
pera11,San Martín Peras,17.35912,-98.237249,San Martín Peras ,sanm1291,dialect,west2643,South America,NA,NA,Southern Baja,,Southern Baja,,pera,S. M. Peras,95,dialect,Coicoyan,,,,,,,
achi11,San Miguel Achiutla,17.3065,-97.48886,San Miguel Achiutla Mixtec ,sanm1292,dialect,magd1235,South America,NA,NA,Western Alta,,Western Alta,,achi,,,,,,,,,,,
pena12,San Mateo Peñasco,17.15127,-97.53321,San Mateo Peñasco Mixtec ,sanm1293,dialect,magd1235,South America,NA,NA,Western Alta,,Western Alta,,peña,,,,,,,,,,,
pied11,San Miguel Piedras,16.9944,-97.2056,San Miguel Piedras Mixtec ,sanm1294,language,,North America,16.9944,-97.2056,Eastern Alta,xtp,Eastern Alta,Teozacoalco,pied,S. Miguel Piedras,49,language,,,,,,,,
gran11,San Miguel el Grande,17.046881,-97.622482,San Miguel El Grande Mixtec,sanm1295,language,,North America,17.0777,-97.5432,Western Alta,mig,Western Alta,,mig,S. Miguel el Grande,86,dialect,Yosondúa,San Miguel el Grande,mil,mxg,17.05,-97.57,,gl lat and long better
