"doc_id","citekey","code","branch","lex_est","lex_type","tones_marked","med_type","status","permission","digitized"
"D1","galindo-sanchez2009vocabulario","abas11","Mixtec",1000,,"yes","dictionary",,,"no"
"D10","anderson2006vocabulario","alac11","Mixtec",750,,"yes","dictionary_minimal",,,"no"
"D100","josserand1983mixtec","mont14","Mixtec",150,,"no","cognate_set",,,"yes"
"D101","josserand1983mixtec","more11","Mixtec",150,,"no","cognate_set",,,"yes"
"D102","josserand1983mixtec","ndua11","Mixtec",150,,"no","cognate_set",,,"yes"
"D103","josserand1983mixtec","nuch11","Mixtec",150,,"no","cognate_set",,,"yes"
"D104","josserand1983mixtec","numi11","Mixtec",150,,"no","cognate_set",,,"yes"
"D105","josserand1983mixtec","nund11","Mixtec",150,,"no","cognate_set",,,"yes"
"D106","josserand1983mixtec","nund13","Mixtec",150,,"no","cognate_set",,,"yes"
"D107","josserand1983mixtec","nuti11","Mixtec",150,,"no","cognate_set",,,"yes"
"D108","josserand1983mixtec","nuxa11","Mixtec",150,,"no","cognate_set",,,"yes"
"D109","josserand1983mixtec","nuxi11","Mixtec",150,,"no","cognate_set",,,"yes"
"D11","josserand1983mixtec","alco11","Mixtec",150,,"no","cognate_set",,,"yes"
"D110","josserand1983mixtec","nuyo11","Mixtec",150,,"no","cognate_set",,,"yes"
"D111","durr1987preliminary","ocot11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D112","josserand1983mixtec","ocot11","Mixtec",150,,"no","cognate_set",,,"yes"
"D113","feist2015tepeuxila","papa11","Cuicatec",619,"verbs","yes","paradigms",,,"yes"
"D114","anderson1983diccionario","papa11","Cuicatec",4400,,"yes","dictionary",,,"no"
"D115",,"pena11","Mixtec",120,,"no","dictionary_minimal",,,"no"
"D116","josserand1983mixtec","pena12","Mixtec",150,,"no","cognate_set",,,"yes"
"D117","durr1987preliminary","peno11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D118","josserand1983mixtec","peno11","Mixtec",150,,"no","cognate_set",,,"yes"
"D119","daly1977mixteco","peno11","Mixtec",250,,"yes","grammar_sketch",,,"no"
"D12","josserand1983mixtec","amat11","Mixtec",150,,"no","cognate_set",,,"yes"
"D120","josserand1983mixtec","pera11","Mixtec",150,,"no","cognate_set",,,"yes"
"D121","josserand1983mixtec","pied11","Mixtec",150,,"no","cognate_set",,,"yes"
"D122","peters2020verbal","pied12","Mixtec",289,"verbs","yes","paradigms","unpublished","yes","yes"
"D123","mendoza2020piedra","pied12","Mixtec",716,"non-v","yes","dictionary","unpublished","yes","yes"
"D124","josserand1983mixtec","pino11","Mixtec",150,,"no","cognate_set",,,"yes"
"D125","josserand1983mixtec","pino12","Mixtec",150,,"no","cognate_set",,,"yes"
"D126","josserand1983mixtec","prog11","Mixtec",150,,"no","cognate_set",,,"yes"
"D127","durr1987preliminary","prog12","Mixtec",100,,"yes","cognate_set",,,"yes"
"D128","josserand1983mixtec","prog12","Mixtec",150,,"no","cognate_set",,,"yes"
"D129","swanton2020observaciones","prom01","Mixtec",86,,"yes","reconstruction",,,"no"
"D13","josserand1983mixtec","apas11","Mixtec",150,,"no","cognate_set",,,"yes"
"D130","durr1987preliminary","prom01","Mixtec",110,,"yes","reconstruction",,,"yes"
"D131","josserand1983mixtec","prom01","Mixtec",188,,"no","reconstruction",,,"yes"
"D132","matsukawa2005preliminary","prot01","Triqui",440,"all","no","reconstruction",,,"no"
"D133","josserand1983mixtec","reye11","Mixtec",150,,"no","cognate_set",,,"yes"
"D134","josserand1983mixtec","sayu11","Mixtec",150,,"no","cognate_set",,,"yes"
"D135","josserand1983mixtec","sind11","Mixtec",150,,"no","cognate_set",,,"yes"
"D136","josserand1983mixtec","sini11","Mixtec",150,,"no","cognate_set",,,"yes"
"D137","josserand1983mixtec","soso11","Mixtec",150,,"no","cognate_set",,,"yes"
"D138","josserand1983mixtec","soya11","Mixtec",150,,"no","cognate_set",,,"yes"
"D139","josserand1983mixtec","tama11","Mixtec",150,,"no","cognate_set",,,"yes"
"D14","josserand1983mixtec","apoa11","Mixtec",150,,"no","cognate_set",,,"yes"
"D140","josserand1983mixtec","tama12","Mixtec",150,,"no","cognate_set",,,"yes"
"D141","josserand1983mixtec","tata11","Mixtec",150,,"no","cognate_set",,,"yes"
"D142","josserand1983mixtec","teco11","Mixtec",150,,"no","cognate_set",,,"yes"
"D143","josserand1983mixtec","teit11","Mixtec",150,,"no","cognate_set",,,"yes"
"D144","josserand1983mixtec","tejo11","Mixtec",150,,"no","cognate_set",,,"yes"
"D145","josserand1983mixtec","tepe11","Mixtec",150,,"no","cognate_set",,,"yes"
"D146","josserand1983mixtec","tepe12","Mixtec",150,,"no","cognate_set",,,"yes"
"D147","josserand1983mixtec","tepo01","Mixtec",150,,"no","cognate_set",,,"yes"
"D148","josserand1983mixtec","tepo11","Mixtec",150,,"no","cognate_set",,,"yes"
"D149","josserand1983mixtec","tida11","Mixtec",150,,"no","cognate_set",,,"yes"
"D15","carrasco2020santa","asun11","Mixtec",86,"non-v","yes","dictionary","unpublished","yes","yes"
"D150","josserand1983mixtec","tila11","Mixtec",150,,"no","cognate_set",,,"yes"
"D151","josserand1983mixtec","tlac11","Mixtec",150,,"no","cognate_set",,,"yes"
"D152","josserand1983mixtec","tlac12","Mixtec",150,,"no","cognate_set",,,"yes"
"D153",,"tlah11","Mixtec",318,"verbs","yes","paradigms","unpublished",,"yes"
"D154","reyes-basurto2020tlahuapa","tlah11","Mixtec",905,"non-v","yes","dictionary","unpublished","yes","yes"
"D155","josserand1983mixtec","tlal11","Mixtec",150,,"no","cognate_set",,,"yes"
"D156","josserand1983mixtec","tlaz11","Mixtec",150,,"no","cognate_set",,,"yes"
"D157","josserand1983mixtec","tona11","Mixtec",150,,"no","cognate_set",,,"yes"
"D158","josserand1983mixtec","toto12","Mixtec",150,,"no","cognate_set",,,"yes"
"D159","josserand1983mixtec","tutu11","Mixtec",150,,"no","cognate_set",,,"yes"
"D16","durr1987preliminary","atat11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D160","durr1987preliminary","xaya11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D161","josserand1983mixtec","xaya11","Mixtec",150,,"no","cognate_set",,,"yes"
"D162","josserand1983mixtec","xaya12","Mixtec",150,,"no","cognate_set",,,"yes"
"D163",,"xoch11","Mixtec",120,,"no","dictionary_minimal",,,"no"
"D164","feist2015xochapa","xoch11","Mixtec",142,"verbs","yes","paradigms",,,"yes"
"D165","gonzalez-de-guzman2013diccionario","xoch11","Mixtec",550,,"yes","dictionary",,,"no"
"D166","josserand1983mixtec","yolo11","Mixtec",150,,"no","cognate_set",,,"yes"
"D167","feist2015yoloxochitl","yolo11","Mixtec",606,"verbs","yes","paradigms",,,"yes"
"D168",,"yolo11","Mixtec",2500,"all","yes","dictionary","unpublished","yes","yes"
