Number	Code	Name	Location	SubGroup	Latitude	Longitude	Glottocode	ISO639P3code
1	abas11	AbasoloValleMixtec	Abasolo del Valle	Mixtec	17.78287	-95.54381	mixt1425	mix
2	acat11	SantaMariaAcatepecMixtec	Santa María Acatepec	Mixtec	16.76337	-97.98945	sant1441	mtu
3	achi11	SanMiguelAchiutlaMixtec	San Miguel Achiutla	Mixtec	17.3065	-97.48886	sanm1292	xtm
4	adeq11	SantaCatarinaAdequezMixtec	Santa Catarina Adequez	Mixtec	17.43688	-97.14695	NA	NA
5	ahue11	SanMiguelAhuehuetitlanMixtec	San Miguel Ahuehuetitlán	Mixtec	17.67151	-98.32045	sila1250	mks
6	alac11	AlacatlatzalaMixtec	Alacatlatzala	Mixtec	17.25	-98.58	alac1244	mim
7	alco11	AlcozaucaGuerreroMixtec	Alcozáuca de Guerrero	Mixtec	17.3687	-98.3969	alco1235	xta
8	amat11	SanMiguelAmatitlanMixtec	San Miguel Amatitlán	Mixtec	17.89179	-98.02529	NA	NA
9	amol11	SantiagoAmoltepecMixtec	Santiago Amoltepec	Mixtec	16.6521	-97.4518	amol1236	mbz
10	amol12	SanCristobalAmoltepecMixtec	San Cristóbal Amoltepec	Mixtec	17.28458	-97.5706	sanc1244	xtm
11	apas11	SantaMariaApazcoMixtec	Santa María Apazco	Mixtec	17.6143	-97.0657	apas1235	mip
12	apoa11	SantiagoApoalaMixtec	Santiago Apoala	Mixtec	17.6143	-97.0657	apas1235	mip
13	asun11	SantaMariaAsuncionMixtec	Santa María Asunción	Mixtec	17.2435	-98.0001	NA	NA
14	atat11	SanEstebanAtatlahucaMixtec	San Esteban Atatlahuca	Mixtec	17.07133	-97.67753	atat1238	mib
15	aten11	SanAgustinAtenangoMixtec	San Agustín Atenango	Mixtec	17.61188	-98.01527	NA	NA
16	atla11	AtlamajalcingoMonteMixtec	Atlamajalcingo del Monte	Mixtec	17.31173	-98.60758	atla1271	mim
17	atoy11	SanPedroAtoyacMixtec	San Pedro Atoyac	Mixtec	16.48865	-97.9864	NA	NA
18	ayut11	AyutlalosLibresMixtec	Ayutla de los Libres	Mixtec	16.8833	-98.9916	ayut1236	miy
19	bate11	LaBateaMixtec	La Batea	Mixtec	17.35948	-97.83233	mixt1425	mix
20	brav11	SantaCruzBravoMixtec	Santa Cruz de Bravo	Mixtec	17.58093	-98.22383	NA	NA
21	caca11	SantiagoCacaloxtepecMixtec	Santiago Cacaloxtepec	Mixtec	17.7248	-97.7637	caca1250	miu
22	cahu11	CahuatacheMixtec	Cahuatache	Mixtec	17.41506	-98.53192	alac1244	mim
23	chal11	ChalcatongoHidalgoMixtec	Chalcatongo de Hidalgo	Mixtec	17.03226	-97.57074	sanm1296	mig
24	chay11	SanAgustinChayucoMixtec	San Agustín Chayuco	Mixtec	16.42	-97.83	chay1249	mih
25	chay12	SanPedroChayucoMixtec	San Pedro Chayuco	Mixtec	17.21534	-97.99416	NA	NA
26	chaz11	SantiagoChazumbaMixtec	Santiago Chazumba	Mixtec	18.1541	-97.7873	chaz1235	xtb
27	chic02	SanAndresChicahuaxtla1890Triqui	San Andrés Chicahuaxtla 1890	Triqui	17.15612	-97.84007	chic1273	trs
28	chic11	SanMiguelChicahuaMixtec	San Miguel Chicahua	Mixtec	17.63719	-97.19479	NA	NA
29	chic12	SanAndresChicahuaxtlaTriqui	San Andrés Chicahuaxtla	Triqui	17.15612	-97.84007	chic1273	trs
30	chig11	ChigmecatitlanMixtec	Chigmecatitlán	Mixtec	18.6303	-98.1046	chig1239	mii
31	coat11	SanJuanCoatzospamMixtec	San Juan Coatzóspam	Mixtec	18.04875	-96.76363	coat1241	miz
32	coic11	CoicoyanlasFloresMixtec	Coicoyán de las Flores	Mixtec	17.27301	-98.27588	coic1238	jmx
33	colo11	SanJuanColoradoMixtec	San Juan Colorado	Mixtec	16.46073	-97.95446	sanj1281	mjc
34	conc11	ConcepcionPapaloCuicatec	Concepción Pápalo	Cuicatec	17.84172	-96.8813	tepe1280	cux
35	copa11	SanJuanCopalaTriqui	San Juan Copala	Triqui	17.187222	-97.962778	copa1237	trc
36	coso11	CosoltepecMixtec	Cosoltepec	Mixtec	18.14291	-97.79059	chaz1235	xtb
37	coxc11	SanPedroCoxcaltepecCantarosMixtec	San Pedro Coxcaltepec Cántaros	Mixtec	17.49922	-97.13893	NA	NA
38	cris11	SanCristobalJamiltepecMixtec	San Cristóbal (Jamiltepec)	Mixtec	16.48433	-97.86594	chay1249	mih
39	cuat11	CuatzoquitengoMixtec	Cuatzoquitengo	Mixtec	17.28835	-98.61552	cuat1239	mim
40	cuau11	SantaAnaCuauhtemocMixtec	Santa Ana Cuauhtémoc	Mixtec	17.98379	-96.79439	cuya1240	xtu
41	cuil11	CuilapamGuerreroMixtec	Cuilapam de Guerrero	Mixtec	17.04496	-97.75798	NA	NA
42	cuya11	CuyamecalcoVillaZaragozaMixtec	Cuyamecalco Villa de Zaragoza	Mixtec	18.0821	-96.7314	cuya1240	xtu
43	diux11	SanJuanDiuxiMixtec	San Juan Diuxi	Mixtec	17.3596	-97.3861	diux1236	xtd
44	dura11	SanMartinDuraznosMixtec	San Martín Duraznos	Mixtec	17.30502	-98.10188	juxt1235	vmc
45	esta11	SanMartinEstadoMixtec	San Martín del Estado	Mixtec	17.56721	-98.17607	NA	NA
46	este11	SantaCatarinaEstetlaMixtec	Santa Catarina Estetla	Mixtec	17.02627	-97.0974	peno1244	mil
47	flor11	SanFranciscolasFloresMixtec	San Francisco de las Flores	Mixtec	17.777	-98.031	NA	NA
48	flor12	SanMarcoslaFlorMixtec	San Marcos de la Flor	Mixtec	17.418889	-98.268611	sanm1291	jmx
49	gran11	SanMiguelElGrandeMixtec	San Miguel El Grande	Mixtec	17.04688	-97.62248	sanm1295	mig
50	gran12	SanMiguelElGrandeAlcozaucaMixtec	San Miguel El Grande (Alcozáuca)	Mixtec	17.24389	-98.23722	alco1235	xta
51	guad11	GuadalupeVillahermosaElPortesueloMixtec	Guadalupe Villahermosa (El Portesuelo)	Mixtec	17.75898	-98.01539	NA	NA
52	huen11	SantoDomingoHuendioMixtec	Santo Domingo Huendio	Mixtec	17.25296	-97.5054	sant1440	xtm
53	huaj11	HeroicaCiudadHuajuapanLeonMixtec	Heroica Ciudad de Huajuapan de León	Mixtec	17.80698	-97.776062	caca1250	miu
54	huaz11	SantaMariaHuazolotitlanMixtec	Santa María Huazolotitlán	Mixtec	16.3019	-97.91488	NA	NA
55	huit11	SanAntonioHuitepecMixtec	San Antonio Huitepec	Mixtec	16.9476	-97.1236	huit1252	mxs
56	itun11	SantaCruzItundujiaMixtec	Santa Cruz Itundujia	Mixtec	16.77876	-97.59753	itun1239	mce
57	itun12	SanMartinItunyosoTriqui	San Martín Itunyoso	Triqui	17.22887	-97.88125	sanm1298	trq
58	ixpa11	IxpantepecNievesMixtec	Ixpantepec Nieves	Mixtec	17.50717	-98.04556	sila1250	mks
59	ixta11	SantiagoIxtayutlaMixtec	Santiago Ixtayutla	Mixtec	16.5774	-97.5759	ixta1235	vmj
60	ixta12	SantiagoIxtaltepecMixtec	Santiago Ixtaltepec	Mixtec	17.54171	-97.11437	NA	NA
61	ixta13	SanMiguelIxtapamMixtec	San Miguel Ixtapam	Mixtec	18.80685	-100.15039	NA	NA
62	jami11	SantiagoJamiltepecMixtec	Santiago Jamiltepec	Mixtec	16.2279	-97.8417	jami1235	mxt
63	jate11	SanFranciscoJaltepetongoMixtec	San Francisco Jaltepetongo	Mixtec	17.38592	-97.26345	NA	NA
64	jica11	SantaMariaJicaltepecMixtec	Santa María Jicaltepec	Mixtec	16.38086	-98.04128	pino1237	mio
65	jica12	SanPedroJicayanMixtec	San Pedro Jicayán	Mixtec	16.45235	-98.0151	NA	NA
66	jica13	ElJicaralMixtec	El Jicaral	Mixtec	17.12602	-98.196842	coic1238	jmx
67	joco11	SanPedroJocotipacMixtec	San Pedro Jocotipac	Mixtec	17.7687	-97.07983	NA	NA
68	juxt11	SantiagoJuxtlahuacaMixtec	Santiago Juxtlahuaca	Mixtec	17.3518	-98.0146	juxt1235	vmc
69	lore11	SanLorenzoMixtec	San Lorenzo	Mixtec	17.66757	-98.11901	NA	NA
70	mech11	SantaCatarinaMechoacanMixtec	Santa Catarina Mechoacán	Mixtec	16.33471	-97.83626	chay1249	mih
71	metl11	MetlatonocMixtec	Metlatónoc	Mixtec	17.1947	-98.3514	metl1238	mxv
72	mica11	ElRosarioMicaltepecMixtec	El Rosario Micaltepec	Mixtec	18.04537	-97.85057	NA	NA
73	mitl11	SantiagoMitlatongoMixtec	Santiago Mitlatongo	Mixtec	17.16	-97.1757	mitl1235	vmm
74	mixt11	SanJuanMixtepecMixtec	San Juan Mixtepec	Mixtec	17.3317	-97.8791	mixt1425	mix
75	moli11	SanPedroMolinosMixtec	San Pedro Molinos	Mixtec	17.10495	-97.54152	sanp1259	mig
76	mont11	SanAntoninoMonteVerdeMixtec	San Antonino Monte Verde	Mixtec	17.53375	-97.72149	mont1271	xtn
77	mont12	SanSebastianMonteMixtec	San Sebastián del Monte	Mixtec	17.6793	-98.02259	sila1250	mks
78	mont13	SantaLuciaMonteverdeMixtec	Santa Lucía Monteverde	Mixtec	16.9969	-97.6277	sant1439	mdv
79	mont14	SanAgustinMonteLobosMixtec	San Agustín Monte Lobos	Mixtec	17.63031	-97.28821	NA	NA
80	more11	SanLuisMoreliaMixtec	San Luis Morelia	Mixtec	17.70342	-98.21456	tama1339	vmx
81	ndua11	SanAntonioNduayacoMixtec	San Antonio Nduayaco	Mixtec	17.68547	-97.14745	apas1235	mip
82	nica11	SanSebastianNicanandutaMixtec	San Sebastián Nicananduta	Mixtec	17.51737	-97.68345	nort2985	xtn
83	nuch11	SanJorgeNuchitaMixtec	San Jorge Nuchita	Mixtec	17.65569	-98.10499	sila1250	mks
84	numi11	SanJuanNumiMixtec	San Juan Ñumi	Mixtec	17.39759	-97.70603	nort2985	xtn
85	nund11	SantaCruzNundacoMixtec	Santa Cruz Nundaco	Mixtec	17.17339	-97.72325	NA	NA
86	nund12	SantiagoNundicheMixtec	Santiago Nundiche	Mixtec	17.3312	-97.67444	nort2985	xtn
87	nund13	SantoDomingoNundoMixtec	Santo Domingo Nundo	Mixtec	17.60855	-97.68566	NA	NA
88	nuti11	SantaMariaNutioMixtec	Santa María Nutio	Mixtec	16.48542	-97.90405	NA	NA
89	nuxa11	SantoDomingoNuxaaMixtec	Santo Domingo Nuxaá	Mixtec	17.21663	-97.12285	NA	NA
90	nuxi11	SanAndresNuxinoMixtec	San Andrés Nuxiño	Mixtec	17.23883	-97.10497	NA	NA
91	nuyo11	SantiagoNuyooMixtec	Santiago Nuyoó	Mixtec	17.0147	-97.76674	nuyo1238	meh
92	ocot11	SantoTomasOcotepecMixtec	Santo Tomás Ocotepec	Mixtec	17.14419	-97.76322	ocot1243	mie
93	papa11	SantaMariaPapaloCuicatec	Santa María Pápalo	Cuicatec	17.26813	-96.56338	sant1437	cux
94	pena11	MagdalenaPenascoMixtec	Magdalena Peñasco	Mixtec	17.2837	-97.5413	magd1235	xtm
95	pena12	SanMateoPenascoMixtec	San Mateo Peñasco	Mixtec	17.15127	-97.53321	sanm1293	xtm
96	peno11	SantaMariaPenolesMixtec	Santa María Peñoles	Mixtec	17.07959	-97.00272	sant1445	mil
97	peno11	SantaMariaPenolesMixtec	Santa María Peñoles	Mixtec	17.0671	-97.0101	peno1244	mil
98	pera11	SanMartinPerasMixtec	San Martín Peras	Mixtec	17.35912	-98.23725	sanm1291	jmx
99	petl11	PetlacalancingoMixtec	Petlacalancingo	Mixtec	17.37597	-98.49096	petl1238	xta
100	pied11	SanMiguelPiedrasMixtec	San Miguel Piedras	Mixtec	16.9944	-97.2056	sanm1294	xtp
101	pied12	PiedraAzulMixtec	Piedra Azul	Mixtec	17.380833	-98.185833	NA	NA
102	pina11	SanJuanPinasMixtec	San Juan Piñas	Mixtec	17.22264	-98.14487	sanj1280	jmx
103	pino11	SantiagoPinotepaNacionalMixtec	Santiago Pinotepa Nacional	Mixtec	16.3043	-97.9966	pino1237	mio
104	pino12	PinotepaDonLuisMixtec	Pinotepa de Don Luis	Mixtec	16.42666	-97.97647	pino1237	mio
105	plan11	PlanGuadalupeMixtec	Plan de Guadalupe	Mixtec	17.21731	-97.7826	plan1238	mim
106	poto11	PotoichanMixtec	Potoichan	Mixtec	17.42233	-98.72009	poto1253	mim
107	prog11	SanMiguelProgresoMixtec	San Miguel Progreso	Mixtec	17.1743	-97.79838	NA	NA
108	prog12	SanJeronimoProgresoMixtec	San Jerónimo Progreso	Mixtec	17.44616	-98.15466	sila1250	mks
109	prom01	Proto-MixtecMixtec	Proto-Mixtec	Mixtec	NA	NA	mixt1427	NA
110	prot01	Proto-TriqueMixtec	Proto-Trique	Mixtec	NA	NA	triq1251	NA
111	reye11	SantosReyesTepejilloMixtec	Santos Reyes Tepejillo	Mixtec	17.43262	-97.93997	NA	NA
112	sayu11	SanFranciscoSayultepecMixtec	San Francisco Sayultepec	Mixtec	16.59537	-98.12933	pino1237	mio
113	sila11	SilacayoapamMixtec	Silacayoapam	Mixtec	17.5541	-98.1163	sila1250	mks
114	sind11	SanMateoSindihuiMixtec	San Mateo Sindihui	Mixtec	17.02	-97.3036	sind1277	xts
115	sini11	SanJoseSinicahuaMixtec	San José Sinicahua	Mixtec	17.221800000000002	-97.5904	sini1243	xti
116	soso11	SanJeronimoSosolaMixtec	San Jerónimo Sosola	Mixtec	17.36657	-97.03295	NA	NA
117	soya11	SanBartoloSoyaltepecMixtec	San Bartolo Soyaltepec	Mixtec	17.5892	-97.1921	soya1236	vmq
118	tama11	SanJuanTamazolaMixtec	San Juan Tamazola	Mixtec	17.1258	-97.0998	tama1339	vmx
119	tama12	SantiagoTamazolaMixtec	Santiago Tamazola	Mixtec	17.67041	-98.2216	NA	NA
120	tata11	SantaMariaTataltepecMixtec	Santa María Tataltepec	Mixtec	17.14222	-97.39407	sant1444	NA
121	teco11	SanSebastianTecomaxtlahuacaMixtec	San Sebastián Tecomaxtlahuaca	Mixtec	17.34568	-98.0312	NA	NA
122	teit11	SanJuanTeitaMixtec	San Juan Teita	Mixtec	17.1542	-97.3899	sanj1282	xtj
123	tejo11	LosTejocotesMixtec	Los Tejocotes	Mixtec	17.31342	-97.89609	NA	NA
124	tepa11	TepangoMixtec	Tepango	Mixtec	20.00242	-97.79622	ayut1236	miy
125	tepa12	SanMateoTepantepecMixtec	San Mateo Tepantepec	Mixtec	17.00277	-97.03289	sanm1297	mil
126	tepe03	SanJuanTepeuxila1900Mixtec	San Juan Tepeuxila 1900	Mixtec	18.72299	-95.84118	tepe1280	cux
127	tepe11	TepejilloMixtec	Tepejillo	Mixtec	18.05265	-97.83906	NA	NA
128	tepe12	SanAntonioTepetlapaMixtec	San Antonio Tepetlapa	Mixtec	16.54182	-98.06578	NA	NA
129	tepe13	SanJuanTepeuxilaCuicatec	San Juan Tepeuxila	Cuicatec	17.72299	-96.84118	tepe1280	cux
130	tepo01	SanPedroySanPabloTeposcolula1600Mixtec	San Pedro y San Pablo Teposcolula 1600	Mixtec	17.51167	-97.48883	NA	NA
131	tepo11	SanPedroySanPabloTeposcolulaMixtec	San Pedro y San Pablo Teposcolula	Mixtec	17.51167	-97.48883	NA	NA
132	teut11	SanPedroTeutilaCuicatec	San Pedro Teutila	Cuicatec	17.97703	-96.705581	teut1235	cut
133	tezo11	TezoatlanSegurayLunaMixtec	Tezoatlán de Segura y Luna	Mixtec	17.65084	-97.80972	tezo1239	mxb
134	ticu11	SantaCatarinaTicuaMixtec	Santa Catarina Ticuá	Mixtec	17.07332	-97.53638	sant1443	mig
135	tida11	SanPedroTidaaMixtec	San Pedro Tidaá	Mixtec	17.4142	-97.3333	tida1235	mtx
