id,village_name,village_name_alternative,municipality,state,latitude,longitude,isocode,glottocode,glottolog_name,glottolog_level,glottolog_super,glottolog_group,glottolog_latitude,glottolog_longitude,josserand_group,josserand_subgroup,josserand_code,inali_group,inali_endonym_ort,inali_endonym_ipa,egland_name,egland_perc,egland_level,egland_super,mtree_name,mtree_code,mtree_codealt,mtree_latitude,mtree_longitude,mtree_comments,coordinate.comparison,village_norm,Comments
,Tezoatlán de Segura y Luna ~ Yucu Ñumi,,Tezoatlán de Segura y Luna,Oaxaca,"   17,61550"," -97,90020",mxb,tezo1238,Tezoatlán Mixtec ,language,,Tezoatlán,"   17,61550","   -97,90020",,,,mixteco del noroeste medio,dedavi ~ tu’un savi,[dedaβi] ~ [tũʔũ saβi],,NA,,,,,,NA,NA,,,tezoatlan de segura y luna,
,GROUP,,NA,NA,"   17,48060"," -97,83490",xtn,nort2985,Northern Tlaxiaco Mixtec ,language,,Western Alta,"   17,48060","   -97,83490",,,,NA,NA,NA,,NA,,,,,,NA,NA,,,group,
,GROUP,,NA,NA,"   17,82870"," -98,05740",mxa,nort2986,Northwest Oaxaca Mixtec ,language,,Central Baja Mixtec ,"   17,82870","   -98,05740",Central Baja,,,NA,NA,NA,,NA,,,,,,NA,NA,,,group,
,GROUP,,NA,NA,"   16,98870"," -97,79740",meh,sout3000,Southwestern Tlaxiaco Mixtec,language,,Western Alta,"   16,98870","   -97,79740",,,,NA,NA,NA,,NA,,,,,,NA,NA,,,group,
,GROUP,,NA,NA,"   18,21230"," -97,95720",mit,sout3001,Southern Puebla Mixtec ,language,,Northern Baja,"   18,21230","   -97,95720",,,,NA,NA,NA,,NA,,,,,,NA,NA,,,group,
,GROUP,,NA,NA,"   17,21219"," -97,01454",mxy,sout3002,Southeastern Nochixtlán Mixtec ,language,,Northeastern Alta,"   17,21219","   -97,01454",,,,NA,NA,NA,,NA,,,,,,NA,NA,,,group,
,GROUP,,NA,NA,"   17,30030"," -98,20960",jmx,west2643,Western Juxtlahuaca Mixtec,language,,Southern Baja,"   17,30030","   -98,20960",Southern Baja,,,NA,NA,NA,,NA,,,,,,NA,NA,,,group,
acat11,Santa María Acatepec,,Villa de Tututepec de Melchor Ocampo,Oaxaca,"   16,76337"," -97,98945",,sant1441,Santa María Acatepec ,dialect,tutu1243,,NA,NA,Coast,Acatepec,acat,mixteco de Villa de Tututepec,tu’un savi,[tũʔũ saβi],Acatepec,87,dialect,Tututepec,,,,NA,NA,,,santa maria acatepec,
achi11,San Miguel Achiutla,,San Miguel Achiutla,Oaxaca,"   17,30650"," -97,48886",,sanm1292,San Miguel Achiutla Mixtec ,dialect,magd1235,Western Alta,NA,NA,Western Alta,,achi,mixteco central,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,san miguel achiutla,
adeq11,Santa Catarina Adequez,Santa Catarina Adéquez,Asunción Nochixtlán,Oaxaca,"   17,43688"," -97,14695",,,,,,,NA,NA,Northeastern Alta,,adeq,mixteco del este,tu’un davi,[tũʔũ ðaβi],,NA,,,,,,NA,NA,,,santa catarina adequez,
agua11,San Juan Coatzóspam,San Juan Coatzóspan,San Juan Coatzóspam,Oaxaca,"   18,04875"," -96,76363",miz,coat1241,Coatzospan Mixtec ,language,,Northern Alta,"   18,12090","   -96,65910",Northern Alta,,coat,mixteco de Coatzóspam,tu’un davi,[tũʔũ ðaβi],Coatzospan,88,dialect,,Coatzospan,mig-cha,mxz,"18,08","-96,58",,gl lat and long better,san juan coatzospan,
ahue11,San Miguel Ahuehuetitlán,,San Miguel Ahuehuetitlán,Oaxaca,"   17,67151"," -98,32045",,,,,,,NA,NA,Western Baja,,ahue,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],S. Miguel Ahuehuetitla?n,79,dialect,Silacayoapan,,,,NA,NA,,,san miguel ahuehuetitlan,
alac11,Alacatlatzala,,Malinaltepec,Guerrero,"   17,25000"," -98,58000",mim,alac1244,Alacatlatzala Mixtec ,language,,Guerrero,"   17,49440","   -98,46740",Guerrero,,alac,mixteco de Guerrero central alto,tno̱’on sávi̱,[tnõʔõ saβi˨],,NA,,,Alacatlatzala,mixn,mxl,"17,25","-98,58",,mtree lat and long better,alacatlatzala,
