Doculect	Grapheme	IPA	Class	Status	Comments
ayut11	y	j	consonant		
ayut11	k	k	consonant		
ayut11	ky	kʲ	consonant	rare	
ayut11	kw	kʷ	consonant		
ayut11	l	l	consonant		
ayut11	m	m	consonant	rare	
ayut11	mb	ᵐb	consonant	rare	
ayut11	n	n	consonant		
ayut11	nd	ⁿd	consonant		
ayut11	ndy	ⁿdʲ	consonant		
ayut11	ny	nʲ	consonant		not sure what the difference is
ayut11	ñ	ɲ	consonant		not sure what the difference is
ayut11	ng	ᵑg	consonant	rare	
ayut11	ngw	ᵑgʷ	consonant	rare	
ayut11	p	p	consonant	rare	
ayut11	r	ɾ	consonant		
ayut11	s	s	consonant		
ayut11	sy	sʲ	consonant	rare	
ayut11	sh	ʃ	consonant		
ayut11	t	t	consonant		
ayut11	ty	tʲ	consonant		
ayut11	x	x	consonant	rare	
ayut11	h	ʔ	consonant		
ayut11	v	β	consonant		
ayut11	a	a1	vowel and tone		
ayut11	an	ã1	vowel and tone		
ayut11	aan	ã1ã1	vowel and tone		
ayut11	aān	ã1ã3	vowel and tone		
ayut11	aán	ã1ã5	vowel and tone		
ayut11	ā	a3	vowel and tone		
ayut11	ān	ã3	vowel and tone		
ayut11	āan	ã3ã1	vowel and tone		
ayut11	āān	ã3ã3	vowel and tone		
ayut11	āán	ã3ã5	vowel and tone		
ayut11	á	a5	vowel and tone		
ayut11	án	ã5	vowel and tone		
ayut11	áan	ã5ã1	vowel and tone		
ayut11	áān	ã5ã3	vowel and tone		
ayut11	áán	ã5ã5	vowel and tone		
ayut11	e	e1	vowel and tone		
ayut11	en	ẽ1	vowel and tone		
ayut11	een	ẽ1ẽ1	vowel and tone		
ayut11	eēn	ẽ1ẽ3	vowel and tone		
ayut11	eén	ẽ1ẽ5	vowel and tone		
ayut11	ē	e3	vowel and tone		
ayut11	ēn	ẽ3	vowel and tone		
ayut11	ēen	ẽ3ẽ1	vowel and tone		
ayut11	ēēn	ẽ3ẽ3	vowel and tone		
ayut11	ēén	ẽ3ẽ5	vowel and tone		
ayut11	é	e5	vowel and tone		
ayut11	én	ẽ5	vowel and tone		
ayut11	éen	ẽ5ẽ1	vowel and tone		
ayut11	éēn	ẽ5ẽ3	vowel and tone		
ayut11	één	ẽ5ẽ5	vowel and tone		
ayut11	i	i1	vowel and tone		
ayut11	in	ĩ1	vowel and tone		
ayut11	iin	ĩ1ĩ1	vowel and tone		
ayut11	iīn	ĩ1ĩ3	vowel and tone		
ayut11	iín	ĩ1ĩ5	vowel and tone		
ayut11	ī	i3	vowel and tone		
ayut11	īn	ĩ3	vowel and tone		
ayut11	īin	ĩ3ĩ1	vowel and tone		
ayut11	īīn	ĩ3ĩ3	vowel and tone		
ayut11	īín	ĩ3ĩ5	vowel and tone		
ayut11	í	i5	vowel and tone		
ayut11	ín	ĩ5	vowel and tone		
ayut11	íin	ĩ5ĩ1	vowel and tone		
ayut11	íīn	ĩ5ĩ3	vowel and tone		
ayut11	íín	ĩ5ĩ5	vowel and tone		
ayut11	o	o1	vowel and tone		
ayut11	on	õ1	vowel and tone		
ayut11	oon	õ1õ1	vowel and tone		
ayut11	oōn	õ1õ3	vowel and tone		
ayut11	oón	õ1õ5	vowel and tone		
ayut11	ō	o3	vowel and tone		
ayut11	ōn	õ3	vowel and tone		
ayut11	ōon	õ3õ1	vowel and tone		
ayut11	ōōn	õ3õ3	vowel and tone		
ayut11	ōón	õ3õ5	vowel and tone		
ayut11	ó	o5	vowel and tone		
ayut11	ón	õ5	vowel and tone		
ayut11	óon	õ5õ1	vowel and tone		
ayut11	óōn	õ5õ3	vowel and tone		
ayut11	óón	õ5õ5	vowel and tone		
ayut11	u	u1	vowel and tone		
ayut11	un	ũ1	vowel and tone		
ayut11	uun	ũ1ũ1	vowel and tone		
ayut11	uūn	ũ1ũ3	vowel and tone		
ayut11	uún	ũ1ũ5	vowel and tone		
ayut11	ū	u3	vowel and tone		
ayut11	ūn	ũ3	vowel and tone		
ayut11	ūun	ũ3ũ1	vowel and tone		
ayut11	ūūn	ũ3ũ3	vowel and tone		
ayut11	ūún	ũ3ũ5	vowel and tone		
ayut11	ú	u5	vowel and tone		
ayut11	ún	ũ5	vowel and tone		
ayut11	úun	ũ5ũ1	vowel and tone		
ayut11	úūn	ũ5ũ3	vowel and tone		
ayut11	úún	ũ5ũ5	vowel and tone		
