Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																									
h	h	consonant	rare		schultze-jena1938azteken	cahu11																																																									
y	j	consonant			schultze-jena1938azteken	cahu11																																																									
k	k	consonant			schultze-jena1938azteken	cahu11																																																									
ky	kʲ	consonant			schultze-jena1938azteken	cahu11																																																									
ku	kʷ	consonant		before vowels	schultze-jena1938azteken	cahu11																																																									
l	l	consonant			schultze-jena1938azteken	cahu11																																																									
m	m	consonant			schultze-jena1938azteken	cahu11																																																									
n	n	consonant			schultze-jena1938azteken	cahu11																																																									
nd	ⁿd	consonant			schultze-jena1938azteken	cahu11																																																									
ny	ɲ	consonant			schultze-jena1938azteken	cahu11																																																									
r	ɾ	consonant			schultze-jena1938azteken	cahu11																																																									
s	s	consonant			schultze-jena1938azteken	cahu11																																																									
š	ʃ	consonant			schultze-jena1938azteken	cahu11																																																									
t	t	consonant			schultze-jena1938azteken	cahu11																																																									
ty	tʲ	consonant			schultze-jena1938azteken	cahu11																																																									
č	t͡ʃ	consonant			schultze-jena1938azteken	cahu11																																																									
'	ʔ	consonant			schultze-jena1938azteken	cahu11																																																									
w	β	consonant			schultze-jena1938azteken	cahu11																																																									
↓	1	tone			schultze-jena1938azteken	cahu11																																																									
↑	5	tone			schultze-jena1938azteken	cahu11																																																									
a	a	vowel			schultze-jena1938azteken	cahu11																																																									
ã	ã	vowel			schultze-jena1938azteken	cahu11																																																									
ā	aa	vowel			schultze-jena1938azteken	cahu11																																																									
e	e	vowel			schultze-jena1938azteken	cahu11																																																									
ẽ	ẽ	vowel			schultze-jena1938azteken	cahu11																																																									
ē	ee	vowel			schultze-jena1938azteken	cahu11																																																									
i	i	vowel			schultze-jena1938azteken	cahu11																																																									
ĩ	ĩ	vowel			schultze-jena1938azteken	cahu11																																																									
ī	ii	vowel			schultze-jena1938azteken	cahu11																																																									
ü	ɨ	vowel		described as [y], but it would be the only variety with this vowel	schultze-jena1938azteken	cahu11																																																									
ü̃	ɨ̃	vowel			schultze-jena1938azteken	cahu11																																																									
o	o	vowel			schultze-jena1938azteken	cahu11																																																									
õ	õ	vowel			schultze-jena1938azteken	cahu11																																																									
ō	oo	vowel			schultze-jena1938azteken	cahu11																																																									
u	u	vowel			schultze-jena1938azteken	cahu11																																																									
̃ũ	ũ	vowel			schultze-jena1938azteken	cahu11																																																									
ū	uu	vowel			schultze-jena1938azteken	cahu11																																																									
ǖ	üü	vowel			schultze-jena1938azteken	cahu11																																																									
