Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
h	NA	h	consonant	rare	NA	schultze-jena1938azteken	cahu11
y	NA	j	consonant	NA	NA	schultze-jena1938azteken	cahu11
k	NA	k	consonant	NA	NA	schultze-jena1938azteken	cahu11
ky	NA	kʲ	consonant	NA	NA	schultze-jena1938azteken	cahu11
ku	NA	kʷ	consonant	NA	before vowels	schultze-jena1938azteken	cahu11
l	NA	l	consonant	NA	NA	schultze-jena1938azteken	cahu11
m	NA	m	consonant	NA	NA	schultze-jena1938azteken	cahu11
n	NA	n	consonant	NA	NA	schultze-jena1938azteken	cahu11
nd	NA	ⁿd	consonant	NA	NA	schultze-jena1938azteken	cahu11
ny	NA	ɲ	consonant	NA	NA	schultze-jena1938azteken	cahu11
r	NA	ɾ	consonant	NA	NA	schultze-jena1938azteken	cahu11
s	NA	s	consonant	NA	NA	schultze-jena1938azteken	cahu11
š	NA	ʃ	consonant	NA	NA	schultze-jena1938azteken	cahu11
t	NA	t	consonant	NA	NA	schultze-jena1938azteken	cahu11
ty	NA	tʲ	consonant	NA	NA	schultze-jena1938azteken	cahu11
č	NA	tʃ	consonant	NA	NA	schultze-jena1938azteken	cahu11
'	NA	ʔ	consonant	NA	NA	schultze-jena1938azteken	cahu11
w	NA	β	consonant	NA	NA	schultze-jena1938azteken	cahu11
↓	NA	¹	tone	NA	NA	schultze-jena1938azteken	cahu11
↑	NA	⁵	tone	NA	NA	schultze-jena1938azteken	cahu11
a	NA	a	vowel	NA	NA	schultze-jena1938azteken	cahu11
ã	NA	ã	vowel	NA	NA	schultze-jena1938azteken	cahu11
ā	NA	aa	vowel	NA	NA	schultze-jena1938azteken	cahu11
e	NA	e	vowel	NA	NA	schultze-jena1938azteken	cahu11
ẽ	NA	ẽ	vowel	NA	NA	schultze-jena1938azteken	cahu11
ē	NA	ee	vowel	NA	NA	schultze-jena1938azteken	cahu11
i	NA	i	vowel	NA	NA	schultze-jena1938azteken	cahu11
ĩ	NA	ĩ	vowel	NA	NA	schultze-jena1938azteken	cahu11
ī	NA	ii	vowel	NA	NA	schultze-jena1938azteken	cahu11
ü	NA	ɨ	vowel	NA	described as [y], but it would be the only variety with this vowel	schultze-jena1938azteken	cahu11
ü̃	NA	ɨ̃	vowel	NA	NA	schultze-jena1938azteken	cahu11
o	NA	o	vowel	NA	NA	schultze-jena1938azteken	cahu11
õ	NA	õ	vowel	NA	NA	schultze-jena1938azteken	cahu11
ō	NA	oo	vowel	NA	NA	schultze-jena1938azteken	cahu11
u	NA	u	vowel	NA	NA	schultze-jena1938azteken	cahu11
̃ũ	NA	ũ	vowel	NA	NA	schultze-jena1938azteken	cahu11
ū	NA	uu	vowel	NA	NA	schultze-jena1938azteken	cahu11
ǖ	NA	üü	vowel	NA	NA	schultze-jena1938azteken	cahu11
