Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																									
b	b	consonant	loan		good1978diccionario	chic12																																																									
d	d	consonant			good1978diccionario	chic12																																																									
g	g	consonant			good1978diccionario	chic12																																																									
gu	gʷ	consonant		before vowel, needs rule	good1978diccionario	chic12																																																									
h	h	consonant			good1978diccionario	chic12																																																									
j	j	consonant		not sure	good1978diccionario	chic12																																																									
y	j	consonant		not sure	good1978diccionario	chic12																																																									
jn	j̃	consonant		is an allophone of j, so maybe should just be j	good1978diccionario	chic12																																																									
yy	jː	consonant			good1978diccionario	chic12																																																									
c	k	consonant			good1978diccionario	chic12																																																									
k	k	consonant	loan		good1978diccionario	chic12																																																									
qu	k	consonant			good1978diccionario	chic12																																																									
cu	kʷ	consonant		before vowel, needs rule	good1978diccionario	chic12																																																									
l	l	consonant			good1978diccionario	chic12																																																									
ll	lː	consonant	loan	not sure	good1978diccionario	chic12																																																									
m	m	consonant			good1978diccionario	chic12																																																									
mm	mː	consonant			good1978diccionario	chic12																																																									
n	n	consonant			good1978diccionario	chic12																																																									
nn	nː	consonant			good1978diccionario	chic12																																																									
nd	ⁿd	consonant			good1978diccionario	chic12																																																									
ng	ᵑg	consonant			good1978diccionario	chic12																																																									
p	p	consonant	loan		good1978diccionario	chic12																																																									
s	s	consonant			good1978diccionario	chic12																																																									
x	ʃ	consonant			good1978diccionario	chic12																																																									
t	t	consonant			good1978diccionario	chic12																																																									
ts	t͡s	consonant			good1978diccionario	chic12																																																									
chr	t͡ʂ	consonant		best guess based on phonological description	good1978diccionario	chic12																																																									
ch	t͡ʃ	consonant		could also be tɕ	good1978diccionario	chic12																																																									
hu	w	consonant		before vowel, needs rule	good1978diccionario	chic12																																																									
huu	wː	consonant			good1978diccionario	chic12																																																									
z	z	consonant			good1978diccionario	chic12																																																									
r	ʑ	consonant		for some also ɾ or even r	good1978diccionario	chic12																																																									
	ʔ	consonant			good1978diccionario	chic12																																																									
1	1	tone			good1978diccionario	chic12																																																									
2	2	tone			good1978diccionario	chic12																																																									
3	3	tone		unmarked is also tone 3, needs to be integrated with rule	good1978diccionario	chic12																																																									
4	4	tone			good1978diccionario	chic12																																																									
5	5	tone			good1978diccionario	chic12																																																									
a	a	vowel			good1978diccionario	chic12																																																									
an	ã	vowel			good1978diccionario	chic12																																																									
e	e	vowel			good1978diccionario	chic12																																																									
ë	ə	vowel			good1978diccionario	chic12																																																									
i	i	vowel			good1978diccionario	chic12																																																									
in	ĩ	vowel			good1978diccionario	chic12																																																									
o	o	vowel			good1978diccionario	chic12																																																									
u	u	vowel			good1978diccionario	chic12																																																									
un	ũ	vowel			good1978diccionario	chic12																																																									
ï	ɯ	vowel			good1978diccionario	chic12																																																									
ïn	ɯ̃	vowel			good1978diccionario	chic12																																																									
