Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
b		ᵐb	consonant	rare		pike1974downstepping	coat11
c		t͡s	consonant		not sure, described as alveolar affricate	pike1974downstepping	coat11
č		t͡ʃ	consonant			pike1974downstepping	coat11
ch		t͡ʃ	consonant			small1990syntactic	coat11
d		ⁿd	consonant			pike1974downstepping	coat11
	d	ð	consonant			small1990syntactic	coat11
đ		ð	consonant			pike1974downstepping	coat11
dy		ðʲ	consonant			small1990syntactic	coat11
đʸ		ðʲ	consonant			pike1974downstepping	coat11
f		f	consonant	loan		small1990syntactic	coat11
g		ᵑg	consonant			pike1974downstepping	coat11
	g	g	consonant	loan		small1990syntactic	coat11
gʷ		ᵑgʷ	consonant			pike1974downstepping	coat11
h		ʔ	consonant			small1990syntactic	coat11
ǰ		ⁿd͡ʒ	consonant			pike1974downstepping	coat11
k		k	consonant			pike1974downstepping, small1990syntactic	coat11
kʷ		kʷ	consonant			pike1974downstepping	coat11
kw		kʷ	consonant			small1990syntactic	coat11
l		l	consonant			pike1974downstepping, small1990syntactic	coat11
m		m	consonant			pike1974downstepping, small1990syntactic	coat11
mb		ᵐb	consonant			small1990syntactic	coat11
n		n	consonant			pike1974downstepping, small1990syntactic	coat11
nd		ⁿd	consonant			small1990syntactic	coat11
ndz		ⁿd͡z	consonant			small1990syntactic	coat11
ng		ᵑg	consonant			small1990syntactic	coat11
ngw		ᵑgʷ	consonant			small1990syntactic	coat11
nj		ⁿd͡ʒ	consonant			small1990syntactic	coat11
ñ		ɲ	consonant			pike1974downstepping, small1990syntactic	coat11
p		p	consonant	rare		pike1974downstepping, small1990syntactic	coat11
r		ɾ	consonant			pike1974downstepping, small1990syntactic	coat11
s		s	consonant			pike1974downstepping, small1990syntactic	coat11
š		ʃ	consonant			pike1974downstepping	coat11
sh		ʃ	consonant			small1990syntactic	coat11
t		t	consonant			pike1974downstepping, small1990syntactic	coat11
ts		t͡s	consonant			small1990syntactic	coat11
v		β	consonant			small1990syntactic	coat11
w		w	consonant	loan		small1990syntactic	coat11
x		x	consonant	loan		small1990syntactic	coat11
y		j	consonant	loan		small1990syntactic	coat11
z		ⁿd͡s	consonant		this is my best guess	pike1974downstepping	coat11
ʔ		ʔ	consonant			pike1974downstepping	coat11
a		a	vowel			small1990syntactic	coat11
an		ã	vowel			small1990syntactic	coat11
e		e	vowel			small1990syntactic	coat11
en		ẽ	vowel			small1990syntactic	coat11
i		i	vowel			small1990syntactic	coat11
in		ĩ	vowel			small1990syntactic	coat11
ɨ		ɨ	vowel			small1990syntactic	coat11
ɨn		ɨ̃	vowel			small1990syntactic	coat11
o		o	vowel			small1990syntactic	coat11
on		õ	vowel			small1990syntactic	coat11
u		u	vowel			small1990syntactic	coat11
un		ũ	vowel			small1990syntactic	coat11
á		a5	vowel and tone			pike1974downstepping, small1990syntactic	coat11
à		a1	vowel and tone			pike1974downstepping	coat11
â		a51	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ǎ		a15	vowel and tone			pike1974downstepping	coat11
ā		a1	vowel and tone			small1990syntactic	coat11
á̢		ã5	vowel and tone			pike1974downstepping	coat11
à̢		ã1	vowel and tone			pike1974downstepping	coat11
â̢		ã51	vowel and tone			pike1974downstepping	coat11
ǎ̢		ã15	vowel and tone			pike1974downstepping	coat11
aan		ãã	vowel and tone			small1990syntactic	coat11
áán		ã5ã5	vowel and tone			small1990syntactic	coat11
áân		ã5ã51	vowel and tone			small1990syntactic	coat11
áān		ã5ã1	vowel and tone			small1990syntactic	coat11
āán		ã1ã5	vowel and tone			small1990syntactic	coat11
āân		ã1ã51	vowel and tone			small1990syntactic	coat11
āān		ã1ã1	vowel and tone			small1990syntactic	coat11
án		ã5	vowel and tone			small1990syntactic	coat11
ân		ã51	vowel and tone			small1990syntactic	coat11
ān		ã1	vowel and tone			small1990syntactic	coat11
é		e5	vowel and tone			pike1974downstepping, small1990syntactic	coat11
è		e1	vowel and tone			pike1974downstepping	coat11
ê		e51	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ě		e15	vowel and tone			pike1974downstepping	coat11
ē		e1	vowel and tone			small1990syntactic	coat11
é̢		ẽ5	vowel and tone			pike1974downstepping	coat11
è̢		ẽ1	vowel and tone			pike1974downstepping	coat11
ê̢		ẽ51	vowel and tone			pike1974downstepping	coat11
ě̢		ẽ15	vowel and tone			pike1974downstepping	coat11
een		ẽē	vowel and tone			small1990syntactic	coat11
één		ẽ5ē5	vowel and tone			small1990syntactic	coat11
éên		ẽ5ē51	vowel and tone			small1990syntactic	coat11
éēn		ẽ5ē1	vowel and tone			small1990syntactic	coat11
ēén		ẽ1ē5	vowel and tone			small1990syntactic	coat11
ēên		ẽ1ē51	vowel and tone			small1990syntactic	coat11
ēēn		ẽ1ē1	vowel and tone			small1990syntactic	coat11
én		ẽ5	vowel and tone			small1990syntactic	coat11
ên		ẽ51	vowel and tone			small1990syntactic	coat11
ēn		ẽ1	vowel and tone			small1990syntactic	coat11
í		i5	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ì		i1	vowel and tone			pike1974downstepping	coat11
î		i51	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ǐ		i15	vowel and tone			pike1974downstepping	coat11
ī		i1	vowel and tone			small1990syntactic	coat11
í̢		ĩ5	vowel and tone			pike1974downstepping	coat11
ì̢		ĩ1	vowel and tone			pike1974downstepping	coat11
î̢		ĩ51	vowel and tone			pike1974downstepping	coat11
ǐ̢		ĩ15	vowel and tone			pike1974downstepping	coat11
iin		ĩĩ	vowel and tone			small1990syntactic	coat11
íín		ĩ5ĩ5	vowel and tone			small1990syntactic	coat11
íîn		ĩ5ĩ51	vowel and tone			small1990syntactic	coat11
íīn		ĩ5ĩ1	vowel and tone			small1990syntactic	coat11
īín		ĩ1ĩ5	vowel and tone			small1990syntactic	coat11
īîn		ĩ1ĩ51	vowel and tone			small1990syntactic	coat11
īīn		ĩ1ĩ1	vowel and tone			small1990syntactic	coat11
ín		ĩ5	vowel and tone			small1990syntactic	coat11
în		ĩ51	vowel and tone			small1990syntactic	coat11
īn		ĩ1	vowel and tone			small1990syntactic	coat11
ɨ́		ɨ5	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ɨ̀		ɨ1	vowel and tone			pike1974downstepping	coat11
ɨ̂		ɨ51	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ɨ̌		ɨ15	vowel and tone			pike1974downstepping	coat11
ɨ̄		ɨ1	vowel and tone			small1990syntactic	coat11
ɨ̢́		ɨ̃5	vowel and tone			pike1974downstepping	coat11
ɨ̢̀		ɨ̃1	vowel and tone			pike1974downstepping	coat11
ɨ̢̂		ɨ̃51	vowel and tone			pike1974downstepping	coat11
ɨ̢̌		ɨ̃15	vowel and tone			pike1974downstepping	coat11
ɨɨn		ɨ̃ɨ̄	vowel and tone			small1990syntactic	coat11
ɨ́ɨ́n		ɨ̃5ɨ̄5	vowel and tone			small1990syntactic	coat11
ɨ́ɨ̂n		ɨ̃5ɨ̄51	vowel and tone			small1990syntactic	coat11
ɨ́ɨ̄n		ɨ̃5ɨ̄1	vowel and tone			small1990syntactic	coat11
ɨ̄ɨ́n		ɨ̃1ɨ̄5	vowel and tone			small1990syntactic	coat11
ɨ̄ɨ̂n		ɨ̃1ɨ̄51	vowel and tone			small1990syntactic	coat11
ɨ̄ɨ̄n		ɨ̃1ɨ̄1	vowel and tone			small1990syntactic	coat11
ɨ́n		ɨ̃5	vowel and tone			small1990syntactic	coat11
ɨ̂n		ɨ̃51	vowel and tone			small1990syntactic	coat11
ɨ̄n		ɨ̃1	vowel and tone			small1990syntactic	coat11
ó		o5	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ò		o1	vowel and tone			pike1974downstepping	coat11
ô		o51	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ǒ		o15	vowel and tone			pike1974downstepping	coat11
ō		o1	vowel and tone			small1990syntactic	coat11
ón		õ5	vowel and tone			small1990syntactic	coat11
ôn		õ51	vowel and tone			small1990syntactic	coat11
ōn		õ1	vowel and tone			small1990syntactic	coat11
oon		õõ	vowel and tone			small1990syntactic	coat11
óón		õ5õ5	vowel and tone			small1990syntactic	coat11
óôn		õ5õ51	vowel and tone			small1990syntactic	coat11
óōn		õ5õ1	vowel and tone			small1990syntactic	coat11
ōón		õ1õ5	vowel and tone			small1990syntactic	coat11
ōôn		õ1õ51	vowel and tone			small1990syntactic	coat11
ōōn		õ1õ1	vowel and tone			small1990syntactic	coat11
ú		u5	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ù		u1	vowel and tone			pike1974downstepping	coat11
û		u51	vowel and tone			pike1974downstepping, small1990syntactic	coat11
ǔ		u15	vowel and tone			pike1974downstepping	coat11
ū		u1	vowel and tone			small1990syntactic	coat11
