Doculect	Grapheme	IPA	Class	Status	Comments	
coat11	đ	ð	consonant			
coat11	đʸ	ðʲ	consonant			
coat11	k	k	consonant			
coat11	kʷ	kʷ	consonant			
coat11	l	l	consonant			
coat11	m	m	consonant			
coat11	b	ᵐb	consonant	rare		
coat11	n	n	consonant			
coat11	d	ⁿd	consonant			
coat11	z	ⁿd͡s	consonant		this is my best guess	
coat11	ǰ	ⁿd͡ʒ	consonant			
coat11	ñ	ɲ	consonant			
coat11	g	ᵑg	consonant			
coat11	gʷ	ᵑgʷ	consonant			
coat11	p	p	consonant	rare		
coat11	r	ɾ	consonant			
coat11	s	s	consonant			
coat11	š	ʃ	consonant			
coat11	t	t	consonant			
coat11	c	t͡s	consonant		not sure, described as alveolar affricate	
coat11	č	t͡ʃ	consonant			
coat11	ʔ	ʔ	consonant			
coat11	à	a1	vowel and tone			
coat11	à̢	ã1	vowel and tone		í	i
coat11	â	a2	vowel and tone			
coat11	â̢	ã2	vowel and tone		ó	o
coat11	ǎ	a4	vowel and tone			
coat11	ǎ̢	ã4	vowel and tone		ɨ́	ɨ
coat11	á	a5	vowel and tone			
coat11	á̢	ã5	vowel and tone		é	e
coat11	è	e1	vowel and tone			
coat11	è̢	ẽ1	vowel and tone		o̢	õ
coat11	ê	e2	vowel and tone		i̢	ĩ
coat11	ê̢	ẽ2	vowel and tone			
coat11	ě	e4	vowel and tone		e̢	ẽ
coat11	ě̢	ẽ4	vowel and tone			
coat11	é	e5	vowel and tone		ó	o
coat11	é̢	ẽ5	vowel and tone		ɨ̢	ɨ̃
coat11	ì	i1	vowel and tone			
coat11	ì̢	ĩ1	vowel and tone			
coat11	î	i2	vowel and tone			
coat11	î̢	ĩ2	vowel and tone			
coat11	ǐ	i4	vowel and tone			
coat11	ǐ̢	ĩ4	vowel and tone			
coat11	í	i5	vowel and tone			
coat11	í̢	ĩ5	vowel and tone			
coat11	ɨ̀	ɨ1	vowel and tone			
coat11	ɨ̢̀	ɨ̃1	vowel and tone			
coat11	ɨ̂	ɨ2	vowel and tone			
coat11	ɨ̢̂	ɨ̃2	vowel and tone			
coat11	ɨ̌	ɨ4	vowel and tone			
coat11	ɨ̢̌	ɨ̃4	vowel and tone			
coat11	ɨ́	ɨ5	vowel and tone			
coat11	ɨ̢́	ɨ̃5	vowel and tone			
coat11	ò	o1	vowel and tone			
coat11	ô	o2	vowel and tone			
coat11	ǒ	o4	vowel and tone			
coat11	ó	o5	vowel and tone			
coat11	ù	u1	vowel and tone			
coat11	ù̢	ũ1	vowel and tone			
coat11	û	u2	vowel and tone			
coat11	û̢	ũ2	vowel and tone			
coat11	ǔ	u4	vowel and tone			
coat11	ǔ̢	ũ4	vowel and tone			
coat11	ú	u5	vowel and tone			
coat11	ú̢	ũ5	vowel and tone			
