Doculect	Grapheme	IPA	Class	Status	Comments
coat11	d	ð	consonant		
coat11	dy	ðʲ	consonant		
coat11	f	f	consonant	loan	
coat11	g	ɣ	consonant	loan	
coat11	y	j	consonant	loan	
coat11	k	k	consonant		
coat11	kw	kʷ	consonant		
coat11	l	l	consonant		
coat11	m	m	consonant		
coat11	mb	ᵐb	consonant		
coat11	n	n	consonant		
coat11	nd	ⁿd	consonant		
coat11	ndz	ⁿd͡z	consonant		
coat11	nj	ⁿd͡ʒ	consonant		
coat11	ñ	ɲ	consonant		
coat11	ng	ᵑg	consonant		
coat11	ngw	ᵑgʷ	consonant		
coat11	p	p	consonant	rare	
coat11	r	ɾ	consonant		
coat11	s	s	consonant		
coat11	sh	ʃ	consonant		
coat11	t	t	consonant		
coat11	ts	t͡s	consonant		
coat11	ch	t͡ʃ	consonant		
coat11	w	w	consonant	loan	
coat11	x	x	consonant	loan	
coat11	h	ʔ	consonant		
coat11	v	β	consonant		
coat11	a	a	vowel		
coat11	an	ã	vowel		
coat11	e	e	vowel		
coat11	en	ẽ	vowel		
coat11	i	i	vowel		
coat11	in	ĩ	vowel		
coat11	ɨ	ɨ	vowel		
coat11	ɨn	ɨ̃	vowel		
coat11	o	o	vowel		
coat11	on	õ	vowel		
coat11	u	u	vowel		
coat11	un	ũ	vowel		
coat11	ā	a1	vowel and tone		
coat11	ān	ã1	vowel and tone		
coat11	āān	ã1ã1	vowel and tone		
coat11	āán	ã1ã5	vowel and tone		
coat11	āân	ã1ã51	vowel and tone		
coat11	á	a5	vowel and tone		
coat11	án	ã5	vowel and tone		
coat11	â	a51	vowel and tone		
coat11	ân	ã51	vowel and tone		
coat11	áān	ã5ã1	vowel and tone		
coat11	áán	ã5ã5	vowel and tone		
coat11	áân	ã5ã51	vowel and tone		
coat11	aan	ãã	vowel and tone		
coat11	ē	e1	vowel and tone		
coat11	ēn	ẽ1	vowel and tone		
coat11	ēēn	ẽ1ē1	vowel and tone		
coat11	ēén	ẽ1ē5	vowel and tone		
coat11	ēên	ẽ1ē51	vowel and tone		
coat11	é	e5	vowel and tone		
coat11	én	ẽ5	vowel and tone		
coat11	ê	e51	vowel and tone		
coat11	ên	ẽ51	vowel and tone		
coat11	éēn	ẽ5ē1	vowel and tone		
coat11	één	ẽ5ē5	vowel and tone		
coat11	éên	ẽ5ē51	vowel and tone		
coat11	een	ẽē	vowel and tone		
coat11	ī	i1	vowel and tone		
coat11	īn	ĩ1	vowel and tone		
coat11	īīn	ĩ1ĩ1	vowel and tone		
coat11	īín	ĩ1ĩ5	vowel and tone		
coat11	īîn	ĩ1ĩ51	vowel and tone		
coat11	í	i5	vowel and tone		
coat11	ín	ĩ5	vowel and tone		
coat11	î	i51	vowel and tone		
coat11	în	ĩ51	vowel and tone		
coat11	íīn	ĩ5ĩ1	vowel and tone		
coat11	íín	ĩ5ĩ5	vowel and tone		
coat11	íîn	ĩ5ĩ51	vowel and tone		
coat11	iin	ĩĩ	vowel and tone		
coat11	ɨ̄	ɨ1	vowel and tone		
coat11	ɨ̄n	ɨ̃1	vowel and tone		
coat11	ɨ̄ɨ̄n	ɨ̃1ɨ̄1	vowel and tone		
coat11	ɨ̄ɨ́n	ɨ̃1ɨ̄5	vowel and tone		
coat11	ɨ̄ɨ̂n	ɨ̃1ɨ̄51	vowel and tone		
coat11	ɨ́	ɨ5	vowel and tone		
coat11	ɨ́n	ɨ̃5	vowel and tone		
coat11	ɨ̂	ɨ51	vowel and tone		
coat11	ɨ̂n	ɨ̃51	vowel and tone		
coat11	ɨ́ɨ̄n	ɨ̃5ɨ̄1	vowel and tone		
coat11	ɨ́ɨ́n	ɨ̃5ɨ̄5	vowel and tone		
coat11	ɨ́ɨ̂n	ɨ̃5ɨ̄51	vowel and tone		
coat11	ɨɨn	ɨ̃ɨ̄	vowel and tone		
coat11	ō	o1	vowel and tone		
coat11	ōn	õ1	vowel and tone		
coat11	ōōn	õ1õ1	vowel and tone		
coat11	ōón	õ1õ5	vowel and tone		
coat11	ōôn	õ1õ51	vowel and tone		
coat11	ó	o5	vowel and tone		
coat11	ón	õ5	vowel and tone		
coat11	ô	o51	vowel and tone		
coat11	ôn	õ51	vowel and tone		
coat11	óōn	õ5õ1	vowel and tone		
coat11	óón	õ5õ5	vowel and tone		
coat11	óôn	õ5õ51	vowel and tone		
coat11	oon	õõ	vowel and tone		
coat11	ū	u1	vowel and tone		
coat11	ūn	ũ1	vowel and tone		
coat11	ūūn	ũ1ũ1	vowel and tone		
coat11	ūún	ũ1ũ5	vowel and tone		
coat11	ūûn	ũ1ũ51	vowel and tone		
coat11	ú	u5	vowel and tone		
coat11	ún	ũ5	vowel and tone		
coat11	û	u51	vowel and tone		
coat11	ûn	ũ51	vowel and tone		
coat11	úūn	ũ5ũ1	vowel and tone		
coat11	úún	ũ5ũ5	vowel and tone		
coat11	úûn	ũ5ũ51	vowel and tone		
coat11	uun	ũũ	vowel and tone		
