Grapheme	IPA	Class	Status	Comments
d	ð	consonant		
f	f	consonant	loan	
y	j	consonant		
k	k	consonant		
kw	kʷ	consonant		
l	l	consonant		
m	m	consonant		
n	n	consonant		
nt	ⁿd	consonant		not listed but clearly appears initially in monomorphemic forms and is listed in other sources
p	p	consonant		
r	r	consonant		could also be a flap, not specified
s	s	consonant		
t	t	consonant		
ch	t͡ʃ	consonant		
x	x	consonant		
h	ʔ	consonant		before vowels said to laryngealize them
v	β	consonant		
a	a1	vowel and tone		
an	ã1	vowel and tone		
ā	a3	vowel and tone		
ān	ã3	vowel and tone		
á	a5	vowel and tone		
án	ã5	vowel and tone		
e	e1	vowel and tone		
en	ẽ1	vowel and tone		
ē	e3	vowel and tone		
ēn	ẽ3	vowel and tone		
é	e5	vowel and tone		
én	ẽ5	vowel and tone		
i	i1	vowel and tone		
in	ĩ1	vowel and tone		
ī	i3	vowel and tone		
īn	ĩ3	vowel and tone		
í	i5	vowel and tone		
ín	ĩ5	vowel and tone		
o	o1	vowel and tone		
on	õ1	vowel and tone		
ō	o3	vowel and tone		
ōn	õ3	vowel and tone		
ó	o5	vowel and tone		
ón	õ5	vowel and tone		
u	u1	vowel and tone		
un	ũ1	vowel and tone		
ū	u3	vowel and tone		
ūn	ũ3	vowel and tone		
ú	u5	vowel and tone		
ún	ũ5	vowel and tone		
