Doculect	Grapheme	IPA	Class	Status	Comments
copa11	p	pː	consonant	rare	
copa11	t	tː	consonant		
copa11	k	kː	consonant		
copa11	b	p	consonant	rare	
copa11	d	t	consonant		
copa11	g	k	consonant		
copa11	ts	t͡s	consonant		
copa11	ch	t͡ʃ	consonant		
copa11	chr	ʈ͡ʂ	consonant		
copa11	s	sː	consonant		
copa11	sh	ʃː	consonant		
copa11	shr	ʂː	consonant		
copa11	z	s	consonant		
copa11	zh	ʃ	consonant		
copa11	r	ʂ	consonant		
copa11	m	m	consonant		
copa11	n	n	consonant		
copa11	l	l	consonant		
copa11	w	w	consonant		
copa11	j	j	consonant		
copa11	h	ʔ	consonant		
copa11	x	h	consonant		
copa11	1		tone		
copa11	2		tone		
copa11	3		tone		
copa11	4		tone		
copa11	5		tone		
copa11	i		vowel		
copa11	e		vowel		
copa11	a		vowel		
copa11	o		vowel		
copa11	u		vowel		
copa11	in		vowel		
copa11	en		vowel		
copa11	an		vowel		
copa11	on		vowel		
copa11	un		vowel		
			vowel		
