Doculect	Grapheme	IPA	Class	Status	Comments
diux11	b	b	consonant	loan	
diux11	d	d	consonant		
diux11	ð	ð	consonant		
diux11	f	f	consonant	loan	
diux11	g	g	consonant		only after n
diux11	gw	gʷ	consonant	loan	
diux11	k	k	consonant		
diux11	kw	kʷ	consonant		
diux11	l	l	consonant		
diux11	m	m	consonant		
diux11	n	n	consonant		
diux11	nd	ⁿd	consonant		analysed as cluster
diux11	ñ	ɲ	consonant		
diux11	p	p	consonant	loan	
diux11	r	ɾ	consonant		
diux11	s	s	consonant		
diux11	sh	ʃ	consonant		
diux11	t	t	consonant		
diux11	tn	tⁿ	consonant		only appears before nasal vowels, probably an allophone of t; not sure about exact phonetics
diux11	ch	t͡ʃ	consonant		
diux11	x	x	consonant		
diux11	xw	xʷ	consonant		
diux11	y	ʒ	consonant		
diux11	h	ʔ	consonant		
diux11	v	β	consonant		
diux11	'	'	other		stress
diux11	a	a1	vowel and tone		
diux11	an	ã1	vowel and tone		
diux11	aan	ã1ã1	vowel and tone		
diux11	aān	ã1ã3	vowel and tone		
diux11	aán	ã1ã5	vowel and tone		
diux11	aân	ã1ã51	vowel and tone		
diux11	ā	a3	vowel and tone		
diux11	ān	ã3	vowel and tone		
diux11	āan	ã3ã1	vowel and tone		
diux11	āān	ã3ã3	vowel and tone		
diux11	āán	ã3ã5	vowel and tone		
diux11	āân	ã3ã51	vowel and tone		
diux11	á	a5	vowel and tone		
diux11	án	ã5	vowel and tone		
diux11	â	a51	vowel and tone		
diux11	ân	ã51	vowel and tone		
diux11	áan	ã5ã1	vowel and tone		
diux11	áān	ã5ã3	vowel and tone		
diux11	áán	ã5ã5	vowel and tone		
diux11	áân	ã5ã51	vowel and tone		
diux11	e	e1	vowel and tone		
diux11	en	ẽ1	vowel and tone	rare	
diux11	een	ẽ1ẽ1	vowel and tone		
diux11	eēn	ẽ1ẽ3	vowel and tone		
diux11	eén	ẽ1ẽ5	vowel and tone		
diux11	eên	ẽ1ẽ51	vowel and tone		
diux11	ē	e3	vowel and tone		
diux11	ēn	ẽ3	vowel and tone	rare	
diux11	ēen	ẽ3ẽ1	vowel and tone		
diux11	ēēn	ẽ3ẽ3	vowel and tone		
diux11	ēén	ẽ3ẽ5	vowel and tone		
diux11	ēên	ẽ3ẽ51	vowel and tone		
diux11	é	e5	vowel and tone		
diux11	én	ẽ5	vowel and tone	rare	
diux11	ê	e51	vowel and tone		
diux11	ên	ẽ51	vowel and tone	rare	
diux11	éen	ẽ5ẽ1	vowel and tone		
diux11	éēn	ẽ5ẽ3	vowel and tone		
diux11	één	ẽ5ẽ5	vowel and tone		
diux11	éên	ẽ5ẽ51	vowel and tone		
diux11	i	i1	vowel and tone		
diux11	in	ĩ1	vowel and tone		
diux11	iin	ĩ1ĩ1	vowel and tone		
diux11	iīn	ĩ1ĩ3	vowel and tone		
diux11	iín	ĩ1ĩ5	vowel and tone		
diux11	iîn	ĩ1ĩ51	vowel and tone		
diux11	ī	i3	vowel and tone		
diux11	īn	ĩ3	vowel and tone		
diux11	īin	ĩ3ĩ1	vowel and tone		
diux11	īīn	ĩ3ĩ3	vowel and tone		
diux11	īín	ĩ3ĩ5	vowel and tone		
diux11	īîn	ĩ3ĩ51	vowel and tone		
diux11	í	i5	vowel and tone		
diux11	ín	ĩ5	vowel and tone		
diux11	î	i51	vowel and tone		
diux11	în	ĩ51	vowel and tone		
diux11	íin	ĩ5ĩ1	vowel and tone		
diux11	íīn	ĩ5ĩ3	vowel and tone		
diux11	íín	ĩ5ĩ5	vowel and tone		
diux11	íîn	ĩ5ĩ51	vowel and tone		
diux11	ɨ	ɨ1	vowel and tone		
diux11	ɨn	ɨ̃1	vowel and tone		
