Grapheme	IPA	Frequency	Codepoint	UnicodeName
a	a			
x	ʃ	130	U+00E1	LATIN SMALL LETTER A WITH ACUTE
z	θ	25	U+00E1, U+0327	LATIN SMALL LETTER A WITH ACUTE, COMBINING CEDILLA
c	k	251	U+00E0	like Spanish
nd	ⁿd	40	U+00E0, U+0327	like Spanish
ng	ᵑg	5	U+00E2	like Spanish
l	l	1	U+00E2, U+0327	like Spanish
m	m	8	U+01CE	like Spanish
n	n	217	U+0101	like Spanish
ñ	ɲ	30	U+0101, U+0327	like Spanish
p	p	110	U+0180	like Spanish
qu	k	74	U+010D	like Spanish
r	ɾ	12	U+023C	like Spanish
s	s	84	U+0064	like Spanish
t	t	51	U+0111	like Spanish
v	β	37	U+00E8	like Spanish
y	j	1	U+00EA	like Spanish
cu	kʷ	1	U+011B	before vowels
ȩ̀	ẽ1	2	U+0229, U+0300	LATIN SMALL LETTER E WITH CEDILLA, COMBINING GRAVE ACCENT
ȩ̌	ẽ4	1	U+0229, U+030C	LATIN SMALL LETTER E WITH CEDILLA, COMBINING CARON
ȩ̄	ẽ3	1	U+0229, U+0304	LATIN SMALL LETTER E WITH CEDILLA, COMBINING MACRON
ē	e3	49	U+0113	LATIN SMALL LETTER E WITH MACRON
f	f	1	U+0066	LATIN SMALL LETTER F
h	h	18	U+0068	LATIN SMALL LETTER H
i	i			
í	i5	87	U+00ED	LATIN SMALL LETTER I WITH ACUTE
í̧	ĩ5	22	U+00ED, U+0327	LATIN SMALL LETTER I WITH ACUTE, COMBINING CEDILLA
ì	i1	217	U+00EC	LATIN SMALL LETTER I WITH GRAVE
ì̧	ĩ1	43	U+00EC, U+0327	LATIN SMALL LETTER I WITH GRAVE, COMBINING CEDILLA
î	i2	3	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX
î̧	ĩ2	2	U+00EE, U+0327	LATIN SMALL LETTER I WITH CIRCUMFLEX, COMBINING CEDILLA
ǐ	i4	6	U+01D0	LATIN SMALL LETTER I WITH CARON
ǐ̧	ĩ4	3	U+01D0, U+0327	LATIN SMALL LETTER I WITH CARON, COMBINING CEDILLA
ī	i3	203	U+012B	LATIN SMALL LETTER I WITH MACRON
ī̧	ĩ3	35	U+012B, U+0327	LATIN SMALL LETTER I WITH MACRON, COMBINING CEDILLA
i᷅	i8	1	U+0069, U+1DC5	LATIN SMALL LETTER I, COMBINING GRAVE-MACRON
ɨ́	ɨ5	11	U+0268, U+0301	LATIN SMALL LETTER I WITH STROKE, COMBINING ACUTE ACCENT
ɨ̀	ɨ1	21	U+0268, U+0300	LATIN SMALL LETTER I WITH STROKE, COMBINING GRAVE ACCENT
ɨ̧́	ɨ̃5	7	U+0268, U+0327, U+0301	LATIN SMALL LETTER I WITH STROKE, COMBINING CEDILLA, COMBINING ACUTE ACCENT
ɨ̧̀	ɨ̃1	8	U+0268, U+0327, U+0300	LATIN SMALL LETTER I WITH STROKE, COMBINING CEDILLA, COMBINING GRAVE ACCENT
ɨ̧̌	ɨ̃4	1	U+0268, U+0327, U+030C	LATIN SMALL LETTER I WITH STROKE, COMBINING CEDILLA, COMBINING CARON
ɨ̧̄	ɨ̃3	4	U+0268, U+0327, U+0304	LATIN SMALL LETTER I WITH STROKE, COMBINING CEDILLA, COMBINING MACRON
ɨ̄	ɨ3	21	U+0268, U+0304	LATIN SMALL LETTER I WITH STROKE, COMBINING MACRON
ǰ	d͡ʒ	2	U+01F0	LATIN SMALL LETTER J WITH CARON
k	k	407	U+006B	LATIN SMALL LETTER K
kʷ	kʷ			
kw	kʷ			
kʸ	kʲ			
ky	kʲ			
l	l	33	U+006C	LATIN SMALL LETTER L
