Grapheme	IPA	Class	Status	Comments
d	ð	consonant		
y	j	consonant		like Spanish
c	k	consonant		like Spanish
qu	k	consonant		like Spanish
cu	kʷ	consonant		before vowels
l	l	consonant		like Spanish
m	m	consonant		like Spanish
n	n	consonant		like Spanish
nd	ⁿd	consonant		like Spanish
ñ	ɲ	consonant		like Spanish
ng	ᵑg	consonant		like Spanish
p	p	consonant		like Spanish
r	ɾ	consonant		like Spanish
s	s	consonant		like Spanish
x	ʃ	consonant	rare	
t	t	consonant	rare	like Spanish
h	x	consonant		best guess, not entirely sure; I think it freely alternates with h
ž	ʒ	consonant		j in enclitics
ʔ	ʔ	consonant		
v	β	consonant		like Spanish
b	β	consonant		
z	θ	consonant		
4	1	tone		
2	3	tone		
3	4	tone		best guess
1	5	tone		
a	a	vowel		
a̢	ã	vowel		
e	e	vowel		
e̢	ẽ	vowel		
i	i	vowel		
i̢	ĩ	vowel		
ə	ɨ	vowel		
ə̢	ɨ̃	vowel		
o	o	vowel		
o̢	õ	vowel		
u	u	vowel		
u̢	ũ	vowel		
