Grapheme	IPA	Class	Status	Comments
đ	ð	consonant		
ᵽ	f	consonant	loan	
ǥ	g	consonant	loan	
k	k	consonant		
kʷ	kʷ	consonant		
l	l	consonant		
m	m	consonant		
ᵐb	ᵐb	consonant	loan	
n	n	consonant		
ⁿd	ⁿd	consonant		
ñ	ɲ	consonant		
ᵑg	ᵑg	consonant	rare	
p	p	consonant	loan	
rr	r	consonant	loan	
r	ɾ	consonant	loan	
t	t	consonant		
č	t͡ʃ	consonant		
w	w	consonant	rare	
h	x	consonant	loan	
ž	ʒ	consonant		
ʔ	ʔ	consonant		
ƀ	β	consonant		
3	1	tone		
2	3	tone		
1	5	tone		
a	a	vowel		
a̢	ã	vowel		
e	e	vowel		
e̢	ẽ	vowel		
i	i	vowel		
i̢	ĩ	vowel		
o	o	vowel		
o̢	õ	vowel		
u	u	vowel		
