Doculect	Grapheme	IPA	Class	Status	Comments
jami11	y	j	consonant		like Spanish
jami11	c	k	consonant		like Spanish
jami11	qu	k	consonant		like Spanish
jami11	cu	kʷ	consonant		before vowels
jami11	l	l	consonant		like Spanish
jami11	m	m	consonant		like Spanish
jami11	n	n	consonant		like Spanish
jami11	nd	ⁿd	consonant		like Spanish
jami11	ñ	ɲ	consonant		like Spanish
jami11	ng	ᵑg	consonant		like Spanish
jami11	p	p	consonant		like Spanish
jami11	r	ɾ	consonant		like Spanish
jami11	s	s	consonant		like Spanish
jami11	x	ʃ	consonant		
jami11	t	t	consonant		like Spanish
jami11	h	ʔ	consonant		
jami11	v	β	consonant		like Spanish
jami11	z	θ	consonant		
jami11	à	a1	vowel and tone		
jami11	àn	ã1	vowel and tone		
jami11	ààn	ã1ã1	vowel and tone		
jami11	àān	ã1ã3	vowel and tone		
jami11	àán	ã1ã5	vowel and tone		
jami11	ā	a3	vowel and tone		
jami11	ān	ã3	vowel and tone		
jami11	āàn	ã3ã1	vowel and tone		
jami11	āān	ã3ã3	vowel and tone		
jami11	āán	ã3ã5	vowel and tone		
jami11	á	a5	vowel and tone		
jami11	án	ã5	vowel and tone		
jami11	áàn	ã5ã1	vowel and tone		
jami11	áān	ã5ã3	vowel and tone		
jami11	áán	ã5ã5	vowel and tone		
jami11	è	e1	vowel and tone		
jami11	èn	ẽ1	vowel and tone		
jami11	èèn	ẽ1ẽ1	vowel and tone		
jami11	èēn	ẽ1ẽ3	vowel and tone		
jami11	èén	ẽ1ẽ5	vowel and tone		
jami11	ē	e3	vowel and tone		
jami11	ēn	ẽ3	vowel and tone		
jami11	ēèn	ẽ3ẽ1	vowel and tone		
jami11	ēēn	ẽ3ẽ3	vowel and tone		
jami11	ēén	ẽ3ẽ5	vowel and tone		
jami11	é	e5	vowel and tone		
jami11	én	ẽ5	vowel and tone		
jami11	éèn	ẽ5ẽ1	vowel and tone		
jami11	éēn	ẽ5ẽ3	vowel and tone		
jami11	één	ẽ5ẽ5	vowel and tone		
jami11	ì	i1	vowel and tone		
jami11	ìn	ĩ1	vowel and tone		
jami11	ììn	ĩ1ĩ1	vowel and tone		
jami11	ìīn	ĩ1ĩ3	vowel and tone		
jami11	ìín	ĩ1ĩ5	vowel and tone		
jami11	ī	i3	vowel and tone		
jami11	īn	ĩ3	vowel and tone		
jami11	īìn	ĩ3ĩ1	vowel and tone		
jami11	īīn	ĩ3ĩ3	vowel and tone		
jami11	īín	ĩ3ĩ5	vowel and tone		
jami11	í	i5	vowel and tone		
jami11	ín	ĩ5	vowel and tone		
jami11	íìn	ĩ5ĩ1	vowel and tone		
jami11	íīn	ĩ5ĩ3	vowel and tone		
jami11	íín	ĩ5ĩ5	vowel and tone		
jami11	ɨ̀	ɨ1	vowel and tone		
jami11	ɨ̀n	ɨ̃1	vowel and tone		
jami11	ɨ̀ɨ̀n	ɨ̃1ɨ̃1	vowel and tone		
jami11	ɨ̀ɨ̄n	ɨ̃1ɨ̃3	vowel and tone		
jami11	ɨ̀ɨ́n	ɨ̃1ɨ̃5	vowel and tone		
jami11	ɨ̄	ɨ3	vowel and tone		
jami11	ɨ̄n	ɨ̃3	vowel and tone		
jami11	ɨ̄ɨ̀n	ɨ̃3ɨ̃1	vowel and tone		
jami11	ɨ̄ɨ̄n	ɨ̃3ɨ̃3	vowel and tone		
jami11	ɨ̄ɨ́n	ɨ̃3ɨ̃5	vowel and tone		
jami11	ɨ́	ɨ5	vowel and tone		
jami11	ɨ́n	ɨ̃5	vowel and tone		
jami11	ɨ́ɨ̀n	ɨ̃5ɨ̃1	vowel and tone		
jami11	ɨ́ɨ̄n	ɨ̃5ɨ̃3	vowel and tone		
jami11	ɨ́ɨ́n	ɨ̃5ɨ̃5	vowel and tone		
jami11	ò	o1	vowel and tone		
jami11	òn	õ1	vowel and tone		
jami11	òòn	õ1õ1	vowel and tone		
jami11	òōn	õ1õ3	vowel and tone		
jami11	òón	õ1õ5	vowel and tone		
jami11	ō	o3	vowel and tone		
jami11	ōn	õ3	vowel and tone		
jami11	ōòn	õ3õ1	vowel and tone		
jami11	ōōn	õ3õ3	vowel and tone		
jami11	ōón	õ3õ5	vowel and tone		
jami11	ó	o5	vowel and tone		
jami11	ón	õ5	vowel and tone		
jami11	óòn	õ5õ1	vowel and tone		
jami11	óōn	õ5õ3	vowel and tone		
jami11	óón	õ5õ5	vowel and tone		
jami11	ù	u1	vowel and tone		
jami11	ùn	ũ1	vowel and tone		
jami11	ùùn	ũ1ũ1	vowel and tone		
jami11	ùūn	ũ1ũ3	vowel and tone		
jami11	ùún	ũ1ũ5	vowel and tone		
jami11	ū	u3	vowel and tone		
jami11	ūn	ũ3	vowel and tone		
jami11	ūùn	ũ3ũ1	vowel and tone		
jami11	ūūn	ũ3ũ3	vowel and tone		
jami11	ūún	ũ3ũ5	vowel and tone		
jami11	ú	u5	vowel and tone		
jami11	ún	ũ5	vowel and tone		
jami11	úùn	ũ5ũ1	vowel and tone		
jami11	úūn	ũ5ũ3	vowel and tone		
jami11	úún	ũ5ũ5	vowel and tone		
